depth,sector,condition,rg_similarity,composite_coherence,binding_persistence,recursive_internal_stability,assembly_reproducibility,bounded_composite_drift,composite_gain,classification
6,P-A,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
8,P-A,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
12,P-A,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
16,P-A,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
20,P-A,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
24,P-A,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
32,P-A,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
40,P-A,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
48,P-A,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
64,P-A,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
80,P-A,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
96,P-A,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
128,P-A,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
160,P-A,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
192,P-A,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
256,P-A,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
320,P-A,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
512,P-A,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
768,P-A,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
1024,P-A,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
1536,P-A,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
2048,P-A,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
3072,P-A,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
4096,P-A,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
6144,P-A,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
8192,P-A,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
12288,P-A,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
16384,P-A,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
24576,P-A,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
32768,P-A,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
65536,P-A,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
131072,P-A,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
262144,P-A,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
524288,P-A,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
1048576,P-A,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
2097152,P-A,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
4194304,P-A,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
8388608,P-A,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
16777216,P-A,InternalCoherenceStability,0.9261,0.9294,0.913,0.9209,0.8949,0.8883,0.9005,COMPOSITE-STABLE
33554432,P-A,InternalCoherenceStability,0.8292,0.8177,0.7996,0.8439,0.809,0.7757,0.7939,COMPOSITE-BOUNDED
1,P-A,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
2,P-A,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
4,P-A,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
6,P-A,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
8,P-A,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
12,P-A,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
16,P-A,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
20,P-A,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
24,P-A,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
32,P-A,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
40,P-A,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
48,P-A,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
64,P-A,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
80,P-A,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
96,P-A,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
128,P-A,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
160,P-A,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
192,P-A,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
256,P-A,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
320,P-A,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
512,P-A,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
768,P-A,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
1024,P-A,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
1536,P-A,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
2048,P-A,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
3072,P-A,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
4096,P-A,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
6144,P-A,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
8192,P-A,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
12288,P-A,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
16384,P-A,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
24576,P-A,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
32768,P-A,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
65536,P-A,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
131072,P-A,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
262144,P-A,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
524288,P-A,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
1048576,P-A,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
2097152,P-A,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
4194304,P-A,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
8388608,P-A,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
16777216,P-A,PerturbationResilienceComposite,0.9531,0.9245,0.9165,0.9045,0.9013,0.91,0.9063,COMPOSITE-STABLE
33554432,P-A,PerturbationResilienceComposite,0.8323,0.8332,0.8006,0.8072,0.7906,0.7998,0.8268,COMPOSITE-BOUNDED
1,P-A,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
2,P-A,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
4,P-A,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
6,P-A,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
8,P-A,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
12,P-A,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
16,P-A,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
20,P-A,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
24,P-A,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
32,P-A,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
40,P-A,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
48,P-A,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
64,P-A,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
80,P-A,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
96,P-A,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
128,P-A,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
160,P-A,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
192,P-A,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
256,P-A,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
320,P-A,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
512,P-A,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
768,P-A,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
1024,P-A,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
1536,P-A,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
2048,P-A,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
3072,P-A,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
4096,P-A,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
6144,P-A,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
8192,P-A,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
12288,P-A,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
16384,P-A,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
24576,P-A,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
32768,P-A,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
65536,P-A,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
131072,P-A,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
262144,P-A,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
524288,P-A,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
1048576,P-A,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
2097152,P-A,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
4194304,P-A,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
8388608,P-A,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
16777216,P-A,RecursiveAssemblyHierarchy,0.9426,0.9128,0.9074,0.8856,0.92,0.9002,0.9209,COMPOSITE-STABLE
33554432,P-A,RecursiveAssemblyHierarchy,0.8265,0.8206,0.8075,0.7937,0.8328,0.7817,0.8047,COMPOSITE-BOUNDED
1,P-A,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
2,P-A,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
4,P-A,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
6,P-A,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
8,P-A,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
12,P-A,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
16,P-A,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
20,P-A,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
24,P-A,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
32,P-A,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
40,P-A,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
48,P-A,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
64,P-A,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
80,P-A,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
96,P-A,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
128,P-A,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
160,P-A,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
192,P-A,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
256,P-A,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
320,P-A,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
512,P-A,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
768,P-A,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
1024,P-A,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
1536,P-A,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
2048,P-A,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
3072,P-A,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
4096,P-A,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
6144,P-A,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
8192,P-A,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
12288,P-A,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
16384,P-A,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
24576,P-A,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
32768,P-A,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
65536,P-A,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
131072,P-A,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
262144,P-A,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
524288,P-A,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
1048576,P-A,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
2097152,P-A,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
4194304,P-A,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
8388608,P-A,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
16777216,P-A,CompositeTransportStability,0.9483,0.9393,0.9141,0.8948,0.8908,0.8871,0.9137,COMPOSITE-STABLE
33554432,P-A,CompositeTransportStability,0.8468,0.843,0.813,0.8153,0.7936,0.7835,0.8304,COMPOSITE-BOUNDED
1,P-A,NullBindingControl,0.7785,0.7299,0.7533,0.7322,0.7137,0.7023,0.7274,COMPOSITE-PARTIAL
2,P-A,NullBindingControl,0.7558,0.758,0.7378,0.7233,0.7057,0.6885,0.7139,COMPOSITE-PARTIAL
4,P-A,NullBindingControl,0.7585,0.7622,0.7281,0.7149,0.7303,0.6918,0.7195,COMPOSITE-PARTIAL
6,P-A,NullBindingControl,0.7893,0.7434,0.727,0.7161,0.7279,0.691,0.7416,COMPOSITE-PARTIAL
8,P-A,NullBindingControl,0.7564,0.7301,0.7547,0.7411,0.7076,0.7128,0.717,COMPOSITE-PARTIAL
12,P-A,NullBindingControl,0.7606,0.7626,0.7441,0.7237,0.6986,0.7059,0.7436,COMPOSITE-PARTIAL
16,P-A,NullBindingControl,0.7705,0.7337,0.7534,0.7171,0.7301,0.6913,0.7076,COMPOSITE-PARTIAL
20,P-A,NullBindingControl,0.7816,0.7625,0.7202,0.745,0.7203,0.6864,0.7359,COMPOSITE-PARTIAL
24,P-A,NullBindingControl,0.7586,0.7437,0.728,0.7363,0.6986,0.689,0.7158,COMPOSITE-PARTIAL
32,P-A,NullBindingControl,0.7842,0.7498,0.7463,0.7392,0.7139,0.6976,0.7321,COMPOSITE-PARTIAL
40,P-A,NullBindingControl,0.7571,0.7322,0.7312,0.7278,0.7221,0.7171,0.7154,COMPOSITE-PARTIAL
48,P-A,NullBindingControl,0.7529,0.7443,0.7494,0.7408,0.7263,0.7123,0.7269,COMPOSITE-PARTIAL
64,P-A,NullBindingControl,0.7642,0.7582,0.7479,0.7093,0.7051,0.7237,0.7348,COMPOSITE-PARTIAL
80,P-A,NullBindingControl,0.7753,0.7473,0.7264,0.7294,0.7218,0.6988,0.713,COMPOSITE-PARTIAL
96,P-A,NullBindingControl,0.7819,0.7482,0.7365,0.7398,0.7045,0.687,0.7381,COMPOSITE-PARTIAL
128,P-A,NullBindingControl,0.7741,0.735,0.728,0.7274,0.7322,0.6973,0.7107,COMPOSITE-PARTIAL
160,P-A,NullBindingControl,0.788,0.7582,0.729,0.741,0.7256,0.7141,0.7451,COMPOSITE-PARTIAL
192,P-A,NullBindingControl,0.7525,0.7489,0.7449,0.7437,0.7148,0.6988,0.7326,COMPOSITE-PARTIAL
256,P-A,NullBindingControl,0.7803,0.7475,0.7247,0.7135,0.7123,0.6995,0.723,COMPOSITE-PARTIAL
320,P-A,NullBindingControl,0.7557,0.7631,0.7508,0.7182,0.7242,0.7058,0.7443,COMPOSITE-PARTIAL
512,P-A,NullBindingControl,0.7746,0.7287,0.7425,0.7365,0.7007,0.6898,0.7171,COMPOSITE-PARTIAL
768,P-A,NullBindingControl,0.7826,0.7279,0.747,0.7129,0.702,0.6976,0.7073,COMPOSITE-PARTIAL
1024,P-A,NullBindingControl,0.7882,0.7495,0.724,0.7188,0.7055,0.7062,0.7195,COMPOSITE-PARTIAL
1536,P-A,NullBindingControl,0.7728,0.751,0.7514,0.7258,0.7172,0.702,0.7086,COMPOSITE-PARTIAL
2048,P-A,NullBindingControl,0.7545,0.7412,0.7251,0.7114,0.7285,0.7161,0.7194,COMPOSITE-PARTIAL
3072,P-A,NullBindingControl,0.7556,0.7509,0.7534,0.7096,0.7261,0.7186,0.7123,COMPOSITE-PARTIAL
4096,P-A,NullBindingControl,0.7653,0.7535,0.7322,0.7104,0.6983,0.7034,0.743,COMPOSITE-PARTIAL
6144,P-A,NullBindingControl,0.7547,0.7461,0.7173,0.7381,0.7284,0.7234,0.7225,COMPOSITE-PARTIAL
8192,P-A,NullBindingControl,0.7667,0.7603,0.7418,0.7126,0.7258,0.6923,0.7429,COMPOSITE-PARTIAL
12288,P-A,NullBindingControl,0.7832,0.7451,0.7408,0.7198,0.7258,0.691,0.7075,COMPOSITE-PARTIAL
16384,P-A,NullBindingControl,0.7595,0.7476,0.751,0.706,0.7131,0.7104,0.7095,COMPOSITE-PARTIAL
24576,P-A,NullBindingControl,0.7761,0.7469,0.7488,0.7411,0.696,0.7052,0.7388,COMPOSITE-PARTIAL
32768,P-A,NullBindingControl,0.7536,0.7372,0.7343,0.7247,0.7282,0.7044,0.7115,COMPOSITE-PARTIAL
65536,P-A,NullBindingControl,0.7625,0.74,0.7237,0.7105,0.7077,0.6937,0.7268,COMPOSITE-PARTIAL
131072,P-A,NullBindingControl,0.7831,0.7315,0.7281,0.7079,0.7189,0.6957,0.7057,COMPOSITE-PARTIAL
262144,P-A,NullBindingControl,0.7688,0.7443,0.7209,0.7124,0.7242,0.6938,0.7266,COMPOSITE-PARTIAL
524288,P-A,NullBindingControl,0.7542,0.7567,0.7445,0.7159,0.706,0.6872,0.7253,COMPOSITE-PARTIAL
1048576,P-A,NullBindingControl,0.7764,0.7288,0.7258,0.7076,0.7074,0.6999,0.7047,COMPOSITE-PARTIAL
2097152,P-A,NullBindingControl,0.769,0.7154,0.7193,0.6967,0.6861,0.6913,0.7049,COMPOSITE-PARTIAL
4194304,P-A,NullBindingControl,0.7515,0.7241,0.7298,0.6907,0.7099,0.6656,0.7002,COMPOSITE-PARTIAL
8388608,P-A,NullBindingControl,0.737,0.6861,0.7006,0.6958,0.6545,0.6608,0.6795,COMPOSITE-DEGRADING
16777216,P-A,NullBindingControl,0.668,0.6726,0.6408,0.6515,0.6392,0.6411,0.6583,COMPOSITE-DEGRADING
33554432,P-A,NullBindingControl,0.6058,0.5992,0.5929,0.5851,0.5545,0.5623,0.5685,COMPOSITE-DEGRADING
1,P-N,CompositeBindingEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
2,P-N,CompositeBindingEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
4,P-N,CompositeBindingEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
6,P-N,CompositeBindingEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
8,P-N,CompositeBindingEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
12,P-N,CompositeBindingEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
16,P-N,CompositeBindingEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
20,P-N,CompositeBindingEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
24,P-N,CompositeBindingEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
32,P-N,CompositeBindingEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
40,P-N,CompositeBindingEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
48,P-N,CompositeBindingEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
64,P-N,CompositeBindingEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
80,P-N,CompositeBindingEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
96,P-N,CompositeBindingEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
128,P-N,CompositeBindingEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
