depth,sector,condition,rg_similarity,semantic_coherence,relational_meaning_persistence,semantic_transport_alignment,recursive_semantic_stability,semantic_reproduction_index,abstraction_semantic_gain,classification
2048,Projection-Antisymmetry,AbstractionToSemanticsMapping,0.1841,0.186,0.1826,0.177,0.1785,0.1741,0.1856,SEMANTIC-FAILED
3072,Projection-Antisymmetry,AbstractionToSemanticsMapping,0.1353,0.1321,0.1322,0.1267,0.1283,0.1235,0.1316,SEMANTIC-FAILED
4096,Projection-Antisymmetry,AbstractionToSemanticsMapping,0.1019,0.1007,0.1005,0.1012,0.0985,0.0982,0.1008,SEMANTIC-FAILED
6144,Projection-Antisymmetry,AbstractionToSemanticsMapping,0.0723,0.07,0.0702,0.0679,0.0678,0.0676,0.0689,SEMANTIC-FAILED
8192,Projection-Antisymmetry,AbstractionToSemanticsMapping,0.0556,0.054,0.0541,0.0534,0.051,0.0504,0.0545,SEMANTIC-FAILED
12288,Projection-Antisymmetry,AbstractionToSemanticsMapping,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
16384,Projection-Antisymmetry,AbstractionToSemanticsMapping,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
24576,Projection-Antisymmetry,AbstractionToSemanticsMapping,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
1,Projection-Antisymmetry,SemanticReproductionDynamics,0.9465,0.9366,0.93,0.92,0.91,0.9,0.92,SEMANTIC-STABLE
2,Projection-Antisymmetry,SemanticReproductionDynamics,0.9399,0.9351,0.93,0.9059,0.91,0.9,0.9092,SEMANTIC-STABLE
4,Projection-Antisymmetry,SemanticReproductionDynamics,0.9514,0.9285,0.93,0.8944,0.91,0.9,0.8938,SEMANTIC-STABLE
6,Projection-Antisymmetry,SemanticReproductionDynamics,0.9244,0.9075,0.8977,0.92,0.91,0.9,0.9055,SEMANTIC-BOUNDED
8,Projection-Antisymmetry,SemanticReproductionDynamics,0.9488,0.9243,0.911,0.92,0.8909,0.8981,0.8861,SEMANTIC-STABLE
12,Projection-Antisymmetry,SemanticReproductionDynamics,0.9181,0.9117,0.9091,0.9126,0.8827,0.8924,0.9104,SEMANTIC-STABLE
16,Projection-Antisymmetry,SemanticReproductionDynamics,0.9184,0.9257,0.9078,0.8969,0.8873,0.9,0.8942,SEMANTIC-STABLE
20,Projection-Antisymmetry,SemanticReproductionDynamics,0.9265,0.8835,0.8807,0.8826,0.8841,0.8802,0.8785,SEMANTIC-BOUNDED
24,Projection-Antisymmetry,SemanticReproductionDynamics,0.8947,0.8815,0.9013,0.8787,0.8723,0.8935,0.8772,SEMANTIC-BOUNDED
32,Projection-Antisymmetry,SemanticReproductionDynamics,0.9072,0.8825,0.879,0.8586,0.8529,0.8596,0.8639,SEMANTIC-BOUNDED
40,Projection-Antisymmetry,SemanticReproductionDynamics,0.8618,0.8864,0.8427,0.8488,0.848,0.8531,0.8422,SEMANTIC-BOUNDED
48,Projection-Antisymmetry,SemanticReproductionDynamics,0.8679,0.8676,0.835,0.8356,0.8258,0.8531,0.8366,SEMANTIC-BOUNDED
64,Projection-Antisymmetry,SemanticReproductionDynamics,0.8467,0.8399,0.807,0.8148,0.8198,0.8188,0.8229,SEMANTIC-BOUNDED
80,Projection-Antisymmetry,SemanticReproductionDynamics,0.8193,0.8124,0.788,0.7742,0.7886,0.7741,0.7936,SEMANTIC-PARTIAL
96,Projection-Antisymmetry,SemanticReproductionDynamics,0.8013,0.7857,0.792,0.7686,0.7631,0.7849,0.7853,SEMANTIC-PARTIAL
128,Projection-Antisymmetry,SemanticReproductionDynamics,0.7717,0.7515,0.7345,0.7216,0.7392,0.7447,0.7299,SEMANTIC-PARTIAL
160,Projection-Antisymmetry,SemanticReproductionDynamics,0.732,0.7215,0.6967,0.7097,0.6896,0.6999,0.6813,SEMANTIC-DEGRADING
192,Projection-Antisymmetry,SemanticReproductionDynamics,0.6942,0.6762,0.673,0.6717,0.654,0.662,0.6521,SEMANTIC-DEGRADING
256,Projection-Antisymmetry,SemanticReproductionDynamics,0.6247,0.6186,0.6012,0.6133,0.5937,0.6032,0.6053,SEMANTIC-DEGRADING
320,Projection-Antisymmetry,SemanticReproductionDynamics,0.5865,0.5595,0.5539,0.5579,0.5604,0.5612,0.5675,SEMANTIC-DEGRADING
512,Projection-Antisymmetry,SemanticReproductionDynamics,0.4751,0.4595,0.4489,0.4477,0.4537,0.4593,0.4576,SEMANTIC-FAILED
768,Projection-Antisymmetry,SemanticReproductionDynamics,0.3763,0.3758,0.3633,0.3571,0.3647,0.3669,0.3659,SEMANTIC-FAILED
1024,Projection-Antisymmetry,SemanticReproductionDynamics,0.3086,0.3064,0.2976,0.3005,0.2977,0.3004,0.3059,SEMANTIC-FAILED
1536,Projection-Antisymmetry,SemanticReproductionDynamics,0.2356,0.2318,0.2271,0.2241,0.2246,0.2202,0.2243,SEMANTIC-FAILED
2048,Projection-Antisymmetry,SemanticReproductionDynamics,0.1884,0.1862,0.1781,0.1807,0.177,0.1776,0.1821,SEMANTIC-FAILED
3072,Projection-Antisymmetry,SemanticReproductionDynamics,0.1326,0.1298,0.1302,0.13,0.1269,0.1297,0.1276,SEMANTIC-FAILED
4096,Projection-Antisymmetry,SemanticReproductionDynamics,0.1044,0.1036,0.101,0.1002,0.1017,0.0986,0.1011,SEMANTIC-FAILED
6144,Projection-Antisymmetry,SemanticReproductionDynamics,0.072,0.0695,0.0707,0.0682,0.0703,0.0687,0.0678,SEMANTIC-FAILED
8192,Projection-Antisymmetry,SemanticReproductionDynamics,0.055,0.0532,0.0537,0.0526,0.0531,0.0531,0.0535,SEMANTIC-FAILED
12288,Projection-Antisymmetry,SemanticReproductionDynamics,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
16384,Projection-Antisymmetry,SemanticReproductionDynamics,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
24576,Projection-Antisymmetry,SemanticReproductionDynamics,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
1,Projection-Antisymmetry,NullSemanticControl,0.7737,0.7842,0.7694,0.7554,0.7446,0.7255,0.7617,SEMANTIC-PARTIAL
2,Projection-Antisymmetry,NullSemanticControl,0.7545,0.7455,0.7701,0.7475,0.7214,0.7159,0.737,SEMANTIC-PARTIAL
4,Projection-Antisymmetry,NullSemanticControl,0.7555,0.7579,0.7649,0.7602,0.7507,0.7071,0.7305,SEMANTIC-PARTIAL
6,Projection-Antisymmetry,NullSemanticControl,0.7476,0.7742,0.733,0.753,0.7184,0.7219,0.7312,SEMANTIC-PARTIAL
8,Projection-Antisymmetry,NullSemanticControl,0.7594,0.7531,0.7627,0.7661,0.7341,0.7066,0.7269,SEMANTIC-PARTIAL
12,Projection-Antisymmetry,NullSemanticControl,0.7561,0.7616,0.7324,0.7571,0.7263,0.7166,0.7386,SEMANTIC-PARTIAL
16,Projection-Antisymmetry,NullSemanticControl,0.7514,0.7501,0.7398,0.7354,0.6976,0.6991,0.7078,SEMANTIC-PARTIAL
20,Projection-Antisymmetry,NullSemanticControl,0.7384,0.7256,0.7333,0.7496,0.6953,0.6896,0.7185,SEMANTIC-PARTIAL
24,Projection-Antisymmetry,NullSemanticControl,0.7347,0.7179,0.741,0.7141,0.7014,0.6946,0.7148,SEMANTIC-PARTIAL
32,Projection-Antisymmetry,NullSemanticControl,0.7016,0.7246,0.7064,0.716,0.7104,0.6906,0.6856,SEMANTIC-PARTIAL
40,Projection-Antisymmetry,NullSemanticControl,0.7225,0.7261,0.6949,0.7092,0.699,0.6916,0.7051,SEMANTIC-DEGRADING
48,Projection-Antisymmetry,NullSemanticControl,0.6846,0.6958,0.6742,0.7161,0.679,0.6605,0.6961,SEMANTIC-DEGRADING
64,Projection-Antisymmetry,NullSemanticControl,0.6677,0.668,0.6597,0.6836,0.6668,0.6349,0.6545,SEMANTIC-DEGRADING
80,Projection-Antisymmetry,NullSemanticControl,0.669,0.6762,0.6661,0.6556,0.6408,0.6322,0.6539,SEMANTIC-DEGRADING
96,Projection-Antisymmetry,NullSemanticControl,0.6527,0.6532,0.6375,0.6363,0.6145,0.6202,0.6331,SEMANTIC-DEGRADING
128,Projection-Antisymmetry,NullSemanticControl,0.6138,0.6038,0.5988,0.6153,0.5786,0.5849,0.5905,SEMANTIC-DEGRADING
160,Projection-Antisymmetry,NullSemanticControl,0.5871,0.5906,0.566,0.5677,0.5631,0.5405,0.5665,SEMANTIC-DEGRADING
192,Projection-Antisymmetry,NullSemanticControl,0.5565,0.567,0.5525,0.5654,0.5414,0.5278,0.5446,SEMANTIC-DEGRADING
256,Projection-Antisymmetry,NullSemanticControl,0.5109,0.5003,0.5004,0.5192,0.4799,0.4798,0.4959,SEMANTIC-FAILED
320,Projection-Antisymmetry,NullSemanticControl,0.4775,0.4603,0.454,0.4556,0.4567,0.4375,0.4481,SEMANTIC-FAILED
512,Projection-Antisymmetry,NullSemanticControl,0.3813,0.3878,0.3731,0.3724,0.3721,0.3497,0.3771,SEMANTIC-FAILED
768,Projection-Antisymmetry,NullSemanticControl,0.2946,0.3044,0.304,0.2959,0.283,0.2892,0.2964,SEMANTIC-FAILED
1024,Projection-Antisymmetry,NullSemanticControl,0.2565,0.2507,0.246,0.2533,0.2398,0.2355,0.2457,SEMANTIC-FAILED
1536,Projection-Antisymmetry,NullSemanticControl,0.1926,0.1895,0.1846,0.1896,0.1826,0.1789,0.1876,SEMANTIC-FAILED
2048,Projection-Antisymmetry,NullSemanticControl,0.1516,0.1491,0.1472,0.1539,0.1463,0.143,0.1459,SEMANTIC-FAILED
3072,Projection-Antisymmetry,NullSemanticControl,0.1094,0.1051,0.108,0.1047,0.1053,0.1031,0.1061,SEMANTIC-FAILED
4096,Projection-Antisymmetry,NullSemanticControl,0.081,0.0835,0.0806,0.0823,0.0786,0.0772,0.0823,SEMANTIC-FAILED
6144,Projection-Antisymmetry,NullSemanticControl,0.0567,0.0581,0.0577,0.0589,0.0563,0.0537,0.0549,SEMANTIC-FAILED
8192,Projection-Antisymmetry,NullSemanticControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
12288,Projection-Antisymmetry,NullSemanticControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
16384,Projection-Antisymmetry,NullSemanticControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
24576,Projection-Antisymmetry,NullSemanticControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
1,Projection-Neutral,SemanticRelationExtraction,0.96,0.9397,0.93,0.8977,0.9031,0.9,0.92,SEMANTIC-STABLE
2,Projection-Neutral,SemanticRelationExtraction,0.9483,0.94,0.93,0.9121,0.91,0.9,0.9001,SEMANTIC-STABLE
4,Projection-Neutral,SemanticRelationExtraction,0.96,0.935,0.9127,0.92,0.8876,0.9,0.9015,SEMANTIC-STABLE
6,Projection-Neutral,SemanticRelationExtraction,0.96,0.9251,0.9148,0.8884,0.8866,0.9,0.9056,SEMANTIC-STABLE
8,Projection-Neutral,SemanticRelationExtraction,0.96,0.934,0.93,0.8881,0.9092,0.9,0.888,SEMANTIC-STABLE
12,Projection-Neutral,SemanticRelationExtraction,0.9513,0.9126,0.93,0.9029,0.8934,0.8901,0.8999,SEMANTIC-STABLE
16,Projection-Neutral,SemanticRelationExtraction,0.9233,0.9367,0.9083,0.8719,0.8956,0.8943,0.8832,SEMANTIC-STABLE
20,Projection-Neutral,SemanticRelationExtraction,0.919,0.9044,0.9185,0.8899,0.8853,0.867,0.8786,SEMANTIC-STABLE
24,Projection-Neutral,SemanticRelationExtraction,0.9262,0.9095,0.8849,0.8643,0.8575,0.8489,0.8829,SEMANTIC-BOUNDED
32,Projection-Neutral,SemanticRelationExtraction,0.918,0.8857,0.8908,0.8709,0.853,0.8659,0.8442,SEMANTIC-BOUNDED
40,Projection-Neutral,SemanticRelationExtraction,0.9136,0.869,0.8551,0.8368,0.8459,0.827,0.8492,SEMANTIC-BOUNDED
48,Projection-Neutral,SemanticRelationExtraction,0.8807,0.8582,0.8549,0.8437,0.8272,0.8104,0.8266,SEMANTIC-BOUNDED
64,Projection-Neutral,SemanticRelationExtraction,0.8544,0.8289,0.8155,0.8063,0.8097,0.7902,0.8206,SEMANTIC-BOUNDED
80,Projection-Neutral,SemanticRelationExtraction,0.8415,0.8064,0.8042,0.7829,0.7952,0.7799,0.7832,SEMANTIC-BOUNDED
96,Projection-Neutral,SemanticRelationExtraction,0.7985,0.8083,0.7928,0.7858,0.7728,0.7573,0.7677,SEMANTIC-PARTIAL
128,Projection-Neutral,SemanticRelationExtraction,0.777,0.7549,0.7306,0.7159,0.7083,0.7199,0.7293,SEMANTIC-PARTIAL
160,Projection-Neutral,SemanticRelationExtraction,0.7387,0.7085,0.7206,0.6829,0.6741,0.7011,0.6908,SEMANTIC-PARTIAL
192,Projection-Neutral,SemanticRelationExtraction,0.7039,0.6804,0.6858,0.6698,0.6504,0.6438,0.6736,SEMANTIC-DEGRADING
256,Projection-Neutral,SemanticRelationExtraction,0.6479,0.6169,0.6178,0.6048,0.5976,0.6024,0.6158,SEMANTIC-DEGRADING
320,Projection-Neutral,SemanticRelationExtraction,0.5841,0.5769,0.5713,0.5567,0.5486,0.5638,0.5569,SEMANTIC-DEGRADING
512,Projection-Neutral,SemanticRelationExtraction,0.4867,0.4579,0.4615,0.4452,0.4458,0.4456,0.4626,SEMANTIC-FAILED
768,Projection-Neutral,SemanticRelationExtraction,0.3751,0.3716,0.3699,0.3562,0.3528,0.3629,0.3681,SEMANTIC-FAILED
1024,Projection-Neutral,SemanticRelationExtraction,0.3121,0.3122,0.3009,0.3061,0.2966,0.2976,0.2942,SEMANTIC-FAILED
1536,Projection-Neutral,SemanticRelationExtraction,0.2348,0.237,0.2266,0.2293,0.2204,0.2212,0.2298,SEMANTIC-FAILED
2048,Projection-Neutral,SemanticRelationExtraction,0.1914,0.1829,0.1822,0.1779,0.177,0.1778,0.1827,SEMANTIC-FAILED
3072,Projection-Neutral,SemanticRelationExtraction,0.1382,0.1312,0.1286,0.126,0.1275,0.1248,0.1261,SEMANTIC-FAILED
4096,Projection-Neutral,SemanticRelationExtraction,0.1065,0.1033,0.104,0.0995,0.1004,0.0998,0.1011,SEMANTIC-FAILED
6144,Projection-Neutral,SemanticRelationExtraction,0.0731,0.0715,0.0712,0.0692,0.0669,0.0695,0.0688,SEMANTIC-FAILED
8192,Projection-Neutral,SemanticRelationExtraction,0.055,0.0544,0.0537,0.0534,0.0523,0.0526,0.0523,SEMANTIC-FAILED
12288,Projection-Neutral,SemanticRelationExtraction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
16384,Projection-Neutral,SemanticRelationExtraction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
24576,Projection-Neutral,SemanticRelationExtraction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
1,Projection-Neutral,RelationalMeaningPersistenceAnalysis,0.96,0.94,0.93,0.92,0.91,0.8976,0.9153,SEMANTIC-STABLE
2,Projection-Neutral,RelationalMeaningPersistenceAnalysis,0.956,0.9381,0.93,0.92,0.9039,0.9,0.92,SEMANTIC-STABLE
4,Projection-Neutral,RelationalMeaningPersistenceAnalysis,0.96,0.94,0.93,0.9072,0.8907,0.888,0.9006,SEMANTIC-STABLE
6,Projection-Neutral,RelationalMeaningPersistenceAnalysis,0.9567,0.9299,0.93,0.92,0.9054,0.9,0.9169,SEMANTIC-STABLE
8,Projection-Neutral,RelationalMeaningPersistenceAnalysis,0.96,0.9379,0.9294,0.8978,0.8953,0.9,0.9082,SEMANTIC-STABLE
12,Projection-Neutral,RelationalMeaningPersistenceAnalysis,0.9532,0.94,0.93,0.9051,0.9025,0.8922,0.8989,SEMANTIC-STABLE
16,Projection-Neutral,RelationalMeaningPersistenceAnalysis,0.9456,0.9178,0.926,0.9044,0.9007,0.8914,0.9033,SEMANTIC-STABLE
20,Projection-Neutral,RelationalMeaningPersistenceAnalysis,0.9204,0.9313,0.8965,0.8803,0.8828,0.8533,0.8803,SEMANTIC-BOUNDED
24,Projection-Neutral,RelationalMeaningPersistenceAnalysis,0.9465,0.9295,0.8861,0.8945,0.8679,0.8815,0.8756,SEMANTIC-BOUNDED
32,Projection-Neutral,RelationalMeaningPersistenceAnalysis,0.8983,0.9157,0.8787,0.8548,0.848,0.8708,0.8565,SEMANTIC-BOUNDED
40,Projection-Neutral,RelationalMeaningPersistenceAnalysis,0.9123,0.8734,0.8882,0.8553,0.8416,0.8497,0.8602,SEMANTIC-BOUNDED
48,Projection-Neutral,RelationalMeaningPersistenceAnalysis,0.9044,0.886,0.8529,0.8339,0.826,0.8455,0.8484,SEMANTIC-BOUNDED
64,Projection-Neutral,RelationalMeaningPersistenceAnalysis,0.8628,0.8526,0.84,0.8357,0.7991,0.8164,0.8293,SEMANTIC-BOUNDED
80,Projection-Neutral,RelationalMeaningPersistenceAnalysis,0.8268,0.825,0.8184,0.7906,0.791,0.798,0.7895,SEMANTIC-BOUNDED
96,Projection-Neutral,RelationalMeaningPersistenceAnalysis,0.8294,0.787,0.8103,0.7931,0.7811,0.7566,0.7756,SEMANTIC-PARTIAL
128,Projection-Neutral,RelationalMeaningPersistenceAnalysis,0.7617,0.7559,0.7636,0.7293,0.7429,0.7131,0.7516,SEMANTIC-PARTIAL
160,Projection-Neutral,RelationalMeaningPersistenceAnalysis,0.737,0.728,0.7246,0.7098,0.7079,0.6752,0.7085,SEMANTIC-PARTIAL
192,Projection-Neutral,RelationalMeaningPersistenceAnalysis,0.7076,0.6889,0.6981,0.6794,0.6609,0.6635,0.6623,SEMANTIC-DEGRADING
256,Projection-Neutral,RelationalMeaningPersistenceAnalysis,0.6489,0.631,0.6154,0.6051,0.6069,0.5889,0.6188,SEMANTIC-DEGRADING
320,Projection-Neutral,RelationalMeaningPersistenceAnalysis,0.5867,0.5817,0.5695,0.5594,0.5608,0.5593,0.5759,SEMANTIC-DEGRADING
512,Projection-Neutral,RelationalMeaningPersistenceAnalysis,0.4775,0.4816,0.4666,0.449,0.4556,0.4523,0.4499,SEMANTIC-FAILED
768,Projection-Neutral,RelationalMeaningPersistenceAnalysis,0.3808,0.378,0.3791,0.3617,0.358,0.3529,0.3592,SEMANTIC-FAILED
1024,Projection-Neutral,RelationalMeaningPersistenceAnalysis,0.3231,0.3114,0.304,0.3014,0.2998,0.2982,0.3031,SEMANTIC-FAILED
1536,Projection-Neutral,RelationalMeaningPersistenceAnalysis,0.2425,0.2304,0.2315,0.2287,0.2288,0.2236,0.2308,SEMANTIC-FAILED
2048,Projection-Neutral,RelationalMeaningPersistenceAnalysis,0.1919,0.1883,0.1818,0.1789,0.1804,0.1755,0.1801,SEMANTIC-FAILED
3072,Projection-Neutral,RelationalMeaningPersistenceAnalysis,0.1343,0.1362,0.1312,0.1319,0.1276,0.127,0.1274,SEMANTIC-FAILED
4096,Projection-Neutral,RelationalMeaningPersistenceAnalysis,0.1057,0.1043,0.1012,0.1006,0.0997,0.0969,0.1021,SEMANTIC-FAILED
6144,Projection-Neutral,RelationalMeaningPersistenceAnalysis,0.0745,0.0729,0.0722,0.0699,0.0682,0.0681,0.0688,SEMANTIC-FAILED
8192,Projection-Neutral,RelationalMeaningPersistenceAnalysis,0.0567,0.0544,0.0534,0.0526,0.0532,0.0532,0.0525,SEMANTIC-FAILED
12288,Projection-Neutral,RelationalMeaningPersistenceAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
16384,Projection-Neutral,RelationalMeaningPersistenceAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
24576,Projection-Neutral,RelationalMeaningPersistenceAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
1,Projection-Neutral,SemanticTransportCoherence,0.96,0.94,0.9222,0.92,0.8869,0.8946,0.92,SEMANTIC-STABLE
2,Projection-Neutral,SemanticTransportCoherence,0.9528,0.94,0.93,0.92,0.9069,0.8901,0.92,SEMANTIC-STABLE
4,Projection-Neutral,SemanticTransportCoherence,0.96,0.94,0.9289,0.92,0.8977,0.8796,0.915,SEMANTIC-STABLE
6,Projection-Neutral,SemanticTransportCoherence,0.9523,0.9264,0.93,0.92,0.9049,0.8908,0.92,SEMANTIC-STABLE
8,Projection-Neutral,SemanticTransportCoherence,0.9528,0.9151,0.9267,0.92,0.9049,0.8687,0.9039,SEMANTIC-STABLE
12,Projection-Neutral,SemanticTransportCoherence,0.9417,0.9076,0.9146,0.8997,0.8979,0.8905,0.8796,SEMANTIC-STABLE
16,Projection-Neutral,SemanticTransportCoherence,0.9289,0.9333,0.9262,0.9,0.872,0.8613,0.8735,SEMANTIC-STABLE
20,Projection-Neutral,SemanticTransportCoherence,0.9103,0.9094,0.9186,0.9042,0.8899,0.8818,0.8982,SEMANTIC-STABLE
24,Projection-Neutral,SemanticTransportCoherence,0.9098,0.886,0.8803,0.8934,0.8769,0.8426,0.8626,SEMANTIC-BOUNDED
32,Projection-Neutral,SemanticTransportCoherence,0.9089,0.8724,0.8952,0.8669,0.8459,0.8604,0.8465,SEMANTIC-BOUNDED
40,Projection-Neutral,SemanticTransportCoherence,0.9037,0.863,0.8645,0.8623,0.8484,0.8188,0.8375,SEMANTIC-BOUNDED
48,Projection-Neutral,SemanticTransportCoherence,0.8793,0.8818,0.8519,0.8482,0.8156,0.8008,0.8191,SEMANTIC-BOUNDED
64,Projection-Neutral,SemanticTransportCoherence,0.8641,0.8245,0.8341,0.8146,0.8059,0.7912,0.8272,SEMANTIC-BOUNDED
80,Projection-Neutral,SemanticTransportCoherence,0.821,0.8089,0.8083,0.7999,0.7904,0.7651,0.7922,SEMANTIC-BOUNDED
96,Projection-Neutral,SemanticTransportCoherence,0.8191,0.7781,0.7987,0.7978,0.7691,0.7367,0.7653,SEMANTIC-PARTIAL
128,Projection-Neutral,SemanticTransportCoherence,0.7838,0.7444,0.7566,0.7355,0.7355,0.7108,0.7432,SEMANTIC-PARTIAL
160,Projection-Neutral,SemanticTransportCoherence,0.7398,0.7311,0.7132,0.7198,0.6885,0.6757,0.6899,SEMANTIC-PARTIAL
192,Projection-Neutral,SemanticTransportCoherence,0.6976,0.6755,0.689,0.6899,0.6642,0.644,0.6713,SEMANTIC-DEGRADING
256,Projection-Neutral,SemanticTransportCoherence,0.6252,0.6193,0.6264,0.6069,0.605,0.5987,0.6116,SEMANTIC-DEGRADING
320,Projection-Neutral,SemanticTransportCoherence,0.5889,0.5784,0.5593,0.5737,0.5597,0.5563,0.5643,SEMANTIC-DEGRADING
512,Projection-Neutral,SemanticTransportCoherence,0.4801,0.4737,0.4692,0.4604,0.4431,0.4341,0.4537,SEMANTIC-FAILED
768,Projection-Neutral,SemanticTransportCoherence,0.3751,0.366,0.3757,0.3632,0.3625,0.3567,0.3546,SEMANTIC-FAILED
1024,Projection-Neutral,SemanticTransportCoherence,0.3172,0.3078,0.3104,0.3125,0.3034,0.2953,0.3062,SEMANTIC-FAILED
1536,Projection-Neutral,SemanticTransportCoherence,0.2382,0.2295,0.226,0.227,0.2257,0.2199,0.2234,SEMANTIC-FAILED
2048,Projection-Neutral,SemanticTransportCoherence,0.1904,0.1862,0.1872,0.1809,0.1757,0.1769,0.1819,SEMANTIC-FAILED
3072,Projection-Neutral,SemanticTransportCoherence,0.1347,0.1312,0.1325,0.1323,0.1246,0.1277,0.1283,SEMANTIC-FAILED
4096,Projection-Neutral,SemanticTransportCoherence,0.1052,0.1023,0.1028,0.1,0.0972,0.0957,0.0996,SEMANTIC-FAILED
6144,Projection-Neutral,SemanticTransportCoherence,0.0719,0.0704,0.07,0.0704,0.0669,0.0679,0.0695,SEMANTIC-FAILED
8192,Projection-Neutral,SemanticTransportCoherence,0.0563,0.0547,0.0543,0.0528,0.0531,0.0526,0.053,SEMANTIC-FAILED
12288,Projection-Neutral,SemanticTransportCoherence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
16384,Projection-Neutral,SemanticTransportCoherence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
24576,Projection-Neutral,SemanticTransportCoherence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
1,Projection-Neutral,RecursiveSemanticTransformationTracking,0.96,0.9372,0.9187,0.9029,0.91,0.8941,0.9063,SEMANTIC-STABLE
2,Projection-Neutral,RecursiveSemanticTransformationTracking,0.9438,0.94,0.93,0.92,0.91,0.8967,0.9128,SEMANTIC-STABLE
4,Projection-Neutral,RecursiveSemanticTransformationTracking,0.96,0.9304,0.9063,0.9052,0.91,0.9,0.919,SEMANTIC-STABLE
6,Projection-Neutral,RecursiveSemanticTransformationTracking,0.96,0.9338,0.919,0.92,0.91,0.8788,0.92,SEMANTIC-STABLE
8,Projection-Neutral,RecursiveSemanticTransformationTracking,0.9284,0.9101,0.9081,0.9062,0.8968,0.8849,0.9195,SEMANTIC-STABLE
12,Projection-Neutral,RecursiveSemanticTransformationTracking,0.9223,0.9215,0.9108,0.91,0.8931,0.8916,0.9087,SEMANTIC-STABLE
16,Projection-Neutral,RecursiveSemanticTransformationTracking,0.9243,0.9038,0.9082,0.8871,0.9049,0.887,0.8936,SEMANTIC-STABLE
20,Projection-Neutral,RecursiveSemanticTransformationTracking,0.9401,0.8916,0.8747,0.8896,0.8733,0.8783,0.8995,SEMANTIC-BOUNDED
24,Projection-Neutral,RecursiveSemanticTransformationTracking,0.9275,0.8954,0.8829,0.8898,0.8869,0.8549,0.8856,SEMANTIC-BOUNDED
32,Projection-Neutral,RecursiveSemanticTransformationTracking,0.9175,0.8862,0.8745,0.864,0.8578,0.8286,0.8459,SEMANTIC-BOUNDED
40,Projection-Neutral,RecursiveSemanticTransformationTracking,0.8726,0.8792,0.8467,0.8428,0.8662,0.8192,0.8397,SEMANTIC-BOUNDED
48,Projection-Neutral,RecursiveSemanticTransformationTracking,0.8833,0.8393,0.8451,0.8475,0.8294,0.8133,0.8426,SEMANTIC-BOUNDED
64,Projection-Neutral,RecursiveSemanticTransformationTracking,0.8513,0.828,0.8103,0.8161,0.835,0.7914,0.8192,SEMANTIC-BOUNDED
80,Projection-Neutral,RecursiveSemanticTransformationTracking,0.8218,0.7982,0.807,0.7834,0.7834,0.7681,0.7959,SEMANTIC-PARTIAL
96,Projection-Neutral,RecursiveSemanticTransformationTracking,0.8189,0.7831,0.7944,0.7808,0.7621,0.7373,0.7856,SEMANTIC-PARTIAL
128,Projection-Neutral,RecursiveSemanticTransformationTracking,0.7511,0.7538,0.7331,0.741,0.735,0.7266,0.7442,SEMANTIC-PARTIAL
160,Projection-Neutral,RecursiveSemanticTransformationTracking,0.727,0.7126,0.7028,0.6933,0.7155,0.6918,0.6816,SEMANTIC-PARTIAL
192,Projection-Neutral,RecursiveSemanticTransformationTracking,0.7068,0.6804,0.6764,0.6726,0.6781,0.634,0.6726,SEMANTIC-DEGRADING
256,Projection-Neutral,RecursiveSemanticTransformationTracking,0.6309,0.6239,0.6257,0.6063,0.6111,0.595,0.5972,SEMANTIC-DEGRADING
320,Projection-Neutral,RecursiveSemanticTransformationTracking,0.5901,0.5746,0.5606,0.5684,0.5655,0.5455,0.5597,SEMANTIC-DEGRADING
512,Projection-Neutral,RecursiveSemanticTransformationTracking,0.4652,0.4592,0.4558,0.4559,0.4623,0.4504,0.4592,SEMANTIC-FAILED
768,Projection-Neutral,RecursiveSemanticTransformationTracking,0.3729,0.3641,0.3632,0.3685,0.36,0.355,0.3567,SEMANTIC-FAILED
