depth,sector,condition,rg_similarity,geometric_coherence,relational_metric_stability,topology_persistence,spatial_transport_alignment,locality_geometry_consistency,recursive_spatialization_gain,classification
6144,Antisymmetry,LocalityDrivenGeometricStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
8192,Antisymmetry,LocalityDrivenGeometricStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
12288,Antisymmetry,LocalityDrivenGeometricStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
16384,Antisymmetry,LocalityDrivenGeometricStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
24576,Antisymmetry,LocalityDrivenGeometricStabilization,0.96,0.953,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
32768,Antisymmetry,LocalityDrivenGeometricStabilization,0.96,0.9572,0.9279,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
65536,Antisymmetry,LocalityDrivenGeometricStabilization,0.96,0.9458,0.9213,0.9017,0.8806,0.905,0.9066,GEOMETRY-STABLE
131072,Antisymmetry,LocalityDrivenGeometricStabilization,0.9047,0.8837,0.8549,0.8766,0.8377,0.8589,0.8659,GEOMETRY-BOUNDED
262144,Antisymmetry,LocalityDrivenGeometricStabilization,0.8017,0.8006,0.7592,0.7798,0.7686,0.7656,0.7871,GEOMETRY-BOUNDED
1,Antisymmetry,RecursiveMetricConsistencyTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
2,Antisymmetry,RecursiveMetricConsistencyTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
4,Antisymmetry,RecursiveMetricConsistencyTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
6,Antisymmetry,RecursiveMetricConsistencyTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
8,Antisymmetry,RecursiveMetricConsistencyTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
12,Antisymmetry,RecursiveMetricConsistencyTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
16,Antisymmetry,RecursiveMetricConsistencyTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
20,Antisymmetry,RecursiveMetricConsistencyTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
24,Antisymmetry,RecursiveMetricConsistencyTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
32,Antisymmetry,RecursiveMetricConsistencyTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
40,Antisymmetry,RecursiveMetricConsistencyTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
48,Antisymmetry,RecursiveMetricConsistencyTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
64,Antisymmetry,RecursiveMetricConsistencyTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
80,Antisymmetry,RecursiveMetricConsistencyTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
96,Antisymmetry,RecursiveMetricConsistencyTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
128,Antisymmetry,RecursiveMetricConsistencyTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
160,Antisymmetry,RecursiveMetricConsistencyTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
192,Antisymmetry,RecursiveMetricConsistencyTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
256,Antisymmetry,RecursiveMetricConsistencyTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
320,Antisymmetry,RecursiveMetricConsistencyTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
512,Antisymmetry,RecursiveMetricConsistencyTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
768,Antisymmetry,RecursiveMetricConsistencyTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
1024,Antisymmetry,RecursiveMetricConsistencyTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
1536,Antisymmetry,RecursiveMetricConsistencyTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
2048,Antisymmetry,RecursiveMetricConsistencyTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
3072,Antisymmetry,RecursiveMetricConsistencyTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
4096,Antisymmetry,RecursiveMetricConsistencyTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
6144,Antisymmetry,RecursiveMetricConsistencyTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
8192,Antisymmetry,RecursiveMetricConsistencyTracking,0.96,0.9582,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
12288,Antisymmetry,RecursiveMetricConsistencyTracking,0.96,0.9567,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
16384,Antisymmetry,RecursiveMetricConsistencyTracking,0.96,0.9522,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
24576,Antisymmetry,RecursiveMetricConsistencyTracking,0.96,0.9426,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
32768,Antisymmetry,RecursiveMetricConsistencyTracking,0.96,0.9407,0.94,0.93,0.9119,0.9034,0.93,GEOMETRY-STABLE
65536,Antisymmetry,RecursiveMetricConsistencyTracking,0.9583,0.9412,0.9375,0.9178,0.8971,0.898,0.9082,GEOMETRY-STABLE
131072,Antisymmetry,RecursiveMetricConsistencyTracking,0.9038,0.8566,0.896,0.8718,0.8605,0.8452,0.8478,GEOMETRY-BOUNDED
262144,Antisymmetry,RecursiveMetricConsistencyTracking,0.8046,0.7919,0.8031,0.7805,0.7525,0.7636,0.7709,GEOMETRY-PARTIAL
1,Antisymmetry,NullGeometryControl,0.7488,0.7035,0.6998,0.6847,0.6655,0.6706,0.6885,GEOMETRY-PARTIAL
2,Antisymmetry,NullGeometryControl,0.7293,0.693,0.6771,0.6636,0.6576,0.6502,0.6787,GEOMETRY-DEGRADING
4,Antisymmetry,NullGeometryControl,0.7328,0.7146,0.6742,0.6593,0.6811,0.6534,0.6865,GEOMETRY-PARTIAL
6,Antisymmetry,NullGeometryControl,0.7264,0.6925,0.6881,0.688,0.6791,0.6719,0.6919,GEOMETRY-DEGRADING
8,Antisymmetry,NullGeometryControl,0.7498,0.7134,0.6842,0.6938,0.6636,0.6667,0.6712,GEOMETRY-PARTIAL
12,Antisymmetry,NullGeometryControl,0.7313,0.6874,0.7032,0.6901,0.6779,0.6754,0.6698,GEOMETRY-DEGRADING
16,Antisymmetry,NullGeometryControl,0.7246,0.693,0.6681,0.6587,0.6771,0.655,0.6908,GEOMETRY-DEGRADING
20,Antisymmetry,NullGeometryControl,0.7414,0.6768,0.6713,0.6774,0.6584,0.6651,0.6878,GEOMETRY-DEGRADING
24,Antisymmetry,NullGeometryControl,0.7329,0.7115,0.6807,0.6639,0.6821,0.6628,0.6878,GEOMETRY-PARTIAL
32,Antisymmetry,NullGeometryControl,0.7561,0.6772,0.6877,0.6576,0.6534,0.6633,0.6621,GEOMETRY-DEGRADING
40,Antisymmetry,NullGeometryControl,0.7269,0.7043,0.6794,0.6706,0.6563,0.6581,0.6693,GEOMETRY-PARTIAL
48,Antisymmetry,NullGeometryControl,0.7511,0.712,0.6938,0.6851,0.6849,0.6464,0.6857,GEOMETRY-PARTIAL
64,Antisymmetry,NullGeometryControl,0.7354,0.6874,0.6911,0.6698,0.659,0.6717,0.6606,GEOMETRY-DEGRADING
80,Antisymmetry,NullGeometryControl,0.7203,0.7102,0.6979,0.6913,0.6705,0.6454,0.682,GEOMETRY-PARTIAL
96,Antisymmetry,NullGeometryControl,0.7381,0.6947,0.6715,0.6623,0.6822,0.652,0.6749,GEOMETRY-DEGRADING
128,Antisymmetry,NullGeometryControl,0.7276,0.6881,0.6863,0.6761,0.6777,0.6562,0.6579,GEOMETRY-DEGRADING
160,Antisymmetry,NullGeometryControl,0.748,0.7127,0.6993,0.6818,0.6661,0.6372,0.6833,GEOMETRY-PARTIAL
192,Antisymmetry,NullGeometryControl,0.7438,0.6965,0.6786,0.6667,0.6673,0.639,0.6626,GEOMETRY-DEGRADING
256,Antisymmetry,NullGeometryControl,0.7406,0.6765,0.6798,0.6587,0.6842,0.6449,0.6671,GEOMETRY-DEGRADING
320,Antisymmetry,NullGeometryControl,0.7459,0.7134,0.6803,0.6666,0.6752,0.6376,0.6953,GEOMETRY-PARTIAL
512,Antisymmetry,NullGeometryControl,0.7545,0.6807,0.6701,0.6578,0.6739,0.6614,0.6669,GEOMETRY-DEGRADING
768,Antisymmetry,NullGeometryControl,0.7179,0.6961,0.7013,0.6775,0.6631,0.6652,0.6768,GEOMETRY-DEGRADING
1024,Antisymmetry,NullGeometryControl,0.7462,0.6881,0.6769,0.6793,0.6742,0.6378,0.6607,GEOMETRY-DEGRADING
1536,Antisymmetry,NullGeometryControl,0.7485,0.6866,0.6841,0.6904,0.6548,0.6357,0.6888,GEOMETRY-DEGRADING
2048,Antisymmetry,NullGeometryControl,0.7532,0.6964,0.675,0.6843,0.6747,0.6517,0.6887,GEOMETRY-DEGRADING
3072,Antisymmetry,NullGeometryControl,0.7177,0.7035,0.7006,0.6587,0.6601,0.6398,0.6713,GEOMETRY-PARTIAL
4096,Antisymmetry,NullGeometryControl,0.7472,0.6812,0.692,0.6667,0.6526,0.6536,0.6718,GEOMETRY-DEGRADING
6144,Antisymmetry,NullGeometryControl,0.7338,0.6771,0.6675,0.6762,0.6503,0.6493,0.6701,GEOMETRY-DEGRADING
8192,Antisymmetry,NullGeometryControl,0.7506,0.7059,0.6889,0.6775,0.6536,0.6368,0.6747,GEOMETRY-PARTIAL
12288,Antisymmetry,NullGeometryControl,0.7304,0.701,0.6946,0.6529,0.6632,0.6374,0.6519,GEOMETRY-PARTIAL
16384,Antisymmetry,NullGeometryControl,0.7073,0.6692,0.6555,0.6571,0.6371,0.6257,0.6566,GEOMETRY-DEGRADING
24576,Antisymmetry,NullGeometryControl,0.7189,0.6607,0.6621,0.6779,0.6398,0.6486,0.6743,GEOMETRY-DEGRADING
32768,Antisymmetry,NullGeometryControl,0.6966,0.6571,0.6771,0.6713,0.6355,0.6335,0.6665,GEOMETRY-DEGRADING
65536,Antisymmetry,NullGeometryControl,0.7069,0.636,0.6484,0.6475,0.6129,0.6178,0.6209,GEOMETRY-DEGRADING
131072,Antisymmetry,NullGeometryControl,0.6343,0.6022,0.5953,0.5958,0.5929,0.5625,0.5928,GEOMETRY-DEGRADING
262144,Antisymmetry,NullGeometryControl,0.5896,0.5389,0.5518,0.5504,0.5192,0.5174,0.5256,GEOMETRY-FAILED
1,Neutral,EmergentDistanceMetricAnalysis,0.9552,0.9465,0.94,0.9234,0.9058,0.8818,0.93,GEOMETRY-STABLE
2,Neutral,EmergentDistanceMetricAnalysis,0.96,0.96,0.94,0.9032,0.9085,0.8692,0.909,GEOMETRY-STABLE
4,Neutral,EmergentDistanceMetricAnalysis,0.96,0.9301,0.9122,0.9012,0.8987,0.8833,0.93,GEOMETRY-STABLE
6,Neutral,EmergentDistanceMetricAnalysis,0.9514,0.9461,0.9383,0.9071,0.9077,0.8869,0.9059,GEOMETRY-STABLE
8,Neutral,EmergentDistanceMetricAnalysis,0.96,0.9409,0.9222,0.8896,0.9147,0.9028,0.9044,GEOMETRY-STABLE
12,Neutral,EmergentDistanceMetricAnalysis,0.96,0.9263,0.907,0.8955,0.9149,0.8773,0.9164,GEOMETRY-STABLE
16,Neutral,EmergentDistanceMetricAnalysis,0.96,0.9286,0.9089,0.9036,0.92,0.8839,0.9225,GEOMETRY-STABLE
20,Neutral,EmergentDistanceMetricAnalysis,0.96,0.96,0.9115,0.9163,0.89,0.8985,0.9197,GEOMETRY-STABLE
24,Neutral,EmergentDistanceMetricAnalysis,0.96,0.9448,0.9287,0.8858,0.9142,0.9036,0.93,GEOMETRY-STABLE
32,Neutral,EmergentDistanceMetricAnalysis,0.96,0.9341,0.9369,0.8934,0.8928,0.8843,0.9032,GEOMETRY-STABLE
40,Neutral,EmergentDistanceMetricAnalysis,0.96,0.932,0.9165,0.9046,0.9143,0.8775,0.8986,GEOMETRY-STABLE
48,Neutral,EmergentDistanceMetricAnalysis,0.9429,0.9406,0.94,0.8869,0.8907,0.8707,0.9086,GEOMETRY-STABLE
64,Neutral,EmergentDistanceMetricAnalysis,0.9483,0.933,0.9264,0.9239,0.9035,0.8857,0.93,GEOMETRY-STABLE
80,Neutral,EmergentDistanceMetricAnalysis,0.96,0.9389,0.94,0.9096,0.9079,0.8913,0.9073,GEOMETRY-STABLE
96,Neutral,EmergentDistanceMetricAnalysis,0.9549,0.96,0.9313,0.9044,0.8934,0.8731,0.9093,GEOMETRY-STABLE
128,Neutral,EmergentDistanceMetricAnalysis,0.9453,0.96,0.933,0.8931,0.9058,0.9049,0.9272,GEOMETRY-STABLE
160,Neutral,EmergentDistanceMetricAnalysis,0.9583,0.9382,0.94,0.8997,0.9006,0.8997,0.93,GEOMETRY-STABLE
192,Neutral,EmergentDistanceMetricAnalysis,0.9513,0.96,0.9294,0.8887,0.9153,0.8812,0.9148,GEOMETRY-STABLE
256,Neutral,EmergentDistanceMetricAnalysis,0.9556,0.934,0.9277,0.8914,0.8869,0.8965,0.8977,GEOMETRY-STABLE
320,Neutral,EmergentDistanceMetricAnalysis,0.9572,0.9282,0.9057,0.9134,0.909,0.8837,0.9298,GEOMETRY-STABLE
512,Neutral,EmergentDistanceMetricAnalysis,0.96,0.9599,0.909,0.9228,0.8946,0.8729,0.9263,GEOMETRY-STABLE
768,Neutral,EmergentDistanceMetricAnalysis,0.9452,0.9514,0.9373,0.9181,0.9148,0.8853,0.8967,GEOMETRY-STABLE
1024,Neutral,EmergentDistanceMetricAnalysis,0.96,0.9446,0.9062,0.8875,0.8971,0.871,0.8992,GEOMETRY-STABLE
1536,Neutral,EmergentDistanceMetricAnalysis,0.96,0.9564,0.9267,0.9068,0.8978,0.8683,0.9027,GEOMETRY-STABLE
2048,Neutral,EmergentDistanceMetricAnalysis,0.9579,0.932,0.9277,0.8862,0.903,0.8964,0.9214,GEOMETRY-STABLE
3072,Neutral,EmergentDistanceMetricAnalysis,0.96,0.9281,0.9162,0.9018,0.8971,0.9025,0.9051,GEOMETRY-STABLE
4096,Neutral,EmergentDistanceMetricAnalysis,0.948,0.9565,0.9045,0.8915,0.8958,0.8852,0.9141,GEOMETRY-STABLE
6144,Neutral,EmergentDistanceMetricAnalysis,0.96,0.951,0.9386,0.884,0.9039,0.8708,0.9138,GEOMETRY-STABLE
8192,Neutral,EmergentDistanceMetricAnalysis,0.9439,0.9429,0.9369,0.8837,0.9164,0.8826,0.9062,GEOMETRY-STABLE
12288,Neutral,EmergentDistanceMetricAnalysis,0.96,0.9513,0.9189,0.8954,0.9069,0.8867,0.892,GEOMETRY-STABLE
16384,Neutral,EmergentDistanceMetricAnalysis,0.9294,0.9148,0.9183,0.8998,0.8829,0.8797,0.8926,GEOMETRY-STABLE
24576,Neutral,EmergentDistanceMetricAnalysis,0.9329,0.9211,0.9065,0.8645,0.8808,0.8731,0.8889,GEOMETRY-STABLE
32768,Neutral,EmergentDistanceMetricAnalysis,0.942,0.9057,0.9143,0.8804,0.8666,0.8608,0.9009,GEOMETRY-STABLE
65536,Neutral,EmergentDistanceMetricAnalysis,0.9145,0.8761,0.8585,0.8437,0.8549,0.821,0.8426,GEOMETRY-BOUNDED
131072,Neutral,EmergentDistanceMetricAnalysis,0.8464,0.8198,0.8354,0.8166,0.813,0.7962,0.813,GEOMETRY-BOUNDED
262144,Neutral,EmergentDistanceMetricAnalysis,0.7697,0.7513,0.748,0.7295,0.7266,0.6929,0.7194,GEOMETRY-PARTIAL
1,Neutral,RecursiveTopologyFormation,0.9599,0.9087,0.9311,0.9216,0.92,0.9041,0.9013,GEOMETRY-STABLE
2,Neutral,RecursiveTopologyFormation,0.96,0.9079,0.9386,0.93,0.89,0.8723,0.8966,GEOMETRY-STABLE
4,Neutral,RecursiveTopologyFormation,0.96,0.9218,0.9223,0.9283,0.92,0.881,0.9191,GEOMETRY-STABLE
6,Neutral,RecursiveTopologyFormation,0.96,0.9455,0.9157,0.93,0.92,0.8806,0.9058,GEOMETRY-STABLE
8,Neutral,RecursiveTopologyFormation,0.96,0.9372,0.9359,0.929,0.8999,0.877,0.8929,GEOMETRY-STABLE
12,Neutral,RecursiveTopologyFormation,0.96,0.9351,0.94,0.93,0.8981,0.874,0.8934,GEOMETRY-STABLE
16,Neutral,RecursiveTopologyFormation,0.9577,0.9101,0.9213,0.93,0.9124,0.9028,0.8932,GEOMETRY-STABLE
20,Neutral,RecursiveTopologyFormation,0.9494,0.939,0.9318,0.93,0.9087,0.8745,0.9069,GEOMETRY-STABLE
24,Neutral,RecursiveTopologyFormation,0.9484,0.9338,0.932,0.93,0.92,0.8658,0.9117,GEOMETRY-STABLE
32,Neutral,RecursiveTopologyFormation,0.9587,0.9225,0.9127,0.93,0.8942,0.8674,0.8878,GEOMETRY-STABLE
40,Neutral,RecursiveTopologyFormation,0.9528,0.9352,0.933,0.93,0.901,0.8779,0.899,GEOMETRY-STABLE
48,Neutral,RecursiveTopologyFormation,0.9584,0.9166,0.9301,0.9176,0.92,0.87,0.9064,GEOMETRY-STABLE
64,Neutral,RecursiveTopologyFormation,0.957,0.9279,0.9396,0.93,0.891,0.8922,0.9218,GEOMETRY-STABLE
80,Neutral,RecursiveTopologyFormation,0.96,0.9316,0.9345,0.93,0.8925,0.8765,0.8898,GEOMETRY-STABLE
96,Neutral,RecursiveTopologyFormation,0.96,0.9371,0.9068,0.9234,0.9023,0.8954,0.9135,GEOMETRY-STABLE
128,Neutral,RecursiveTopologyFormation,0.96,0.9194,0.94,0.9236,0.8971,0.8936,0.8944,GEOMETRY-STABLE
160,Neutral,RecursiveTopologyFormation,0.96,0.9392,0.9123,0.93,0.92,0.885,0.8869,GEOMETRY-STABLE
192,Neutral,RecursiveTopologyFormation,0.96,0.9248,0.9206,0.9225,0.8886,0.8962,0.9101,GEOMETRY-STABLE
256,Neutral,RecursiveTopologyFormation,0.96,0.9275,0.9298,0.93,0.8879,0.874,0.8969,GEOMETRY-STABLE
320,Neutral,RecursiveTopologyFormation,0.957,0.9135,0.9313,0.9246,0.9018,0.8808,0.8997,GEOMETRY-STABLE
512,Neutral,RecursiveTopologyFormation,0.96,0.9157,0.9075,0.9185,0.9105,0.8767,0.9062,GEOMETRY-STABLE
768,Neutral,RecursiveTopologyFormation,0.9562,0.9158,0.9335,0.9198,0.8981,0.8806,0.9172,GEOMETRY-STABLE
1024,Neutral,RecursiveTopologyFormation,0.96,0.9373,0.9346,0.9277,0.9035,0.8712,0.8962,GEOMETRY-STABLE
1536,Neutral,RecursiveTopologyFormation,0.96,0.9063,0.9387,0.93,0.92,0.8965,0.9076,GEOMETRY-STABLE
2048,Neutral,RecursiveTopologyFormation,0.9582,0.927,0.918,0.9175,0.9053,0.8868,0.9215,GEOMETRY-STABLE
3072,Neutral,RecursiveTopologyFormation,0.9555,0.9342,0.9097,0.93,0.8934,0.9013,0.9168,GEOMETRY-STABLE
4096,Neutral,RecursiveTopologyFormation,0.96,0.9196,0.9172,0.9124,0.8901,0.8887,0.9171,GEOMETRY-STABLE
6144,Neutral,RecursiveTopologyFormation,0.96,0.9292,0.9043,0.93,0.9135,0.8933,0.892,GEOMETRY-STABLE
8192,Neutral,RecursiveTopologyFormation,0.96,0.9171,0.9313,0.9128,0.9101,0.8936,0.9055,GEOMETRY-STABLE
12288,Neutral,RecursiveTopologyFormation,0.96,0.901,0.9036,0.9198,0.8989,0.8663,0.9066,GEOMETRY-STABLE
16384,Neutral,RecursiveTopologyFormation,0.9537,0.9128,0.9113,0.9089,0.8813,0.866,0.8919,GEOMETRY-STABLE
24576,Neutral,RecursiveTopologyFormation,0.954,0.8861,0.8965,0.9191,0.8758,0.881,0.8659,GEOMETRY-BOUNDED
32768,Neutral,RecursiveTopologyFormation,0.941,0.9011,0.8896,0.919,0.8899,0.8748,0.8951,GEOMETRY-STABLE
65536,Neutral,RecursiveTopologyFormation,0.9198,0.8506,0.8754,0.8624,0.8416,0.8437,0.8546,GEOMETRY-BOUNDED
131072,Neutral,RecursiveTopologyFormation,0.8616,0.8341,0.8339,0.8351,0.7916,0.7841,0.7931,GEOMETRY-BOUNDED
262144,Neutral,RecursiveTopologyFormation,0.7531,0.7402,0.7438,0.727,0.7228,0.7079,0.7222,GEOMETRY-PARTIAL
1,Neutral,RelationalGeometricCoherenceMapping,0.96,0.96,0.9257,0.9267,0.9152,0.8989,0.9156,GEOMETRY-STABLE
2,Neutral,RelationalGeometricCoherenceMapping,0.9425,0.94,0.9083,0.9115,0.891,0.8994,0.9161,GEOMETRY-STABLE
4,Neutral,RelationalGeometricCoherenceMapping,0.9496,0.9381,0.8997,0.8991,0.8981,0.8894,0.8968,GEOMETRY-STABLE
6,Neutral,RelationalGeometricCoherenceMapping,0.9591,0.938,0.9332,0.9066,0.905,0.905,0.8905,GEOMETRY-STABLE
8,Neutral,RelationalGeometricCoherenceMapping,0.9593,0.96,0.9172,0.9018,0.8932,0.8904,0.8978,GEOMETRY-STABLE
12,Neutral,RelationalGeometricCoherenceMapping,0.951,0.956,0.9146,0.9131,0.8954,0.8765,0.9105,GEOMETRY-STABLE
16,Neutral,RelationalGeometricCoherenceMapping,0.96,0.9458,0.9115,0.8973,0.9113,0.886,0.9218,GEOMETRY-STABLE
20,Neutral,RelationalGeometricCoherenceMapping,0.96,0.96,0.9172,0.9032,0.912,0.8782,0.8888,GEOMETRY-STABLE
24,Neutral,RelationalGeometricCoherenceMapping,0.9592,0.96,0.9122,0.9202,0.8785,0.8771,0.8908,GEOMETRY-STABLE
32,Neutral,RelationalGeometricCoherenceMapping,0.96,0.96,0.9311,0.93,0.89,0.8974,0.8937,GEOMETRY-STABLE
40,Neutral,RelationalGeometricCoherenceMapping,0.9469,0.9558,0.9066,0.9262,0.8836,0.9051,0.9125,GEOMETRY-STABLE
48,Neutral,RelationalGeometricCoherenceMapping,0.96,0.94,0.9245,0.93,0.8898,0.91,0.9248,GEOMETRY-STABLE
64,Neutral,RelationalGeometricCoherenceMapping,0.96,0.9571,0.9248,0.909,0.9067,0.905,0.8929,GEOMETRY-STABLE
80,Neutral,RelationalGeometricCoherenceMapping,0.96,0.9554,0.91,0.9113,0.8979,0.88,0.9051,GEOMETRY-STABLE
96,Neutral,RelationalGeometricCoherenceMapping,0.9587,0.96,0.8984,0.9042,0.8935,0.9018,0.9011,GEOMETRY-STABLE
128,Neutral,RelationalGeometricCoherenceMapping,0.96,0.96,0.899,0.9297,0.9108,0.9041,0.9173,GEOMETRY-STABLE
160,Neutral,RelationalGeometricCoherenceMapping,0.96,0.96,0.921,0.9083,0.9149,0.899,0.9156,GEOMETRY-STABLE
192,Neutral,RelationalGeometricCoherenceMapping,0.9475,0.96,0.9052,0.93,0.9067,0.8956,0.886,GEOMETRY-STABLE
256,Neutral,RelationalGeometricCoherenceMapping,0.9548,0.96,0.8996,0.9257,0.9042,0.8758,0.9189,GEOMETRY-STABLE
320,Neutral,RelationalGeometricCoherenceMapping,0.96,0.9362,0.9131,0.9067,0.9046,0.8839,0.8941,GEOMETRY-STABLE
512,Neutral,RelationalGeometricCoherenceMapping,0.96,0.96,0.9043,0.93,0.8777,0.88,0.9214,GEOMETRY-STABLE
768,Neutral,RelationalGeometricCoherenceMapping,0.96,0.9486,0.9211,0.8978,0.9019,0.8906,0.9019,GEOMETRY-STABLE
1024,Neutral,RelationalGeometricCoherenceMapping,0.96,0.96,0.9084,0.93,0.9061,0.8881,0.9163,GEOMETRY-STABLE
1536,Neutral,RelationalGeometricCoherenceMapping,0.9589,0.96,0.9041,0.9011,0.9019,0.9035,0.9204,GEOMETRY-STABLE
2048,Neutral,RelationalGeometricCoherenceMapping,0.96,0.9376,0.9332,0.8939,0.8877,0.8966,0.8932,GEOMETRY-STABLE
3072,Neutral,RelationalGeometricCoherenceMapping,0.96,0.935,0.907,0.9099,0.8937,0.8776,0.8896,GEOMETRY-STABLE
4096,Neutral,RelationalGeometricCoherenceMapping,0.9456,0.9462,0.9293,0.9251,0.8743,0.8752,0.9066,GEOMETRY-STABLE
6144,Neutral,RelationalGeometricCoherenceMapping,0.96,0.9493,0.8911,0.918,0.897,0.8885,0.8971,GEOMETRY-STABLE
8192,Neutral,RelationalGeometricCoherenceMapping,0.9416,0.9392,0.9178,0.903,0.9001,0.8815,0.8943,GEOMETRY-STABLE
12288,Neutral,RelationalGeometricCoherenceMapping,0.9585,0.93,0.9033,0.8995,0.8689,0.9026,0.9068,GEOMETRY-STABLE
16384,Neutral,RelationalGeometricCoherenceMapping,0.9353,0.9309,0.9101,0.8935,0.8886,0.864,0.8949,GEOMETRY-STABLE
24576,Neutral,RelationalGeometricCoherenceMapping,0.9302,0.9502,0.8945,0.8916,0.8549,0.8656,0.8818,GEOMETRY-STABLE
32768,Neutral,RelationalGeometricCoherenceMapping,0.9188,0.9066,0.8679,0.8732,0.8599,0.8594,0.8596,GEOMETRY-STABLE
65536,Neutral,RelationalGeometricCoherenceMapping,0.921,0.9061,0.8558,0.8662,0.8528,0.8568,0.8499,GEOMETRY-STABLE
131072,Neutral,RelationalGeometricCoherenceMapping,0.8599,0.8378,0.8078,0.8142,0.781,0.7863,0.7914,GEOMETRY-BOUNDED
262144,Neutral,RelationalGeometricCoherenceMapping,0.7535,0.7485,0.7175,0.7354,0.7056,0.7089,0.7144,GEOMETRY-PARTIAL
1,Neutral,TransportInducedSpatialPersistence,0.9551,0.9373,0.896,0.9014,0.92,0.91,0.9248,GEOMETRY-STABLE
2,Neutral,TransportInducedSpatialPersistence,0.9509,0.9482,0.9086,0.9045,0.9176,0.8877,0.914,GEOMETRY-STABLE
4,Neutral,TransportInducedSpatialPersistence,0.9375,0.9257,0.9137,0.8991,0.92,0.8887,0.8969,GEOMETRY-STABLE
6,Neutral,TransportInducedSpatialPersistence,0.96,0.9285,0.902,0.9191,0.92,0.8925,0.93,GEOMETRY-STABLE
8,Neutral,TransportInducedSpatialPersistence,0.9454,0.9164,0.9123,0.9124,0.9143,0.8893,0.9287,GEOMETRY-STABLE
12,Neutral,TransportInducedSpatialPersistence,0.9549,0.9313,0.8965,0.8961,0.9092,0.8908,0.93,GEOMETRY-STABLE
16,Neutral,TransportInducedSpatialPersistence,0.96,0.921,0.9128,0.9078,0.9077,0.902,0.9124,GEOMETRY-STABLE
20,Neutral,TransportInducedSpatialPersistence,0.9494,0.9404,0.9235,0.9197,0.9168,0.8974,0.9037,GEOMETRY-STABLE
24,Neutral,TransportInducedSpatialPersistence,0.9463,0.929,0.928,0.9026,0.92,0.91,0.9001,GEOMETRY-STABLE
32,Neutral,TransportInducedSpatialPersistence,0.96,0.951,0.9218,0.8862,0.92,0.8994,0.93,GEOMETRY-STABLE
40,Neutral,TransportInducedSpatialPersistence,0.96,0.9455,0.915,0.9071,0.92,0.8809,0.9036,GEOMETRY-STABLE
