depth,sector,condition,rg_similarity,cross_scale_alignment,fragmentation_suppression,closure_extension_gain,drift_compensation_efficiency,recursive_coherence_retention,classification
28,Projection-Neutral,DelayedCoherenceReinforcement,0.4315,0.4323,0.005,0.0531,0.4195,0.4258,DRIFT-DEGRADING
32,Projection-Neutral,DelayedCoherenceReinforcement,0.3972,0.4055,0.005,0.054,0.3777,0.4086,DRIFT-DEGRADING
40,Projection-Neutral,DelayedCoherenceReinforcement,0.3502,0.3491,0.005,0.0472,0.34,0.3457,DRIFT-DEGRADING
48,Projection-Neutral,DelayedCoherenceReinforcement,0.3118,0.3194,0.005,0.0439,0.3047,0.3219,DRIFT-FAILED
1,Projection-Neutral,NullCorrectionControl,0.614,0.6634,0.0949,-0.0231,0.6491,0.6465,DRIFT-PARTIAL
2,Projection-Neutral,NullCorrectionControl,0.6195,0.6582,0.0974,-0.0356,0.6205,0.6281,DRIFT-PARTIAL
4,Projection-Neutral,NullCorrectionControl,0.5618,0.6168,0.1039,-0.0352,0.5718,0.5846,DRIFT-PARTIAL
6,Projection-Neutral,NullCorrectionControl,0.5281,0.5767,0.1132,-0.0322,0.5539,0.552,DRIFT-PARTIAL
8,Projection-Neutral,NullCorrectionControl,0.5051,0.546,0.101,-0.0201,0.5167,0.5252,DRIFT-PARTIAL
12,Projection-Neutral,NullCorrectionControl,0.4647,0.4831,0.109,-0.0315,0.4745,0.4492,DRIFT-DEGRADING
16,Projection-Neutral,NullCorrectionControl,0.4193,0.429,0.1296,-0.0165,0.4323,0.4251,DRIFT-DEGRADING
20,Projection-Neutral,NullCorrectionControl,0.3723,0.3963,0.13,-0.0252,0.3896,0.3864,DRIFT-DEGRADING
24,Projection-Neutral,NullCorrectionControl,0.3411,0.3687,0.1399,-0.0187,0.357,0.3607,DRIFT-FAILED
28,Projection-Neutral,NullCorrectionControl,0.3295,0.3345,0.1355,-0.0262,0.3379,0.3178,DRIFT-FAILED
32,Projection-Neutral,NullCorrectionControl,0.3056,0.316,0.1472,-0.0122,0.3068,0.3117,DRIFT-FAILED
40,Projection-Neutral,NullCorrectionControl,0.2612,0.2738,0.162,-0.0203,0.2647,0.2677,DRIFT-FAILED
48,Projection-Neutral,NullCorrectionControl,0.2311,0.2479,0.1498,-0.0122,0.2434,0.2405,DRIFT-FAILED
1,Antisymmetry-Neutral,BaselineDrift,0.7986,0.7532,0.0466,0.0438,0.7318,0.7543,DRIFT-COMPENSATED
2,Antisymmetry-Neutral,BaselineDrift,0.7444,0.757,0.0465,0.048,0.7366,0.7262,DRIFT-COMPENSATED
4,Antisymmetry-Neutral,BaselineDrift,0.7241,0.7033,0.0625,0.0447,0.6711,0.6658,DRIFT-COMPENSATED
6,Antisymmetry-Neutral,BaselineDrift,0.65,0.6613,0.0653,0.0256,0.6326,0.6458,DRIFT-PARTIAL
8,Antisymmetry-Neutral,BaselineDrift,0.6241,0.6175,0.0511,0.026,0.598,0.5974,DRIFT-PARTIAL
12,Antisymmetry-Neutral,BaselineDrift,0.5656,0.5582,0.0515,0.0321,0.54,0.5421,DRIFT-PARTIAL
16,Antisymmetry-Neutral,BaselineDrift,0.5234,0.4943,0.0603,0.0335,0.4914,0.4848,DRIFT-PARTIAL
20,Antisymmetry-Neutral,BaselineDrift,0.4649,0.4617,0.0589,0.0324,0.4596,0.449,DRIFT-DEGRADING
24,Antisymmetry-Neutral,BaselineDrift,0.4355,0.4228,0.0686,0.0164,0.4135,0.4183,DRIFT-DEGRADING
28,Antisymmetry-Neutral,BaselineDrift,0.4028,0.4037,0.066,0.0241,0.3782,0.3912,DRIFT-DEGRADING
32,Antisymmetry-Neutral,BaselineDrift,0.3662,0.3754,0.0824,0.0255,0.3642,0.3541,DRIFT-DEGRADING
40,Antisymmetry-Neutral,BaselineDrift,0.3362,0.3295,0.0705,0.0228,0.3158,0.3145,DRIFT-FAILED
48,Antisymmetry-Neutral,BaselineDrift,0.29,0.2918,0.0734,0.013,0.2883,0.2914,DRIFT-FAILED
1,Antisymmetry-Neutral,DynamicScaleAlignment,0.8472,0.8469,0.005,0.0981,0.8133,0.8193,DRIFT-CORRECTED
2,Antisymmetry-Neutral,DynamicScaleAlignment,0.8087,0.8234,0.005,0.1123,0.7782,0.7621,DRIFT-CORRECTED
4,Antisymmetry-Neutral,DynamicScaleAlignment,0.7466,0.7743,0.005,0.0825,0.7236,0.7427,DRIFT-COMPENSATED
6,Antisymmetry-Neutral,DynamicScaleAlignment,0.6921,0.719,0.005,0.0789,0.6922,0.6974,DRIFT-COMPENSATED
8,Antisymmetry-Neutral,DynamicScaleAlignment,0.6706,0.6874,0.005,0.0775,0.6588,0.6452,DRIFT-COMPENSATED
12,Antisymmetry-Neutral,DynamicScaleAlignment,0.6049,0.6172,0.005,0.0664,0.5889,0.5764,DRIFT-PARTIAL
16,Antisymmetry-Neutral,DynamicScaleAlignment,0.5425,0.5639,0.005,0.0665,0.5475,0.5186,DRIFT-PARTIAL
20,Antisymmetry-Neutral,DynamicScaleAlignment,0.498,0.5118,0.005,0.0584,0.4878,0.4805,DRIFT-DEGRADING
24,Antisymmetry-Neutral,DynamicScaleAlignment,0.4572,0.4719,0.005,0.0645,0.4563,0.4536,DRIFT-DEGRADING
28,Antisymmetry-Neutral,DynamicScaleAlignment,0.4316,0.4318,0.005,0.0504,0.4144,0.4232,DRIFT-DEGRADING
32,Antisymmetry-Neutral,DynamicScaleAlignment,0.4057,0.403,0.005,0.0495,0.3943,0.387,DRIFT-DEGRADING
40,Antisymmetry-Neutral,DynamicScaleAlignment,0.346,0.3525,0.005,0.0414,0.339,0.3356,DRIFT-FAILED
48,Antisymmetry-Neutral,DynamicScaleAlignment,0.3079,0.3132,0.005,0.0341,0.3072,0.3078,DRIFT-FAILED
1,Antisymmetry-Neutral,RecursiveSyncRefresh,0.8085,0.8362,0.005,0.0858,0.7912,0.8182,DRIFT-CORRECTED
2,Antisymmetry-Neutral,RecursiveSyncRefresh,0.8114,0.8058,0.0094,0.0896,0.7646,0.7741,DRIFT-CORRECTED
4,Antisymmetry-Neutral,RecursiveSyncRefresh,0.7486,0.7494,0.0067,0.0779,0.7316,0.7482,DRIFT-COMPENSATED
6,Antisymmetry-Neutral,RecursiveSyncRefresh,0.7113,0.7023,0.005,0.0749,0.6841,0.6951,DRIFT-COMPENSATED
8,Antisymmetry-Neutral,RecursiveSyncRefresh,0.6716,0.6532,0.005,0.069,0.6422,0.6503,DRIFT-COMPENSATED
12,Antisymmetry-Neutral,RecursiveSyncRefresh,0.592,0.6066,0.005,0.0742,0.5695,0.5996,DRIFT-PARTIAL
16,Antisymmetry-Neutral,RecursiveSyncRefresh,0.527,0.5455,0.005,0.064,0.5199,0.5417,DRIFT-PARTIAL
20,Antisymmetry-Neutral,RecursiveSyncRefresh,0.4975,0.4885,0.0101,0.0534,0.4747,0.4862,DRIFT-DEGRADING
24,Antisymmetry-Neutral,RecursiveSyncRefresh,0.4489,0.4588,0.0123,0.0485,0.4506,0.4521,DRIFT-DEGRADING
28,Antisymmetry-Neutral,RecursiveSyncRefresh,0.4175,0.4219,0.005,0.0531,0.4059,0.4114,DRIFT-DEGRADING
32,Antisymmetry-Neutral,RecursiveSyncRefresh,0.385,0.3925,0.005,0.0503,0.3858,0.3919,DRIFT-DEGRADING
40,Antisymmetry-Neutral,RecursiveSyncRefresh,0.3468,0.3519,0.009,0.0369,0.3452,0.3371,DRIFT-FAILED
48,Antisymmetry-Neutral,RecursiveSyncRefresh,0.3124,0.3153,0.005,0.0391,0.3043,0.3011,DRIFT-FAILED
1,Antisymmetry-Neutral,AdaptiveCrossScaleComp,0.8276,0.86,0.005,0.1255,0.8207,0.826,DRIFT-CORRECTED
2,Antisymmetry-Neutral,AdaptiveCrossScaleComp,0.8062,0.8376,0.005,0.1145,0.8049,0.8032,DRIFT-CORRECTED
4,Antisymmetry-Neutral,AdaptiveCrossScaleComp,0.7688,0.797,0.005,0.1157,0.7504,0.7495,DRIFT-COMPENSATED
6,Antisymmetry-Neutral,AdaptiveCrossScaleComp,0.7309,0.7368,0.005,0.0953,0.7208,0.7139,DRIFT-COMPENSATED
8,Antisymmetry-Neutral,AdaptiveCrossScaleComp,0.6872,0.705,0.005,0.1099,0.6812,0.665,DRIFT-COMPENSATED
12,Antisymmetry-Neutral,AdaptiveCrossScaleComp,0.6002,0.6355,0.005,0.09,0.609,0.6097,DRIFT-PARTIAL
16,Antisymmetry-Neutral,AdaptiveCrossScaleComp,0.5577,0.5565,0.005,0.0798,0.5499,0.5407,DRIFT-PARTIAL
20,Antisymmetry-Neutral,AdaptiveCrossScaleComp,0.5128,0.52,0.005,0.0767,0.5081,0.5042,DRIFT-PARTIAL
24,Antisymmetry-Neutral,AdaptiveCrossScaleComp,0.4615,0.4811,0.005,0.0645,0.4671,0.4497,DRIFT-DEGRADING
28,Antisymmetry-Neutral,AdaptiveCrossScaleComp,0.4446,0.4364,0.005,0.0648,0.4232,0.4271,DRIFT-DEGRADING
32,Antisymmetry-Neutral,AdaptiveCrossScaleComp,0.4034,0.407,0.005,0.0522,0.3971,0.4004,DRIFT-DEGRADING
40,Antisymmetry-Neutral,AdaptiveCrossScaleComp,0.3508,0.3636,0.005,0.0458,0.3552,0.3414,DRIFT-DEGRADING
48,Antisymmetry-Neutral,AdaptiveCrossScaleComp,0.3159,0.3326,0.005,0.0515,0.3115,0.3146,DRIFT-FAILED
1,Antisymmetry-Neutral,FragmentationSuppression,0.8189,0.8313,0.005,0.0734,0.7885,0.8061,DRIFT-CORRECTED
2,Antisymmetry-Neutral,FragmentationSuppression,0.7901,0.7739,0.005,0.0682,0.7666,0.7588,DRIFT-COMPENSATED
4,Antisymmetry-Neutral,FragmentationSuppression,0.729,0.7346,0.005,0.0869,0.7086,0.7063,DRIFT-COMPENSATED
6,Antisymmetry-Neutral,FragmentationSuppression,0.6811,0.6892,0.005,0.0713,0.6611,0.6919,DRIFT-COMPENSATED
8,Antisymmetry-Neutral,FragmentationSuppression,0.6451,0.6445,0.005,0.0761,0.6471,0.6482,DRIFT-PARTIAL
12,Antisymmetry-Neutral,FragmentationSuppression,0.5995,0.6022,0.005,0.0685,0.5864,0.5848,DRIFT-PARTIAL
16,Antisymmetry-Neutral,FragmentationSuppression,0.5329,0.5462,0.005,0.0567,0.5186,0.5261,DRIFT-PARTIAL
20,Antisymmetry-Neutral,FragmentationSuppression,0.4956,0.4971,0.005,0.0571,0.4673,0.4854,DRIFT-DEGRADING
24,Antisymmetry-Neutral,FragmentationSuppression,0.4441,0.458,0.005,0.0482,0.4454,0.4454,DRIFT-DEGRADING
28,Antisymmetry-Neutral,FragmentationSuppression,0.4104,0.4164,0.005,0.0503,0.4055,0.4068,DRIFT-DEGRADING
32,Antisymmetry-Neutral,FragmentationSuppression,0.3998,0.3925,0.005,0.0349,0.3762,0.3824,DRIFT-DEGRADING
40,Antisymmetry-Neutral,FragmentationSuppression,0.3519,0.3376,0.005,0.0326,0.336,0.3392,DRIFT-DEGRADING
48,Antisymmetry-Neutral,FragmentationSuppression,0.3151,0.3019,0.005,0.0283,0.2942,0.3018,DRIFT-FAILED
1,Antisymmetry-Neutral,DelayedCoherenceReinforcement,0.808,0.8224,0.005,0.1258,0.8235,0.8447,DRIFT-CORRECTED
2,Antisymmetry-Neutral,DelayedCoherenceReinforcement,0.7933,0.8043,0.005,0.1196,0.7942,0.7987,DRIFT-COMPENSATED
4,Antisymmetry-Neutral,DelayedCoherenceReinforcement,0.7512,0.7587,0.005,0.0891,0.7304,0.7533,DRIFT-COMPENSATED
6,Antisymmetry-Neutral,DelayedCoherenceReinforcement,0.7029,0.7047,0.005,0.1052,0.6854,0.7196,DRIFT-COMPENSATED
8,Antisymmetry-Neutral,DelayedCoherenceReinforcement,0.6721,0.6709,0.005,0.0838,0.6592,0.6717,DRIFT-COMPENSATED
12,Antisymmetry-Neutral,DelayedCoherenceReinforcement,0.5916,0.5918,0.005,0.0914,0.5787,0.6079,DRIFT-PARTIAL
16,Antisymmetry-Neutral,DelayedCoherenceReinforcement,0.5504,0.5409,0.005,0.0684,0.5165,0.5492,DRIFT-PARTIAL
20,Antisymmetry-Neutral,DelayedCoherenceReinforcement,0.5066,0.4964,0.005,0.0605,0.4792,0.5133,DRIFT-PARTIAL
24,Antisymmetry-Neutral,DelayedCoherenceReinforcement,0.4524,0.4643,0.005,0.0621,0.4506,0.4577,DRIFT-DEGRADING
28,Antisymmetry-Neutral,DelayedCoherenceReinforcement,0.429,0.4313,0.005,0.06,0.418,0.4364,DRIFT-DEGRADING
32,Antisymmetry-Neutral,DelayedCoherenceReinforcement,0.3917,0.3998,0.005,0.0609,0.3859,0.4006,DRIFT-DEGRADING
40,Antisymmetry-Neutral,DelayedCoherenceReinforcement,0.3422,0.3581,0.005,0.0466,0.3459,0.3479,DRIFT-FAILED
48,Antisymmetry-Neutral,DelayedCoherenceReinforcement,0.3186,0.3206,0.005,0.0393,0.2979,0.321,DRIFT-FAILED
1,Antisymmetry-Neutral,NullCorrectionControl,0.6296,0.6539,0.111,-0.022,0.6564,0.6222,DRIFT-PARTIAL
2,Antisymmetry-Neutral,NullCorrectionControl,0.5948,0.6506,0.1112,-0.031,0.605,0.6095,DRIFT-PARTIAL
4,Antisymmetry-Neutral,NullCorrectionControl,0.5751,0.6086,0.1138,-0.0209,0.5823,0.5601,DRIFT-PARTIAL
6,Antisymmetry-Neutral,NullCorrectionControl,0.5407,0.5787,0.1075,-0.0407,0.5607,0.5527,DRIFT-PARTIAL
8,Antisymmetry-Neutral,NullCorrectionControl,0.5179,0.5307,0.1167,-0.0298,0.529,0.5096,DRIFT-PARTIAL
12,Antisymmetry-Neutral,NullCorrectionControl,0.4452,0.4825,0.1052,-0.035,0.4596,0.4567,DRIFT-DEGRADING
16,Antisymmetry-Neutral,NullCorrectionControl,0.4035,0.4322,0.1128,-0.024,0.429,0.4123,DRIFT-DEGRADING
20,Antisymmetry-Neutral,NullCorrectionControl,0.3905,0.3998,0.1333,-0.0218,0.3817,0.3912,DRIFT-DEGRADING
24,Antisymmetry-Neutral,NullCorrectionControl,0.3418,0.3701,0.1176,-0.0189,0.3527,0.3553,DRIFT-FAILED
28,Antisymmetry-Neutral,NullCorrectionControl,0.3288,0.3444,0.1318,-0.0207,0.3223,0.3282,DRIFT-FAILED
32,Antisymmetry-Neutral,NullCorrectionControl,0.294,0.3269,0.138,-0.0134,0.3067,0.3084,DRIFT-FAILED
40,Antisymmetry-Neutral,NullCorrectionControl,0.2602,0.2851,0.1568,-0.0096,0.2741,0.2645,DRIFT-FAILED
48,Antisymmetry-Neutral,NullCorrectionControl,0.2415,0.2484,0.1729,-0.0121,0.2433,0.2372,DRIFT-FAILED
1,Projection-Antisymmetry-Neutral,BaselineDrift,0.7889,0.75,0.0564,0.055,0.7518,0.7556,DRIFT-COMPENSATED
2,Projection-Antisymmetry-Neutral,BaselineDrift,0.7658,0.7234,0.0592,0.0498,0.703,0.7399,DRIFT-COMPENSATED
4,Projection-Antisymmetry-Neutral,BaselineDrift,0.7122,0.6756,0.0465,0.0514,0.6881,0.6863,DRIFT-COMPENSATED
6,Projection-Antisymmetry-Neutral,BaselineDrift,0.6622,0.6636,0.0619,0.0402,0.6297,0.6267,DRIFT-COMPENSATED
8,Projection-Antisymmetry-Neutral,BaselineDrift,0.6237,0.6159,0.0469,0.0366,0.6112,0.606,DRIFT-PARTIAL
12,Projection-Antisymmetry-Neutral,BaselineDrift,0.5608,0.565,0.0537,0.0287,0.5513,0.5397,DRIFT-PARTIAL
16,Projection-Antisymmetry-Neutral,BaselineDrift,0.5175,0.5132,0.0501,0.0324,0.5008,0.4836,DRIFT-PARTIAL
20,Projection-Antisymmetry-Neutral,BaselineDrift,0.4764,0.4549,0.0609,0.0222,0.4432,0.4555,DRIFT-DEGRADING
24,Projection-Antisymmetry-Neutral,BaselineDrift,0.4347,0.4165,0.0651,0.0224,0.4116,0.4267,DRIFT-DEGRADING
28,Projection-Antisymmetry-Neutral,BaselineDrift,0.3954,0.4017,0.0694,0.0273,0.3849,0.3956,DRIFT-DEGRADING
32,Projection-Antisymmetry-Neutral,BaselineDrift,0.3834,0.3605,0.0843,0.0222,0.3529,0.3561,DRIFT-DEGRADING
40,Projection-Antisymmetry-Neutral,BaselineDrift,0.3233,0.316,0.0758,0.0166,0.3082,0.3184,DRIFT-FAILED
48,Projection-Antisymmetry-Neutral,BaselineDrift,0.2897,0.2836,0.0896,0.0146,0.2816,0.2905,DRIFT-FAILED
1,Projection-Antisymmetry-Neutral,DynamicScaleAlignment,0.8445,0.8607,0.005,0.1132,0.8222,0.7926,DRIFT-CORRECTED
2,Projection-Antisymmetry-Neutral,DynamicScaleAlignment,0.8167,0.8075,0.005,0.109,0.7851,0.7937,DRIFT-CORRECTED
4,Projection-Antisymmetry-Neutral,DynamicScaleAlignment,0.7569,0.7833,0.005,0.0926,0.7274,0.7212,DRIFT-COMPENSATED
6,Projection-Antisymmetry-Neutral,DynamicScaleAlignment,0.7145,0.7256,0.005,0.0759,0.7043,0.7001,DRIFT-COMPENSATED
8,Projection-Antisymmetry-Neutral,DynamicScaleAlignment,0.6714,0.6879,0.005,0.0729,0.6566,0.637,DRIFT-COMPENSATED
12,Projection-Antisymmetry-Neutral,DynamicScaleAlignment,0.6088,0.6043,0.005,0.0811,0.5974,0.5745,DRIFT-PARTIAL
16,Projection-Antisymmetry-Neutral,DynamicScaleAlignment,0.5484,0.5517,0.005,0.062,0.5374,0.5195,DRIFT-PARTIAL
20,Projection-Antisymmetry-Neutral,DynamicScaleAlignment,0.4986,0.5098,0.005,0.0568,0.5003,0.476,DRIFT-DEGRADING
24,Projection-Antisymmetry-Neutral,DynamicScaleAlignment,0.4561,0.4759,0.005,0.0606,0.4512,0.4454,DRIFT-DEGRADING
28,Projection-Antisymmetry-Neutral,DynamicScaleAlignment,0.4295,0.4358,0.005,0.0539,0.4167,0.4051,DRIFT-DEGRADING
32,Projection-Antisymmetry-Neutral,DynamicScaleAlignment,0.4078,0.4058,0.005,0.0545,0.384,0.3802,DRIFT-DEGRADING
40,Projection-Antisymmetry-Neutral,DynamicScaleAlignment,0.3489,0.3525,0.005,0.0462,0.3435,0.3325,DRIFT-FAILED
48,Projection-Antisymmetry-Neutral,DynamicScaleAlignment,0.3083,0.3231,0.005,0.035,0.3087,0.298,DRIFT-FAILED
1,Projection-Antisymmetry-Neutral,RecursiveSyncRefresh,0.8316,0.8227,0.005,0.0842,0.7874,0.8259,DRIFT-CORRECTED
2,Projection-Antisymmetry-Neutral,RecursiveSyncRefresh,0.7883,0.8077,0.005,0.0862,0.7654,0.7754,DRIFT-COMPENSATED
4,Projection-Antisymmetry-Neutral,RecursiveSyncRefresh,0.742,0.7424,0.0081,0.094,0.7366,0.7489,DRIFT-COMPENSATED
6,Projection-Antisymmetry-Neutral,RecursiveSyncRefresh,0.7015,0.7151,0.005,0.0714,0.6881,0.7035,DRIFT-COMPENSATED
8,Projection-Antisymmetry-Neutral,RecursiveSyncRefresh,0.6726,0.6592,0.005,0.0658,0.6598,0.668,DRIFT-COMPENSATED
12,Projection-Antisymmetry-Neutral,RecursiveSyncRefresh,0.5898,0.5869,0.005,0.0589,0.5786,0.5758,DRIFT-PARTIAL
16,Projection-Antisymmetry-Neutral,RecursiveSyncRefresh,0.5515,0.5423,0.005,0.0525,0.539,0.5402,DRIFT-PARTIAL
20,Projection-Antisymmetry-Neutral,RecursiveSyncRefresh,0.488,0.4896,0.0123,0.0623,0.4737,0.4809,DRIFT-DEGRADING
24,Projection-Antisymmetry-Neutral,RecursiveSyncRefresh,0.4492,0.4628,0.0139,0.0588,0.4472,0.4446,DRIFT-DEGRADING
28,Projection-Antisymmetry-Neutral,RecursiveSyncRefresh,0.4169,0.427,0.005,0.0407,0.4229,0.4293,DRIFT-DEGRADING
32,Projection-Antisymmetry-Neutral,RecursiveSyncRefresh,0.3856,0.4031,0.005,0.0516,0.38,0.3963,DRIFT-DEGRADING
40,Projection-Antisymmetry-Neutral,RecursiveSyncRefresh,0.3537,0.3442,0.0153,0.0394,0.3425,0.3467,DRIFT-DEGRADING
48,Projection-Antisymmetry-Neutral,RecursiveSyncRefresh,0.3108,0.3054,0.0085,0.0327,0.3086,0.3103,DRIFT-FAILED
1,Projection-Antisymmetry-Neutral,AdaptiveCrossScaleComp,0.8427,0.8589,0.005,0.1185,0.8507,0.8435,DRIFT-CORRECTED
2,Projection-Antisymmetry-Neutral,AdaptiveCrossScaleComp,0.8038,0.8375,0.005,0.1054,0.8218,0.8053,DRIFT-CORRECTED
4,Projection-Antisymmetry-Neutral,AdaptiveCrossScaleComp,0.7559,0.7894,0.005,0.1239,0.7697,0.7358,DRIFT-COMPENSATED
6,Projection-Antisymmetry-Neutral,AdaptiveCrossScaleComp,0.7265,0.7286,0.005,0.1032,0.7261,0.6888,DRIFT-COMPENSATED
8,Projection-Antisymmetry-Neutral,AdaptiveCrossScaleComp,0.6796,0.6829,0.005,0.0873,0.6727,0.6476,DRIFT-COMPENSATED
12,Projection-Antisymmetry-Neutral,AdaptiveCrossScaleComp,0.605,0.6127,0.005,0.0806,0.6167,0.5831,DRIFT-PARTIAL
16,Projection-Antisymmetry-Neutral,AdaptiveCrossScaleComp,0.5436,0.577,0.005,0.0785,0.5391,0.5403,DRIFT-PARTIAL
20,Projection-Antisymmetry-Neutral,AdaptiveCrossScaleComp,0.5073,0.523,0.005,0.0701,0.5091,0.5034,DRIFT-PARTIAL
24,Projection-Antisymmetry-Neutral,AdaptiveCrossScaleComp,0.475,0.4851,0.005,0.0633,0.452,0.4562,DRIFT-DEGRADING
28,Projection-Antisymmetry-Neutral,AdaptiveCrossScaleComp,0.441,0.436,0.005,0.0565,0.432,0.4183,DRIFT-DEGRADING
32,Projection-Antisymmetry-Neutral,AdaptiveCrossScaleComp,0.3974,0.4175,0.005,0.052,0.394,0.392,DRIFT-DEGRADING
40,Projection-Antisymmetry-Neutral,AdaptiveCrossScaleComp,0.3615,0.3697,0.005,0.0465,0.36,0.3568,DRIFT-DEGRADING
48,Projection-Antisymmetry-Neutral,AdaptiveCrossScaleComp,0.3146,0.32,0.005,0.0494,0.3194,0.3055,DRIFT-FAILED
1,Projection-Antisymmetry-Neutral,FragmentationSuppression,0.8036,0.8067,0.005,0.0747,0.7858,0.7832,DRIFT-CORRECTED
2,Projection-Antisymmetry-Neutral,FragmentationSuppression,0.7911,0.7985,0.005,0.0892,0.7603,0.7667,DRIFT-COMPENSATED
4,Projection-Antisymmetry-Neutral,FragmentationSuppression,0.7286,0.7398,0.005,0.0843,0.7177,0.7181,DRIFT-COMPENSATED
6,Projection-Antisymmetry-Neutral,FragmentationSuppression,0.6935,0.7073,0.005,0.0593,0.6826,0.6729,DRIFT-COMPENSATED
8,Projection-Antisymmetry-Neutral,FragmentationSuppression,0.6649,0.6579,0.005,0.073,0.6479,0.6465,DRIFT-COMPENSATED
12,Projection-Antisymmetry-Neutral,FragmentationSuppression,0.576,0.5989,0.005,0.0677,0.5753,0.5875,DRIFT-PARTIAL
16,Projection-Antisymmetry-Neutral,FragmentationSuppression,0.5298,0.5257,0.005,0.0568,0.5237,0.5093,DRIFT-PARTIAL
20,Projection-Antisymmetry-Neutral,FragmentationSuppression,0.4915,0.5017,0.005,0.0444,0.4779,0.4825,DRIFT-DEGRADING
24,Projection-Antisymmetry-Neutral,FragmentationSuppression,0.452,0.4516,0.005,0.0497,0.4504,0.4359,DRIFT-DEGRADING
28,Projection-Antisymmetry-Neutral,FragmentationSuppression,0.4239,0.4199,0.005,0.0414,0.4182,0.4128,DRIFT-DEGRADING
32,Projection-Antisymmetry-Neutral,FragmentationSuppression,0.3831,0.3872,0.005,0.0441,0.3818,0.3822,DRIFT-DEGRADING
40,Projection-Antisymmetry-Neutral,FragmentationSuppression,0.3492,0.3461,0.005,0.0341,0.3293,0.3337,DRIFT-FAILED
48,Projection-Antisymmetry-Neutral,FragmentationSuppression,0.3031,0.3128,0.005,0.0308,0.2957,0.2988,DRIFT-FAILED
1,Projection-Antisymmetry-Neutral,DelayedCoherenceReinforcement,0.8374,0.821,0.005,0.1255,0.8182,0.8465,DRIFT-CORRECTED
2,Projection-Antisymmetry-Neutral,DelayedCoherenceReinforcement,0.8134,0.7965,0.005,0.1062,0.7661,0.7923,DRIFT-CORRECTED
4,Projection-Antisymmetry-Neutral,DelayedCoherenceReinforcement,0.7492,0.7696,0.005,0.1062,0.7237,0.747,DRIFT-COMPENSATED
6,Projection-Antisymmetry-Neutral,DelayedCoherenceReinforcement,0.6931,0.7136,0.005,0.0995,0.6809,0.6995,DRIFT-COMPENSATED
8,Projection-Antisymmetry-Neutral,DelayedCoherenceReinforcement,0.6779,0.6611,0.005,0.0933,0.6594,0.6816,DRIFT-COMPENSATED
12,Projection-Antisymmetry-Neutral,DelayedCoherenceReinforcement,0.5841,0.5989,0.005,0.0767,0.5753,0.6019,DRIFT-PARTIAL
16,Projection-Antisymmetry-Neutral,DelayedCoherenceReinforcement,0.5488,0.5371,0.005,0.066,0.5317,0.5438,DRIFT-PARTIAL
20,Projection-Antisymmetry-Neutral,DelayedCoherenceReinforcement,0.4963,0.4933,0.005,0.0649,0.4913,0.5133,DRIFT-DEGRADING
24,Projection-Antisymmetry-Neutral,DelayedCoherenceReinforcement,0.4651,0.4548,0.005,0.0679,0.444,0.4586,DRIFT-DEGRADING
28,Projection-Antisymmetry-Neutral,DelayedCoherenceReinforcement,0.4206,0.4235,0.005,0.0552,0.4061,0.4244,DRIFT-DEGRADING
32,Projection-Antisymmetry-Neutral,DelayedCoherenceReinforcement,0.3959,0.4029,0.005,0.0612,0.396,0.4073,DRIFT-DEGRADING
40,Projection-Antisymmetry-Neutral,DelayedCoherenceReinforcement,0.3522,0.359,0.005,0.0502,0.3352,0.346,DRIFT-DEGRADING
48,Projection-Antisymmetry-Neutral,DelayedCoherenceReinforcement,0.309,0.3167,0.005,0.0469,0.3053,0.3112,DRIFT-FAILED
1,Projection-Antisymmetry-Neutral,NullCorrectionControl,0.6174,0.6537,0.092,-0.035,0.6567,0.6182,DRIFT-PARTIAL
2,Projection-Antisymmetry-Neutral,NullCorrectionControl,0.6078,0.6393,0.0955,-0.045,0.6101,0.6146,DRIFT-PARTIAL
4,Projection-Antisymmetry-Neutral,NullCorrectionControl,0.5678,0.6013,0.1042,-0.0264,0.5859,0.5816,DRIFT-PARTIAL
6,Projection-Antisymmetry-Neutral,NullCorrectionControl,0.5493,0.5675,0.1161,-0.0377,0.5444,0.5383,DRIFT-PARTIAL
8,Projection-Antisymmetry-Neutral,NullCorrectionControl,0.5005,0.5212,0.1189,-0.0271,0.509,0.5044,DRIFT-PARTIAL
12,Projection-Antisymmetry-Neutral,NullCorrectionControl,0.4564,0.4834,0.12,-0.0367,0.4532,0.4724,DRIFT-DEGRADING
16,Projection-Antisymmetry-Neutral,NullCorrectionControl,0.4097,0.4464,0.1286,-0.0306,0.4232,0.4236,DRIFT-DEGRADING
20,Projection-Antisymmetry-Neutral,NullCorrectionControl,0.3745,0.408,0.1195,-0.0219,0.3912,0.3931,DRIFT-DEGRADING
24,Projection-Antisymmetry-Neutral,NullCorrectionControl,0.3571,0.3604,0.1343,-0.0265,0.3669,0.3591,DRIFT-DEGRADING
28,Projection-Antisymmetry-Neutral,NullCorrectionControl,0.3272,0.3423,0.1272,-0.0227,0.3346,0.3176,DRIFT-FAILED
32,Projection-Antisymmetry-Neutral,NullCorrectionControl,0.3057,0.3255,0.1442,-0.011,0.3011,0.3054,DRIFT-FAILED
40,Projection-Antisymmetry-Neutral,NullCorrectionControl,0.2711,0.2744,0.1556,-0.0192,0.2797,0.2753,DRIFT-FAILED
