depth,sector,condition,rg_similarity,self_reference_fidelity,reflexive_coherence,self_simulation_alignment,reflexive_stabilization_gain,recursive_self_persistence,self_model_adaptation_strength,classification
768,Antisymmetry,NullSelfReferenceControl,0.2032,0.2056,0.1973,0.2045,0.1928,0.1918,0.1948,SELF-REF-FAILED
1024,Antisymmetry,NullSelfReferenceControl,0.1642,0.1621,0.1602,0.1606,0.1573,0.1505,0.1591,SELF-REF-FAILED
1536,Antisymmetry,NullSelfReferenceControl,0.1157,0.1174,0.1136,0.1147,0.1102,0.1127,0.1145,SELF-REF-FAILED
2048,Antisymmetry,NullSelfReferenceControl,0.0904,0.0889,0.0877,0.0889,0.0866,0.0851,0.0888,SELF-REF-FAILED
3072,Antisymmetry,NullSelfReferenceControl,0.0638,0.0633,0.0603,0.0624,0.0614,0.0586,0.0616,SELF-REF-FAILED
4096,Antisymmetry,NullSelfReferenceControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SELF-REF-FAILED
6144,Antisymmetry,NullSelfReferenceControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SELF-REF-FAILED
8192,Antisymmetry,NullSelfReferenceControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SELF-REF-FAILED
12288,Antisymmetry,NullSelfReferenceControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SELF-REF-FAILED
1,Neutral,SelfModelExtraction,0.9564,0.94,0.9245,0.898,0.91,0.9,0.92,SELF-REF-STABLE
2,Neutral,SelfModelExtraction,0.9413,0.9312,0.93,0.897,0.91,0.9,0.8994,SELF-REF-STABLE
4,Neutral,SelfModelExtraction,0.9504,0.9337,0.9227,0.8938,0.9007,0.9,0.8948,SELF-REF-STABLE
6,Neutral,SelfModelExtraction,0.9385,0.9263,0.918,0.9167,0.8815,0.8908,0.8829,SELF-REF-STABLE
8,Neutral,SelfModelExtraction,0.9477,0.9167,0.9134,0.8921,0.8772,0.8906,0.877,SELF-REF-STABLE
12,Neutral,SelfModelExtraction,0.9086,0.8911,0.9047,0.8629,0.8679,0.8558,0.8906,SELF-REF-BOUNDED
16,Neutral,SelfModelExtraction,0.9253,0.8801,0.9013,0.8453,0.8685,0.8538,0.8573,SELF-REF-BOUNDED
20,Neutral,SelfModelExtraction,0.9035,0.8805,0.8766,0.8611,0.8375,0.8567,0.8459,SELF-REF-BOUNDED
24,Neutral,SelfModelExtraction,0.8956,0.8762,0.8625,0.8502,0.8273,0.8181,0.8261,SELF-REF-BOUNDED
32,Neutral,SelfModelExtraction,0.8713,0.8489,0.834,0.8316,0.8119,0.7937,0.8045,SELF-REF-BOUNDED
40,Neutral,SelfModelExtraction,0.8301,0.8015,0.8022,0.7892,0.7689,0.7892,0.7873,SELF-REF-BOUNDED
48,Neutral,SelfModelExtraction,0.8134,0.7919,0.7964,0.7553,0.7526,0.7681,0.7548,SELF-REF-PARTIAL
64,Neutral,SelfModelExtraction,0.765,0.7653,0.7351,0.7253,0.7142,0.7183,0.7289,SELF-REF-PARTIAL
80,Neutral,SelfModelExtraction,0.7251,0.7249,0.7086,0.6978,0.6911,0.6748,0.7109,SELF-REF-PARTIAL
96,Neutral,SelfModelExtraction,0.6883,0.6726,0.6918,0.673,0.6553,0.6535,0.664,SELF-REF-DEGRADING
128,Neutral,SelfModelExtraction,0.6267,0.6338,0.6101,0.6013,0.6033,0.6016,0.5988,SELF-REF-DEGRADING
160,Neutral,SelfModelExtraction,0.5931,0.5663,0.5817,0.5673,0.5607,0.5415,0.57,SELF-REF-DEGRADING
192,Neutral,SelfModelExtraction,0.552,0.5415,0.5358,0.5105,0.521,0.5214,0.5216,SELF-REF-FAILED
256,Neutral,SelfModelExtraction,0.4799,0.4759,0.4704,0.4573,0.4581,0.4511,0.4545,SELF-REF-FAILED
320,Neutral,SelfModelExtraction,0.428,0.415,0.4138,0.399,0.3963,0.3999,0.4111,SELF-REF-FAILED
512,Neutral,SelfModelExtraction,0.3126,0.3141,0.3106,0.3065,0.3017,0.3003,0.2982,SELF-REF-FAILED
768,Neutral,SelfModelExtraction,0.2375,0.2324,0.2272,0.2206,0.2179,0.2194,0.2252,SELF-REF-FAILED
1024,Neutral,SelfModelExtraction,0.1906,0.1871,0.187,0.1836,0.1785,0.1817,0.1805,SELF-REF-FAILED
1536,Neutral,SelfModelExtraction,0.1344,0.1332,0.1307,0.126,0.1254,0.1269,0.1271,SELF-REF-FAILED
2048,Neutral,SelfModelExtraction,0.1052,0.1036,0.1015,0.0997,0.0965,0.0988,0.0976,SELF-REF-FAILED
3072,Neutral,SelfModelExtraction,0.0734,0.0723,0.0709,0.0689,0.0668,0.0675,0.0693,SELF-REF-FAILED
4096,Neutral,SelfModelExtraction,0.0545,0.055,0.0541,0.0516,0.0513,0.0527,0.052,SELF-REF-FAILED
6144,Neutral,SelfModelExtraction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SELF-REF-FAILED
8192,Neutral,SelfModelExtraction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SELF-REF-FAILED
12288,Neutral,SelfModelExtraction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SELF-REF-FAILED
1,Neutral,ReflexiveRepresentationFidelity,0.96,0.94,0.93,0.92,0.91,0.8923,0.92,SELF-REF-STABLE
2,Neutral,ReflexiveRepresentationFidelity,0.96,0.9362,0.93,0.92,0.9095,0.9,0.9164,SELF-REF-STABLE
4,Neutral,ReflexiveRepresentationFidelity,0.9529,0.94,0.93,0.9127,0.9018,0.9,0.92,SELF-REF-STABLE
6,Neutral,ReflexiveRepresentationFidelity,0.96,0.9377,0.909,0.8934,0.9003,0.9,0.9052,SELF-REF-STABLE
8,Neutral,ReflexiveRepresentationFidelity,0.9524,0.9104,0.9025,0.9059,0.8905,0.8956,0.9061,SELF-REF-STABLE
12,Neutral,ReflexiveRepresentationFidelity,0.9303,0.9283,0.8847,0.8697,0.8621,0.8753,0.8918,SELF-REF-BOUNDED
16,Neutral,ReflexiveRepresentationFidelity,0.9108,0.8854,0.8714,0.867,0.8464,0.8394,0.8737,SELF-REF-BOUNDED
20,Neutral,ReflexiveRepresentationFidelity,0.8915,0.8891,0.8802,0.8562,0.8399,0.8378,0.854,SELF-REF-BOUNDED
24,Neutral,ReflexiveRepresentationFidelity,0.8831,0.862,0.8464,0.8405,0.8386,0.8451,0.8535,SELF-REF-BOUNDED
32,Neutral,ReflexiveRepresentationFidelity,0.8756,0.8434,0.8473,0.8278,0.7979,0.7986,0.827,SELF-REF-BOUNDED
40,Neutral,ReflexiveRepresentationFidelity,0.8368,0.8364,0.7944,0.8167,0.7928,0.7937,0.8055,SELF-REF-PARTIAL
48,Neutral,ReflexiveRepresentationFidelity,0.8257,0.8044,0.783,0.7784,0.764,0.7474,0.7651,SELF-REF-PARTIAL
64,Neutral,ReflexiveRepresentationFidelity,0.7655,0.7649,0.7437,0.7344,0.7387,0.7367,0.7426,SELF-REF-PARTIAL
80,Neutral,ReflexiveRepresentationFidelity,0.7402,0.7408,0.7114,0.7136,0.7048,0.7016,0.7028,SELF-REF-PARTIAL
96,Neutral,ReflexiveRepresentationFidelity,0.6961,0.6902,0.6813,0.6759,0.6747,0.6433,0.6784,SELF-REF-DEGRADING
128,Neutral,ReflexiveRepresentationFidelity,0.6502,0.6418,0.6313,0.6164,0.5971,0.5873,0.6261,SELF-REF-DEGRADING
160,Neutral,ReflexiveRepresentationFidelity,0.5995,0.58,0.5662,0.563,0.5602,0.5583,0.5721,SELF-REF-DEGRADING
192,Neutral,ReflexiveRepresentationFidelity,0.557,0.5339,0.5378,0.515,0.5155,0.5233,0.5303,SELF-REF-FAILED
256,Neutral,ReflexiveRepresentationFidelity,0.4719,0.4823,0.4653,0.4675,0.4476,0.4456,0.4584,SELF-REF-FAILED
320,Neutral,ReflexiveRepresentationFidelity,0.4171,0.4273,0.4108,0.4102,0.4024,0.4056,0.4124,SELF-REF-FAILED
512,Neutral,ReflexiveRepresentationFidelity,0.3143,0.314,0.3087,0.3101,0.2944,0.291,0.3089,SELF-REF-FAILED
768,Neutral,ReflexiveRepresentationFidelity,0.2402,0.2354,0.2346,0.2302,0.2257,0.2245,0.2295,SELF-REF-FAILED
1024,Neutral,ReflexiveRepresentationFidelity,0.1874,0.1853,0.185,0.1811,0.1817,0.1743,0.179,SELF-REF-FAILED
1536,Neutral,ReflexiveRepresentationFidelity,0.1377,0.1354,0.1298,0.1284,0.1286,0.1245,0.1272,SELF-REF-FAILED
2048,Neutral,ReflexiveRepresentationFidelity,0.1053,0.1039,0.1002,0.0997,0.0998,0.0985,0.0996,SELF-REF-FAILED
3072,Neutral,ReflexiveRepresentationFidelity,0.0722,0.0734,0.071,0.07,0.0702,0.0673,0.0699,SELF-REF-FAILED
4096,Neutral,ReflexiveRepresentationFidelity,0.0559,0.0546,0.0537,0.0534,0.0519,0.0521,0.0533,SELF-REF-FAILED
6144,Neutral,ReflexiveRepresentationFidelity,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SELF-REF-FAILED
8192,Neutral,ReflexiveRepresentationFidelity,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SELF-REF-FAILED
12288,Neutral,ReflexiveRepresentationFidelity,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SELF-REF-FAILED
1,Neutral,RecursiveSelfSimulationAnalysis,0.9485,0.9396,0.93,0.92,0.8886,0.8768,0.91,SELF-REF-STABLE
2,Neutral,RecursiveSelfSimulationAnalysis,0.9469,0.94,0.9044,0.92,0.91,0.8997,0.92,SELF-REF-STABLE
4,Neutral,RecursiveSelfSimulationAnalysis,0.9455,0.94,0.9225,0.92,0.91,0.8997,0.8947,SELF-REF-STABLE
6,Neutral,RecursiveSelfSimulationAnalysis,0.9319,0.9361,0.8968,0.8993,0.9063,0.8672,0.886,SELF-REF-BOUNDED
8,Neutral,RecursiveSelfSimulationAnalysis,0.9331,0.9204,0.8861,0.9055,0.872,0.8613,0.9034,SELF-REF-BOUNDED
12,Neutral,RecursiveSelfSimulationAnalysis,0.9151,0.905,0.9002,0.8866,0.8511,0.8591,0.8892,SELF-REF-STABLE
16,Neutral,RecursiveSelfSimulationAnalysis,0.8972,0.8786,0.8618,0.8695,0.8452,0.8411,0.8595,SELF-REF-BOUNDED
20,Neutral,RecursiveSelfSimulationAnalysis,0.905,0.8869,0.8554,0.8524,0.8587,0.8503,0.8535,SELF-REF-BOUNDED
24,Neutral,RecursiveSelfSimulationAnalysis,0.8615,0.8583,0.831,0.8473,0.8315,0.8271,0.8406,SELF-REF-BOUNDED
32,Neutral,RecursiveSelfSimulationAnalysis,0.8539,0.8321,0.8305,0.817,0.7964,0.805,0.7971,SELF-REF-BOUNDED
40,Neutral,RecursiveSelfSimulationAnalysis,0.8179,0.8049,0.8133,0.8157,0.7677,0.7642,0.7896,SELF-REF-BOUNDED
48,Neutral,RecursiveSelfSimulationAnalysis,0.8045,0.781,0.7708,0.8029,0.7779,0.7454,0.7621,SELF-REF-PARTIAL
64,Neutral,RecursiveSelfSimulationAnalysis,0.7623,0.7546,0.7484,0.7454,0.7128,0.7096,0.7178,SELF-REF-PARTIAL
80,Neutral,RecursiveSelfSimulationAnalysis,0.7179,0.7176,0.7088,0.7194,0.6937,0.685,0.6945,SELF-REF-PARTIAL
96,Neutral,RecursiveSelfSimulationAnalysis,0.6908,0.6731,0.6648,0.6656,0.6543,0.6453,0.6743,SELF-REF-DEGRADING
128,Neutral,RecursiveSelfSimulationAnalysis,0.6382,0.6227,0.6264,0.6199,0.6005,0.5946,0.6177,SELF-REF-DEGRADING
160,Neutral,RecursiveSelfSimulationAnalysis,0.5874,0.5703,0.5661,0.5836,0.5554,0.5475,0.5641,SELF-REF-DEGRADING
192,Neutral,RecursiveSelfSimulationAnalysis,0.538,0.5364,0.5265,0.5354,0.5217,0.5034,0.5289,SELF-REF-FAILED
256,Neutral,RecursiveSelfSimulationAnalysis,0.4668,0.4609,0.4667,0.4544,0.4466,0.4501,0.4614,SELF-REF-FAILED
320,Neutral,RecursiveSelfSimulationAnalysis,0.4203,0.4082,0.4,0.4111,0.3897,0.4007,0.4064,SELF-REF-FAILED
512,Neutral,RecursiveSelfSimulationAnalysis,0.3195,0.3046,0.3103,0.3051,0.3015,0.2878,0.3046,SELF-REF-FAILED
768,Neutral,RecursiveSelfSimulationAnalysis,0.2345,0.234,0.2273,0.2302,0.2189,0.2157,0.2288,SELF-REF-FAILED
1024,Neutral,RecursiveSelfSimulationAnalysis,0.1889,0.1846,0.1795,0.1864,0.1753,0.1777,0.1806,SELF-REF-FAILED
1536,Neutral,RecursiveSelfSimulationAnalysis,0.1328,0.1303,0.1276,0.1328,0.1275,0.123,0.1296,SELF-REF-FAILED
2048,Neutral,RecursiveSelfSimulationAnalysis,0.1059,0.1031,0.0994,0.1015,0.0976,0.0985,0.1017,SELF-REF-FAILED
3072,Neutral,RecursiveSelfSimulationAnalysis,0.0719,0.0724,0.0712,0.0697,0.0691,0.067,0.0684,SELF-REF-FAILED
4096,Neutral,RecursiveSelfSimulationAnalysis,0.0546,0.055,0.0522,0.0542,0.0527,0.0517,0.0538,SELF-REF-FAILED
6144,Neutral,RecursiveSelfSimulationAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SELF-REF-FAILED
8192,Neutral,RecursiveSelfSimulationAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SELF-REF-FAILED
12288,Neutral,RecursiveSelfSimulationAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SELF-REF-FAILED
1,Neutral,SelfModelStabilizationGain,0.96,0.9329,0.93,0.92,0.9092,0.8763,0.92,SELF-REF-STABLE
2,Neutral,SelfModelStabilizationGain,0.9572,0.9332,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
4,Neutral,SelfModelStabilizationGain,0.9303,0.9109,0.921,0.8959,0.91,0.8848,0.9176,SELF-REF-STABLE
6,Neutral,SelfModelStabilizationGain,0.9493,0.9173,0.8994,0.8955,0.8883,0.895,0.9103,SELF-REF-BOUNDED
8,Neutral,SelfModelStabilizationGain,0.9261,0.9081,0.8983,0.895,0.897,0.8843,0.9118,SELF-REF-BOUNDED
12,Neutral,SelfModelStabilizationGain,0.9157,0.9094,0.9012,0.8858,0.8961,0.8399,0.8789,SELF-REF-STABLE
16,Neutral,SelfModelStabilizationGain,0.8841,0.899,0.8911,0.8698,0.8747,0.841,0.8678,SELF-REF-BOUNDED
20,Neutral,SelfModelStabilizationGain,0.9015,0.8551,0.8502,0.8654,0.8785,0.8194,0.8649,SELF-REF-BOUNDED
24,Neutral,SelfModelStabilizationGain,0.8617,0.848,0.8509,0.8511,0.8414,0.8077,0.8678,SELF-REF-BOUNDED
32,Neutral,SelfModelStabilizationGain,0.8358,0.8323,0.8264,0.7984,0.8341,0.7858,0.8329,SELF-REF-BOUNDED
40,Neutral,SelfModelStabilizationGain,0.8257,0.7939,0.7935,0.7878,0.8029,0.7695,0.792,SELF-REF-PARTIAL
48,Neutral,SelfModelStabilizationGain,0.81,0.8007,0.7936,0.7709,0.7819,0.7626,0.7878,SELF-REF-PARTIAL
64,Neutral,SelfModelStabilizationGain,0.7558,0.7404,0.7503,0.7268,0.7399,0.7244,0.7546,SELF-REF-PARTIAL
80,Neutral,SelfModelStabilizationGain,0.7273,0.7127,0.7074,0.684,0.7005,0.6945,0.6973,SELF-REF-PARTIAL
96,Neutral,SelfModelStabilizationGain,0.6848,0.6855,0.6637,0.6763,0.6621,0.6522,0.6696,SELF-REF-DEGRADING
128,Neutral,SelfModelStabilizationGain,0.6417,0.6273,0.6108,0.6045,0.6264,0.5967,0.6196,SELF-REF-DEGRADING
160,Neutral,SelfModelStabilizationGain,0.5875,0.5827,0.5704,0.5586,0.5723,0.5465,0.5706,SELF-REF-DEGRADING
192,Neutral,SelfModelStabilizationGain,0.5341,0.5208,0.5314,0.5224,0.5209,0.5131,0.5297,SELF-REF-FAILED
256,Neutral,SelfModelStabilizationGain,0.4723,0.472,0.4499,0.4625,0.4566,0.4412,0.4572,SELF-REF-FAILED
320,Neutral,SelfModelStabilizationGain,0.4115,0.4149,0.402,0.4082,0.409,0.3886,0.4175,SELF-REF-FAILED
512,Neutral,SelfModelStabilizationGain,0.3184,0.3105,0.3095,0.3026,0.307,0.2933,0.305,SELF-REF-FAILED
768,Neutral,SelfModelStabilizationGain,0.2383,0.2327,0.2282,0.2269,0.2255,0.2177,0.2308,SELF-REF-FAILED
1024,Neutral,SelfModelStabilizationGain,0.1858,0.183,0.1851,0.1817,0.1796,0.1732,0.1834,SELF-REF-FAILED
1536,Neutral,SelfModelStabilizationGain,0.1351,0.1338,0.1275,0.127,0.1309,0.1254,0.1316,SELF-REF-FAILED
2048,Neutral,SelfModelStabilizationGain,0.1031,0.101,0.1013,0.1005,0.1011,0.0961,0.1021,SELF-REF-FAILED
3072,Neutral,SelfModelStabilizationGain,0.0708,0.0718,0.07,0.0703,0.0684,0.0674,0.07,SELF-REF-FAILED
4096,Neutral,SelfModelStabilizationGain,0.0538,0.0527,0.0526,0.0516,0.0525,0.0506,0.0534,SELF-REF-FAILED
6144,Neutral,SelfModelStabilizationGain,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SELF-REF-FAILED
8192,Neutral,SelfModelStabilizationGain,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SELF-REF-FAILED
12288,Neutral,SelfModelStabilizationGain,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SELF-REF-FAILED
1,Neutral,RecursiveReflexivePersistence,0.9309,0.9267,0.93,0.92,0.91,0.9,0.9179,SELF-REF-STABLE
2,Neutral,RecursiveReflexivePersistence,0.9423,0.9397,0.9103,0.92,0.9011,0.9,0.915,SELF-REF-STABLE
4,Neutral,RecursiveReflexivePersistence,0.9253,0.9146,0.9226,0.9048,0.8954,0.9,0.8955,SELF-REF-STABLE
6,Neutral,RecursiveReflexivePersistence,0.9261,0.8992,0.9028,0.8855,0.893,0.9,0.8786,SELF-REF-BOUNDED
8,Neutral,RecursiveReflexivePersistence,0.9253,0.9152,0.898,0.9032,0.8902,0.8812,0.8785,SELF-REF-BOUNDED
12,Neutral,RecursiveReflexivePersistence,0.9202,0.8949,0.8922,0.8953,0.8771,0.884,0.873,SELF-REF-BOUNDED
16,Neutral,RecursiveReflexivePersistence,0.891,0.896,0.8662,0.8547,0.8608,0.8476,0.8732,SELF-REF-BOUNDED
20,Neutral,RecursiveReflexivePersistence,0.8776,0.8697,0.8419,0.8601,0.8411,0.8418,0.8357,SELF-REF-BOUNDED
24,Neutral,RecursiveReflexivePersistence,0.8547,0.8397,0.8638,0.8512,0.8123,0.8444,0.8301,SELF-REF-BOUNDED
32,Neutral,RecursiveReflexivePersistence,0.8272,0.8222,0.8343,0.8101,0.8155,0.8218,0.8059,SELF-REF-BOUNDED
40,Neutral,RecursiveReflexivePersistence,0.831,0.8158,0.8007,0.7954,0.7841,0.7949,0.7808,SELF-REF-BOUNDED
48,Neutral,RecursiveReflexivePersistence,0.7955,0.7788,0.7698,0.7675,0.7722,0.7727,0.7556,SELF-REF-PARTIAL
64,Neutral,RecursiveReflexivePersistence,0.7536,0.7385,0.7423,0.736,0.7167,0.719,0.7222,SELF-REF-PARTIAL
80,Neutral,RecursiveReflexivePersistence,0.7122,0.7177,0.6946,0.6866,0.7003,0.6838,0.6971,SELF-REF-DEGRADING
96,Neutral,RecursiveReflexivePersistence,0.6838,0.6732,0.6574,0.656,0.6694,0.6616,0.6508,SELF-REF-DEGRADING
128,Neutral,RecursiveReflexivePersistence,0.6176,0.61,0.6042,0.5966,0.6066,0.6136,0.6152,SELF-REF-DEGRADING
160,Neutral,RecursiveReflexivePersistence,0.5754,0.5675,0.5635,0.5687,0.5587,0.5695,0.5668,SELF-REF-DEGRADING
192,Neutral,RecursiveReflexivePersistence,0.5443,0.5303,0.5354,0.5245,0.5217,0.5275,0.5293,SELF-REF-FAILED
256,Neutral,RecursiveReflexivePersistence,0.4685,0.4712,0.4663,0.4487,0.4498,0.4481,0.4617,SELF-REF-FAILED
320,Neutral,RecursiveReflexivePersistence,0.4228,0.4164,0.4086,0.405,0.3891,0.4061,0.4073,SELF-REF-FAILED
512,Neutral,RecursiveReflexivePersistence,0.3054,0.3126,0.3103,0.3038,0.2982,0.3068,0.306,SELF-REF-FAILED
768,Neutral,RecursiveReflexivePersistence,0.2309,0.23,0.2257,0.2287,0.2267,0.228,0.2256,SELF-REF-FAILED
1024,Neutral,RecursiveReflexivePersistence,0.1858,0.1847,0.184,0.1825,0.1758,0.1788,0.1828,SELF-REF-FAILED
1536,Neutral,RecursiveReflexivePersistence,0.1309,0.1289,0.1284,0.1268,0.1271,0.1277,0.1295,SELF-REF-FAILED
2048,Neutral,RecursiveReflexivePersistence,0.1035,0.1031,0.1017,0.098,0.1002,0.1007,0.0993,SELF-REF-FAILED
3072,Neutral,RecursiveReflexivePersistence,0.0715,0.0705,0.0693,0.0688,0.0674,0.0693,0.0687,SELF-REF-FAILED
4096,Neutral,RecursiveReflexivePersistence,0.0539,0.0532,0.0533,0.0529,0.0522,0.0536,0.0526,SELF-REF-FAILED
6144,Neutral,RecursiveReflexivePersistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SELF-REF-FAILED
8192,Neutral,RecursiveReflexivePersistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SELF-REF-FAILED
12288,Neutral,RecursiveReflexivePersistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SELF-REF-FAILED
1,Neutral,SelfReferentialPerturbationResponse,0.9514,0.9177,0.93,0.9097,0.91,0.8895,0.92,SELF-REF-STABLE
2,Neutral,SelfReferentialPerturbationResponse,0.9518,0.9279,0.93,0.9063,0.9054,0.9,0.92,SELF-REF-STABLE
4,Neutral,SelfReferentialPerturbationResponse,0.9157,0.9329,0.9151,0.9068,0.91,0.9,0.9133,SELF-REF-STABLE
6,Neutral,SelfReferentialPerturbationResponse,0.9196,0.9073,0.9036,0.9164,0.8977,0.8831,0.8994,SELF-REF-STABLE
8,Neutral,SelfReferentialPerturbationResponse,0.903,0.9232,0.9195,0.9036,0.8928,0.864,0.9133,SELF-REF-STABLE
12,Neutral,SelfReferentialPerturbationResponse,0.9164,0.9023,0.9072,0.8959,0.8936,0.8824,0.9031,SELF-REF-STABLE
16,Neutral,SelfReferentialPerturbationResponse,0.8908,0.8934,0.8666,0.8679,0.8689,0.8359,0.8786,SELF-REF-BOUNDED
20,Neutral,SelfReferentialPerturbationResponse,0.8654,0.8591,0.8742,0.855,0.8363,0.8378,0.8445,SELF-REF-BOUNDED
24,Neutral,SelfReferentialPerturbationResponse,0.8704,0.8624,0.8729,0.8238,0.8402,0.8249,0.8302,SELF-REF-BOUNDED
32,Neutral,SelfReferentialPerturbationResponse,0.8561,0.8357,0.8469,0.8173,0.8153,0.7897,0.8297,SELF-REF-BOUNDED
40,Neutral,SelfReferentialPerturbationResponse,0.824,0.8094,0.8168,0.7821,0.7824,0.7686,0.7895,SELF-REF-BOUNDED
48,Neutral,SelfReferentialPerturbationResponse,0.782,0.7911,0.8006,0.7823,0.7787,0.7732,0.7775,SELF-REF-PARTIAL
64,Neutral,SelfReferentialPerturbationResponse,0.7372,0.745,0.7502,0.7177,0.7172,0.7368,0.7236,SELF-REF-PARTIAL
80,Neutral,SelfReferentialPerturbationResponse,0.7156,0.7056,0.7103,0.6878,0.7025,0.6765,0.7141,SELF-REF-PARTIAL
96,Neutral,SelfReferentialPerturbationResponse,0.6899,0.6841,0.6817,0.6611,0.6515,0.6486,0.6626,SELF-REF-DEGRADING
128,Neutral,SelfReferentialPerturbationResponse,0.6262,0.6143,0.6095,0.6164,0.6004,0.6026,0.6109,SELF-REF-DEGRADING
160,Neutral,SelfReferentialPerturbationResponse,0.5879,0.5809,0.5831,0.5558,0.553,0.5533,0.5564,SELF-REF-DEGRADING
192,Neutral,SelfReferentialPerturbationResponse,0.5244,0.5293,0.5415,0.5289,0.5103,0.5161,0.525,SELF-REF-FAILED
256,Neutral,SelfReferentialPerturbationResponse,0.4621,0.4616,0.4691,0.4575,0.4459,0.4422,0.4652,SELF-REF-FAILED
320,Neutral,SelfReferentialPerturbationResponse,0.4188,0.4082,0.4079,0.4022,0.4057,0.4058,0.4059,SELF-REF-FAILED
512,Neutral,SelfReferentialPerturbationResponse,0.3058,0.3126,0.3104,0.3038,0.2963,0.3016,0.2987,SELF-REF-FAILED
768,Neutral,SelfReferentialPerturbationResponse,0.229,0.2298,0.2264,0.2238,0.2222,0.2189,0.224,SELF-REF-FAILED
1024,Neutral,SelfReferentialPerturbationResponse,0.1817,0.1829,0.1846,0.1783,0.1815,0.1816,0.1795,SELF-REF-FAILED
1536,Neutral,SelfReferentialPerturbationResponse,0.1312,0.1328,0.1283,0.1266,0.1289,0.1291,0.1298,SELF-REF-FAILED
2048,Neutral,SelfReferentialPerturbationResponse,0.104,0.0999,0.1017,0.1004,0.0975,0.1,0.1004,SELF-REF-FAILED
3072,Neutral,SelfReferentialPerturbationResponse,0.0696,0.0717,0.0698,0.0692,0.0696,0.068,0.0706,SELF-REF-FAILED
4096,Neutral,SelfReferentialPerturbationResponse,0.0535,0.0529,0.0532,0.0528,0.0526,0.0514,0.0528,SELF-REF-FAILED
6144,Neutral,SelfReferentialPerturbationResponse,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SELF-REF-FAILED
8192,Neutral,SelfReferentialPerturbationResponse,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SELF-REF-FAILED
12288,Neutral,SelfReferentialPerturbationResponse,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SELF-REF-FAILED
1,Neutral,NullSelfReferenceControl,0.7663,0.7786,0.7527,0.7671,0.7242,0.7281,0.7356,SELF-REF-PARTIAL
2,Neutral,NullSelfReferenceControl,0.7478,0.7603,0.7385,0.7821,0.7444,0.7062,0.7557,SELF-REF-PARTIAL
4,Neutral,NullSelfReferenceControl,0.7488,0.7639,0.7527,0.7725,0.7314,0.7316,0.7181,SELF-REF-PARTIAL
6,Neutral,NullSelfReferenceControl,0.7393,0.7563,0.7252,0.758,0.7274,0.7002,0.7143,SELF-REF-PARTIAL
8,Neutral,NullSelfReferenceControl,0.7498,0.7424,0.7344,0.753,0.7284,0.6939,0.7416,SELF-REF-PARTIAL
12,Neutral,NullSelfReferenceControl,0.73,0.7193,0.7087,0.72,0.7155,0.6968,0.708,SELF-REF-PARTIAL
16,Neutral,NullSelfReferenceControl,0.7023,0.7334,0.7114,0.7163,0.678,0.6868,0.7152,SELF-REF-PARTIAL
20,Neutral,NullSelfReferenceControl,0.706,0.7192,0.6893,0.7014,0.685,0.6578,0.7013,SELF-REF-DEGRADING
24,Neutral,NullSelfReferenceControl,0.6799,0.6877,0.7099,0.6901,0.6613,0.6583,0.6993,SELF-REF-DEGRADING
32,Neutral,NullSelfReferenceControl,0.6711,0.6933,0.677,0.6746,0.6647,0.6593,0.6684,SELF-REF-DEGRADING
40,Neutral,NullSelfReferenceControl,0.6461,0.652,0.6637,0.6486,0.6345,0.632,0.6483,SELF-REF-DEGRADING
48,Neutral,NullSelfReferenceControl,0.652,0.6537,0.6213,0.6364,0.6268,0.5993,0.6204,SELF-REF-DEGRADING
64,Neutral,NullSelfReferenceControl,0.5999,0.6002,0.6162,0.6156,0.5993,0.5931,0.5829,SELF-REF-DEGRADING
80,Neutral,NullSelfReferenceControl,0.5721,0.5729,0.5656,0.5724,0.558,0.5637,0.5742,SELF-REF-DEGRADING
96,Neutral,NullSelfReferenceControl,0.5379,0.5413,0.5368,0.5433,0.5471,0.5305,0.5493,SELF-REF-FAILED
128,Neutral,NullSelfReferenceControl,0.4902,0.5175,0.5124,0.5041,0.475,0.4718,0.5066,SELF-REF-FAILED
