depth,sector,condition,rg_similarity,predictive_stability,anticipatory_coherence,perturbation_forecast_accuracy,future_state_alignment,recursive_prediction_persistence,adaptive_anticipation_gain,classification
20,Neutral,PredictiveStabilizationAnalysis,0.8224,0.8118,0.8188,0.7956,0.7704,0.7882,0.7749,PREDICTIVE-BOUNDED
24,Neutral,PredictiveStabilizationAnalysis,0.8225,0.7743,0.7952,0.77,0.7581,0.7487,0.7509,PREDICTIVE-PARTIAL
32,Neutral,PredictiveStabilizationAnalysis,0.7647,0.7418,0.7326,0.7333,0.7189,0.7037,0.7212,PREDICTIVE-PARTIAL
40,Neutral,PredictiveStabilizationAnalysis,0.7424,0.7234,0.7134,0.685,0.6758,0.6887,0.7023,PREDICTIVE-PARTIAL
48,Neutral,PredictiveStabilizationAnalysis,0.6862,0.6773,0.678,0.6583,0.662,0.6539,0.6455,PREDICTIVE-DEGRADING
64,Neutral,PredictiveStabilizationAnalysis,0.6465,0.6294,0.616,0.6033,0.5896,0.5841,0.5968,PREDICTIVE-DEGRADING
80,Neutral,PredictiveStabilizationAnalysis,0.5762,0.58,0.5565,0.555,0.5459,0.5485,0.5638,PREDICTIVE-DEGRADING
96,Neutral,PredictiveStabilizationAnalysis,0.552,0.5371,0.534,0.5093,0.5129,0.5072,0.5171,PREDICTIVE-FAILED
128,Neutral,PredictiveStabilizationAnalysis,0.4713,0.4721,0.4657,0.4438,0.4438,0.445,0.4434,PREDICTIVE-FAILED
160,Neutral,PredictiveStabilizationAnalysis,0.4268,0.413,0.4064,0.3901,0.3915,0.3946,0.3957,PREDICTIVE-FAILED
192,Neutral,PredictiveStabilizationAnalysis,0.3726,0.3653,0.3722,0.3652,0.3473,0.3481,0.3557,PREDICTIVE-FAILED
256,Neutral,PredictiveStabilizationAnalysis,0.3199,0.302,0.3077,0.2944,0.2961,0.2974,0.3008,PREDICTIVE-FAILED
320,Neutral,PredictiveStabilizationAnalysis,0.2711,0.2637,0.2644,0.2574,0.256,0.247,0.2533,PREDICTIVE-FAILED
512,Neutral,PredictiveStabilizationAnalysis,0.1867,0.1848,0.1821,0.1772,0.1734,0.1768,0.1784,PREDICTIVE-FAILED
768,Neutral,PredictiveStabilizationAnalysis,0.1358,0.1322,0.128,0.1281,0.1265,0.1278,0.1286,PREDICTIVE-FAILED
1024,Neutral,PredictiveStabilizationAnalysis,0.106,0.1015,0.1016,0.0977,0.0958,0.0987,0.0994,PREDICTIVE-FAILED
1536,Neutral,PredictiveStabilizationAnalysis,0.0708,0.0693,0.0696,0.0688,0.0671,0.068,0.0685,PREDICTIVE-FAILED
2048,Neutral,PredictiveStabilizationAnalysis,0.055,0.0534,0.0524,0.0511,0.0513,0.0518,0.0522,PREDICTIVE-FAILED
3072,Neutral,PredictiveStabilizationAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
4096,Neutral,PredictiveStabilizationAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
6144,Neutral,PredictiveStabilizationAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
1,Neutral,AnticipatoryRoutingTracking,0.9475,0.94,0.9277,0.9074,0.893,0.9,0.9113,PREDICTIVE-STABLE
2,Neutral,AnticipatoryRoutingTracking,0.9476,0.9345,0.9296,0.8941,0.8971,0.8783,0.8999,PREDICTIVE-STABLE
4,Neutral,AnticipatoryRoutingTracking,0.9482,0.9181,0.9024,0.8911,0.8982,0.8781,0.8952,PREDICTIVE-STABLE
6,Neutral,AnticipatoryRoutingTracking,0.9105,0.8903,0.8917,0.8718,0.8876,0.8453,0.8993,PREDICTIVE-BOUNDED
8,Neutral,AnticipatoryRoutingTracking,0.9135,0.8777,0.8889,0.8684,0.864,0.8607,0.8772,PREDICTIVE-BOUNDED
12,Neutral,AnticipatoryRoutingTracking,0.8818,0.844,0.8736,0.8561,0.8173,0.8126,0.8424,PREDICTIVE-BOUNDED
16,Neutral,AnticipatoryRoutingTracking,0.8435,0.828,0.8419,0.828,0.8046,0.7843,0.8136,PREDICTIVE-BOUNDED
20,Neutral,AnticipatoryRoutingTracking,0.8331,0.8181,0.7984,0.8022,0.7815,0.7854,0.8089,PREDICTIVE-PARTIAL
24,Neutral,AnticipatoryRoutingTracking,0.7977,0.7897,0.7847,0.7606,0.7512,0.7595,0.7755,PREDICTIVE-PARTIAL
32,Neutral,AnticipatoryRoutingTracking,0.7843,0.7642,0.7385,0.746,0.7164,0.7262,0.7328,PREDICTIVE-PARTIAL
40,Neutral,AnticipatoryRoutingTracking,0.7423,0.7242,0.7111,0.6931,0.7053,0.6798,0.7048,PREDICTIVE-PARTIAL
48,Neutral,AnticipatoryRoutingTracking,0.6852,0.6687,0.6857,0.6786,0.6648,0.6604,0.6625,PREDICTIVE-DEGRADING
64,Neutral,AnticipatoryRoutingTracking,0.6385,0.634,0.6274,0.6123,0.5944,0.6047,0.5995,PREDICTIVE-DEGRADING
80,Neutral,AnticipatoryRoutingTracking,0.599,0.5806,0.5663,0.5529,0.5448,0.5548,0.5614,PREDICTIVE-DEGRADING
96,Neutral,AnticipatoryRoutingTracking,0.5421,0.5372,0.5229,0.5307,0.51,0.5166,0.523,PREDICTIVE-FAILED
128,Neutral,AnticipatoryRoutingTracking,0.4726,0.4562,0.457,0.4578,0.4534,0.4511,0.4525,PREDICTIVE-FAILED
160,Neutral,AnticipatoryRoutingTracking,0.426,0.4069,0.4079,0.3959,0.4055,0.3893,0.4117,PREDICTIVE-FAILED
192,Neutral,AnticipatoryRoutingTracking,0.375,0.3654,0.3628,0.3616,0.3529,0.3592,0.3561,PREDICTIVE-FAILED
256,Neutral,AnticipatoryRoutingTracking,0.3121,0.3076,0.3036,0.2963,0.3014,0.2907,0.2987,PREDICTIVE-FAILED
320,Neutral,AnticipatoryRoutingTracking,0.2732,0.2605,0.264,0.2604,0.2531,0.2545,0.257,PREDICTIVE-FAILED
512,Neutral,AnticipatoryRoutingTracking,0.1863,0.1838,0.1876,0.1799,0.1811,0.1727,0.1775,PREDICTIVE-FAILED
768,Neutral,AnticipatoryRoutingTracking,0.1362,0.1284,0.1333,0.1302,0.1267,0.1233,0.1266,PREDICTIVE-FAILED
1024,Neutral,AnticipatoryRoutingTracking,0.1063,0.1006,0.1012,0.0977,0.1005,0.0976,0.0995,PREDICTIVE-FAILED
1536,Neutral,AnticipatoryRoutingTracking,0.0716,0.0703,0.0713,0.0692,0.0673,0.0683,0.0692,PREDICTIVE-FAILED
2048,Neutral,AnticipatoryRoutingTracking,0.0545,0.054,0.0539,0.0522,0.0524,0.0522,0.0516,PREDICTIVE-FAILED
3072,Neutral,AnticipatoryRoutingTracking,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
4096,Neutral,AnticipatoryRoutingTracking,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
6144,Neutral,AnticipatoryRoutingTracking,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
1,Neutral,PerturbationForecastingEvaluation,0.96,0.9309,0.9205,0.92,0.91,0.8926,0.914,PREDICTIVE-STABLE
2,Neutral,PerturbationForecastingEvaluation,0.939,0.9133,0.8999,0.92,0.8923,0.8772,0.891,PREDICTIVE-BOUNDED
4,Neutral,PerturbationForecastingEvaluation,0.9434,0.889,0.8964,0.9171,0.869,0.8788,0.874,PREDICTIVE-BOUNDED
6,Neutral,PerturbationForecastingEvaluation,0.9085,0.8935,0.8903,0.8769,0.8483,0.8544,0.8889,PREDICTIVE-BOUNDED
8,Neutral,PerturbationForecastingEvaluation,0.8888,0.8859,0.8543,0.8867,0.8314,0.8576,0.8458,PREDICTIVE-BOUNDED
12,Neutral,PerturbationForecastingEvaluation,0.8861,0.8373,0.8558,0.8367,0.8155,0.8157,0.8343,PREDICTIVE-BOUNDED
16,Neutral,PerturbationForecastingEvaluation,0.8557,0.839,0.8021,0.8293,0.7875,0.7772,0.8109,PREDICTIVE-BOUNDED
20,Neutral,PerturbationForecastingEvaluation,0.813,0.7926,0.7959,0.81,0.7642,0.7813,0.7741,PREDICTIVE-PARTIAL
24,Neutral,PerturbationForecastingEvaluation,0.81,0.7808,0.7769,0.7882,0.7484,0.7528,0.7629,PREDICTIVE-PARTIAL
32,Neutral,PerturbationForecastingEvaluation,0.7525,0.7357,0.739,0.7402,0.7193,0.7062,0.7357,PREDICTIVE-PARTIAL
40,Neutral,PerturbationForecastingEvaluation,0.7118,0.7013,0.6917,0.7048,0.6785,0.6766,0.6769,PREDICTIVE-DEGRADING
48,Neutral,PerturbationForecastingEvaluation,0.6984,0.6626,0.662,0.6671,0.647,0.638,0.6657,PREDICTIVE-DEGRADING
64,Neutral,PerturbationForecastingEvaluation,0.6319,0.6051,0.6121,0.6181,0.5921,0.6007,0.6127,PREDICTIVE-DEGRADING
80,Neutral,PerturbationForecastingEvaluation,0.5784,0.5672,0.5541,0.568,0.5551,0.5546,0.5658,PREDICTIVE-DEGRADING
96,Neutral,PerturbationForecastingEvaluation,0.5344,0.5371,0.5291,0.5309,0.5009,0.5021,0.5047,PREDICTIVE-FAILED
128,Neutral,PerturbationForecastingEvaluation,0.4737,0.4653,0.4505,0.4533,0.4494,0.4318,0.4578,PREDICTIVE-FAILED
160,Neutral,PerturbationForecastingEvaluation,0.416,0.4071,0.3971,0.4148,0.4019,0.3982,0.4048,PREDICTIVE-FAILED
192,Neutral,PerturbationForecastingEvaluation,0.3745,0.3588,0.3672,0.3615,0.3538,0.3456,0.3625,PREDICTIVE-FAILED
256,Neutral,PerturbationForecastingEvaluation,0.3078,0.303,0.2957,0.3042,0.301,0.2858,0.2924,PREDICTIVE-FAILED
320,Neutral,PerturbationForecastingEvaluation,0.2727,0.2558,0.2607,0.2559,0.2559,0.2505,0.2502,PREDICTIVE-FAILED
512,Neutral,PerturbationForecastingEvaluation,0.1851,0.1809,0.1813,0.1784,0.1752,0.1722,0.1743,PREDICTIVE-FAILED
768,Neutral,PerturbationForecastingEvaluation,0.135,0.1302,0.1257,0.128,0.1239,0.1231,0.1278,PREDICTIVE-FAILED
1024,Neutral,PerturbationForecastingEvaluation,0.1016,0.1006,0.1007,0.1003,0.0969,0.0983,0.0971,PREDICTIVE-FAILED
1536,Neutral,PerturbationForecastingEvaluation,0.0715,0.0695,0.0703,0.0709,0.0664,0.0679,0.0684,PREDICTIVE-FAILED
2048,Neutral,PerturbationForecastingEvaluation,0.0552,0.0538,0.0522,0.0534,0.0517,0.051,0.0523,PREDICTIVE-FAILED
3072,Neutral,PerturbationForecastingEvaluation,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
4096,Neutral,PerturbationForecastingEvaluation,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
6144,Neutral,PerturbationForecastingEvaluation,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
1,Neutral,FutureStateReconstruction,0.9573,0.9251,0.9064,0.9092,0.9039,0.8882,0.9162,PREDICTIVE-STABLE
2,Neutral,FutureStateReconstruction,0.9466,0.9108,0.9161,0.8926,0.8973,0.8898,0.9142,PREDICTIVE-STABLE
4,Neutral,FutureStateReconstruction,0.9169,0.8969,0.8961,0.871,0.8983,0.8481,0.8741,PREDICTIVE-BOUNDED
6,Neutral,FutureStateReconstruction,0.8949,0.905,0.8617,0.8737,0.8877,0.8518,0.8735,PREDICTIVE-BOUNDED
8,Neutral,FutureStateReconstruction,0.9145,0.8665,0.8783,0.8598,0.8734,0.8386,0.8459,PREDICTIVE-BOUNDED
12,Neutral,FutureStateReconstruction,0.8831,0.8603,0.842,0.8405,0.8451,0.827,0.8154,PREDICTIVE-BOUNDED
16,Neutral,FutureStateReconstruction,0.8354,0.8398,0.8126,0.8045,0.8055,0.7969,0.7939,PREDICTIVE-BOUNDED
20,Neutral,FutureStateReconstruction,0.8336,0.8118,0.7811,0.798,0.778,0.7837,0.7778,PREDICTIVE-PARTIAL
24,Neutral,FutureStateReconstruction,0.8052,0.7772,0.7757,0.7758,0.7838,0.7334,0.7744,PREDICTIVE-PARTIAL
32,Neutral,FutureStateReconstruction,0.7683,0.746,0.7275,0.7113,0.7295,0.7225,0.7301,PREDICTIVE-PARTIAL
40,Neutral,FutureStateReconstruction,0.7214,0.7163,0.7048,0.6785,0.6981,0.6742,0.6908,PREDICTIVE-PARTIAL
48,Neutral,FutureStateReconstruction,0.6915,0.6867,0.6714,0.6696,0.6512,0.6466,0.6675,PREDICTIVE-DEGRADING
64,Neutral,FutureStateReconstruction,0.6349,0.6069,0.5993,0.5899,0.6027,0.5879,0.5952,PREDICTIVE-DEGRADING
80,Neutral,FutureStateReconstruction,0.5688,0.5792,0.5718,0.5503,0.5667,0.5526,0.5498,PREDICTIVE-DEGRADING
96,Neutral,FutureStateReconstruction,0.5404,0.52,0.5131,0.5221,0.5152,0.5022,0.517,PREDICTIVE-FAILED
128,Neutral,FutureStateReconstruction,0.4714,0.4534,0.4564,0.4531,0.4527,0.4294,0.4533,PREDICTIVE-FAILED
160,Neutral,FutureStateReconstruction,0.408,0.3995,0.4091,0.4047,0.4112,0.3841,0.4033,PREDICTIVE-FAILED
192,Neutral,FutureStateReconstruction,0.3703,0.3671,0.3655,0.3661,0.3606,0.3527,0.352,PREDICTIVE-FAILED
256,Neutral,FutureStateReconstruction,0.3126,0.3025,0.3016,0.3044,0.2986,0.2921,0.2952,PREDICTIVE-FAILED
320,Neutral,FutureStateReconstruction,0.2632,0.2635,0.2633,0.2591,0.2613,0.2463,0.2495,PREDICTIVE-FAILED
512,Neutral,FutureStateReconstruction,0.1868,0.1799,0.178,0.1746,0.1779,0.1716,0.1762,PREDICTIVE-FAILED
768,Neutral,FutureStateReconstruction,0.1349,0.1289,0.1281,0.1285,0.1303,0.1256,0.129,PREDICTIVE-FAILED
1024,Neutral,FutureStateReconstruction,0.1038,0.1018,0.1004,0.0994,0.1009,0.0954,0.0988,PREDICTIVE-FAILED
1536,Neutral,FutureStateReconstruction,0.0714,0.0688,0.0691,0.0677,0.0687,0.0658,0.0675,PREDICTIVE-FAILED
2048,Neutral,FutureStateReconstruction,0.0545,0.0533,0.0529,0.0531,0.0523,0.0518,0.052,PREDICTIVE-FAILED
3072,Neutral,FutureStateReconstruction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
4096,Neutral,FutureStateReconstruction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
6144,Neutral,FutureStateReconstruction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
1,Neutral,AdaptivePredictiveModulation,0.9553,0.912,0.9089,0.8915,0.8964,0.8969,0.9154,PREDICTIVE-STABLE
2,Neutral,AdaptivePredictiveModulation,0.9199,0.9363,0.9262,0.8967,0.896,0.8693,0.92,PREDICTIVE-STABLE
4,Neutral,AdaptivePredictiveModulation,0.9239,0.8965,0.9047,0.8757,0.8917,0.8577,0.9094,PREDICTIVE-BOUNDED
6,Neutral,AdaptivePredictiveModulation,0.9,0.8989,0.8828,0.8783,0.8481,0.8438,0.9022,PREDICTIVE-BOUNDED
8,Neutral,AdaptivePredictiveModulation,0.9001,0.8883,0.8589,0.84,0.8633,0.8312,0.8611,PREDICTIVE-BOUNDED
12,Neutral,AdaptivePredictiveModulation,0.8691,0.8482,0.8515,0.8174,0.8217,0.803,0.8624,PREDICTIVE-BOUNDED
16,Neutral,AdaptivePredictiveModulation,0.8348,0.8179,0.8298,0.8145,0.7895,0.7919,0.8225,PREDICTIVE-BOUNDED
20,Neutral,AdaptivePredictiveModulation,0.8145,0.7909,0.7969,0.7892,0.7725,0.7602,0.7938,PREDICTIVE-PARTIAL
24,Neutral,AdaptivePredictiveModulation,0.7971,0.7811,0.7593,0.7726,0.7439,0.7403,0.7931,PREDICTIVE-PARTIAL
32,Neutral,AdaptivePredictiveModulation,0.7481,0.732,0.728,0.723,0.7098,0.7041,0.7315,PREDICTIVE-PARTIAL
40,Neutral,AdaptivePredictiveModulation,0.7114,0.7165,0.694,0.6852,0.6934,0.664,0.7186,PREDICTIVE-DEGRADING
48,Neutral,AdaptivePredictiveModulation,0.6746,0.6641,0.6741,0.6563,0.6453,0.6545,0.6808,PREDICTIVE-DEGRADING
64,Neutral,AdaptivePredictiveModulation,0.6171,0.6126,0.6,0.6,0.6087,0.5893,0.6272,PREDICTIVE-DEGRADING
80,Neutral,AdaptivePredictiveModulation,0.5812,0.5722,0.5729,0.5667,0.5578,0.552,0.5759,PREDICTIVE-DEGRADING
96,Neutral,AdaptivePredictiveModulation,0.5241,0.5218,0.5179,0.5135,0.5198,0.5,0.5205,PREDICTIVE-FAILED
128,Neutral,AdaptivePredictiveModulation,0.4588,0.4599,0.4564,0.4395,0.4519,0.4329,0.464,PREDICTIVE-FAILED
160,Neutral,AdaptivePredictiveModulation,0.413,0.4123,0.4058,0.4041,0.389,0.3944,0.4028,PREDICTIVE-FAILED
192,Neutral,AdaptivePredictiveModulation,0.3649,0.3622,0.3606,0.3642,0.3515,0.344,0.3727,PREDICTIVE-FAILED
256,Neutral,AdaptivePredictiveModulation,0.3131,0.3055,0.3,0.2991,0.2992,0.2862,0.3051,PREDICTIVE-FAILED
320,Neutral,AdaptivePredictiveModulation,0.2623,0.2655,0.2619,0.2521,0.2524,0.2474,0.2562,PREDICTIVE-FAILED
512,Neutral,AdaptivePredictiveModulation,0.1883,0.1858,0.1829,0.1741,0.1722,0.1771,0.1782,PREDICTIVE-FAILED
768,Neutral,AdaptivePredictiveModulation,0.1315,0.1313,0.1298,0.1254,0.1282,0.1239,0.1312,PREDICTIVE-FAILED
1024,Neutral,AdaptivePredictiveModulation,0.1017,0.0991,0.0978,0.0966,0.097,0.0976,0.0988,PREDICTIVE-FAILED
1536,Neutral,AdaptivePredictiveModulation,0.0709,0.0687,0.0704,0.0684,0.0682,0.0654,0.0698,PREDICTIVE-FAILED
2048,Neutral,AdaptivePredictiveModulation,0.054,0.0534,0.0522,0.0522,0.0507,0.0511,0.0537,PREDICTIVE-FAILED
3072,Neutral,AdaptivePredictiveModulation,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
4096,Neutral,AdaptivePredictiveModulation,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
6144,Neutral,AdaptivePredictiveModulation,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
1,Neutral,RecursiveAnticipationPersistence,0.9329,0.94,0.9213,0.8927,0.8797,0.8928,0.92,PREDICTIVE-STABLE
2,Neutral,RecursiveAnticipationPersistence,0.9308,0.9149,0.9092,0.8961,0.8842,0.8905,0.9003,PREDICTIVE-STABLE
4,Neutral,RecursiveAnticipationPersistence,0.9172,0.913,0.8883,0.8742,0.8808,0.8912,0.8898,PREDICTIVE-BOUNDED
6,Neutral,RecursiveAnticipationPersistence,0.9175,0.8983,0.8726,0.8581,0.8504,0.8651,0.8739,PREDICTIVE-BOUNDED
8,Neutral,RecursiveAnticipationPersistence,0.8956,0.872,0.8878,0.8685,0.8651,0.8727,0.8518,PREDICTIVE-BOUNDED
12,Neutral,RecursiveAnticipationPersistence,0.871,0.8553,0.8447,0.8186,0.8259,0.8284,0.8356,PREDICTIVE-BOUNDED
16,Neutral,RecursiveAnticipationPersistence,0.8361,0.8409,0.8163,0.7954,0.782,0.7921,0.8048,PREDICTIVE-BOUNDED
20,Neutral,RecursiveAnticipationPersistence,0.8002,0.8042,0.8092,0.7781,0.7892,0.7733,0.7711,PREDICTIVE-BOUNDED
24,Neutral,RecursiveAnticipationPersistence,0.7969,0.7836,0.7843,0.7715,0.7668,0.7787,0.7793,PREDICTIVE-PARTIAL
32,Neutral,RecursiveAnticipationPersistence,0.7629,0.7445,0.7284,0.7211,0.7111,0.7284,0.7182,PREDICTIVE-PARTIAL
40,Neutral,RecursiveAnticipationPersistence,0.7038,0.7044,0.7157,0.7,0.674,0.6941,0.6812,PREDICTIVE-PARTIAL
48,Neutral,RecursiveAnticipationPersistence,0.6805,0.6676,0.6721,0.6615,0.6646,0.648,0.6582,PREDICTIVE-DEGRADING
64,Neutral,RecursiveAnticipationPersistence,0.6187,0.6263,0.6026,0.5971,0.5928,0.6086,0.6078,PREDICTIVE-DEGRADING
80,Neutral,RecursiveAnticipationPersistence,0.5708,0.5635,0.5581,0.5507,0.559,0.5642,0.5666,PREDICTIVE-DEGRADING
96,Neutral,RecursiveAnticipationPersistence,0.5301,0.5403,0.5152,0.5174,0.5175,0.5207,0.5122,PREDICTIVE-FAILED
128,Neutral,RecursiveAnticipationPersistence,0.4667,0.4631,0.4557,0.4482,0.4408,0.4429,0.4562,PREDICTIVE-FAILED
160,Neutral,RecursiveAnticipationPersistence,0.416,0.4125,0.412,0.3962,0.3994,0.401,0.3986,PREDICTIVE-FAILED
192,Neutral,RecursiveAnticipationPersistence,0.3747,0.3727,0.362,0.3564,0.3555,0.3589,0.3643,PREDICTIVE-FAILED
256,Neutral,RecursiveAnticipationPersistence,0.3147,0.3047,0.301,0.2929,0.2916,0.3013,0.3036,PREDICTIVE-FAILED
320,Neutral,RecursiveAnticipationPersistence,0.2581,0.2593,0.2573,0.2542,0.2552,0.2597,0.2519,PREDICTIVE-FAILED
512,Neutral,RecursiveAnticipationPersistence,0.1824,0.1802,0.1853,0.1794,0.1727,0.1782,0.1799,PREDICTIVE-FAILED
768,Neutral,RecursiveAnticipationPersistence,0.1302,0.1294,0.1309,0.1278,0.126,0.1246,0.1296,PREDICTIVE-FAILED
1024,Neutral,RecursiveAnticipationPersistence,0.1015,0.1026,0.1025,0.097,0.0968,0.0988,0.0988,PREDICTIVE-FAILED
1536,Neutral,RecursiveAnticipationPersistence,0.0718,0.0708,0.0685,0.0694,0.0687,0.0692,0.069,PREDICTIVE-FAILED
2048,Neutral,RecursiveAnticipationPersistence,0.0534,0.0544,0.0542,0.0518,0.0505,0.0524,0.0531,PREDICTIVE-FAILED
3072,Neutral,RecursiveAnticipationPersistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
4096,Neutral,RecursiveAnticipationPersistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
6144,Neutral,RecursiveAnticipationPersistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
1,Neutral,NullPredictiveControl,0.7433,0.7513,0.7359,0.751,0.7115,0.6992,0.7459,PREDICTIVE-PARTIAL
2,Neutral,NullPredictiveControl,0.7468,0.7317,0.7216,0.748,0.7109,0.7011,0.7414,PREDICTIVE-PARTIAL
4,Neutral,NullPredictiveControl,0.7492,0.7568,0.7258,0.7396,0.7162,0.698,0.7011,PREDICTIVE-PARTIAL
6,Neutral,NullPredictiveControl,0.7147,0.7137,0.7057,0.7437,0.7064,0.7043,0.7131,PREDICTIVE-PARTIAL
8,Neutral,NullPredictiveControl,0.6978,0.7164,0.6994,0.7215,0.6905,0.6623,0.7014,PREDICTIVE-DEGRADING
12,Neutral,NullPredictiveControl,0.6911,0.7058,0.6971,0.6896,0.6689,0.6461,0.6699,PREDICTIVE-DEGRADING
16,Neutral,NullPredictiveControl,0.6578,0.6708,0.6823,0.6874,0.6364,0.6535,0.6607,PREDICTIVE-DEGRADING
20,Neutral,NullPredictiveControl,0.6434,0.6518,0.6502,0.6606,0.6296,0.6161,0.633,PREDICTIVE-DEGRADING
24,Neutral,NullPredictiveControl,0.6481,0.6537,0.6206,0.6223,0.6271,0.5929,0.6205,PREDICTIVE-DEGRADING
32,Neutral,NullPredictiveControl,0.6056,0.596,0.6072,0.5913,0.5782,0.5844,0.5987,PREDICTIVE-DEGRADING
40,Neutral,NullPredictiveControl,0.5655,0.5806,0.579,0.5873,0.5667,0.5458,0.554,PREDICTIVE-DEGRADING
48,Neutral,NullPredictiveControl,0.5442,0.557,0.5303,0.5551,0.5185,0.523,0.549,PREDICTIVE-DEGRADING
64,Neutral,NullPredictiveControl,0.4955,0.5061,0.499,0.5011,0.4936,0.471,0.4785,PREDICTIVE-FAILED
80,Neutral,NullPredictiveControl,0.459,0.4546,0.4674,0.4687,0.4487,0.4283,0.4467,PREDICTIVE-FAILED
96,Neutral,NullPredictiveControl,0.4216,0.4202,0.4203,0.4215,0.403,0.4108,0.4292,PREDICTIVE-FAILED
128,Neutral,NullPredictiveControl,0.3797,0.3812,0.3756,0.3804,0.3551,0.3641,0.3623,PREDICTIVE-FAILED
160,Neutral,NullPredictiveControl,0.3339,0.329,0.3256,0.3241,0.3129,0.3104,0.3189,PREDICTIVE-FAILED
192,Neutral,NullPredictiveControl,0.304,0.2939,0.3001,0.3038,0.2859,0.2792,0.2903,PREDICTIVE-FAILED
256,Neutral,NullPredictiveControl,0.2519,0.248,0.2422,0.2492,0.2346,0.2412,0.2441,PREDICTIVE-FAILED
320,Neutral,NullPredictiveControl,0.21,0.2081,0.215,0.2129,0.205,0.2056,0.2104,PREDICTIVE-FAILED
512,Neutral,NullPredictiveControl,0.1457,0.1456,0.1446,0.1507,0.1423,0.14,0.1435,PREDICTIVE-FAILED
768,Neutral,NullPredictiveControl,0.1028,0.1035,0.1026,0.107,0.1033,0.0983,0.1039,PREDICTIVE-FAILED
1024,Neutral,NullPredictiveControl,0.0801,0.082,0.0834,0.0843,0.0786,0.0776,0.0813,PREDICTIVE-FAILED
1536,Neutral,NullPredictiveControl,0.0555,0.058,0.0552,0.0557,0.0546,0.0541,0.0557,PREDICTIVE-FAILED
2048,Neutral,NullPredictiveControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
3072,Neutral,NullPredictiveControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
4096,Neutral,NullPredictiveControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
6144,Neutral,NullPredictiveControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
1,Projection-Antisymmetry,PredictiveStabilizationAnalysis,0.96,0.9382,0.93,0.9011,0.9004,0.8807,0.9128,PREDICTIVE-STABLE
2,Projection-Antisymmetry,PredictiveStabilizationAnalysis,0.9445,0.9187,0.9074,0.8967,0.9025,0.9,0.8868,PREDICTIVE-STABLE
4,Projection-Antisymmetry,PredictiveStabilizationAnalysis,0.9184,0.9102,0.8945,0.8826,0.8654,0.8827,0.8801,PREDICTIVE-BOUNDED
6,Projection-Antisymmetry,PredictiveStabilizationAnalysis,0.9348,0.9148,0.9069,0.854,0.857,0.8727,0.8704,PREDICTIVE-STABLE
8,Projection-Antisymmetry,PredictiveStabilizationAnalysis,0.8895,0.8962,0.8779,0.865,0.8437,0.8427,0.8627,PREDICTIVE-BOUNDED
12,Projection-Antisymmetry,PredictiveStabilizationAnalysis,0.8821,0.8614,0.8374,0.8434,0.8356,0.8404,0.8245,PREDICTIVE-BOUNDED
16,Projection-Antisymmetry,PredictiveStabilizationAnalysis,0.8664,0.8465,0.8144,0.8096,0.8091,0.8107,0.8189,PREDICTIVE-BOUNDED
20,Projection-Antisymmetry,PredictiveStabilizationAnalysis,0.829,0.8193,0.8167,0.7761,0.789,0.7604,0.7847,PREDICTIVE-BOUNDED
24,Projection-Antisymmetry,PredictiveStabilizationAnalysis,0.8118,0.7933,0.7889,0.7802,0.7533,0.7546,0.7481,PREDICTIVE-PARTIAL
32,Projection-Antisymmetry,PredictiveStabilizationAnalysis,0.7612,0.7615,0.7572,0.7383,0.7265,0.7024,0.7312,PREDICTIVE-PARTIAL
