depth,sector,condition,rg_similarity,representation_fidelity,internal_model_coherence,simulation_alignment,predictive_model_gain,recursive_representation_persistence,model_adaptation_strength,classification
768,Neutral,InternalModelExtraction,0.1684,0.1679,0.1659,0.1656,0.1625,0.1596,0.1661,MODEL-FAILED
1024,Neutral,InternalModelExtraction,0.1333,0.1307,0.1321,0.1267,0.126,0.1272,0.1258,MODEL-FAILED
1536,Neutral,InternalModelExtraction,0.0956,0.0913,0.0933,0.0886,0.0874,0.0871,0.0894,MODEL-FAILED
2048,Neutral,InternalModelExtraction,0.0725,0.0706,0.0711,0.0679,0.0689,0.0684,0.0677,MODEL-FAILED
3072,Neutral,InternalModelExtraction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
4096,Neutral,InternalModelExtraction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
6144,Neutral,InternalModelExtraction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
8192,Neutral,InternalModelExtraction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
1,Neutral,RepresentationFidelityAnalysis,0.96,0.9398,0.93,0.911,0.91,0.8886,0.9058,MODEL-STABLE
2,Neutral,RepresentationFidelityAnalysis,0.96,0.94,0.93,0.92,0.904,0.9,0.9074,MODEL-STABLE
4,Neutral,RepresentationFidelityAnalysis,0.9431,0.9298,0.93,0.8982,0.9013,0.8837,0.9,MODEL-STABLE
6,Neutral,RepresentationFidelityAnalysis,0.9291,0.9391,0.9026,0.9023,0.8728,0.862,0.9013,MODEL-STABLE
8,Neutral,RepresentationFidelityAnalysis,0.9197,0.9319,0.8841,0.8698,0.8795,0.8725,0.8802,MODEL-BOUNDED
12,Neutral,RepresentationFidelityAnalysis,0.922,0.8888,0.8901,0.867,0.8424,0.8341,0.8625,MODEL-BOUNDED
16,Neutral,RepresentationFidelityAnalysis,0.9021,0.8644,0.8675,0.8412,0.8419,0.8252,0.8493,MODEL-BOUNDED
20,Neutral,RepresentationFidelityAnalysis,0.8608,0.8449,0.8395,0.8266,0.8205,0.8233,0.8237,MODEL-BOUNDED
24,Neutral,RepresentationFidelityAnalysis,0.8442,0.8473,0.8148,0.7968,0.8,0.7914,0.8157,MODEL-BOUNDED
32,Neutral,RepresentationFidelityAnalysis,0.8047,0.7906,0.7735,0.7756,0.7607,0.7496,0.7673,MODEL-PARTIAL
40,Neutral,RepresentationFidelityAnalysis,0.7792,0.7607,0.7729,0.7501,0.7424,0.7315,0.755,MODEL-PARTIAL
48,Neutral,RepresentationFidelityAnalysis,0.7673,0.7414,0.7204,0.7068,0.714,0.7095,0.7321,MODEL-PARTIAL
64,Neutral,RepresentationFidelityAnalysis,0.6873,0.6824,0.6683,0.6711,0.6753,0.6553,0.6752,MODEL-DEGRADING
80,Neutral,RepresentationFidelityAnalysis,0.6671,0.6576,0.6278,0.6317,0.6132,0.6078,0.6238,MODEL-DEGRADING
96,Neutral,RepresentationFidelityAnalysis,0.6211,0.6173,0.6084,0.5914,0.5851,0.5776,0.596,MODEL-DEGRADING
128,Neutral,RepresentationFidelityAnalysis,0.5476,0.5355,0.5326,0.53,0.5157,0.523,0.5201,MODEL-FAILED
160,Neutral,RepresentationFidelityAnalysis,0.4854,0.4845,0.4783,0.465,0.4692,0.4572,0.4719,MODEL-FAILED
192,Neutral,RepresentationFidelityAnalysis,0.4404,0.441,0.4386,0.4252,0.4276,0.4261,0.4383,MODEL-FAILED
256,Neutral,RepresentationFidelityAnalysis,0.3799,0.3755,0.3765,0.3642,0.3544,0.3632,0.3693,MODEL-FAILED
320,Neutral,RepresentationFidelityAnalysis,0.3339,0.3293,0.3193,0.3219,0.3176,0.3171,0.3158,MODEL-FAILED
512,Neutral,RepresentationFidelityAnalysis,0.2366,0.2305,0.2272,0.2305,0.2223,0.2253,0.2246,MODEL-FAILED
768,Neutral,RepresentationFidelityAnalysis,0.173,0.1699,0.1646,0.1672,0.1641,0.1651,0.1659,MODEL-FAILED
1024,Neutral,RepresentationFidelityAnalysis,0.137,0.1338,0.1325,0.1285,0.1296,0.1256,0.1298,MODEL-FAILED
1536,Neutral,RepresentationFidelityAnalysis,0.0963,0.0921,0.0916,0.0919,0.0899,0.0886,0.0922,MODEL-FAILED
2048,Neutral,RepresentationFidelityAnalysis,0.0719,0.071,0.0705,0.0687,0.0676,0.0684,0.071,MODEL-FAILED
3072,Neutral,RepresentationFidelityAnalysis,0.05,0.0501,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
4096,Neutral,RepresentationFidelityAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
6144,Neutral,RepresentationFidelityAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
8192,Neutral,RepresentationFidelityAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
1,Neutral,SimulatedPerturbationEvaluation,0.9556,0.9257,0.93,0.92,0.9011,0.8876,0.9094,MODEL-STABLE
2,Neutral,SimulatedPerturbationEvaluation,0.9481,0.939,0.93,0.92,0.9069,0.8711,0.9103,MODEL-STABLE
4,Neutral,SimulatedPerturbationEvaluation,0.9529,0.94,0.9026,0.904,0.8712,0.8862,0.888,MODEL-STABLE
6,Neutral,SimulatedPerturbationEvaluation,0.9432,0.919,0.8959,0.8901,0.8973,0.8595,0.8792,MODEL-BOUNDED
8,Neutral,SimulatedPerturbationEvaluation,0.9058,0.8889,0.8811,0.8917,0.8532,0.8429,0.8797,MODEL-BOUNDED
12,Neutral,SimulatedPerturbationEvaluation,0.8933,0.8855,0.8523,0.8634,0.8492,0.8313,0.8539,MODEL-BOUNDED
16,Neutral,SimulatedPerturbationEvaluation,0.8832,0.8758,0.8371,0.8622,0.8331,0.8063,0.8577,MODEL-BOUNDED
20,Neutral,SimulatedPerturbationEvaluation,0.8653,0.8538,0.8466,0.8558,0.8037,0.8018,0.8352,MODEL-BOUNDED
24,Neutral,SimulatedPerturbationEvaluation,0.8485,0.8192,0.8035,0.8386,0.7909,0.7932,0.8088,MODEL-BOUNDED
32,Neutral,SimulatedPerturbationEvaluation,0.8042,0.7821,0.7838,0.7964,0.7649,0.7581,0.7608,MODEL-PARTIAL
40,Neutral,SimulatedPerturbationEvaluation,0.7653,0.778,0.7376,0.7501,0.746,0.741,0.7323,MODEL-PARTIAL
48,Neutral,SimulatedPerturbationEvaluation,0.7375,0.73,0.7086,0.7157,0.7128,0.7038,0.7211,MODEL-PARTIAL
64,Neutral,SimulatedPerturbationEvaluation,0.6844,0.6918,0.6843,0.6695,0.6467,0.6566,0.6761,MODEL-DEGRADING
80,Neutral,SimulatedPerturbationEvaluation,0.6411,0.6447,0.6357,0.6458,0.6226,0.6065,0.6207,MODEL-DEGRADING
96,Neutral,SimulatedPerturbationEvaluation,0.6151,0.6107,0.5911,0.5956,0.5664,0.5818,0.5719,MODEL-DEGRADING
128,Neutral,SimulatedPerturbationEvaluation,0.5521,0.5312,0.5238,0.5324,0.525,0.5103,0.5302,MODEL-FAILED
160,Neutral,SimulatedPerturbationEvaluation,0.4973,0.494,0.4817,0.4786,0.4732,0.4684,0.4605,MODEL-FAILED
192,Neutral,SimulatedPerturbationEvaluation,0.4477,0.4418,0.4252,0.4378,0.4274,0.4257,0.4228,MODEL-FAILED
256,Neutral,SimulatedPerturbationEvaluation,0.3795,0.3788,0.3599,0.3627,0.3625,0.3579,0.3642,MODEL-FAILED
320,Neutral,SimulatedPerturbationEvaluation,0.3337,0.3187,0.3158,0.3156,0.3098,0.304,0.3201,MODEL-FAILED
512,Neutral,SimulatedPerturbationEvaluation,0.237,0.2285,0.2277,0.231,0.2266,0.2219,0.2227,MODEL-FAILED
768,Neutral,SimulatedPerturbationEvaluation,0.1713,0.1713,0.1638,0.1642,0.1588,0.161,0.1604,MODEL-FAILED
1024,Neutral,SimulatedPerturbationEvaluation,0.1335,0.1349,0.1317,0.132,0.1256,0.1267,0.1292,MODEL-FAILED
1536,Neutral,SimulatedPerturbationEvaluation,0.0936,0.0933,0.0922,0.0912,0.0895,0.0868,0.0894,MODEL-FAILED
2048,Neutral,SimulatedPerturbationEvaluation,0.0718,0.0703,0.0688,0.0705,0.0679,0.0676,0.0697,MODEL-FAILED
3072,Neutral,SimulatedPerturbationEvaluation,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
4096,Neutral,SimulatedPerturbationEvaluation,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
6144,Neutral,SimulatedPerturbationEvaluation,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
8192,Neutral,SimulatedPerturbationEvaluation,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
1,Neutral,PredictiveModelAdaptationTracking,0.9323,0.94,0.9122,0.92,0.91,0.8814,0.92,MODEL-STABLE
2,Neutral,PredictiveModelAdaptationTracking,0.9478,0.9249,0.9247,0.9047,0.91,0.8804,0.92,MODEL-STABLE
4,Neutral,PredictiveModelAdaptationTracking,0.9308,0.9249,0.9276,0.9046,0.8905,0.888,0.92,MODEL-STABLE
6,Neutral,PredictiveModelAdaptationTracking,0.934,0.9127,0.8997,0.8708,0.8944,0.8734,0.8973,MODEL-BOUNDED
8,Neutral,PredictiveModelAdaptationTracking,0.8952,0.8958,0.8735,0.8912,0.8965,0.8694,0.8999,MODEL-BOUNDED
12,Neutral,PredictiveModelAdaptationTracking,0.9029,0.8628,0.8595,0.8637,0.8848,0.8578,0.8917,MODEL-BOUNDED
16,Neutral,PredictiveModelAdaptationTracking,0.873,0.876,0.8554,0.8575,0.8449,0.8103,0.844,MODEL-BOUNDED
20,Neutral,PredictiveModelAdaptationTracking,0.8364,0.843,0.8258,0.817,0.8138,0.7995,0.8437,MODEL-BOUNDED
24,Neutral,PredictiveModelAdaptationTracking,0.8514,0.82,0.8085,0.7955,0.8021,0.7979,0.8172,MODEL-BOUNDED
32,Neutral,PredictiveModelAdaptationTracking,0.7977,0.788,0.7894,0.7615,0.7715,0.7556,0.7735,MODEL-PARTIAL
40,Neutral,PredictiveModelAdaptationTracking,0.7811,0.7515,0.7635,0.7346,0.7615,0.7152,0.765,MODEL-PARTIAL
48,Neutral,PredictiveModelAdaptationTracking,0.7277,0.7343,0.7279,0.7009,0.7314,0.7049,0.7152,MODEL-PARTIAL
64,Neutral,PredictiveModelAdaptationTracking,0.6929,0.6895,0.6671,0.6789,0.6785,0.6486,0.689,MODEL-DEGRADING
80,Neutral,PredictiveModelAdaptationTracking,0.6482,0.6368,0.6407,0.6121,0.6281,0.6162,0.6421,MODEL-DEGRADING
96,Neutral,PredictiveModelAdaptationTracking,0.5987,0.6073,0.5821,0.5924,0.5779,0.5631,0.6034,MODEL-DEGRADING
128,Neutral,PredictiveModelAdaptationTracking,0.5432,0.54,0.5273,0.5138,0.5229,0.5021,0.5371,MODEL-FAILED
160,Neutral,PredictiveModelAdaptationTracking,0.4798,0.4808,0.4739,0.4635,0.4669,0.4637,0.4876,MODEL-FAILED
192,Neutral,PredictiveModelAdaptationTracking,0.4454,0.4361,0.4324,0.4275,0.4344,0.4141,0.4359,MODEL-FAILED
256,Neutral,PredictiveModelAdaptationTracking,0.381,0.3694,0.3706,0.3611,0.3662,0.3587,0.3645,MODEL-FAILED
320,Neutral,PredictiveModelAdaptationTracking,0.3308,0.3259,0.3117,0.3087,0.3116,0.3109,0.3189,MODEL-FAILED
512,Neutral,PredictiveModelAdaptationTracking,0.2384,0.2341,0.2229,0.2251,0.2239,0.2209,0.2329,MODEL-FAILED
768,Neutral,PredictiveModelAdaptationTracking,0.1692,0.1661,0.1655,0.1622,0.1658,0.1611,0.1705,MODEL-FAILED
1024,Neutral,PredictiveModelAdaptationTracking,0.133,0.1336,0.1299,0.1291,0.131,0.1242,0.1299,MODEL-FAILED
1536,Neutral,PredictiveModelAdaptationTracking,0.0939,0.0926,0.0901,0.0893,0.0917,0.0896,0.0911,MODEL-FAILED
2048,Neutral,PredictiveModelAdaptationTracking,0.0708,0.0712,0.0697,0.0676,0.0698,0.0683,0.071,MODEL-FAILED
3072,Neutral,PredictiveModelAdaptationTracking,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
4096,Neutral,PredictiveModelAdaptationTracking,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
6144,Neutral,PredictiveModelAdaptationTracking,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
8192,Neutral,PredictiveModelAdaptationTracking,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
1,Neutral,RecursiveSimulationPersistence,0.9429,0.9322,0.9069,0.8959,0.8931,0.9,0.9084,MODEL-STABLE
2,Neutral,RecursiveSimulationPersistence,0.9426,0.9172,0.9016,0.899,0.91,0.9,0.9087,MODEL-STABLE
4,Neutral,RecursiveSimulationPersistence,0.9304,0.9344,0.8908,0.9085,0.8816,0.8814,0.8885,MODEL-BOUNDED
6,Neutral,RecursiveSimulationPersistence,0.9282,0.901,0.8966,0.8778,0.8824,0.8849,0.9022,MODEL-BOUNDED
8,Neutral,RecursiveSimulationPersistence,0.891,0.8858,0.8755,0.8712,0.8639,0.8717,0.8631,MODEL-BOUNDED
12,Neutral,RecursiveSimulationPersistence,0.8884,0.8765,0.8839,0.8617,0.8468,0.8675,0.8625,MODEL-BOUNDED
16,Neutral,RecursiveSimulationPersistence,0.875,0.8528,0.831,0.8264,0.8234,0.8467,0.8285,MODEL-BOUNDED
20,Neutral,RecursiveSimulationPersistence,0.8507,0.8402,0.8348,0.8142,0.8252,0.835,0.8386,MODEL-BOUNDED
24,Neutral,RecursiveSimulationPersistence,0.8167,0.8318,0.8038,0.8083,0.789,0.8136,0.8031,MODEL-BOUNDED
32,Neutral,RecursiveSimulationPersistence,0.7924,0.7812,0.7688,0.7758,0.7691,0.7697,0.759,MODEL-PARTIAL
40,Neutral,RecursiveSimulationPersistence,0.775,0.7653,0.7366,0.7289,0.743,0.7279,0.7346,MODEL-PARTIAL
48,Neutral,RecursiveSimulationPersistence,0.7349,0.7286,0.7222,0.7248,0.72,0.7185,0.7282,MODEL-PARTIAL
64,Neutral,RecursiveSimulationPersistence,0.6854,0.6886,0.6784,0.674,0.6699,0.6741,0.65,MODEL-DEGRADING
80,Neutral,RecursiveSimulationPersistence,0.6393,0.6378,0.6228,0.6141,0.6059,0.6097,0.6208,MODEL-DEGRADING
96,Neutral,RecursiveSimulationPersistence,0.6095,0.5983,0.5942,0.5805,0.5855,0.5802,0.5777,MODEL-DEGRADING
128,Neutral,RecursiveSimulationPersistence,0.5326,0.5362,0.5259,0.5198,0.5208,0.5282,0.5167,MODEL-FAILED
160,Neutral,RecursiveSimulationPersistence,0.4823,0.4806,0.4686,0.4665,0.4614,0.4724,0.4696,MODEL-FAILED
192,Neutral,RecursiveSimulationPersistence,0.446,0.4396,0.4336,0.43,0.4274,0.4252,0.4291,MODEL-FAILED
256,Neutral,RecursiveSimulationPersistence,0.3677,0.3625,0.367,0.3664,0.3564,0.3571,0.3616,MODEL-FAILED
320,Neutral,RecursiveSimulationPersistence,0.321,0.3271,0.3213,0.3209,0.3138,0.3146,0.3144,MODEL-FAILED
512,Neutral,RecursiveSimulationPersistence,0.2316,0.2321,0.2314,0.226,0.2261,0.225,0.2219,MODEL-FAILED
768,Neutral,RecursiveSimulationPersistence,0.1706,0.169,0.1666,0.1627,0.1594,0.1626,0.1626,MODEL-FAILED
1024,Neutral,RecursiveSimulationPersistence,0.1298,0.1311,0.1294,0.131,0.1294,0.1264,0.128,MODEL-FAILED
1536,Neutral,RecursiveSimulationPersistence,0.0925,0.0933,0.0901,0.0906,0.0904,0.091,0.0888,MODEL-FAILED
2048,Neutral,RecursiveSimulationPersistence,0.0697,0.07,0.07,0.0701,0.0683,0.0691,0.0704,MODEL-FAILED
3072,Neutral,RecursiveSimulationPersistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
4096,Neutral,RecursiveSimulationPersistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
6144,Neutral,RecursiveSimulationPersistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
8192,Neutral,RecursiveSimulationPersistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
1,Neutral,ModelDrivenStabilizationTesting,0.9478,0.9209,0.9242,0.92,0.91,0.8958,0.92,MODEL-STABLE
2,Neutral,ModelDrivenStabilizationTesting,0.9365,0.923,0.93,0.8917,0.8968,0.9,0.9018,MODEL-STABLE
4,Neutral,ModelDrivenStabilizationTesting,0.9366,0.9055,0.9053,0.8962,0.8912,0.9,0.9017,MODEL-STABLE
6,Neutral,ModelDrivenStabilizationTesting,0.9256,0.9247,0.8947,0.8967,0.8998,0.8874,0.8842,MODEL-BOUNDED
8,Neutral,ModelDrivenStabilizationTesting,0.8846,0.8871,0.8922,0.8601,0.8601,0.8556,0.8874,MODEL-BOUNDED
12,Neutral,ModelDrivenStabilizationTesting,0.8873,0.8603,0.8714,0.8765,0.8505,0.8622,0.8831,MODEL-BOUNDED
16,Neutral,ModelDrivenStabilizationTesting,0.8468,0.8717,0.8517,0.8579,0.8356,0.8419,0.855,MODEL-BOUNDED
20,Neutral,ModelDrivenStabilizationTesting,0.8459,0.8427,0.8328,0.8246,0.8216,0.8038,0.8145,MODEL-BOUNDED
24,Neutral,ModelDrivenStabilizationTesting,0.8233,0.8062,0.8389,0.8044,0.7944,0.8037,0.8282,MODEL-BOUNDED
32,Neutral,ModelDrivenStabilizationTesting,0.8064,0.7789,0.7775,0.7676,0.7853,0.7766,0.7967,MODEL-PARTIAL
40,Neutral,ModelDrivenStabilizationTesting,0.7564,0.7636,0.7425,0.7364,0.732,0.7447,0.7401,MODEL-PARTIAL
48,Neutral,ModelDrivenStabilizationTesting,0.7189,0.7207,0.7439,0.7192,0.7199,0.6928,0.7175,MODEL-PARTIAL
64,Neutral,ModelDrivenStabilizationTesting,0.6906,0.6702,0.6884,0.6563,0.6693,0.6696,0.6854,MODEL-DEGRADING
80,Neutral,ModelDrivenStabilizationTesting,0.6378,0.6417,0.6398,0.6217,0.614,0.6053,0.6269,MODEL-DEGRADING
96,Neutral,ModelDrivenStabilizationTesting,0.606,0.5968,0.5993,0.582,0.5904,0.5717,0.588,MODEL-DEGRADING
128,Neutral,ModelDrivenStabilizationTesting,0.5256,0.5308,0.5395,0.5209,0.5275,0.5222,0.5313,MODEL-FAILED
160,Neutral,ModelDrivenStabilizationTesting,0.4709,0.4725,0.4805,0.4666,0.4674,0.4634,0.4637,MODEL-FAILED
192,Neutral,ModelDrivenStabilizationTesting,0.4422,0.4446,0.4312,0.4309,0.4343,0.4132,0.4368,MODEL-FAILED
256,Neutral,ModelDrivenStabilizationTesting,0.3636,0.363,0.3678,0.3598,0.3691,0.3654,0.3645,MODEL-FAILED
320,Neutral,ModelDrivenStabilizationTesting,0.3292,0.3264,0.3261,0.3185,0.32,0.3127,0.3205,MODEL-FAILED
512,Neutral,ModelDrivenStabilizationTesting,0.2306,0.2264,0.2262,0.2241,0.2237,0.2244,0.2291,MODEL-FAILED
768,Neutral,ModelDrivenStabilizationTesting,0.1689,0.1641,0.1679,0.1665,0.1658,0.1634,0.1621,MODEL-FAILED
1024,Neutral,ModelDrivenStabilizationTesting,0.1309,0.1291,0.1333,0.1259,0.1295,0.1248,0.131,MODEL-FAILED
1536,Neutral,ModelDrivenStabilizationTesting,0.0937,0.0916,0.0932,0.0909,0.09,0.089,0.0887,MODEL-FAILED
2048,Neutral,ModelDrivenStabilizationTesting,0.0717,0.0694,0.0716,0.07,0.0687,0.0686,0.0697,MODEL-FAILED
3072,Neutral,ModelDrivenStabilizationTesting,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
4096,Neutral,ModelDrivenStabilizationTesting,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
6144,Neutral,ModelDrivenStabilizationTesting,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
8192,Neutral,ModelDrivenStabilizationTesting,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
1,Neutral,NullRepresentationControl,0.7564,0.7549,0.771,0.7716,0.7272,0.706,0.7368,MODEL-PARTIAL
2,Neutral,NullRepresentationControl,0.7428,0.7622,0.7582,0.763,0.7358,0.7387,0.7529,MODEL-PARTIAL
4,Neutral,NullRepresentationControl,0.7568,0.7384,0.7488,0.7426,0.7147,0.6967,0.7443,MODEL-PARTIAL
6,Neutral,NullRepresentationControl,0.7478,0.7364,0.7389,0.7572,0.7244,0.7182,0.7167,MODEL-PARTIAL
8,Neutral,NullRepresentationControl,0.7145,0.7244,0.7426,0.7199,0.7122,0.6999,0.7263,MODEL-PARTIAL
12,Neutral,NullRepresentationControl,0.7021,0.7002,0.7035,0.7136,0.6969,0.6868,0.6812,MODEL-PARTIAL
16,Neutral,NullRepresentationControl,0.6856,0.703,0.6797,0.7115,0.6778,0.6582,0.6741,MODEL-DEGRADING
20,Neutral,NullRepresentationControl,0.6927,0.6779,0.6825,0.6707,0.6442,0.6369,0.6629,MODEL-DEGRADING
24,Neutral,NullRepresentationControl,0.6582,0.6821,0.657,0.6705,0.6421,0.64,0.663,MODEL-DEGRADING
32,Neutral,NullRepresentationControl,0.6275,0.6608,0.6302,0.6493,0.6301,0.6082,0.6252,MODEL-DEGRADING
40,Neutral,NullRepresentationControl,0.6254,0.607,0.6018,0.6301,0.5996,0.5953,0.6168,MODEL-DEGRADING
48,Neutral,NullRepresentationControl,0.5882,0.5969,0.5749,0.6047,0.5622,0.5691,0.5789,MODEL-DEGRADING
64,Neutral,NullRepresentationControl,0.5606,0.5471,0.5485,0.5617,0.5436,0.5159,0.5425,MODEL-FAILED
80,Neutral,NullRepresentationControl,0.5004,0.5245,0.5142,0.5081,0.4887,0.5058,0.5102,MODEL-FAILED
96,Neutral,NullRepresentationControl,0.4847,0.4774,0.4913,0.4931,0.4682,0.4687,0.4764,MODEL-FAILED
128,Neutral,NullRepresentationControl,0.4396,0.4303,0.4239,0.4415,0.4189,0.4104,0.4257,MODEL-FAILED
160,Neutral,NullRepresentationControl,0.3898,0.3869,0.3934,0.3895,0.368,0.3805,0.3731,MODEL-FAILED
192,Neutral,NullRepresentationControl,0.3433,0.3656,0.3517,0.3551,0.3464,0.332,0.3453,MODEL-FAILED
256,Neutral,NullRepresentationControl,0.3047,0.3092,0.2999,0.3096,0.2888,0.2855,0.2929,MODEL-FAILED
320,Neutral,NullRepresentationControl,0.2611,0.257,0.2561,0.2585,0.2461,0.244,0.2625,MODEL-FAILED
512,Neutral,NullRepresentationControl,0.1823,0.1859,0.1858,0.1883,0.178,0.1833,0.1823,MODEL-FAILED
768,Neutral,NullRepresentationControl,0.1372,0.1342,0.1314,0.14,0.1319,0.1261,0.1307,MODEL-FAILED
1024,Neutral,NullRepresentationControl,0.1052,0.1087,0.1077,0.1092,0.1024,0.1014,0.1036,MODEL-FAILED
1536,Neutral,NullRepresentationControl,0.075,0.075,0.0744,0.0752,0.0703,0.0707,0.0747,MODEL-FAILED
2048,Neutral,NullRepresentationControl,0.0557,0.0581,0.0583,0.0582,0.0545,0.0536,0.0559,MODEL-FAILED
3072,Neutral,NullRepresentationControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
4096,Neutral,NullRepresentationControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
6144,Neutral,NullRepresentationControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
8192,Neutral,NullRepresentationControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
1,Projection-Antisymmetry,InternalModelExtraction,0.96,0.9321,0.93,0.9124,0.91,0.9,0.9095,MODEL-STABLE
2,Projection-Antisymmetry,InternalModelExtraction,0.9591,0.94,0.925,0.9153,0.9073,0.9,0.92,MODEL-STABLE
4,Projection-Antisymmetry,InternalModelExtraction,0.9412,0.9392,0.9266,0.9007,0.8877,0.8961,0.9078,MODEL-STABLE
6,Projection-Antisymmetry,InternalModelExtraction,0.9139,0.9121,0.8995,0.8823,0.8601,0.8793,0.8983,MODEL-BOUNDED
8,Projection-Antisymmetry,InternalModelExtraction,0.9213,0.8901,0.9129,0.8672,0.8726,0.8652,0.8942,MODEL-BOUNDED
12,Projection-Antisymmetry,InternalModelExtraction,0.9089,0.9029,0.8914,0.8482,0.8338,0.8514,0.8619,MODEL-BOUNDED
16,Projection-Antisymmetry,InternalModelExtraction,0.8747,0.8521,0.8692,0.8223,0.8367,0.8376,0.856,MODEL-BOUNDED
20,Projection-Antisymmetry,InternalModelExtraction,0.8792,0.8586,0.8272,0.8288,0.7961,0.8118,0.81,MODEL-BOUNDED
24,Projection-Antisymmetry,InternalModelExtraction,0.8557,0.8236,0.8163,0.8038,0.7951,0.7912,0.7936,MODEL-BOUNDED
32,Projection-Antisymmetry,InternalModelExtraction,0.8048,0.7959,0.7785,0.7832,0.753,0.7739,0.7795,MODEL-PARTIAL
40,Projection-Antisymmetry,InternalModelExtraction,0.7852,0.755,0.7494,0.7287,0.7297,0.7324,0.7514,MODEL-PARTIAL
48,Projection-Antisymmetry,InternalModelExtraction,0.7623,0.745,0.7143,0.7125,0.7039,0.6964,0.7165,MODEL-PARTIAL
64,Projection-Antisymmetry,InternalModelExtraction,0.6873,0.673,0.6842,0.6645,0.6504,0.6671,0.6699,MODEL-DEGRADING
80,Projection-Antisymmetry,InternalModelExtraction,0.6579,0.6395,0.6472,0.6221,0.619,0.6151,0.6208,MODEL-DEGRADING
96,Projection-Antisymmetry,InternalModelExtraction,0.6101,0.6046,0.5906,0.5955,0.567,0.587,0.5717,MODEL-DEGRADING
128,Projection-Antisymmetry,InternalModelExtraction,0.5433,0.5401,0.5386,0.5184,0.5205,0.5187,0.5137,MODEL-FAILED
160,Projection-Antisymmetry,InternalModelExtraction,0.483,0.4844,0.4774,0.4686,0.4543,0.4675,0.4603,MODEL-FAILED
192,Projection-Antisymmetry,InternalModelExtraction,0.4424,0.4495,0.4281,0.43,0.4192,0.4306,0.4272,MODEL-FAILED
256,Projection-Antisymmetry,InternalModelExtraction,0.3854,0.3692,0.3691,0.3639,0.3512,0.3532,0.3609,MODEL-FAILED
320,Projection-Antisymmetry,InternalModelExtraction,0.3274,0.3287,0.3211,0.3209,0.3154,0.3053,0.3137,MODEL-FAILED
512,Projection-Antisymmetry,InternalModelExtraction,0.2321,0.2365,0.2295,0.2272,0.2243,0.2273,0.2209,MODEL-FAILED
768,Projection-Antisymmetry,InternalModelExtraction,0.1722,0.1697,0.1676,0.1653,0.1597,0.1636,0.1626,MODEL-FAILED
1024,Projection-Antisymmetry,InternalModelExtraction,0.136,0.1328,0.1335,0.1296,0.1277,0.1265,0.1272,MODEL-FAILED
1536,Projection-Antisymmetry,InternalModelExtraction,0.0933,0.0946,0.0927,0.0897,0.0904,0.0892,0.0908,MODEL-FAILED
2048,Projection-Antisymmetry,InternalModelExtraction,0.0731,0.0709,0.0691,0.0699,0.0674,0.0684,0.069,MODEL-FAILED
3072,Projection-Antisymmetry,InternalModelExtraction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
4096,Projection-Antisymmetry,InternalModelExtraction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
6144,Projection-Antisymmetry,InternalModelExtraction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
8192,Projection-Antisymmetry,InternalModelExtraction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
