depth,sector,condition,rg_similarity,wave_coherence,interference_stability,standing_mode_persistence,oscillatory_transport_alignment,recursive_mode_synchronization,interference_gain,classification
8192,Antisymmetry,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
12288,Antisymmetry,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
16384,Antisymmetry,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
24576,Antisymmetry,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
32768,Antisymmetry,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
65536,Antisymmetry,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
131072,Antisymmetry,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
262144,Antisymmetry,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
524288,Antisymmetry,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.9014,0.93,WAVE-STABLE
1048576,Antisymmetry,ConstructiveDestructiveInteraction,0.96,0.9238,0.94,0.9012,0.907,0.8836,0.9236,WAVE-STABLE
2097152,Antisymmetry,ConstructiveDestructiveInteraction,0.9061,0.8779,0.8803,0.8687,0.871,0.8188,0.8813,WAVE-BOUNDED
4194304,Antisymmetry,ConstructiveDestructiveInteraction,0.7999,0.7777,0.8035,0.7588,0.7548,0.7355,0.774,WAVE-PARTIAL
1,Antisymmetry,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
2,Antisymmetry,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
4,Antisymmetry,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
6,Antisymmetry,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
8,Antisymmetry,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
12,Antisymmetry,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
16,Antisymmetry,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
20,Antisymmetry,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
24,Antisymmetry,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
32,Antisymmetry,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
40,Antisymmetry,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
48,Antisymmetry,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
64,Antisymmetry,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
80,Antisymmetry,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
96,Antisymmetry,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
128,Antisymmetry,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
160,Antisymmetry,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
192,Antisymmetry,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
256,Antisymmetry,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
320,Antisymmetry,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
512,Antisymmetry,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
768,Antisymmetry,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
1024,Antisymmetry,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
1536,Antisymmetry,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
2048,Antisymmetry,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
3072,Antisymmetry,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
4096,Antisymmetry,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
6144,Antisymmetry,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
8192,Antisymmetry,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
12288,Antisymmetry,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
16384,Antisymmetry,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
24576,Antisymmetry,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
32768,Antisymmetry,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
65536,Antisymmetry,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
131072,Antisymmetry,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
262144,Antisymmetry,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
524288,Antisymmetry,RecursiveModeSynchronization,0.96,0.9351,0.936,0.93,0.92,0.91,0.93,WAVE-STABLE
1048576,Antisymmetry,RecursiveModeSynchronization,0.96,0.9178,0.9179,0.9164,0.889,0.91,0.8969,WAVE-STABLE
2097152,Antisymmetry,RecursiveModeSynchronization,0.9079,0.8602,0.8869,0.8785,0.8544,0.8792,0.8792,WAVE-BOUNDED
4194304,Antisymmetry,RecursiveModeSynchronization,0.802,0.7684,0.7828,0.7732,0.76,0.783,0.7797,WAVE-PARTIAL
1,Antisymmetry,NullWaveControl,0.7312,0.6806,0.6721,0.6783,0.6497,0.6543,0.6752,WAVE-DEGRADING
2,Antisymmetry,NullWaveControl,0.755,0.7033,0.6727,0.6811,0.6632,0.6721,0.6565,WAVE-PARTIAL
4,Antisymmetry,NullWaveControl,0.7315,0.6964,0.7013,0.6662,0.6662,0.6482,0.6564,WAVE-DEGRADING
6,Antisymmetry,NullWaveControl,0.7475,0.6894,0.6847,0.6823,0.6543,0.6712,0.6596,WAVE-DEGRADING
8,Antisymmetry,NullWaveControl,0.7564,0.6832,0.6916,0.6666,0.6724,0.6433,0.6685,WAVE-DEGRADING
12,Antisymmetry,NullWaveControl,0.7265,0.6791,0.7,0.678,0.6512,0.6736,0.6639,WAVE-DEGRADING
16,Antisymmetry,NullWaveControl,0.7321,0.6802,0.6894,0.6624,0.66,0.6553,0.6582,WAVE-DEGRADING
20,Antisymmetry,NullWaveControl,0.7171,0.7089,0.7015,0.6618,0.6733,0.6743,0.6819,WAVE-PARTIAL
24,Antisymmetry,NullWaveControl,0.7217,0.6895,0.6866,0.6676,0.6559,0.6738,0.6952,WAVE-DEGRADING
32,Antisymmetry,NullWaveControl,0.7262,0.7034,0.7048,0.6676,0.6567,0.6751,0.6884,WAVE-PARTIAL
40,Antisymmetry,NullWaveControl,0.7331,0.715,0.6993,0.6629,0.673,0.6555,0.6719,WAVE-PARTIAL
48,Antisymmetry,NullWaveControl,0.7539,0.6918,0.697,0.6699,0.6847,0.6741,0.6638,WAVE-DEGRADING
64,Antisymmetry,NullWaveControl,0.7565,0.7108,0.6966,0.6756,0.6758,0.651,0.6774,WAVE-PARTIAL
80,Antisymmetry,NullWaveControl,0.7415,0.7067,0.6954,0.686,0.6707,0.6672,0.6598,WAVE-PARTIAL
96,Antisymmetry,NullWaveControl,0.7236,0.6784,0.6725,0.6587,0.6661,0.6433,0.6575,WAVE-DEGRADING
128,Antisymmetry,NullWaveControl,0.7343,0.6826,0.6919,0.6733,0.6572,0.652,0.6591,WAVE-DEGRADING
160,Antisymmetry,NullWaveControl,0.7367,0.6773,0.7011,0.6896,0.6786,0.6483,0.687,WAVE-DEGRADING
192,Antisymmetry,NullWaveControl,0.7485,0.7153,0.675,0.6837,0.6651,0.6585,0.6783,WAVE-PARTIAL
256,Antisymmetry,NullWaveControl,0.725,0.7129,0.68,0.6818,0.6767,0.6744,0.6644,WAVE-PARTIAL
320,Antisymmetry,NullWaveControl,0.7452,0.7104,0.7015,0.6782,0.651,0.6752,0.6565,WAVE-PARTIAL
512,Antisymmetry,NullWaveControl,0.7199,0.6931,0.6734,0.6574,0.6754,0.652,0.6719,WAVE-DEGRADING
768,Antisymmetry,NullWaveControl,0.7271,0.6775,0.6847,0.6652,0.6801,0.6721,0.6628,WAVE-DEGRADING
1024,Antisymmetry,NullWaveControl,0.7177,0.6981,0.6686,0.6752,0.6499,0.647,0.6731,WAVE-DEGRADING
1536,Antisymmetry,NullWaveControl,0.7337,0.6858,0.6839,0.6884,0.683,0.6384,0.6632,WAVE-DEGRADING
2048,Antisymmetry,NullWaveControl,0.7469,0.6834,0.6931,0.6807,0.6661,0.6444,0.671,WAVE-DEGRADING
3072,Antisymmetry,NullWaveControl,0.7521,0.6872,0.6948,0.6812,0.6537,0.6722,0.6758,WAVE-DEGRADING
4096,Antisymmetry,NullWaveControl,0.7338,0.7028,0.6753,0.6578,0.6622,0.6409,0.6714,WAVE-PARTIAL
6144,Antisymmetry,NullWaveControl,0.7451,0.6821,0.6943,0.6927,0.6782,0.6507,0.6702,WAVE-DEGRADING
8192,Antisymmetry,NullWaveControl,0.745,0.6914,0.6994,0.662,0.6681,0.646,0.6836,WAVE-DEGRADING
12288,Antisymmetry,NullWaveControl,0.7285,0.7045,0.6863,0.6592,0.6679,0.6425,0.6734,WAVE-PARTIAL
16384,Antisymmetry,NullWaveControl,0.7508,0.6895,0.6696,0.6875,0.6837,0.6656,0.6922,WAVE-DEGRADING
24576,Antisymmetry,NullWaveControl,0.719,0.6926,0.6861,0.6787,0.6484,0.6731,0.6625,WAVE-DEGRADING
32768,Antisymmetry,NullWaveControl,0.7364,0.6789,0.7015,0.6782,0.6694,0.6505,0.6871,WAVE-DEGRADING
65536,Antisymmetry,NullWaveControl,0.7169,0.6751,0.6666,0.6787,0.6527,0.644,0.6735,WAVE-DEGRADING
131072,Antisymmetry,NullWaveControl,0.7481,0.6853,0.6998,0.6768,0.6622,0.6551,0.6507,WAVE-DEGRADING
262144,Antisymmetry,NullWaveControl,0.7396,0.6988,0.6795,0.6659,0.6674,0.6291,0.651,WAVE-DEGRADING
524288,Antisymmetry,NullWaveControl,0.7158,0.665,0.6788,0.6438,0.6276,0.6346,0.6363,WAVE-DEGRADING
1048576,Antisymmetry,NullWaveControl,0.6993,0.6535,0.6374,0.6227,0.6198,0.6164,0.6395,WAVE-DEGRADING
2097152,Antisymmetry,NullWaveControl,0.6378,0.6034,0.593,0.5853,0.5917,0.5646,0.6009,WAVE-DEGRADING
4194304,Antisymmetry,NullWaveControl,0.5779,0.5635,0.544,0.5441,0.5194,0.5091,0.5201,WAVE-DEGRADING
1,Neutral,WaveModeExtraction,0.9439,0.9342,0.9238,0.9237,0.9122,0.8854,0.9242,WAVE-STABLE
2,Neutral,WaveModeExtraction,0.96,0.9467,0.9319,0.93,0.92,0.867,0.9039,WAVE-STABLE
4,Neutral,WaveModeExtraction,0.96,0.96,0.8985,0.8969,0.9061,0.8792,0.9013,WAVE-STABLE
6,Neutral,WaveModeExtraction,0.96,0.9543,0.9264,0.914,0.92,0.8763,0.9024,WAVE-STABLE
8,Neutral,WaveModeExtraction,0.948,0.9259,0.917,0.9284,0.916,0.8834,0.8866,WAVE-STABLE
12,Neutral,WaveModeExtraction,0.9506,0.9569,0.9111,0.9064,0.8969,0.8665,0.9112,WAVE-STABLE
16,Neutral,WaveModeExtraction,0.9445,0.9367,0.91,0.9182,0.9149,0.8921,0.8861,WAVE-STABLE
20,Neutral,WaveModeExtraction,0.9566,0.9515,0.9298,0.903,0.9073,0.9047,0.8978,WAVE-STABLE
24,Neutral,WaveModeExtraction,0.9467,0.9337,0.9322,0.9007,0.9041,0.8987,0.8894,WAVE-STABLE
32,Neutral,WaveModeExtraction,0.9421,0.9565,0.9177,0.93,0.92,0.892,0.8869,WAVE-STABLE
40,Neutral,WaveModeExtraction,0.9589,0.96,0.9097,0.9009,0.92,0.8822,0.9223,WAVE-STABLE
48,Neutral,WaveModeExtraction,0.949,0.9426,0.896,0.93,0.9002,0.883,0.8914,WAVE-STABLE
64,Neutral,WaveModeExtraction,0.9423,0.9396,0.921,0.9089,0.92,0.8663,0.8955,WAVE-STABLE
80,Neutral,WaveModeExtraction,0.96,0.9364,0.9006,0.9283,0.92,0.8895,0.8895,WAVE-STABLE
96,Neutral,WaveModeExtraction,0.96,0.9289,0.9213,0.9049,0.92,0.881,0.9076,WAVE-STABLE
128,Neutral,WaveModeExtraction,0.96,0.9282,0.9333,0.9243,0.9096,0.897,0.9021,WAVE-STABLE
160,Neutral,WaveModeExtraction,0.96,0.9427,0.9337,0.8985,0.9197,0.9044,0.9256,WAVE-STABLE
192,Neutral,WaveModeExtraction,0.96,0.9554,0.9,0.9153,0.9094,0.9005,0.9161,WAVE-STABLE
256,Neutral,WaveModeExtraction,0.9475,0.9493,0.924,0.9141,0.9073,0.8859,0.9251,WAVE-STABLE
320,Neutral,WaveModeExtraction,0.9557,0.9281,0.9109,0.9013,0.919,0.8949,0.9115,WAVE-STABLE
512,Neutral,WaveModeExtraction,0.96,0.9568,0.8978,0.9288,0.916,0.902,0.9188,WAVE-STABLE
768,Neutral,WaveModeExtraction,0.9589,0.96,0.9078,0.9255,0.9191,0.8736,0.8892,WAVE-STABLE
1024,Neutral,WaveModeExtraction,0.9516,0.9434,0.8982,0.9136,0.9168,0.8664,0.8909,WAVE-STABLE
1536,Neutral,WaveModeExtraction,0.96,0.96,0.8979,0.9205,0.8979,0.8821,0.9236,WAVE-STABLE
2048,Neutral,WaveModeExtraction,0.96,0.9593,0.9284,0.9024,0.9006,0.8886,0.9131,WAVE-STABLE
3072,Neutral,WaveModeExtraction,0.96,0.9559,0.9018,0.93,0.9133,0.8672,0.8928,WAVE-STABLE
4096,Neutral,WaveModeExtraction,0.96,0.9318,0.9208,0.91,0.9003,0.8873,0.8929,WAVE-STABLE
6144,Neutral,WaveModeExtraction,0.96,0.9447,0.9115,0.8977,0.8985,0.8864,0.8926,WAVE-STABLE
8192,Neutral,WaveModeExtraction,0.953,0.9549,0.8985,0.9211,0.8978,0.8681,0.8914,WAVE-STABLE
12288,Neutral,WaveModeExtraction,0.96,0.9522,0.92,0.9165,0.9087,0.8934,0.889,WAVE-STABLE
16384,Neutral,WaveModeExtraction,0.96,0.9533,0.9186,0.9294,0.92,0.8712,0.912,WAVE-STABLE
24576,Neutral,WaveModeExtraction,0.96,0.9414,0.9315,0.9196,0.9,0.9014,0.8958,WAVE-STABLE
32768,Neutral,WaveModeExtraction,0.96,0.9444,0.9265,0.9277,0.9051,0.8873,0.908,WAVE-STABLE
65536,Neutral,WaveModeExtraction,0.96,0.9293,0.9166,0.9188,0.9,0.8958,0.92,WAVE-STABLE
131072,Neutral,WaveModeExtraction,0.9593,0.9408,0.9259,0.9226,0.8956,0.8719,0.9052,WAVE-STABLE
262144,Neutral,WaveModeExtraction,0.9557,0.9427,0.8867,0.9059,0.8856,0.8592,0.8957,WAVE-STABLE
524288,Neutral,WaveModeExtraction,0.9202,0.9148,0.8719,0.8768,0.8738,0.8457,0.8713,WAVE-STABLE
1048576,Neutral,WaveModeExtraction,0.8933,0.8994,0.8532,0.8669,0.873,0.8438,0.8672,WAVE-BOUNDED
2097152,Neutral,WaveModeExtraction,0.8542,0.8343,0.814,0.8052,0.7999,0.7662,0.7961,WAVE-BOUNDED
4194304,Neutral,WaveModeExtraction,0.7688,0.7413,0.7333,0.7275,0.7403,0.7074,0.7302,WAVE-PARTIAL
1,Neutral,RecursiveInterferenceCoherence,0.9578,0.9382,0.94,0.888,0.9017,0.91,0.9265,WAVE-STABLE
2,Neutral,RecursiveInterferenceCoherence,0.96,0.9301,0.94,0.8872,0.8886,0.91,0.9231,WAVE-STABLE
4,Neutral,RecursiveInterferenceCoherence,0.96,0.9257,0.9359,0.9217,0.8785,0.91,0.93,WAVE-STABLE
6,Neutral,RecursiveInterferenceCoherence,0.96,0.9213,0.94,0.9221,0.8796,0.91,0.9196,WAVE-STABLE
8,Neutral,RecursiveInterferenceCoherence,0.9495,0.9348,0.9391,0.9054,0.8885,0.8973,0.9158,WAVE-STABLE
12,Neutral,RecursiveInterferenceCoherence,0.959,0.9287,0.94,0.9079,0.894,0.91,0.9017,WAVE-STABLE
16,Neutral,RecursiveInterferenceCoherence,0.96,0.9295,0.9377,0.8895,0.9143,0.9056,0.9073,WAVE-STABLE
20,Neutral,RecursiveInterferenceCoherence,0.9521,0.9104,0.94,0.9247,0.8804,0.9042,0.8981,WAVE-STABLE
24,Neutral,RecursiveInterferenceCoherence,0.96,0.928,0.9332,0.9204,0.8954,0.91,0.9091,WAVE-STABLE
32,Neutral,RecursiveInterferenceCoherence,0.96,0.9142,0.94,0.9015,0.9044,0.91,0.9197,WAVE-STABLE
40,Neutral,RecursiveInterferenceCoherence,0.96,0.9347,0.9309,0.9164,0.8944,0.91,0.9036,WAVE-STABLE
48,Neutral,RecursiveInterferenceCoherence,0.96,0.9086,0.94,0.9073,0.9,0.91,0.9012,WAVE-STABLE
64,Neutral,RecursiveInterferenceCoherence,0.96,0.9272,0.94,0.8984,0.8786,0.91,0.9259,WAVE-STABLE
80,Neutral,RecursiveInterferenceCoherence,0.96,0.937,0.9303,0.8895,0.915,0.91,0.9016,WAVE-STABLE
96,Neutral,RecursiveInterferenceCoherence,0.96,0.9161,0.94,0.9019,0.9003,0.8858,0.9235,WAVE-STABLE
128,Neutral,RecursiveInterferenceCoherence,0.96,0.9312,0.94,0.9108,0.8941,0.91,0.921,WAVE-STABLE
160,Neutral,RecursiveInterferenceCoherence,0.9588,0.921,0.94,0.911,0.9041,0.8859,0.9131,WAVE-STABLE
192,Neutral,RecursiveInterferenceCoherence,0.9574,0.9288,0.94,0.9078,0.9144,0.91,0.9216,WAVE-STABLE
256,Neutral,RecursiveInterferenceCoherence,0.96,0.9221,0.9389,0.9225,0.8781,0.8978,0.8959,WAVE-STABLE
320,Neutral,RecursiveInterferenceCoherence,0.96,0.9306,0.9376,0.9189,0.9117,0.8916,0.93,WAVE-STABLE
512,Neutral,RecursiveInterferenceCoherence,0.9585,0.9387,0.94,0.9254,0.8859,0.91,0.9215,WAVE-STABLE
768,Neutral,RecursiveInterferenceCoherence,0.96,0.9352,0.926,0.8858,0.912,0.8896,0.93,WAVE-STABLE
1024,Neutral,RecursiveInterferenceCoherence,0.96,0.9242,0.94,0.9024,0.8939,0.9078,0.93,WAVE-STABLE
1536,Neutral,RecursiveInterferenceCoherence,0.958,0.9432,0.9304,0.9154,0.877,0.8917,0.9117,WAVE-STABLE
2048,Neutral,RecursiveInterferenceCoherence,0.96,0.9342,0.94,0.912,0.884,0.91,0.9147,WAVE-STABLE
3072,Neutral,RecursiveInterferenceCoherence,0.96,0.9091,0.94,0.9057,0.9052,0.8958,0.9246,WAVE-STABLE
4096,Neutral,RecursiveInterferenceCoherence,0.96,0.9054,0.94,0.9239,0.8767,0.8995,0.9008,WAVE-STABLE
6144,Neutral,RecursiveInterferenceCoherence,0.96,0.9171,0.9344,0.896,0.9042,0.9029,0.9218,WAVE-STABLE
8192,Neutral,RecursiveInterferenceCoherence,0.9514,0.9244,0.94,0.9123,0.894,0.91,0.9033,WAVE-STABLE
12288,Neutral,RecursiveInterferenceCoherence,0.96,0.9284,0.94,0.8972,0.9113,0.91,0.9105,WAVE-STABLE
16384,Neutral,RecursiveInterferenceCoherence,0.9581,0.9048,0.94,0.8967,0.9113,0.91,0.9097,WAVE-STABLE
24576,Neutral,RecursiveInterferenceCoherence,0.9552,0.9122,0.9367,0.9052,0.8773,0.8857,0.9125,WAVE-STABLE
32768,Neutral,RecursiveInterferenceCoherence,0.96,0.9166,0.9391,0.9161,0.8812,0.887,0.9222,WAVE-STABLE
65536,Neutral,RecursiveInterferenceCoherence,0.9513,0.9349,0.923,0.9001,0.874,0.9031,0.9151,WAVE-STABLE
131072,Neutral,RecursiveInterferenceCoherence,0.96,0.9062,0.9372,0.9128,0.9063,0.8888,0.8938,WAVE-STABLE
262144,Neutral,RecursiveInterferenceCoherence,0.96,0.9109,0.94,0.8866,0.8892,0.8814,0.8914,WAVE-STABLE
524288,Neutral,RecursiveInterferenceCoherence,0.9209,0.8844,0.9163,0.8853,0.8599,0.8754,0.902,WAVE-BOUNDED
1048576,Neutral,RecursiveInterferenceCoherence,0.9151,0.8509,0.8865,0.8624,0.8321,0.867,0.856,WAVE-BOUNDED
2097152,Neutral,RecursiveInterferenceCoherence,0.86,0.8041,0.8376,0.8144,0.7976,0.7977,0.8248,WAVE-BOUNDED
4194304,Neutral,RecursiveInterferenceCoherence,0.777,0.7461,0.7372,0.7134,0.7131,0.7199,0.7213,WAVE-PARTIAL
1,Neutral,StandingModePersistence,0.96,0.9242,0.9176,0.93,0.9078,0.9023,0.9252,WAVE-STABLE
2,Neutral,StandingModePersistence,0.96,0.925,0.8975,0.93,0.8828,0.91,0.9089,WAVE-STABLE
4,Neutral,StandingModePersistence,0.9524,0.9497,0.9189,0.93,0.8987,0.8877,0.909,WAVE-STABLE
6,Neutral,StandingModePersistence,0.96,0.9425,0.9321,0.919,0.8968,0.8908,0.9179,WAVE-STABLE
8,Neutral,StandingModePersistence,0.9591,0.9489,0.9237,0.93,0.8912,0.8997,0.9146,WAVE-STABLE
12,Neutral,StandingModePersistence,0.96,0.9442,0.9174,0.93,0.9033,0.8816,0.9142,WAVE-STABLE
16,Neutral,StandingModePersistence,0.96,0.9531,0.9014,0.93,0.902,0.8911,0.8868,WAVE-STABLE
20,Neutral,StandingModePersistence,0.96,0.9362,0.8971,0.9202,0.8762,0.9013,0.9179,WAVE-STABLE
24,Neutral,StandingModePersistence,0.9488,0.9342,0.9311,0.93,0.8978,0.8958,0.8955,WAVE-STABLE
32,Neutral,StandingModePersistence,0.96,0.9173,0.909,0.93,0.913,0.8899,0.8998,WAVE-STABLE
40,Neutral,StandingModePersistence,0.96,0.9279,0.9009,0.93,0.9087,0.8975,0.9215,WAVE-STABLE
48,Neutral,StandingModePersistence,0.96,0.9533,0.9231,0.93,0.9079,0.9081,0.8866,WAVE-STABLE
64,Neutral,StandingModePersistence,0.96,0.9505,0.9042,0.93,0.8871,0.8925,0.8901,WAVE-STABLE
80,Neutral,StandingModePersistence,0.96,0.9403,0.9085,0.9215,0.886,0.8981,0.8956,WAVE-STABLE
96,Neutral,StandingModePersistence,0.9438,0.928,0.9288,0.93,0.8786,0.91,0.8887,WAVE-STABLE
128,Neutral,StandingModePersistence,0.96,0.9548,0.9253,0.9244,0.8868,0.902,0.9027,WAVE-STABLE
160,Neutral,StandingModePersistence,0.9496,0.9484,0.9244,0.9277,0.8918,0.8961,0.9122,WAVE-STABLE
192,Neutral,StandingModePersistence,0.9424,0.9303,0.9156,0.9186,0.9021,0.91,0.894,WAVE-STABLE
256,Neutral,StandingModePersistence,0.96,0.9527,0.9239,0.93,0.9034,0.9088,0.9248,WAVE-STABLE
320,Neutral,StandingModePersistence,0.9526,0.9351,0.9166,0.93,0.8783,0.9094,0.8968,WAVE-STABLE
512,Neutral,StandingModePersistence,0.9531,0.9383,0.9174,0.9272,0.8837,0.8907,0.8993,WAVE-STABLE
768,Neutral,StandingModePersistence,0.9521,0.9422,0.9289,0.9254,0.9117,0.8843,0.9203,WAVE-STABLE
1024,Neutral,StandingModePersistence,0.9425,0.93,0.9147,0.9221,0.8941,0.9098,0.9076,WAVE-STABLE
1536,Neutral,StandingModePersistence,0.96,0.9287,0.8969,0.93,0.8984,0.9034,0.9042,WAVE-STABLE
2048,Neutral,StandingModePersistence,0.96,0.9318,0.9259,0.93,0.896,0.8779,0.8927,WAVE-STABLE
3072,Neutral,StandingModePersistence,0.9431,0.9271,0.9134,0.93,0.9151,0.8789,0.893,WAVE-STABLE
4096,Neutral,StandingModePersistence,0.9578,0.9223,0.9261,0.93,0.8914,0.8947,0.8996,WAVE-STABLE
6144,Neutral,StandingModePersistence,0.96,0.9259,0.9159,0.93,0.9003,0.8823,0.9152,WAVE-STABLE
8192,Neutral,StandingModePersistence,0.96,0.9153,0.9034,0.93,0.8837,0.9028,0.8958,WAVE-STABLE
12288,Neutral,StandingModePersistence,0.96,0.9403,0.9141,0.93,0.8862,0.8803,0.9226,WAVE-STABLE
16384,Neutral,StandingModePersistence,0.96,0.9483,0.915,0.93,0.8794,0.8806,0.922,WAVE-STABLE
24576,Neutral,StandingModePersistence,0.9558,0.9335,0.8943,0.9213,0.9141,0.8859,0.9128,WAVE-STABLE
32768,Neutral,StandingModePersistence,0.96,0.933,0.9211,0.9149,0.8918,0.8805,0.8895,WAVE-STABLE
65536,Neutral,StandingModePersistence,0.9382,0.9192,0.9169,0.93,0.9109,0.9076,0.911,WAVE-STABLE
131072,Neutral,StandingModePersistence,0.9373,0.9088,0.9141,0.929,0.8877,0.8947,0.8826,WAVE-STABLE
262144,Neutral,StandingModePersistence,0.9332,0.9024,0.8879,0.9103,0.8798,0.8868,0.9095,WAVE-STABLE
524288,Neutral,StandingModePersistence,0.9373,0.9207,0.8925,0.8967,0.8557,0.8787,0.8804,WAVE-STABLE
1048576,Neutral,StandingModePersistence,0.9021,0.8888,0.8583,0.8718,0.827,0.8235,0.8334,WAVE-BOUNDED
2097152,Neutral,StandingModePersistence,0.8372,0.827,0.809,0.8205,0.7885,0.7785,0.8024,WAVE-BOUNDED
4194304,Neutral,StandingModePersistence,0.7478,0.7448,0.7164,0.7484,0.711,0.7155,0.723,WAVE-PARTIAL
1,Neutral,OscillatoryTransportStability,0.96,0.9322,0.9136,0.9097,0.92,0.868,0.93,WAVE-STABLE
2,Neutral,OscillatoryTransportStability,0.96,0.9223,0.9082,0.8915,0.92,0.9055,0.9162,WAVE-STABLE
4,Neutral,OscillatoryTransportStability,0.96,0.9476,0.94,0.9204,0.92,0.8818,0.8976,WAVE-STABLE
6,Neutral,OscillatoryTransportStability,0.9451,0.9303,0.9371,0.9186,0.92,0.8781,0.9052,WAVE-STABLE
8,Neutral,OscillatoryTransportStability,0.9567,0.9536,0.9072,0.8925,0.92,0.8926,0.9016,WAVE-STABLE
12,Neutral,OscillatoryTransportStability,0.96,0.9385,0.935,0.8892,0.92,0.8694,0.9265,WAVE-STABLE
16,Neutral,OscillatoryTransportStability,0.9469,0.9354,0.9149,0.9075,0.92,0.9003,0.928,WAVE-STABLE
20,Neutral,OscillatoryTransportStability,0.96,0.9266,0.924,0.888,0.92,0.8934,0.9198,WAVE-STABLE
24,Neutral,OscillatoryTransportStability,0.9591,0.9393,0.9279,0.9087,0.92,0.9008,0.919,WAVE-STABLE
