depth,sector,condition,rg_similarity,identity_persistence,differentiation_coherence,lineage_stability,boundary_integrity,coexistence_stability,transport_identity_alignment,classification
4,Neutral,LineagePersistenceMapping,0.9012,0.9085,0.8769,0.8962,0.8447,0.8321,0.8509,IDENTITY-BOUNDED
6,Neutral,LineagePersistenceMapping,0.8767,0.8799,0.8498,0.8621,0.8402,0.8266,0.845,IDENTITY-BOUNDED
8,Neutral,LineagePersistenceMapping,0.8537,0.8367,0.8493,0.8348,0.8343,0.8112,0.8431,IDENTITY-BOUNDED
12,Neutral,LineagePersistenceMapping,0.8251,0.8341,0.7928,0.8058,0.7728,0.7682,0.7825,IDENTITY-PARTIAL
16,Neutral,LineagePersistenceMapping,0.8028,0.7814,0.7705,0.7646,0.7671,0.739,0.7676,IDENTITY-PARTIAL
20,Neutral,LineagePersistenceMapping,0.7688,0.7621,0.7452,0.7361,0.7257,0.7153,0.7175,IDENTITY-PARTIAL
24,Neutral,LineagePersistenceMapping,0.743,0.7107,0.7225,0.7025,0.6967,0.6887,0.6885,IDENTITY-PARTIAL
32,Neutral,LineagePersistenceMapping,0.6985,0.6675,0.6781,0.6815,0.6467,0.6321,0.6493,IDENTITY-DEGRADING
40,Neutral,LineagePersistenceMapping,0.6315,0.6311,0.6218,0.6285,0.597,0.6077,0.6124,IDENTITY-DEGRADING
48,Neutral,LineagePersistenceMapping,0.5926,0.5921,0.5818,0.5797,0.5549,0.551,0.585,IDENTITY-DEGRADING
64,Neutral,LineagePersistenceMapping,0.5425,0.5211,0.5175,0.514,0.4966,0.4905,0.516,IDENTITY-FAILED
80,Neutral,LineagePersistenceMapping,0.4769,0.4682,0.4733,0.465,0.4573,0.4582,0.4645,IDENTITY-FAILED
96,Neutral,LineagePersistenceMapping,0.4442,0.4398,0.4325,0.4298,0.4104,0.4012,0.4182,IDENTITY-FAILED
128,Neutral,LineagePersistenceMapping,0.376,0.369,0.3639,0.3564,0.3563,0.3547,0.3584,IDENTITY-FAILED
160,Neutral,LineagePersistenceMapping,0.331,0.3249,0.3177,0.3118,0.298,0.3042,0.3106,IDENTITY-FAILED
192,Neutral,LineagePersistenceMapping,0.2817,0.2863,0.2752,0.2789,0.271,0.2602,0.2768,IDENTITY-FAILED
256,Neutral,LineagePersistenceMapping,0.2286,0.2297,0.2239,0.2297,0.2175,0.219,0.2234,IDENTITY-FAILED
320,Neutral,LineagePersistenceMapping,0.1967,0.1933,0.1869,0.1907,0.1807,0.1809,0.1893,IDENTITY-FAILED
512,Neutral,LineagePersistenceMapping,0.135,0.1305,0.1261,0.1271,0.1221,0.1208,0.1236,IDENTITY-FAILED
768,Neutral,LineagePersistenceMapping,0.092,0.0912,0.0891,0.0899,0.0865,0.0842,0.0891,IDENTITY-FAILED
1024,Neutral,LineagePersistenceMapping,0.0714,0.0692,0.0679,0.0687,0.0682,0.0649,0.0683,IDENTITY-FAILED
1536,Neutral,LineagePersistenceMapping,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
2048,Neutral,LineagePersistenceMapping,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
3072,Neutral,LineagePersistenceMapping,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
1,Neutral,IdentityBoundaryStability,0.9497,0.9244,0.9046,0.8768,0.91,0.8731,0.8757,IDENTITY-STABLE
2,Neutral,IdentityBoundaryStability,0.9407,0.9163,0.8894,0.885,0.8794,0.8771,0.8671,IDENTITY-BOUNDED
4,Neutral,IdentityBoundaryStability,0.9095,0.8758,0.877,0.8466,0.8776,0.8289,0.847,IDENTITY-BOUNDED
6,Neutral,IdentityBoundaryStability,0.8879,0.8714,0.8687,0.8458,0.8472,0.8208,0.8631,IDENTITY-BOUNDED
8,Neutral,IdentityBoundaryStability,0.883,0.8508,0.8279,0.8081,0.8442,0.7938,0.8216,IDENTITY-BOUNDED
12,Neutral,IdentityBoundaryStability,0.8467,0.8106,0.8166,0.8023,0.7879,0.7634,0.7878,IDENTITY-BOUNDED
16,Neutral,IdentityBoundaryStability,0.8122,0.7701,0.7573,0.7687,0.7612,0.7442,0.7557,IDENTITY-PARTIAL
20,Neutral,IdentityBoundaryStability,0.7763,0.7611,0.7425,0.7433,0.7503,0.7178,0.7189,IDENTITY-PARTIAL
24,Neutral,IdentityBoundaryStability,0.7317,0.7094,0.7207,0.7041,0.7161,0.6882,0.7074,IDENTITY-PARTIAL
32,Neutral,IdentityBoundaryStability,0.6738,0.6582,0.6548,0.6445,0.6744,0.6269,0.6615,IDENTITY-DEGRADING
40,Neutral,IdentityBoundaryStability,0.6447,0.6289,0.6042,0.606,0.6078,0.5895,0.6149,IDENTITY-DEGRADING
48,Neutral,IdentityBoundaryStability,0.6018,0.5804,0.577,0.581,0.5887,0.56,0.5649,IDENTITY-DEGRADING
64,Neutral,IdentityBoundaryStability,0.5354,0.522,0.5198,0.5214,0.5081,0.4954,0.5068,IDENTITY-FAILED
80,Neutral,IdentityBoundaryStability,0.4884,0.4724,0.4618,0.4669,0.4745,0.4444,0.4552,IDENTITY-FAILED
96,Neutral,IdentityBoundaryStability,0.4301,0.4326,0.4175,0.41,0.4217,0.4167,0.4232,IDENTITY-FAILED
128,Neutral,IdentityBoundaryStability,0.3709,0.3617,0.365,0.3622,0.3636,0.3434,0.3492,IDENTITY-FAILED
160,Neutral,IdentityBoundaryStability,0.3235,0.3146,0.3125,0.3092,0.308,0.3016,0.312,IDENTITY-FAILED
192,Neutral,IdentityBoundaryStability,0.289,0.2796,0.2806,0.2698,0.2701,0.2689,0.2757,IDENTITY-FAILED
256,Neutral,IdentityBoundaryStability,0.2365,0.2223,0.2276,0.2236,0.2191,0.2157,0.2183,IDENTITY-FAILED
320,Neutral,IdentityBoundaryStability,0.1985,0.191,0.1855,0.1862,0.1894,0.185,0.1889,IDENTITY-FAILED
512,Neutral,IdentityBoundaryStability,0.1292,0.1269,0.1245,0.1236,0.1261,0.1214,0.1233,IDENTITY-FAILED
768,Neutral,IdentityBoundaryStability,0.0935,0.0914,0.089,0.0862,0.0894,0.0872,0.088,IDENTITY-FAILED
1024,Neutral,IdentityBoundaryStability,0.0701,0.0687,0.0683,0.0674,0.0678,0.0646,0.0665,IDENTITY-FAILED
1536,Neutral,IdentityBoundaryStability,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
2048,Neutral,IdentityBoundaryStability,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
3072,Neutral,IdentityBoundaryStability,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
1,Neutral,TransportIdentityPreservation,0.9173,0.9265,0.8934,0.9136,0.8912,0.8611,0.92,IDENTITY-BOUNDED
2,Neutral,TransportIdentityPreservation,0.9259,0.8881,0.9139,0.8727,0.8617,0.8682,0.9176,IDENTITY-BOUNDED
4,Neutral,TransportIdentityPreservation,0.8921,0.8854,0.8753,0.8581,0.85,0.8322,0.8738,IDENTITY-BOUNDED
6,Neutral,TransportIdentityPreservation,0.8852,0.8645,0.8557,0.8434,0.8503,0.8415,0.8634,IDENTITY-BOUNDED
8,Neutral,TransportIdentityPreservation,0.8729,0.8423,0.8228,0.8309,0.8327,0.8254,0.8277,IDENTITY-BOUNDED
12,Neutral,TransportIdentityPreservation,0.8321,0.8004,0.7858,0.7862,0.7664,0.7584,0.8121,IDENTITY-PARTIAL
16,Neutral,TransportIdentityPreservation,0.7774,0.7817,0.7621,0.7444,0.7545,0.734,0.7859,IDENTITY-PARTIAL
20,Neutral,TransportIdentityPreservation,0.755,0.735,0.7509,0.7428,0.7356,0.7132,0.7559,IDENTITY-PARTIAL
24,Neutral,TransportIdentityPreservation,0.7442,0.7316,0.724,0.7042,0.6816,0.6881,0.7291,IDENTITY-PARTIAL
32,Neutral,TransportIdentityPreservation,0.6797,0.6788,0.6705,0.6478,0.6552,0.6253,0.6707,IDENTITY-DEGRADING
40,Neutral,TransportIdentityPreservation,0.6448,0.6266,0.6213,0.6052,0.6127,0.606,0.6107,IDENTITY-DEGRADING
48,Neutral,TransportIdentityPreservation,0.609,0.5925,0.587,0.5845,0.5593,0.5565,0.5857,IDENTITY-DEGRADING
64,Neutral,TransportIdentityPreservation,0.5279,0.5256,0.5255,0.5022,0.5089,0.5093,0.5238,IDENTITY-FAILED
80,Neutral,TransportIdentityPreservation,0.4865,0.4701,0.464,0.4498,0.4481,0.445,0.4763,IDENTITY-FAILED
96,Neutral,TransportIdentityPreservation,0.4322,0.424,0.4277,0.411,0.4136,0.4108,0.4237,IDENTITY-FAILED
128,Neutral,TransportIdentityPreservation,0.3637,0.3574,0.3511,0.3556,0.3465,0.3404,0.3685,IDENTITY-FAILED
160,Neutral,TransportIdentityPreservation,0.3157,0.311,0.3137,0.313,0.3043,0.3048,0.3206,IDENTITY-FAILED
192,Neutral,TransportIdentityPreservation,0.2799,0.2775,0.2738,0.2697,0.2664,0.2662,0.2805,IDENTITY-FAILED
256,Neutral,TransportIdentityPreservation,0.2275,0.2255,0.2202,0.2179,0.2134,0.2155,0.2225,IDENTITY-FAILED
320,Neutral,TransportIdentityPreservation,0.197,0.1876,0.187,0.1851,0.1874,0.1775,0.1921,IDENTITY-FAILED
512,Neutral,TransportIdentityPreservation,0.1338,0.128,0.128,0.1231,0.125,0.1245,0.1275,IDENTITY-FAILED
768,Neutral,TransportIdentityPreservation,0.0933,0.0901,0.0886,0.0861,0.0853,0.0856,0.0879,IDENTITY-FAILED
1024,Neutral,TransportIdentityPreservation,0.0719,0.0693,0.0688,0.0668,0.0665,0.0663,0.0685,IDENTITY-FAILED
1536,Neutral,TransportIdentityPreservation,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
2048,Neutral,TransportIdentityPreservation,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
3072,Neutral,TransportIdentityPreservation,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
1,Neutral,CompositeIdentityCoexistence,0.9402,0.8992,0.9246,0.9131,0.8826,0.8964,0.9008,IDENTITY-BOUNDED
2,Neutral,CompositeIdentityCoexistence,0.9268,0.8883,0.9059,0.8972,0.8566,0.8923,0.8786,IDENTITY-BOUNDED
4,Neutral,CompositeIdentityCoexistence,0.9032,0.8853,0.8827,0.8643,0.8597,0.8638,0.8711,IDENTITY-BOUNDED
6,Neutral,CompositeIdentityCoexistence,0.8776,0.8667,0.8679,0.855,0.833,0.8405,0.8401,IDENTITY-BOUNDED
8,Neutral,CompositeIdentityCoexistence,0.87,0.8291,0.8496,0.8247,0.8344,0.8155,0.8242,IDENTITY-BOUNDED
12,Neutral,CompositeIdentityCoexistence,0.8153,0.8157,0.8115,0.7869,0.786,0.789,0.7861,IDENTITY-BOUNDED
16,Neutral,CompositeIdentityCoexistence,0.7768,0.7891,0.7612,0.7498,0.7594,0.7596,0.7508,IDENTITY-PARTIAL
20,Neutral,CompositeIdentityCoexistence,0.7463,0.7521,0.7507,0.7234,0.7282,0.7143,0.742,IDENTITY-PARTIAL
24,Neutral,CompositeIdentityCoexistence,0.7194,0.7061,0.6999,0.7172,0.6974,0.7105,0.695,IDENTITY-DEGRADING
32,Neutral,CompositeIdentityCoexistence,0.6713,0.655,0.6601,0.6534,0.6514,0.6622,0.6563,IDENTITY-DEGRADING
40,Neutral,CompositeIdentityCoexistence,0.6307,0.6253,0.6195,0.6107,0.6012,0.6215,0.5984,IDENTITY-DEGRADING
48,Neutral,CompositeIdentityCoexistence,0.5856,0.5941,0.5681,0.5812,0.5764,0.57,0.5641,IDENTITY-DEGRADING
64,Neutral,CompositeIdentityCoexistence,0.524,0.5277,0.5269,0.5141,0.5098,0.5198,0.5006,IDENTITY-FAILED
80,Neutral,CompositeIdentityCoexistence,0.4868,0.4693,0.4553,0.461,0.4547,0.461,0.4651,IDENTITY-FAILED
96,Neutral,CompositeIdentityCoexistence,0.4318,0.4293,0.4316,0.4092,0.4097,0.4199,0.4254,IDENTITY-FAILED
128,Neutral,CompositeIdentityCoexistence,0.3734,0.3648,0.3643,0.3621,0.3529,0.3588,0.3575,IDENTITY-FAILED
160,Neutral,CompositeIdentityCoexistence,0.3259,0.3145,0.3086,0.3124,0.3023,0.3077,0.3076,IDENTITY-FAILED
192,Neutral,CompositeIdentityCoexistence,0.2783,0.2805,0.2722,0.2662,0.2697,0.2685,0.2691,IDENTITY-FAILED
256,Neutral,CompositeIdentityCoexistence,0.226,0.2241,0.2183,0.2201,0.2162,0.2186,0.2177,IDENTITY-FAILED
320,Neutral,CompositeIdentityCoexistence,0.189,0.1909,0.1897,0.1867,0.1803,0.1864,0.184,IDENTITY-FAILED
512,Neutral,CompositeIdentityCoexistence,0.1305,0.1297,0.1273,0.1279,0.1243,0.1233,0.1229,IDENTITY-FAILED
768,Neutral,CompositeIdentityCoexistence,0.0924,0.0881,0.0888,0.086,0.088,0.0862,0.0859,IDENTITY-FAILED
1024,Neutral,CompositeIdentityCoexistence,0.0695,0.0698,0.0673,0.0677,0.0664,0.0672,0.0685,IDENTITY-FAILED
1536,Neutral,CompositeIdentityCoexistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
2048,Neutral,CompositeIdentityCoexistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
3072,Neutral,CompositeIdentityCoexistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
1,Neutral,NullIdentityControl,0.7652,0.7345,0.7182,0.735,0.7041,0.7222,0.7145,IDENTITY-PARTIAL
2,Neutral,NullIdentityControl,0.75,0.742,0.7209,0.7256,0.7219,0.7009,0.7004,IDENTITY-PARTIAL
4,Neutral,NullIdentityControl,0.7357,0.7131,0.7115,0.7149,0.7095,0.6929,0.6843,IDENTITY-PARTIAL
6,Neutral,NullIdentityControl,0.707,0.7177,0.7016,0.6992,0.6779,0.6794,0.6709,IDENTITY-PARTIAL
8,Neutral,NullIdentityControl,0.6705,0.6873,0.6659,0.67,0.6508,0.6494,0.6579,IDENTITY-DEGRADING
12,Neutral,NullIdentityControl,0.6481,0.6438,0.6489,0.6579,0.6358,0.6168,0.6266,IDENTITY-DEGRADING
16,Neutral,NullIdentityControl,0.6282,0.6297,0.6231,0.6162,0.5927,0.6069,0.6233,IDENTITY-DEGRADING
20,Neutral,NullIdentityControl,0.6169,0.5923,0.6036,0.6232,0.5735,0.5649,0.589,IDENTITY-DEGRADING
24,Neutral,NullIdentityControl,0.5877,0.5926,0.5708,0.5836,0.5585,0.5403,0.5742,IDENTITY-DEGRADING
32,Neutral,NullIdentityControl,0.5365,0.5441,0.5294,0.5549,0.5348,0.5123,0.5176,IDENTITY-FAILED
40,Neutral,NullIdentityControl,0.517,0.4979,0.5056,0.502,0.489,0.4843,0.4963,IDENTITY-FAILED
48,Neutral,NullIdentityControl,0.488,0.474,0.4765,0.4824,0.4476,0.442,0.4687,IDENTITY-FAILED
64,Neutral,NullIdentityControl,0.4239,0.4179,0.4167,0.4244,0.4161,0.3948,0.4044,IDENTITY-FAILED
80,Neutral,NullIdentityControl,0.3884,0.3773,0.3828,0.3806,0.3707,0.3637,0.3762,IDENTITY-FAILED
96,Neutral,NullIdentityControl,0.3503,0.3429,0.338,0.3438,0.3254,0.3303,0.3407,IDENTITY-FAILED
128,Neutral,NullIdentityControl,0.2946,0.297,0.2946,0.2964,0.2906,0.2776,0.2873,IDENTITY-FAILED
160,Neutral,NullIdentityControl,0.2496,0.2535,0.2488,0.2525,0.2485,0.2366,0.25,IDENTITY-FAILED
192,Neutral,NullIdentityControl,0.23,0.2231,0.227,0.2325,0.2157,0.2094,0.2177,IDENTITY-FAILED
256,Neutral,NullIdentityControl,0.1825,0.1871,0.1803,0.184,0.1728,0.1696,0.1796,IDENTITY-FAILED
320,Neutral,NullIdentityControl,0.1532,0.1559,0.1498,0.1556,0.146,0.1489,0.1542,IDENTITY-FAILED
512,Neutral,NullIdentityControl,0.1057,0.1044,0.105,0.1041,0.0983,0.0977,0.1045,IDENTITY-FAILED
768,Neutral,NullIdentityControl,0.0748,0.0726,0.0714,0.0714,0.0718,0.069,0.0697,IDENTITY-FAILED
1024,Neutral,NullIdentityControl,0.0564,0.0563,0.0568,0.0565,0.0553,0.0518,0.0542,IDENTITY-FAILED
1536,Neutral,NullIdentityControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
2048,Neutral,NullIdentityControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
3072,Neutral,NullIdentityControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
1,Projection-Antisymmetry,RecursiveIdentityTracking,0.9366,0.9186,0.9089,0.8811,0.8903,0.8826,0.911,IDENTITY-STABLE
2,Projection-Antisymmetry,RecursiveIdentityTracking,0.9547,0.9343,0.9141,0.8709,0.8841,0.8597,0.8922,IDENTITY-STABLE
4,Projection-Antisymmetry,RecursiveIdentityTracking,0.9097,0.9021,0.8945,0.8561,0.8591,0.8686,0.8702,IDENTITY-BOUNDED
6,Projection-Antisymmetry,RecursiveIdentityTracking,0.8946,0.8913,0.8741,0.8329,0.8467,0.8359,0.8632,IDENTITY-BOUNDED
8,Projection-Antisymmetry,RecursiveIdentityTracking,0.8633,0.8652,0.8406,0.8086,0.8073,0.8087,0.821,IDENTITY-BOUNDED
12,Projection-Antisymmetry,RecursiveIdentityTracking,0.8439,0.8122,0.8107,0.7782,0.7759,0.7944,0.7954,IDENTITY-BOUNDED
16,Projection-Antisymmetry,RecursiveIdentityTracking,0.8034,0.8012,0.7928,0.7599,0.7411,0.7365,0.7623,IDENTITY-PARTIAL
20,Projection-Antisymmetry,RecursiveIdentityTracking,0.7707,0.757,0.7506,0.7354,0.7244,0.7165,0.724,IDENTITY-PARTIAL
24,Projection-Antisymmetry,RecursiveIdentityTracking,0.746,0.7097,0.7158,0.7125,0.7004,0.7031,0.7116,IDENTITY-PARTIAL
32,Projection-Antisymmetry,RecursiveIdentityTracking,0.683,0.6797,0.674,0.6603,0.6594,0.6577,0.6449,IDENTITY-DEGRADING
40,Projection-Antisymmetry,RecursiveIdentityTracking,0.646,0.6223,0.6203,0.6183,0.6123,0.6157,0.6215,IDENTITY-DEGRADING
48,Projection-Antisymmetry,RecursiveIdentityTracking,0.6095,0.6003,0.5864,0.5795,0.5543,0.5727,0.585,IDENTITY-DEGRADING
64,Projection-Antisymmetry,RecursiveIdentityTracking,0.5357,0.538,0.5157,0.5091,0.5143,0.508,0.5208,IDENTITY-FAILED
80,Projection-Antisymmetry,RecursiveIdentityTracking,0.4837,0.4756,0.4697,0.4553,0.4585,0.4604,0.4622,IDENTITY-FAILED
96,Projection-Antisymmetry,RecursiveIdentityTracking,0.4471,0.4378,0.4234,0.4128,0.4232,0.421,0.4115,IDENTITY-FAILED
128,Projection-Antisymmetry,RecursiveIdentityTracking,0.3799,0.3652,0.3632,0.3483,0.351,0.349,0.3573,IDENTITY-FAILED
160,Projection-Antisymmetry,RecursiveIdentityTracking,0.3259,0.3201,0.3109,0.311,0.3009,0.303,0.304,IDENTITY-FAILED
192,Projection-Antisymmetry,RecursiveIdentityTracking,0.2874,0.2755,0.2777,0.2671,0.2686,0.2653,0.2748,IDENTITY-FAILED
256,Projection-Antisymmetry,RecursiveIdentityTracking,0.2375,0.2318,0.2226,0.2211,0.2185,0.2138,0.2217,IDENTITY-FAILED
320,Projection-Antisymmetry,RecursiveIdentityTracking,0.1967,0.1937,0.1859,0.1845,0.1857,0.1809,0.1836,IDENTITY-FAILED
512,Projection-Antisymmetry,RecursiveIdentityTracking,0.1333,0.1323,0.129,0.1259,0.1252,0.1265,0.1265,IDENTITY-FAILED
768,Projection-Antisymmetry,RecursiveIdentityTracking,0.0921,0.0893,0.0899,0.0889,0.0851,0.0853,0.0884,IDENTITY-FAILED
1024,Projection-Antisymmetry,RecursiveIdentityTracking,0.0706,0.0712,0.0699,0.0682,0.0676,0.0661,0.0664,IDENTITY-FAILED
1536,Projection-Antisymmetry,RecursiveIdentityTracking,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
2048,Projection-Antisymmetry,RecursiveIdentityTracking,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
3072,Projection-Antisymmetry,RecursiveIdentityTracking,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
1,Projection-Antisymmetry,ModeDifferentiationAnalysis,0.9534,0.94,0.9064,0.89,0.9098,0.9,0.8975,IDENTITY-STABLE
2,Projection-Antisymmetry,ModeDifferentiationAnalysis,0.9253,0.9248,0.9207,0.8809,0.868,0.8823,0.8787,IDENTITY-STABLE
4,Projection-Antisymmetry,ModeDifferentiationAnalysis,0.9349,0.9082,0.8822,0.8859,0.8793,0.8395,0.8839,IDENTITY-BOUNDED
6,Projection-Antisymmetry,ModeDifferentiationAnalysis,0.8871,0.8825,0.8795,0.8584,0.8625,0.8236,0.8595,IDENTITY-BOUNDED
8,Projection-Antisymmetry,ModeDifferentiationAnalysis,0.8897,0.848,0.8635,0.8381,0.823,0.8297,0.8242,IDENTITY-BOUNDED
12,Projection-Antisymmetry,ModeDifferentiationAnalysis,0.8373,0.8132,0.8131,0.8071,0.7892,0.7651,0.8045,IDENTITY-BOUNDED
16,Projection-Antisymmetry,ModeDifferentiationAnalysis,0.8187,0.7961,0.7791,0.761,0.771,0.7397,0.759,IDENTITY-PARTIAL
20,Projection-Antisymmetry,ModeDifferentiationAnalysis,0.7767,0.75,0.7478,0.7525,0.7295,0.7181,0.739,IDENTITY-PARTIAL
24,Projection-Antisymmetry,ModeDifferentiationAnalysis,0.749,0.7384,0.7377,0.7223,0.6892,0.6802,0.711,IDENTITY-PARTIAL
32,Projection-Antisymmetry,ModeDifferentiationAnalysis,0.694,0.6834,0.6761,0.6646,0.6518,0.6566,0.6532,IDENTITY-DEGRADING
40,Projection-Antisymmetry,ModeDifferentiationAnalysis,0.65,0.6466,0.6326,0.6222,0.615,0.5962,0.6237,IDENTITY-DEGRADING
48,Projection-Antisymmetry,ModeDifferentiationAnalysis,0.6091,0.5965,0.6045,0.5855,0.5675,0.5596,0.5859,IDENTITY-DEGRADING
64,Projection-Antisymmetry,ModeDifferentiationAnalysis,0.5513,0.5402,0.5184,0.5094,0.4988,0.4998,0.5086,IDENTITY-FAILED
80,Projection-Antisymmetry,ModeDifferentiationAnalysis,0.4852,0.4711,0.4721,0.4671,0.4501,0.4512,0.4582,IDENTITY-FAILED
96,Projection-Antisymmetry,ModeDifferentiationAnalysis,0.4373,0.4387,0.4325,0.4176,0.4277,0.4099,0.4172,IDENTITY-FAILED
128,Projection-Antisymmetry,ModeDifferentiationAnalysis,0.3763,0.3707,0.3722,0.3652,0.3531,0.3535,0.356,IDENTITY-FAILED
160,Projection-Antisymmetry,ModeDifferentiationAnalysis,0.3265,0.3149,0.3208,0.3086,0.3063,0.307,0.3058,IDENTITY-FAILED
192,Projection-Antisymmetry,ModeDifferentiationAnalysis,0.2958,0.2818,0.2764,0.2722,0.2776,0.2661,0.2718,IDENTITY-FAILED
256,Projection-Antisymmetry,ModeDifferentiationAnalysis,0.2338,0.2311,0.2248,0.219,0.221,0.2184,0.2228,IDENTITY-FAILED
320,Projection-Antisymmetry,ModeDifferentiationAnalysis,0.2018,0.1938,0.1902,0.1839,0.1832,0.1874,0.1889,IDENTITY-FAILED
512,Projection-Antisymmetry,ModeDifferentiationAnalysis,0.1338,0.1291,0.1297,0.1245,0.1262,0.122,0.1283,IDENTITY-FAILED
768,Projection-Antisymmetry,ModeDifferentiationAnalysis,0.0943,0.0929,0.0909,0.0877,0.0867,0.0853,0.0897,IDENTITY-FAILED
1024,Projection-Antisymmetry,ModeDifferentiationAnalysis,0.0716,0.0718,0.0686,0.0673,0.0668,0.0663,0.0692,IDENTITY-FAILED
1536,Projection-Antisymmetry,ModeDifferentiationAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
2048,Projection-Antisymmetry,ModeDifferentiationAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
3072,Projection-Antisymmetry,ModeDifferentiationAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
1,Projection-Antisymmetry,LineagePersistenceMapping,0.9529,0.9307,0.9151,0.8994,0.9038,0.8752,0.8934,IDENTITY-STABLE
2,Projection-Antisymmetry,LineagePersistenceMapping,0.9536,0.9047,0.9157,0.8975,0.8634,0.8593,0.903,IDENTITY-STABLE
4,Projection-Antisymmetry,LineagePersistenceMapping,0.9021,0.8891,0.8696,0.8747,0.8514,0.8329,0.8763,IDENTITY-BOUNDED
6,Projection-Antisymmetry,LineagePersistenceMapping,0.8816,0.8855,0.849,0.8588,0.8202,0.8112,0.8385,IDENTITY-BOUNDED
8,Projection-Antisymmetry,LineagePersistenceMapping,0.8736,0.8537,0.8413,0.8484,0.8338,0.8003,0.8408,IDENTITY-BOUNDED
12,Projection-Antisymmetry,LineagePersistenceMapping,0.8443,0.8343,0.8076,0.8143,0.7872,0.7724,0.8027,IDENTITY-BOUNDED
16,Projection-Antisymmetry,LineagePersistenceMapping,0.8136,0.7794,0.7661,0.7772,0.7474,0.7572,0.7567,IDENTITY-PARTIAL
20,Projection-Antisymmetry,LineagePersistenceMapping,0.7711,0.7618,0.7298,0.7605,0.7073,0.7224,0.7363,IDENTITY-PARTIAL
24,Projection-Antisymmetry,LineagePersistenceMapping,0.7419,0.7125,0.7148,0.7076,0.6802,0.6783,0.698,IDENTITY-PARTIAL
32,Projection-Antisymmetry,LineagePersistenceMapping,0.6928,0.6622,0.6774,0.6704,0.6535,0.6239,0.6666,IDENTITY-DEGRADING
40,Projection-Antisymmetry,LineagePersistenceMapping,0.6565,0.6233,0.6349,0.6178,0.6076,0.5847,0.6119,IDENTITY-DEGRADING
48,Projection-Antisymmetry,LineagePersistenceMapping,0.5994,0.5914,0.5865,0.5853,0.5701,0.5611,0.582,IDENTITY-DEGRADING
64,Projection-Antisymmetry,LineagePersistenceMapping,0.5297,0.5194,0.517,0.5214,0.5123,0.4958,0.4993,IDENTITY-FAILED
80,Projection-Antisymmetry,LineagePersistenceMapping,0.494,0.4708,0.471,0.4663,0.4474,0.4552,0.4646,IDENTITY-FAILED
96,Projection-Antisymmetry,LineagePersistenceMapping,0.4338,0.4308,0.4306,0.4241,0.4199,0.4088,0.4169,IDENTITY-FAILED
128,Projection-Antisymmetry,LineagePersistenceMapping,0.3754,0.3675,0.3609,0.3615,0.3588,0.3448,0.3525,IDENTITY-FAILED
160,Projection-Antisymmetry,LineagePersistenceMapping,0.3225,0.3245,0.3179,0.3125,0.3067,0.299,0.3131,IDENTITY-FAILED
192,Projection-Antisymmetry,LineagePersistenceMapping,0.288,0.285,0.2789,0.2727,0.2727,0.2632,0.2685,IDENTITY-FAILED
256,Projection-Antisymmetry,LineagePersistenceMapping,0.2367,0.2248,0.2268,0.2212,0.216,0.211,0.2255,IDENTITY-FAILED
320,Projection-Antisymmetry,LineagePersistenceMapping,0.1953,0.1896,0.1909,0.1918,0.187,0.1841,0.1846,IDENTITY-FAILED
512,Projection-Antisymmetry,LineagePersistenceMapping,0.1312,0.1272,0.1286,0.1288,0.1248,0.122,0.1242,IDENTITY-FAILED
768,Projection-Antisymmetry,LineagePersistenceMapping,0.0937,0.0892,0.0898,0.0891,0.0887,0.0851,0.0859,IDENTITY-FAILED
1024,Projection-Antisymmetry,LineagePersistenceMapping,0.0721,0.071,0.068,0.0678,0.0654,0.0661,0.0679,IDENTITY-FAILED
