domain,sys_idx,process_regime,transition_continuity,transition_curvature,transition_smoothness,transition_reversibility,transition_branching,transition_fragmentation
gray_scott,426,CH,0.0817,0.0609,1.0,0.4784,0.4656,0.5
gray_scott,427,CL,0.4391,0.121,0.9997,1.0,0.0,1.0
gray_scott,428,CL,0.1676,0.1062,0.9993,1.0,0.0,1.0
gray_scott,429,CH,0.2162,0.0648,0.9998,0.3599,0.5243,0.5
gray_scott,430,RG,0.0129,0.0,0.9997,0.9577,0.0115,0.5
gray_scott,431,CL,0.3784,0.16,0.9997,1.0,0.0,0.75
gray_scott,432,RG,0.2162,0.0,0.9999,0.9692,0.0133,0.5
gray_scott,433,CG,0.0519,0.1614,0.9999,0.5562,0.4622,0.5
gray_scott,434,CH,0.0519,0.0263,0.9999,0.6019,0.4392,0.5
gray_scott,435,CH,0.2312,0.0077,0.9995,0.6769,0.4424,1.0
gray_scott,436,RG,0.35,0.0045,0.9998,0.9987,0.0004,0.5
gray_scott,437,CH,0.029,0.1217,0.9999,0.4851,0.4683,0.5
gray_scott,438,CH,0.1504,0.1278,0.9997,0.0714,0.503,0.75
gray_scott,439,RG,0.35,0.3155,0.9997,0.65,0.0018,0.5
gray_scott,440,CH,0.1634,0.0619,0.9999,0.076,0.5827,0.5
gray_scott,441,CL,0.4931,0.0676,0.9997,1.0,0.0,1.0
gray_scott,442,CH,0.1634,0.1313,0.9999,0.2813,0.5119,0.5
gray_scott,443,CH,0.3807,0.0152,0.9998,0.3239,0.5163,0.75
gray_scott,444,RG,0.35,0.1984,0.9997,0.65,0.0021,0.5
gray_scott,445,RG,0.1187,0.0933,0.9993,0.85,0.0001,0.5
gray_scott,446,RG,0.0,0.1406,1.0,1.0,0.0,0.25
gray_scott,447,RG,0.2036,0.3349,0.9989,0.0008,0.7302,1.0
gray_scott,448,CG,0.3002,0.1706,0.9993,0.5442,0.3321,0.75
gray_scott,449,RG,0.35,0.0,0.9999,0.9913,0.006,0.5
gray_scott,450,CG,0.531,0.2121,0.9997,1.0,0.2958,0.5
gray_scott,451,CG,0.1187,0.1895,0.9997,0.6,0.1936,0.5
gray_scott,452,CH,0.4184,0.0964,0.9998,0.002,0.5209,0.75
gray_scott,453,CH,0.0817,0.1166,0.9999,0.3645,0.4933,0.5
gray_scott,454,CL,0.4391,0.0481,0.9997,1.0,0.0,1.0
gray_scott,455,RG,0.0,0.018,1.0,0.9999,0.0,0.25
gray_scott,456,CG,0.3249,0.139,0.9993,0.7998,0.4976,1.0
gray_scott,457,CG,0.2781,0.1654,0.9994,0.8,0.1524,0.5
gray_scott,458,CG,0.0519,0.1798,0.9996,0.55,0.2596,0.5
gray_scott,459,RG,0.029,0.1963,0.9996,0.5,0.0055,0.5
gray_scott,460,CL,0.4931,0.0806,0.9997,1.0,0.0,1.0
gray_scott,461,CG,0.0,0.0213,0.9995,1.0,0.1808,0.25
gray_scott,462,CH,0.5743,0.0999,0.9998,0.194,0.519,0.75
gray_scott,463,CG,0.0519,0.0068,0.9992,1.0,0.3698,0.5
gray_scott,464,RG,0.531,0.0,0.9999,0.9887,0.0021,0.5
gray_scott,465,RG,0.0817,0.0119,0.9994,0.9996,0.0005,0.5
gray_scott,466,RG,0.35,0.0968,0.9996,0.95,0.0005,0.5
gray_scott,467,RG,0.0032,0.1965,0.9996,0.45,0.002,0.5
gray_scott,468,RG,0.531,0.0031,0.9999,0.9891,0.0022,0.5
gray_scott,469,CL,0.3784,0.0682,0.9997,1.0,0.0,0.75
gray_scott,470,RG,0.531,0.2182,0.9997,1.0,0.0032,0.5
gray_scott,471,CH,0.2162,0.1083,0.9999,0.3291,0.4854,0.5
gray_scott,472,CL,0.4625,0.1274,0.9998,1.0,0.0,0.75
gray_scott,473,CG,0.0032,0.1093,0.9995,0.8998,0.3477,0.5
gray_scott,474,RG,0.0,0.0544,1.0,1.0,0.0001,0.25
gray_scott,475,CH,0.5743,0.0931,0.9998,0.0827,0.5162,0.75
gray_scott,476,RG,0.531,0.3117,0.9997,1.0,0.0029,0.5
gray_scott,477,RG,0.0,0.0224,1.0,1.0,0.0,0.25
gray_scott,478,CG,0.1634,0.2239,0.9996,0.5999,0.1898,0.5
gray_scott,479,CG,0.2781,0.2436,0.9996,0.65,0.2448,0.5
gray_scott,480,CH,0.029,0.0166,0.9999,0.6581,0.4115,0.5
gray_scott,481,RG,0.1634,0.0033,0.9999,0.9575,0.011,0.5
gray_scott,482,CH,0.514,0.0954,0.9998,0.0046,0.5224,0.75
gray_scott,483,CG,0.0519,0.0565,0.9998,0.8735,0.2604,0.5
gray_scott,484,CG,0.531,0.064,0.9999,1.0,0.3902,0.5
gray_scott,485,CH,0.4473,0.2538,0.9994,0.2459,0.6874,1.0
gray_scott,486,RG,0.2781,0.0018,0.9999,0.994,0.0033,0.5
gray_scott,487,CH,0.0129,0.0,0.9999,0.8969,0.2279,0.5
gray_scott,488,RG,0.531,0.0344,0.9998,1.0,0.0,0.5
gray_scott,489,CL,0.4625,0.0845,0.9998,0.0,0.5189,0.75
gray_scott,490,RG,0.2078,0.2058,0.9994,0.1751,0.7508,0.75
gray_scott,491,RG,0.0,0.023,1.0,0.9995,0.0001,0.25
gray_scott,492,RG,0.0,0.018,1.0,1.0,0.0,0.25
gray_scott,493,CH,0.0032,0.1092,0.9999,0.7256,0.3799,0.5
gray_scott,494,RG,0.0032,0.1999,0.9996,0.45,0.0718,0.5
gray_scott,495,CG,0.0129,0.0032,0.9999,0.732,0.3793,0.5
gray_scott,496,CG,0.0129,0.0049,0.9992,0.9999,0.3264,0.5
gray_scott,497,CH,0.0032,0.0,0.9999,0.9055,0.2321,0.5
gray_scott,498,RG,0.029,0.2161,0.9996,0.5,0.004,0.5
gray_scott,499,CG,0.35,0.1203,0.9989,0.8998,0.4983,0.5
kuramoto,0,CG,0.0519,0.2153,0.9999,0.6191,0.0553,0.5
kuramoto,1,CH,0.7892,0.1569,0.9999,0.4218,0.0529,0.5
kuramoto,2,CH,0.7892,0.3738,0.9998,0.2343,0.2635,0.5
kuramoto,3,CH,0.0,0.1988,1.0,0.8528,0.0649,0.25
kuramoto,4,CG,0.0032,0.1334,1.0,0.6114,0.4763,0.5
kuramoto,5,CH,0.6466,0.2059,0.9999,0.355,0.0878,0.5
kuramoto,6,CH,0.6466,0.3089,1.0,0.7118,0.1581,0.5
kuramoto,7,CG,0.2162,0.2771,0.9999,0.5721,0.0234,0.5
kuramoto,8,CH,0.2594,0.2233,0.9999,0.26,0.7178,1.0
kuramoto,9,CG,0.0519,1.5929,0.9999,0.5696,0.3763,0.5
kuramoto,10,CH,0.531,0.1626,1.0,0.7198,0.1604,0.5
kuramoto,11,CG,0.0817,0.2002,0.9999,0.398,0.078,0.5
kuramoto,12,CH,0.1634,0.1444,0.9999,0.7732,0.159,0.5
kuramoto,13,CG,0.0032,0.1904,0.9999,0.7598,0.0668,0.5
kuramoto,14,CG,0.4335,0.2571,0.9999,0.3558,0.0754,0.5
kuramoto,15,CG,0.029,0.2088,0.9999,0.9801,0.0525,0.5
kuramoto,16,CH,0.1187,0.2189,0.9999,0.7029,0.1205,0.5
kuramoto,17,CH,0.0,0.2884,1.0,0.6694,0.4992,0.25
kuramoto,18,CH,0.0,0.1304,1.0,0.7469,0.3763,0.25
kuramoto,19,CG,0.1187,0.4052,0.9999,0.5985,0.0477,0.5
kuramoto,20,CG,0.029,0.1589,1.0,0.8837,0.2498,0.5
kuramoto,21,CH,0.4625,0.229,0.9998,0.5028,0.3044,0.75
kuramoto,22,CG,0.0032,0.1475,1.0,0.4251,0.4146,0.5
kuramoto,23,RG,0.1553,0.3116,0.9999,0.1033,0.0848,1.0
kuramoto,24,CH,0.2436,0.2567,0.9998,0.3084,0.6516,0.75
kuramoto,25,CH,0.0,0.2053,1.0,0.5474,0.1471,0.25
kuramoto,26,CH,0.3807,0.979,0.9999,0.4292,0.1585,0.75
kuramoto,27,CG,0.1187,0.2143,0.9999,0.5212,0.0721,0.5
kuramoto,28,CG,0.0032,0.333,1.0,0.7368,0.4105,0.5
kuramoto,29,CH,0.0,0.1658,1.0,0.7984,0.4468,0.25
kuramoto,30,CG,0.0519,0.1712,0.9999,0.3625,0.4236,0.5
kuramoto,31,CH,0.531,0.1576,0.9999,0.1002,0.369,0.5
kuramoto,32,CH,0.7892,0.1716,1.0,0.7378,0.1376,0.5
kuramoto,33,CG,0.0,0.1493,1.0,0.735,0.3945,0.5
kuramoto,34,CH,0.0,0.1581,1.0,0.3646,0.152,0.25
kuramoto,35,RG,0.279,0.1814,0.9999,0.266,0.0305,1.0
kuramoto,36,CG,0.0,0.1841,0.9999,0.6693,0.3225,0.5
kuramoto,37,CH,0.0817,0.2509,0.9999,0.8386,0.0287,0.5
kuramoto,38,CG,0.0,0.1387,1.0,0.7054,0.4026,0.5
kuramoto,39,CG,0.2781,0.1512,0.9999,0.7644,0.0477,0.5
kuramoto,40,CH,0.0,0.2358,0.9999,0.7788,0.2215,0.25
kuramoto,41,CH,0.531,0.5989,1.0,0.6459,0.0738,0.5
kuramoto,42,CG,0.2234,0.2549,0.9999,0.4276,0.0484,0.75
kuramoto,43,CG,0.0817,0.1908,0.9999,0.6191,0.0439,0.5
kuramoto,44,CH,0.0129,0.1414,0.9999,0.7615,0.0951,0.5
kuramoto,45,CH,0.7892,1.2707,0.9999,0.4983,0.3195,0.5
kuramoto,46,CH,0.531,0.1673,1.0,0.6194,0.4529,0.5
kuramoto,47,CH,0.1187,0.171,1.0,0.6444,0.1818,0.5
kuramoto,48,CH,0.4335,0.2684,0.9999,0.6665,0.6167,0.5
kuramoto,49,CH,0.35,0.1288,1.0,0.9408,0.0613,0.5
kuramoto,50,CH,0.0032,0.1266,1.0,0.6954,0.1386,0.5
kuramoto,51,CH,0.531,0.1459,1.0,0.5886,0.1708,0.5
kuramoto,52,CG,0.35,0.1447,1.0,0.7595,0.4061,0.5
kuramoto,53,CG,0.1187,0.1484,1.0,0.7458,0.4607,0.5
kuramoto,54,CH,0.35,0.203,0.9999,0.4087,0.0955,0.5
kuramoto,55,CG,0.4391,0.1543,0.9999,0.337,0.0158,1.0
kuramoto,56,CH,0.0519,0.1593,0.9999,0.8302,0.0309,0.5
kuramoto,57,CH,0.0,0.1398,0.9999,0.1555,0.5683,0.25
kuramoto,58,CH,0.531,0.155,1.0,0.5711,0.2539,0.5
kuramoto,59,CH,0.0519,0.2897,1.0,0.7873,0.1707,0.5
kuramoto,60,CG,0.029,0.4232,0.9999,0.7134,0.4402,0.5
kuramoto,61,CH,0.0817,0.1651,1.0,0.7493,0.2808,0.5
kuramoto,62,CH,0.238,0.2546,0.9999,0.2163,0.0827,1.0
kuramoto,63,CH,0.0,0.1582,1.0,0.8306,0.3236,0.25
kuramoto,64,CH,0.2162,0.241,1.0,0.9868,0.0295,0.5
kuramoto,65,CH,0.0032,0.2132,1.0,0.9228,0.0429,0.5
kuramoto,66,CH,0.7892,0.2645,0.9999,0.3619,0.5983,0.5
kuramoto,67,CH,0.7892,1.2581,0.9998,0.3927,0.2263,0.5
kuramoto,68,CH,0.2781,0.342,0.9999,0.85,0.2344,0.5
kuramoto,69,RG,0.3604,0.2189,0.9999,0.293,0.0105,0.75
kuramoto,70,CG,0.1904,0.1719,0.9999,0.5612,0.3348,0.75
kuramoto,71,CH,0.6466,0.1634,1.0,0.8448,0.3317,0.5
kuramoto,72,CG,0.531,0.2267,0.9999,0.8424,0.0465,0.5
kuramoto,73,CG,0.0032,0.1328,1.0,0.5074,0.4525,0.5
kuramoto,74,CH,0.0,0.3081,0.9999,0.4477,0.5288,0.25
kuramoto,75,CH,0.0519,0.509,0.9999,0.9264,0.0673,0.5
kuramoto,76,CH,0.0129,0.1545,0.9999,0.7576,0.0641,0.5
kuramoto,77,CH,0.0817,0.1278,0.9999,0.8132,0.3179,0.5
kuramoto,78,CL,0.1471,0.2177,0.9999,0.2582,0.0547,1.0
kuramoto,79,CH,0.3784,0.1894,0.9998,0.1402,0.4633,0.75
kuramoto,80,CH,0.35,0.9436,0.9999,0.6797,0.4664,0.5
kuramoto,81,CH,0.0,0.158,0.9999,0.2939,0.0911,0.5
kuramoto,82,CH,0.514,0.7844,0.9999,0.2737,0.2181,0.75
kuramoto,83,CG,0.2036,0.2097,0.9999,0.3938,0.04,1.0
kuramoto,84,CH,0.0,0.163,1.0,0.7641,0.0827,0.25
kuramoto,85,CH,0.0,0.3362,1.0,0.8817,0.1146,0.25
kuramoto,86,CH,0.0129,0.2077,0.9999,0.5009,0.0666,0.5
kuramoto,87,CH,0.0,0.2097,1.0,0.6014,0.4821,0.25
kuramoto,88,CG,0.531,0.2536,0.9999,0.6097,0.1722,0.5
kuramoto,89,CH,0.2564,0.2355,0.9999,0.0798,0.1187,0.75
kuramoto,90,CG,0.1634,0.2937,1.0,0.5965,0.462,0.5
kuramoto,91,CH,0.531,0.2103,1.0,0.5438,0.0537,0.5
kuramoto,92,CH,0.0519,0.2039,0.9999,0.5797,0.1336,0.5
kuramoto,93,CG,0.2162,0.1734,1.0,0.8419,0.2049,0.5
kuramoto,94,CG,0.1187,0.5153,1.0,0.8916,0.1501,0.5
kuramoto,95,CH,0.7892,0.1962,0.9999,0.6674,0.424,0.5
kuramoto,96,CG,0.4184,0.1645,0.9999,0.4068,0.0432,0.75
kuramoto,97,CH,0.531,0.1384,1.0,0.5574,0.3567,0.5
kuramoto,98,CH,0.0,0.1779,0.9999,0.5129,0.6316,0.25
kuramoto,99,CH,0.0,0.1361,1.0,0.363,0.0324,0.5
kuramoto,100,CH,0.6466,1.3671,1.0,0.4966,0.3684,0.5
kuramoto,101,CH,0.1634,0.2437,0.9999,0.7865,0.2572,0.5
kuramoto,102,CH,0.0,1.3827,1.0,0.7467,0.3748,0.25
kuramoto,103,CG,0.0519,0.1462,1.0,0.9347,0.144,0.5
kuramoto,104,CG,0.531,0.2472,1.0,0.7344,0.1449,0.5
kuramoto,105,CG,0.0032,0.253,1.0,0.8664,0.2122,0.5
kuramoto,106,CH,0.0,0.2914,1.0,0.6941,0.4346,0.25
kuramoto,107,CH,0.2781,0.3407,0.9999,0.7087,0.5794,0.5
kuramoto,108,CH,0.0,0.2685,1.0,0.9179,0.1125,0.5
kuramoto,109,CG,0.1187,0.1787,1.0,0.8754,0.0643,0.5
kuramoto,110,CH,0.0,1.9554,0.9999,0.8763,0.2704,0.25
kuramoto,111,CH,0.2436,0.2167,0.9999,0.3346,0.6216,0.75
kuramoto,112,CH,0.2162,0.1665,0.9999,0.7217,0.0843,0.5
kuramoto,113,CG,0.7892,0.2229,0.9999,0.9744,0.3202,0.5
kuramoto,114,CG,0.2702,0.6871,0.9999,0.4196,0.1724,0.75
kuramoto,115,CG,0.4335,0.1508,1.0,0.8758,0.1337,0.5
kuramoto,116,CG,0.0519,0.9116,1.0,0.4412,0.4998,0.5
kuramoto,117,CH,0.0519,0.2411,0.9999,0.2545,0.355,0.5
kuramoto,118,CH,0.7892,0.3095,1.0,0.6667,0.2243,0.5
kuramoto,119,CH,0.0,1.0859,1.0,0.48,0.5398,0.25
kuramoto,120,CH,0.0129,0.1459,1.0,0.738,0.2216,0.5
kuramoto,121,CG,0.029,0.279,0.9999,0.5724,0.3461,0.5
kuramoto,122,CH,0.0817,0.7614,1.0,0.9015,0.1232,0.5
kuramoto,123,CH,0.0,0.7518,1.0,0.6579,0.2182,0.25
kuramoto,124,CL,0.3002,0.6812,0.9999,0.0,0.1043,0.75
kuramoto,125,CH,0.2078,0.1564,0.9999,0.0074,0.1187,0.75
kuramoto,126,CH,0.0,0.1647,0.9999,0.2962,0.5492,0.25
kuramoto,127,CH,0.7892,0.3022,0.9999,0.7536,0.3062,0.5
kuramoto,128,CH,0.0,0.4515,1.0,0.6281,0.4018,0.25
kuramoto,129,CH,0.2781,0.2013,0.9999,0.629,0.2202,0.5
kuramoto,130,CH,0.6466,0.1847,0.9999,0.6243,0.1086,0.5
kuramoto,131,CH,0.0,0.1338,1.0,0.6263,0.2744,0.25
kuramoto,132,CH,0.0519,0.2337,0.9999,0.7386,0.0501,0.5
kuramoto,133,CG,0.0032,0.2939,0.9999,0.3836,0.1021,0.5
kuramoto,134,CH,0.2025,0.2291,0.9999,0.4202,0.1102,1.0
kuramoto,135,CH,0.0,0.0939,0.9999,0.7267,0.0575,0.25
kuramoto,136,CG,0.2781,0.1736,0.9999,0.6996,0.5456,0.5
kuramoto,137,CG,0.1634,0.2096,1.0,0.6028,0.2029,0.5
kuramoto,138,CG,0.0519,0.3303,0.9999,0.184,0.0638,0.5
kuramoto,139,CH,0.2781,0.757,1.0,0.7568,0.3206,0.5
kuramoto,140,CH,0.0,0.2657,0.9999,0.7958,0.3739,0.25
kuramoto,141,CL,0.1895,0.2195,0.9999,0.2551,0.027,1.0
kuramoto,142,CG,0.35,0.1978,1.0,0.88,0.1549,0.5
kuramoto,143,CH,0.7892,0.683,1.0,0.6242,0.3166,0.5
kuramoto,144,CG,0.0129,0.1485,0.9999,0.7927,0.117,0.5
kuramoto,145,CG,0.3604,0.2425,0.9999,0.4477,0.012,0.75
kuramoto,146,CH,0.7892,0.1617,0.9999,0.3952,0.2508,0.5
kuramoto,147,CH,0.0129,0.1836,0.9999,0.533,0.0267,0.5
kuramoto,148,CH,0.0,0.9177,1.0,0.4213,0.1769,0.25
kuramoto,149,CH,0.0129,0.2637,0.9999,0.6019,0.1355,0.5
kuramoto,150,CG,0.0817,0.2533,0.9999,0.7596,0.298,0.5
kuramoto,151,CH,0.7892,0.1696,1.0,0.6652,0.1627,0.5
kuramoto,152,CH,0.1634,0.1458,0.9999,0.5488,0.4005,0.5
kuramoto,153,CG,0.4878,0.2401,0.9999,0.3519,0.0237,0.75
kuramoto,154,CH,0.6466,0.2664,1.0,0.8561,0.2291,0.5
kuramoto,155,CG,0.0129,0.1715,0.9999,0.3789,0.0891,0.5
kuramoto,156,RG,0.3298,0.1805,0.9999,0.3281,0.0436,1.0
kuramoto,157,CG,0.7892,0.2393,0.9999,0.7359,0.0581,0.5
kuramoto,158,CG,0.4335,0.18,0.9999,0.6517,0.0228,0.5
kuramoto,159,CH,0.531,0.162,0.9999,0.1545,0.0844,0.5
kuramoto,160,CH,0.7892,0.1707,1.0,0.0364,0.0534,0.5
kuramoto,161,CH,0.0519,0.2831,1.0,0.9459,0.159,0.5
kuramoto,162,CG,0.2162,0.291,1.0,0.5735,0.4901,0.5
kuramoto,163,CH,0.0,0.7091,0.9999,0.6725,0.453,0.25
kuramoto,164,CG,0.0032,0.2108,1.0,0.6545,0.148,0.5
kuramoto,165,CH,0.0817,0.1909,0.9999,0.2541,0.3443,0.5
kuramoto,166,CH,0.0817,0.1396,0.9998,0.8446,0.0146,0.5
kuramoto,167,CH,0.514,0.3433,0.9997,0.4834,0.2585,0.75
kuramoto,168,CH,0.2618,0.2539,0.9999,0.5224,0.0719,0.75
kuramoto,169,CG,0.0129,0.4017,0.9999,0.5861,0.1445,0.5
kuramoto,170,CH,0.35,0.1768,1.0,0.9815,0.1627,0.5
kuramoto,171,CG,0.0,0.2514,0.9999,0.9471,0.0322,0.25
kuramoto,172,CH,0.0817,0.2064,0.9999,0.5934,0.0806,0.5
kuramoto,173,CH,0.35,0.1781,0.9999,0.893,0.1912,0.5
kuramoto,174,CH,0.6466,0.133,1.0,0.2336,0.5468,0.5
kuramoto,175,CG,0.0032,0.2882,0.9999,0.8257,0.4605,0.5
kuramoto,176,CH,0.0,0.2451,1.0,0.6904,0.3916,0.25
kuramoto,177,CG,0.531,0.2213,0.9999,0.2037,0.1303,0.5
kuramoto,178,CG,0.0032,0.1913,0.9999,0.702,0.0341,0.5
kuramoto,179,CG,0.1634,0.2769,0.9999,0.6856,0.2665,0.5
kuramoto,180,CH,0.1904,0.1569,0.9999,0.5664,0.0241,0.75
kuramoto,181,CG,0.3505,0.2091,0.9999,0.285,0.0252,1.0
kuramoto,182,CH,0.531,0.2029,0.9999,0.7589,0.3675,0.5
kuramoto,183,CH,0.0,0.2538,1.0,0.8548,0.3901,0.25
kuramoto,184,CH,0.2353,0.2049,0.9999,0.1313,0.695,0.75
kuramoto,185,CH,0.0,0.1945,0.9999,0.9004,0.1459,0.25
kuramoto,186,CG,0.35,0.2032,0.9999,0.5843,0.041,0.5
kuramoto,187,CH,0.029,0.2098,1.0,0.9135,0.0704,0.5
kuramoto,188,CH,0.7892,0.1503,1.0,0.6655,0.1953,0.5
kuramoto,189,CH,0.2162,0.1211,1.0,0.7985,0.1654,0.5
kuramoto,190,CH,0.2162,0.1731,0.9999,0.2812,0.2282,0.5
kuramoto,191,CH,0.0817,0.2149,1.0,0.4984,0.118,0.5
kuramoto,192,CH,0.0,0.3792,1.0,0.5263,0.2089,0.25
kuramoto,193,CG,0.0129,0.2039,1.0,0.7413,0.0781,0.5
kuramoto,194,CG,0.0,0.3126,0.9999,0.6815,0.0375,0.25
kuramoto,195,CG,0.0129,0.9443,1.0,0.9514,0.2216,0.5
kuramoto,196,CH,0.0,0.2652,1.0,0.7135,0.1077,0.25
kuramoto,197,CG,0.029,0.3009,0.9999,0.4999,0.0726,0.5
kuramoto,198,CH,0.7892,0.136,0.9999,0.3548,0.537,0.5
kuramoto,199,CH,0.7892,0.2624,1.0,0.5151,0.4855,0.5
kuramoto,200,CH,0.1634,0.1686,1.0,0.55,0.1311,0.5
kuramoto,201,CH,0.7892,0.172,0.9999,0.5984,0.4491,0.5
kuramoto,202,CH,0.0,0.2232,1.0,0.7322,0.5217,0.25
kuramoto,203,CH,0.2993,0.1026,0.9998,0.1073,0.0819,0.75
kuramoto,204,CH,0.0,0.1464,1.0,0.6967,0.1898,0.25
kuramoto,205,CH,0.35,0.1328,0.9999,0.4937,0.451,0.5
kuramoto,206,CH,0.531,0.1456,1.0,0.6822,0.4922,0.5
kuramoto,207,CH,0.2162,0.1549,0.9999,0.6305,0.3905,0.5
kuramoto,208,CH,0.2688,0.432,0.9999,0.2651,0.6126,0.75
kuramoto,209,CH,0.0,0.2019,1.0,0.7354,0.2414,0.25
kuramoto,210,CG,0.029,0.1241,0.9999,0.8342,0.0344,0.5
kuramoto,211,CG,0.0032,0.2554,0.9999,0.5894,0.3924,0.5
kuramoto,212,CH,0.7892,0.1411,0.9999,0.5769,0.0582,0.5
kuramoto,213,CH,0.0817,0.1354,0.9999,0.6655,0.0666,0.5
kuramoto,214,CH,0.0,0.1684,1.0,0.2822,0.562,0.25
kuramoto,215,CH,0.1187,0.3462,1.0,0.8245,0.0451,0.5
kuramoto,216,CH,0.2688,0.1875,0.9999,0.3123,0.4364,0.75
kuramoto,217,CH,0.1634,0.1216,0.9999,0.8009,0.0304,0.5
kuramoto,218,CH,0.0129,0.1174,1.0,0.9447,0.0298,0.5
kuramoto,219,CH,0.7892,0.9322,1.0,0.6369,0.1672,0.5
kuramoto,220,CG,0.0032,0.4108,0.9999,0.7062,0.2312,0.5
kuramoto,221,CH,0.0,0.1738,1.0,0.5699,0.1976,0.25
kuramoto,222,CG,0.0,0.1549,0.9999,0.9364,0.1223,0.5
kuramoto,223,CH,0.1187,0.1377,0.9999,0.7886,0.3086,0.5
kuramoto,224,CG,0.2618,0.348,0.9999,0.2939,0.1137,0.75
kuramoto,225,CH,0.0129,0.3384,0.9999,0.5266,0.0243,0.5
kuramoto,226,CH,0.1634,0.7282,0.9999,0.978,0.0952,0.5
kuramoto,227,CG,0.1969,0.1798,0.9999,0.2373,0.1822,0.75
kuramoto,228,CH,0.4335,0.1374,0.9999,0.2973,0.1873,0.5
kuramoto,229,CH,0.0,0.1357,1.0,0.8662,0.3478,0.25
kuramoto,230,CH,0.531,0.7578,1.0,0.7739,0.2202,0.5
kuramoto,231,CH,0.4335,0.2772,1.0,0.513,0.4674,0.5
kuramoto,232,CG,0.0817,0.2363,1.0,0.5064,0.1664,0.5
kuramoto,233,CH,0.0817,0.1863,0.9999,0.967,0.0261,0.5
kuramoto,234,CH,0.2781,0.2937,1.0,0.7556,0.3369,0.5
kuramoto,235,CH,0.7892,0.1294,0.9999,0.8934,0.296,0.5
kuramoto,236,CG,0.0129,0.3691,1.0,0.7041,0.1878,0.5
kuramoto,237,CG,0.1187,0.2149,0.9999,0.8795,0.0903,0.5
kuramoto,238,CH,0.6466,0.2276,1.0,0.4556,0.4799,0.5
kuramoto,239,CH,0.735,0.3152,0.9998,0.3347,0.6602,0.75
kuramoto,240,CL,0.0,0.241,0.9999,0.0,0.6403,0.25
kuramoto,241,CH,0.029,0.2079,1.0,0.7024,0.0623,0.5
kuramoto,242,CH,0.1634,0.1483,0.9999,0.4926,0.0929,0.5
kuramoto,243,CH,0.7892,0.2604,0.9999,0.7627,0.2316,0.5
kuramoto,244,CH,0.6466,0.1741,0.9999,0.3393,0.3015,0.5
kuramoto,245,CH,0.35,0.1664,0.9999,0.5863,0.4777,0.5
kuramoto,246,CH,0.7892,0.208,0.9999,0.0895,0.5696,0.5
kuramoto,247,CG,0.2781,0.1716,0.9999,0.7977,0.0421,0.5
kuramoto,248,CG,0.2162,0.2047,0.9999,0.5703,0.0353,0.5
kuramoto,249,CH,0.2618,0.2263,0.9997,0.2102,0.0151,0.75
kuramoto,250,CH,0.0032,0.1837,0.9999,0.5445,0.0894,0.5
kuramoto,251,CG,0.0032,0.1435,0.9999,0.9475,0.1901,0.5
kuramoto,252,CG,0.1187,0.8046,1.0,0.716,0.2994,0.5
kuramoto,253,CG,0.0,0.1052,0.9999,0.8722,0.2843,0.25
kuramoto,254,CH,0.2618,0.2368,0.9999,0.4316,0.3932,0.75
kuramoto,255,CG,0.1799,0.2184,0.9999,0.414,0.0546,1.0
kuramoto,256,CG,0.2162,0.1889,1.0,0.7278,0.0884,0.5
kuramoto,257,CH,0.7892,0.1485,1.0,0.6038,0.1632,0.5
kuramoto,258,CG,0.1634,0.6502,1.0,0.798,0.3497,0.5
kuramoto,259,CH,0.0,0.1443,1.0,0.4351,0.2553,0.25
kuramoto,260,CG,0.0,0.1835,1.0,0.9841,0.2126,0.25
kuramoto,261,CG,0.0,0.209,0.9999,0.6169,0.1478,0.5
kuramoto,262,CG,0.0032,0.2696,0.9999,0.7813,0.0811,0.5
kuramoto,263,CG,0.2078,0.2281,0.9998,0.1548,0.2146,0.75
kuramoto,264,CH,0.0032,0.5165,1.0,0.5836,0.0725,0.5
kuramoto,265,CH,0.1634,0.1954,0.9999,0.9139,0.2522,0.5
kuramoto,266,CH,0.6466,0.3775,0.9998,0.0182,0.0757,0.5
kuramoto,267,CG,0.35,0.1597,1.0,0.9542,0.0871,0.5
kuramoto,268,CH,0.531,0.1642,0.9999,0.6459,0.3902,0.5
kuramoto,269,CH,0.2781,0.1275,1.0,0.9195,0.0782,0.5
kuramoto,270,CH,0.7892,0.1486,0.9999,0.7949,0.3354,0.5
kuramoto,271,CG,0.1654,0.1564,0.9999,0.3384,0.561,1.0
kuramoto,272,CG,0.5584,0.2678,0.9999,0.3633,0.031,0.75
kuramoto,273,CG,0.0129,0.1806,0.9999,0.1249,0.5562,0.5
kuramoto,274,CH,0.0032,0.2651,0.9999,0.4546,0.461,0.5
kuramoto,275,CH,0.2162,0.1381,0.9999,0.4801,0.3467,0.5
kuramoto,276,CL,0.514,0.2013,0.9998,0.0,0.3656,0.75
kuramoto,277,CH,0.0,0.1225,1.0,0.3862,0.1096,0.25
kuramoto,278,CG,0.1187,0.2163,1.0,0.7766,0.3766,0.5
kuramoto,279,CG,0.029,0.7122,0.9999,0.344,0.531,0.5
kuramoto,280,CG,0.1187,0.1013,0.9999,0.7731,0.0651,0.5
kuramoto,281,CG,0.0032,0.2602,1.0,0.2584,0.2105,0.5
kuramoto,282,CH,0.1187,0.1523,0.9999,0.9959,0.1474,0.5
kuramoto,283,CH,0.0032,0.2606,0.9999,0.339,0.0722,0.5
