depth,sector,condition,rg_similarity,propagation_coherence,locality_constraint_stability,conservation_transport_alignment,proto_field_persistence,recursive_interaction_boundedness,constrained_relation_gain,classification
256,Antisymmetry,RecursivePropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
320,Antisymmetry,RecursivePropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
512,Antisymmetry,RecursivePropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
768,Antisymmetry,RecursivePropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
1024,Antisymmetry,RecursivePropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
1536,Antisymmetry,RecursivePropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
2048,Antisymmetry,RecursivePropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
3072,Antisymmetry,RecursivePropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
4096,Antisymmetry,RecursivePropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
6144,Antisymmetry,RecursivePropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
8192,Antisymmetry,RecursivePropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
12288,Antisymmetry,RecursivePropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.9055,0.93,PROTO-PHYSICAL-STABLE
16384,Antisymmetry,RecursivePropagationPersistence,0.96,0.96,0.94,0.9176,0.92,0.9002,0.93,PROTO-PHYSICAL-STABLE
24576,Antisymmetry,RecursivePropagationPersistence,0.96,0.96,0.9336,0.9075,0.9119,0.9011,0.9296,PROTO-PHYSICAL-STABLE
32768,Antisymmetry,RecursivePropagationPersistence,0.9483,0.9575,0.9227,0.9073,0.9146,0.8804,0.93,PROTO-PHYSICAL-STABLE
65536,Antisymmetry,RecursivePropagationPersistence,0.9253,0.8836,0.8598,0.8661,0.8767,0.8205,0.8498,PROTO-PHYSICAL-BOUNDED
131072,Antisymmetry,RecursivePropagationPersistence,0.8086,0.7916,0.7652,0.7601,0.7661,0.755,0.7802,PROTO-PHYSICAL-PARTIAL
1,Antisymmetry,InteractionLimitedStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
2,Antisymmetry,InteractionLimitedStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
4,Antisymmetry,InteractionLimitedStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
6,Antisymmetry,InteractionLimitedStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
8,Antisymmetry,InteractionLimitedStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
12,Antisymmetry,InteractionLimitedStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
16,Antisymmetry,InteractionLimitedStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
20,Antisymmetry,InteractionLimitedStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
24,Antisymmetry,InteractionLimitedStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
32,Antisymmetry,InteractionLimitedStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
40,Antisymmetry,InteractionLimitedStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
48,Antisymmetry,InteractionLimitedStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
64,Antisymmetry,InteractionLimitedStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
80,Antisymmetry,InteractionLimitedStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
96,Antisymmetry,InteractionLimitedStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
128,Antisymmetry,InteractionLimitedStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
160,Antisymmetry,InteractionLimitedStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
192,Antisymmetry,InteractionLimitedStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
256,Antisymmetry,InteractionLimitedStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
320,Antisymmetry,InteractionLimitedStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
512,Antisymmetry,InteractionLimitedStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
768,Antisymmetry,InteractionLimitedStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
1024,Antisymmetry,InteractionLimitedStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
1536,Antisymmetry,InteractionLimitedStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
2048,Antisymmetry,InteractionLimitedStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
3072,Antisymmetry,InteractionLimitedStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
4096,Antisymmetry,InteractionLimitedStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
6144,Antisymmetry,InteractionLimitedStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
8192,Antisymmetry,InteractionLimitedStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
12288,Antisymmetry,InteractionLimitedStabilization,0.96,0.96,0.94,0.93,0.9158,0.91,0.93,PROTO-PHYSICAL-STABLE
16384,Antisymmetry,InteractionLimitedStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
24576,Antisymmetry,InteractionLimitedStabilization,0.96,0.9248,0.9385,0.9266,0.9175,0.91,0.918,PROTO-PHYSICAL-STABLE
32768,Antisymmetry,InteractionLimitedStabilization,0.9598,0.9178,0.9295,0.9112,0.9025,0.91,0.9265,PROTO-PHYSICAL-STABLE
65536,Antisymmetry,InteractionLimitedStabilization,0.9001,0.8773,0.8678,0.8687,0.8398,0.8608,0.8513,PROTO-PHYSICAL-BOUNDED
131072,Antisymmetry,InteractionLimitedStabilization,0.814,0.7714,0.773,0.7728,0.7662,0.7573,0.781,PROTO-PHYSICAL-PARTIAL
1,Antisymmetry,NullPhysicalizationControl,0.7199,0.6759,0.7051,0.6584,0.6472,0.658,0.6695,PROTO-PHYSICAL-DEGRADING
2,Antisymmetry,NullPhysicalizationControl,0.7342,0.7038,0.6952,0.6668,0.6702,0.6602,0.6932,PROTO-PHYSICAL-PARTIAL
4,Antisymmetry,NullPhysicalizationControl,0.7438,0.6875,0.69,0.6567,0.6802,0.6372,0.6857,PROTO-PHYSICAL-DEGRADING
6,Antisymmetry,NullPhysicalizationControl,0.7528,0.6816,0.6932,0.6606,0.6699,0.6596,0.6864,PROTO-PHYSICAL-DEGRADING
8,Antisymmetry,NullPhysicalizationControl,0.7421,0.677,0.6774,0.695,0.6554,0.6381,0.6798,PROTO-PHYSICAL-DEGRADING
12,Antisymmetry,NullPhysicalizationControl,0.7329,0.6945,0.6954,0.686,0.6693,0.6751,0.6745,PROTO-PHYSICAL-DEGRADING
16,Antisymmetry,NullPhysicalizationControl,0.7469,0.683,0.6899,0.6787,0.6569,0.6721,0.659,PROTO-PHYSICAL-DEGRADING
20,Antisymmetry,NullPhysicalizationControl,0.7313,0.705,0.6822,0.6915,0.668,0.6631,0.6612,PROTO-PHYSICAL-PARTIAL
24,Antisymmetry,NullPhysicalizationControl,0.7427,0.687,0.702,0.685,0.6578,0.6487,0.6729,PROTO-PHYSICAL-DEGRADING
32,Antisymmetry,NullPhysicalizationControl,0.7339,0.7013,0.6996,0.6562,0.6568,0.6664,0.6826,PROTO-PHYSICAL-PARTIAL
40,Antisymmetry,NullPhysicalizationControl,0.739,0.6768,0.7006,0.6582,0.6466,0.653,0.6832,PROTO-PHYSICAL-DEGRADING
48,Antisymmetry,NullPhysicalizationControl,0.7194,0.6914,0.7048,0.6623,0.6767,0.6503,0.6801,PROTO-PHYSICAL-DEGRADING
64,Antisymmetry,NullPhysicalizationControl,0.7437,0.685,0.6749,0.6655,0.6569,0.6487,0.6927,PROTO-PHYSICAL-DEGRADING
80,Antisymmetry,NullPhysicalizationControl,0.7506,0.6988,0.6925,0.6776,0.6524,0.6629,0.6823,PROTO-PHYSICAL-DEGRADING
96,Antisymmetry,NullPhysicalizationControl,0.7281,0.6799,0.6982,0.6802,0.6556,0.645,0.6707,PROTO-PHYSICAL-DEGRADING
128,Antisymmetry,NullPhysicalizationControl,0.7329,0.6916,0.6896,0.6585,0.6562,0.6387,0.6726,PROTO-PHYSICAL-DEGRADING
160,Antisymmetry,NullPhysicalizationControl,0.7315,0.7096,0.7037,0.6897,0.6464,0.6612,0.6776,PROTO-PHYSICAL-PARTIAL
192,Antisymmetry,NullPhysicalizationControl,0.7236,0.7001,0.6887,0.6908,0.6589,0.6539,0.6562,PROTO-PHYSICAL-PARTIAL
256,Antisymmetry,NullPhysicalizationControl,0.7463,0.6847,0.6707,0.6929,0.6796,0.645,0.681,PROTO-PHYSICAL-DEGRADING
320,Antisymmetry,NullPhysicalizationControl,0.75,0.6783,0.6762,0.6834,0.6774,0.6611,0.6676,PROTO-PHYSICAL-DEGRADING
512,Antisymmetry,NullPhysicalizationControl,0.7236,0.7056,0.6862,0.6932,0.6757,0.6569,0.6913,PROTO-PHYSICAL-PARTIAL
768,Antisymmetry,NullPhysicalizationControl,0.7431,0.6834,0.6905,0.6916,0.6499,0.6592,0.6705,PROTO-PHYSICAL-DEGRADING
1024,Antisymmetry,NullPhysicalizationControl,0.7211,0.698,0.6877,0.685,0.6745,0.6453,0.6713,PROTO-PHYSICAL-DEGRADING
1536,Antisymmetry,NullPhysicalizationControl,0.7493,0.6824,0.6951,0.6711,0.6762,0.6657,0.6695,PROTO-PHYSICAL-DEGRADING
2048,Antisymmetry,NullPhysicalizationControl,0.7458,0.7001,0.6721,0.6718,0.6687,0.6497,0.6869,PROTO-PHYSICAL-PARTIAL
3072,Antisymmetry,NullPhysicalizationControl,0.7491,0.6807,0.6634,0.658,0.6492,0.6673,0.666,PROTO-PHYSICAL-DEGRADING
4096,Antisymmetry,NullPhysicalizationControl,0.721,0.6894,0.6967,0.671,0.6568,0.637,0.6704,PROTO-PHYSICAL-DEGRADING
6144,Antisymmetry,NullPhysicalizationControl,0.7293,0.6858,0.6619,0.66,0.6608,0.652,0.6518,PROTO-PHYSICAL-DEGRADING
8192,Antisymmetry,NullPhysicalizationControl,0.7063,0.69,0.6739,0.6519,0.6684,0.6527,0.6816,PROTO-PHYSICAL-DEGRADING
12288,Antisymmetry,NullPhysicalizationControl,0.7123,0.6931,0.68,0.6457,0.6449,0.6581,0.644,PROTO-PHYSICAL-DEGRADING
16384,Antisymmetry,NullPhysicalizationControl,0.6977,0.6824,0.6617,0.6572,0.6408,0.6222,0.6704,PROTO-PHYSICAL-DEGRADING
24576,Antisymmetry,NullPhysicalizationControl,0.712,0.6559,0.6531,0.6273,0.6196,0.6081,0.6334,PROTO-PHYSICAL-DEGRADING
32768,Antisymmetry,NullPhysicalizationControl,0.6823,0.6563,0.6525,0.6176,0.631,0.6088,0.6525,PROTO-PHYSICAL-DEGRADING
65536,Antisymmetry,NullPhysicalizationControl,0.6392,0.63,0.6082,0.6127,0.5937,0.5753,0.6043,PROTO-PHYSICAL-DEGRADING
131072,Antisymmetry,NullPhysicalizationControl,0.5684,0.5469,0.5403,0.533,0.5166,0.5251,0.5375,PROTO-PHYSICAL-FAILED
1,Neutral,ConstrainedTransportPropagation,0.9536,0.9583,0.9329,0.9235,0.9071,0.9009,0.9069,PROTO-PHYSICAL-STABLE
2,Neutral,ConstrainedTransportPropagation,0.9587,0.9361,0.9301,0.9116,0.8858,0.8674,0.8996,PROTO-PHYSICAL-STABLE
4,Neutral,ConstrainedTransportPropagation,0.96,0.9529,0.9167,0.9058,0.902,0.8873,0.93,PROTO-PHYSICAL-STABLE
6,Neutral,ConstrainedTransportPropagation,0.96,0.9262,0.934,0.9244,0.8877,0.8955,0.9052,PROTO-PHYSICAL-STABLE
8,Neutral,ConstrainedTransportPropagation,0.96,0.947,0.9324,0.9292,0.8927,0.8961,0.9075,PROTO-PHYSICAL-STABLE
12,Neutral,ConstrainedTransportPropagation,0.96,0.9421,0.9216,0.8967,0.8951,0.8662,0.9274,PROTO-PHYSICAL-STABLE
16,Neutral,ConstrainedTransportPropagation,0.9489,0.9294,0.9076,0.8981,0.8993,0.8948,0.91,PROTO-PHYSICAL-STABLE
20,Neutral,ConstrainedTransportPropagation,0.96,0.96,0.9074,0.9294,0.9052,0.8827,0.9249,PROTO-PHYSICAL-STABLE
24,Neutral,ConstrainedTransportPropagation,0.9588,0.9345,0.9246,0.9027,0.8784,0.8719,0.8978,PROTO-PHYSICAL-STABLE
32,Neutral,ConstrainedTransportPropagation,0.9446,0.927,0.9081,0.9279,0.8987,0.8698,0.9272,PROTO-PHYSICAL-STABLE
40,Neutral,ConstrainedTransportPropagation,0.9599,0.932,0.9374,0.9036,0.8861,0.8816,0.9127,PROTO-PHYSICAL-STABLE
48,Neutral,ConstrainedTransportPropagation,0.9598,0.9589,0.94,0.9281,0.8982,0.8781,0.923,PROTO-PHYSICAL-STABLE
64,Neutral,ConstrainedTransportPropagation,0.9502,0.9494,0.927,0.902,0.8876,0.9049,0.9252,PROTO-PHYSICAL-STABLE
80,Neutral,ConstrainedTransportPropagation,0.96,0.9513,0.9373,0.9201,0.9092,0.8667,0.9071,PROTO-PHYSICAL-STABLE
96,Neutral,ConstrainedTransportPropagation,0.96,0.96,0.9237,0.9146,0.897,0.8758,0.9227,PROTO-PHYSICAL-STABLE
128,Neutral,ConstrainedTransportPropagation,0.96,0.9409,0.94,0.9105,0.9078,0.8873,0.921,PROTO-PHYSICAL-STABLE
160,Neutral,ConstrainedTransportPropagation,0.9527,0.9283,0.9138,0.9038,0.9147,0.8855,0.915,PROTO-PHYSICAL-STABLE
192,Neutral,ConstrainedTransportPropagation,0.96,0.96,0.9317,0.8974,0.8933,0.901,0.9241,PROTO-PHYSICAL-STABLE
256,Neutral,ConstrainedTransportPropagation,0.9479,0.9556,0.9354,0.9168,0.8785,0.8825,0.8985,PROTO-PHYSICAL-STABLE
320,Neutral,ConstrainedTransportPropagation,0.9577,0.955,0.9063,0.9019,0.9148,0.8812,0.9232,PROTO-PHYSICAL-STABLE
512,Neutral,ConstrainedTransportPropagation,0.9422,0.9379,0.9229,0.9095,0.8994,0.8921,0.9146,PROTO-PHYSICAL-STABLE
768,Neutral,ConstrainedTransportPropagation,0.9513,0.9385,0.94,0.9232,0.9056,0.8981,0.9285,PROTO-PHYSICAL-STABLE
1024,Neutral,ConstrainedTransportPropagation,0.96,0.9444,0.9302,0.9291,0.8761,0.8842,0.9014,PROTO-PHYSICAL-STABLE
1536,Neutral,ConstrainedTransportPropagation,0.96,0.9471,0.9174,0.9056,0.9123,0.896,0.93,PROTO-PHYSICAL-STABLE
2048,Neutral,ConstrainedTransportPropagation,0.9594,0.9245,0.9022,0.9158,0.9097,0.8639,0.9027,PROTO-PHYSICAL-STABLE
3072,Neutral,ConstrainedTransportPropagation,0.9387,0.9443,0.9211,0.9013,0.8922,0.8713,0.9034,PROTO-PHYSICAL-STABLE
4096,Neutral,ConstrainedTransportPropagation,0.9433,0.9433,0.9052,0.9147,0.8722,0.8917,0.903,PROTO-PHYSICAL-STABLE
6144,Neutral,ConstrainedTransportPropagation,0.932,0.9335,0.9199,0.8991,0.8772,0.8607,0.8955,PROTO-PHYSICAL-STABLE
8192,Neutral,ConstrainedTransportPropagation,0.9569,0.9367,0.9262,0.9184,0.8995,0.8813,0.9103,PROTO-PHYSICAL-STABLE
12288,Neutral,ConstrainedTransportPropagation,0.9379,0.9094,0.9097,0.8847,0.8548,0.8612,0.8838,PROTO-PHYSICAL-STABLE
16384,Neutral,ConstrainedTransportPropagation,0.9303,0.9214,0.9007,0.871,0.8698,0.8428,0.9023,PROTO-PHYSICAL-STABLE
24576,Neutral,ConstrainedTransportPropagation,0.9291,0.9014,0.8825,0.8856,0.857,0.8553,0.86,PROTO-PHYSICAL-STABLE
32768,Neutral,ConstrainedTransportPropagation,0.9197,0.8894,0.8835,0.85,0.8432,0.8368,0.8432,PROTO-PHYSICAL-BOUNDED
65536,Neutral,ConstrainedTransportPropagation,0.8442,0.8307,0.8021,0.8089,0.7999,0.7867,0.821,PROTO-PHYSICAL-BOUNDED
131072,Neutral,ConstrainedTransportPropagation,0.7525,0.7469,0.7221,0.734,0.702,0.6861,0.7345,PROTO-PHYSICAL-PARTIAL
1,Neutral,RecursiveLocalityEmergence,0.96,0.9324,0.9368,0.93,0.92,0.8854,0.9118,PROTO-PHYSICAL-STABLE
2,Neutral,RecursiveLocalityEmergence,0.9475,0.9401,0.9302,0.9148,0.92,0.876,0.9073,PROTO-PHYSICAL-STABLE
4,Neutral,RecursiveLocalityEmergence,0.96,0.9257,0.94,0.93,0.911,0.888,0.902,PROTO-PHYSICAL-STABLE
6,Neutral,RecursiveLocalityEmergence,0.96,0.9238,0.94,0.9061,0.9115,0.8848,0.9206,PROTO-PHYSICAL-STABLE
8,Neutral,RecursiveLocalityEmergence,0.9548,0.9528,0.94,0.8985,0.8895,0.8735,0.9194,PROTO-PHYSICAL-STABLE
12,Neutral,RecursiveLocalityEmergence,0.96,0.9334,0.94,0.9191,0.9014,0.8962,0.9068,PROTO-PHYSICAL-STABLE
16,Neutral,RecursiveLocalityEmergence,0.96,0.9325,0.94,0.9129,0.9143,0.8971,0.8961,PROTO-PHYSICAL-STABLE
20,Neutral,RecursiveLocalityEmergence,0.9516,0.935,0.9258,0.9053,0.8871,0.8874,0.8913,PROTO-PHYSICAL-STABLE
24,Neutral,RecursiveLocalityEmergence,0.96,0.9218,0.94,0.9139,0.8881,0.8865,0.8931,PROTO-PHYSICAL-STABLE
32,Neutral,RecursiveLocalityEmergence,0.9564,0.9382,0.9333,0.9174,0.92,0.8814,0.9002,PROTO-PHYSICAL-STABLE
40,Neutral,RecursiveLocalityEmergence,0.9587,0.9416,0.94,0.897,0.8906,0.879,0.9024,PROTO-PHYSICAL-STABLE
48,Neutral,RecursiveLocalityEmergence,0.954,0.9278,0.9271,0.8987,0.8936,0.8715,0.9058,PROTO-PHYSICAL-STABLE
64,Neutral,RecursiveLocalityEmergence,0.96,0.9281,0.929,0.9013,0.8991,0.8944,0.907,PROTO-PHYSICAL-STABLE
80,Neutral,RecursiveLocalityEmergence,0.96,0.9465,0.94,0.93,0.9027,0.8966,0.9178,PROTO-PHYSICAL-STABLE
96,Neutral,RecursiveLocalityEmergence,0.96,0.9374,0.9293,0.93,0.8867,0.8748,0.9102,PROTO-PHYSICAL-STABLE
128,Neutral,RecursiveLocalityEmergence,0.96,0.9352,0.94,0.9283,0.9193,0.9024,0.9158,PROTO-PHYSICAL-STABLE
160,Neutral,RecursiveLocalityEmergence,0.96,0.9459,0.94,0.897,0.8979,0.8946,0.9019,PROTO-PHYSICAL-STABLE
192,Neutral,RecursiveLocalityEmergence,0.9554,0.9459,0.94,0.915,0.9075,0.8903,0.911,PROTO-PHYSICAL-STABLE
256,Neutral,RecursiveLocalityEmergence,0.96,0.92,0.9336,0.9008,0.9148,0.872,0.8939,PROTO-PHYSICAL-STABLE
320,Neutral,RecursiveLocalityEmergence,0.96,0.9402,0.94,0.9043,0.9159,0.8903,0.9031,PROTO-PHYSICAL-STABLE
512,Neutral,RecursiveLocalityEmergence,0.9575,0.9384,0.94,0.9169,0.9144,0.8961,0.9065,PROTO-PHYSICAL-STABLE
768,Neutral,RecursiveLocalityEmergence,0.96,0.9342,0.94,0.9271,0.92,0.8765,0.9033,PROTO-PHYSICAL-STABLE
1024,Neutral,RecursiveLocalityEmergence,0.96,0.9272,0.9292,0.9179,0.92,0.889,0.89,PROTO-PHYSICAL-STABLE
1536,Neutral,RecursiveLocalityEmergence,0.9551,0.9472,0.94,0.9112,0.9134,0.8893,0.8956,PROTO-PHYSICAL-STABLE
2048,Neutral,RecursiveLocalityEmergence,0.96,0.9229,0.94,0.9276,0.8891,0.8774,0.8999,PROTO-PHYSICAL-STABLE
3072,Neutral,RecursiveLocalityEmergence,0.9498,0.924,0.9381,0.9023,0.8833,0.8988,0.8984,PROTO-PHYSICAL-STABLE
4096,Neutral,RecursiveLocalityEmergence,0.96,0.9351,0.9386,0.8959,0.8865,0.8772,0.886,PROTO-PHYSICAL-STABLE
6144,Neutral,RecursiveLocalityEmergence,0.96,0.933,0.94,0.8997,0.8946,0.8718,0.9089,PROTO-PHYSICAL-STABLE
8192,Neutral,RecursiveLocalityEmergence,0.9416,0.9324,0.9165,0.8832,0.9007,0.8578,0.8991,PROTO-PHYSICAL-STABLE
12288,Neutral,RecursiveLocalityEmergence,0.9505,0.8947,0.9102,0.9062,0.9028,0.8487,0.8652,PROTO-PHYSICAL-BOUNDED
16384,Neutral,RecursiveLocalityEmergence,0.9516,0.899,0.9217,0.9019,0.872,0.864,0.8788,PROTO-PHYSICAL-BOUNDED
24576,Neutral,RecursiveLocalityEmergence,0.9215,0.8912,0.8918,0.8766,0.8576,0.8273,0.8747,PROTO-PHYSICAL-BOUNDED
32768,Neutral,RecursiveLocalityEmergence,0.9027,0.8705,0.8928,0.8561,0.8644,0.8491,0.8365,PROTO-PHYSICAL-BOUNDED
65536,Neutral,RecursiveLocalityEmergence,0.8565,0.825,0.8477,0.8082,0.7961,0.77,0.8179,PROTO-PHYSICAL-BOUNDED
131072,Neutral,RecursiveLocalityEmergence,0.7633,0.7316,0.7443,0.7266,0.7026,0.7132,0.7238,PROTO-PHYSICAL-PARTIAL
1,Neutral,ConservationBoundInteraction,0.947,0.9209,0.9244,0.93,0.92,0.9005,0.8984,PROTO-PHYSICAL-STABLE
2,Neutral,ConservationBoundInteraction,0.96,0.9411,0.9347,0.9212,0.911,0.9058,0.9215,PROTO-PHYSICAL-STABLE
4,Neutral,ConservationBoundInteraction,0.96,0.9212,0.9227,0.93,0.8991,0.8919,0.9221,PROTO-PHYSICAL-STABLE
6,Neutral,ConservationBoundInteraction,0.96,0.9087,0.9235,0.9168,0.889,0.91,0.9061,PROTO-PHYSICAL-STABLE
8,Neutral,ConservationBoundInteraction,0.9516,0.9091,0.9281,0.9174,0.9184,0.9078,0.9223,PROTO-PHYSICAL-STABLE
12,Neutral,ConservationBoundInteraction,0.96,0.9371,0.9375,0.93,0.9157,0.8967,0.9136,PROTO-PHYSICAL-STABLE
16,Neutral,ConservationBoundInteraction,0.9573,0.9399,0.9334,0.93,0.9036,0.91,0.9223,PROTO-PHYSICAL-STABLE
20,Neutral,ConservationBoundInteraction,0.96,0.9401,0.9321,0.9214,0.9081,0.9056,0.9128,PROTO-PHYSICAL-STABLE
24,Neutral,ConservationBoundInteraction,0.944,0.9247,0.931,0.93,0.9174,0.9043,0.9194,PROTO-PHYSICAL-STABLE
32,Neutral,ConservationBoundInteraction,0.96,0.9454,0.9385,0.93,0.9122,0.8902,0.9087,PROTO-PHYSICAL-STABLE
40,Neutral,ConservationBoundInteraction,0.949,0.9102,0.9291,0.9262,0.9063,0.91,0.9239,PROTO-PHYSICAL-STABLE
48,Neutral,ConservationBoundInteraction,0.96,0.9264,0.9105,0.93,0.9057,0.91,0.9177,PROTO-PHYSICAL-STABLE
64,Neutral,ConservationBoundInteraction,0.9435,0.9304,0.9122,0.93,0.92,0.9,0.9148,PROTO-PHYSICAL-STABLE
80,Neutral,ConservationBoundInteraction,0.9463,0.9421,0.9253,0.9264,0.894,0.91,0.8985,PROTO-PHYSICAL-STABLE
96,Neutral,ConservationBoundInteraction,0.9437,0.9301,0.9363,0.9181,0.9123,0.91,0.9007,PROTO-PHYSICAL-STABLE
128,Neutral,ConservationBoundInteraction,0.9532,0.9118,0.9171,0.929,0.8855,0.8953,0.9059,PROTO-PHYSICAL-STABLE
160,Neutral,ConservationBoundInteraction,0.96,0.9449,0.9203,0.93,0.9076,0.8997,0.9073,PROTO-PHYSICAL-STABLE
192,Neutral,ConservationBoundInteraction,0.9593,0.9163,0.9349,0.93,0.8915,0.8935,0.9037,PROTO-PHYSICAL-STABLE
256,Neutral,ConservationBoundInteraction,0.96,0.9082,0.9374,0.9154,0.8997,0.9099,0.9092,PROTO-PHYSICAL-STABLE
320,Neutral,ConservationBoundInteraction,0.9421,0.912,0.9206,0.9255,0.916,0.91,0.8953,PROTO-PHYSICAL-STABLE
512,Neutral,ConservationBoundInteraction,0.9429,0.9162,0.9123,0.93,0.8971,0.9035,0.8916,PROTO-PHYSICAL-STABLE
768,Neutral,ConservationBoundInteraction,0.9415,0.9122,0.9057,0.93,0.9007,0.9045,0.9135,PROTO-PHYSICAL-STABLE
1024,Neutral,ConservationBoundInteraction,0.9597,0.9421,0.9386,0.9182,0.8981,0.9062,0.919,PROTO-PHYSICAL-STABLE
1536,Neutral,ConservationBoundInteraction,0.9459,0.9236,0.914,0.93,0.8836,0.91,0.9138,PROTO-PHYSICAL-STABLE
2048,Neutral,ConservationBoundInteraction,0.9563,0.9277,0.9369,0.93,0.8831,0.8913,0.9179,PROTO-PHYSICAL-STABLE
3072,Neutral,ConservationBoundInteraction,0.96,0.9073,0.9191,0.9282,0.8877,0.91,0.8802,PROTO-PHYSICAL-STABLE
4096,Neutral,ConservationBoundInteraction,0.96,0.9306,0.9149,0.93,0.8865,0.9083,0.8862,PROTO-PHYSICAL-STABLE
6144,Neutral,ConservationBoundInteraction,0.9402,0.8954,0.8973,0.9208,0.8923,0.8948,0.8955,PROTO-PHYSICAL-BOUNDED
8192,Neutral,ConservationBoundInteraction,0.9317,0.8995,0.9021,0.93,0.8849,0.8811,0.8969,PROTO-PHYSICAL-BOUNDED
12288,Neutral,ConservationBoundInteraction,0.949,0.9113,0.8924,0.9233,0.8784,0.8694,0.8754,PROTO-PHYSICAL-STABLE
16384,Neutral,ConservationBoundInteraction,0.9431,0.9075,0.8939,0.9196,0.8776,0.8878,0.8654,PROTO-PHYSICAL-STABLE
24576,Neutral,ConservationBoundInteraction,0.9267,0.865,0.8892,0.8854,0.8723,0.8712,0.8563,PROTO-PHYSICAL-BOUNDED
32768,Neutral,ConservationBoundInteraction,0.8867,0.8865,0.851,0.8922,0.8519,0.8639,0.8635,PROTO-PHYSICAL-BOUNDED
65536,Neutral,ConservationBoundInteraction,0.8598,0.804,0.8271,0.8331,0.7862,0.7872,0.8037,PROTO-PHYSICAL-BOUNDED
