depth,sector,condition,rg_similarity,memory_persistence,historical_encoding_strength,lineage_memory_transfer,adaptive_history_modulation,reconstruction_accuracy,transport_memory_alignment,classification
320,Neutral,RecursiveMemoryPersistence,0.2271,0.2222,0.219,0.2204,0.2145,0.2169,0.2187,MEMORY-FAILED
512,Neutral,RecursiveMemoryPersistence,0.1547,0.157,0.1499,0.1501,0.1458,0.1439,0.1514,MEMORY-FAILED
768,Neutral,RecursiveMemoryPersistence,0.1123,0.1069,0.1054,0.1038,0.1026,0.1052,0.1044,MEMORY-FAILED
1024,Neutral,RecursiveMemoryPersistence,0.0839,0.0858,0.0815,0.081,0.0801,0.0784,0.0827,MEMORY-FAILED
1536,Neutral,RecursiveMemoryPersistence,0.0575,0.0567,0.0563,0.0557,0.0544,0.0539,0.0562,MEMORY-FAILED
2048,Neutral,RecursiveMemoryPersistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
3072,Neutral,RecursiveMemoryPersistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
4096,Neutral,RecursiveMemoryPersistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
1,Neutral,LineageInheritanceAnalysis,0.9454,0.921,0.9077,0.92,0.9062,0.867,0.9099,MEMORY-STABLE
2,Neutral,LineageInheritanceAnalysis,0.9444,0.9167,0.93,0.92,0.906,0.885,0.8956,MEMORY-STABLE
4,Neutral,LineageInheritanceAnalysis,0.9253,0.8917,0.8933,0.8863,0.8757,0.877,0.8985,MEMORY-BOUNDED
6,Neutral,LineageInheritanceAnalysis,0.8963,0.8846,0.8864,0.8637,0.8468,0.8469,0.8709,MEMORY-BOUNDED
8,Neutral,LineageInheritanceAnalysis,0.8753,0.8564,0.8501,0.8536,0.8341,0.8432,0.8605,MEMORY-BOUNDED
12,Neutral,LineageInheritanceAnalysis,0.848,0.8541,0.8192,0.8392,0.8142,0.8138,0.8246,MEMORY-BOUNDED
16,Neutral,LineageInheritanceAnalysis,0.8132,0.8101,0.8105,0.8203,0.7799,0.7572,0.7973,MEMORY-BOUNDED
20,Neutral,LineageInheritanceAnalysis,0.8008,0.7967,0.7762,0.7941,0.74,0.7483,0.7618,MEMORY-PARTIAL
24,Neutral,LineageInheritanceAnalysis,0.7664,0.7688,0.7432,0.7497,0.7183,0.7171,0.7398,MEMORY-PARTIAL
32,Neutral,LineageInheritanceAnalysis,0.7344,0.7126,0.7069,0.7158,0.6861,0.6812,0.6957,MEMORY-PARTIAL
40,Neutral,LineageInheritanceAnalysis,0.6783,0.6785,0.6797,0.6588,0.6305,0.6376,0.658,MEMORY-DEGRADING
48,Neutral,LineageInheritanceAnalysis,0.633,0.639,0.6398,0.6203,0.5992,0.6066,0.6068,MEMORY-DEGRADING
64,Neutral,LineageInheritanceAnalysis,0.5884,0.5664,0.5565,0.5741,0.5589,0.5546,0.5663,MEMORY-DEGRADING
80,Neutral,LineageInheritanceAnalysis,0.532,0.5181,0.5243,0.5258,0.5094,0.5003,0.5052,MEMORY-FAILED
96,Neutral,LineageInheritanceAnalysis,0.4832,0.4847,0.4709,0.4748,0.4695,0.4558,0.471,MEMORY-FAILED
128,Neutral,LineageInheritanceAnalysis,0.4101,0.414,0.4012,0.4125,0.3944,0.3937,0.4045,MEMORY-FAILED
160,Neutral,LineageInheritanceAnalysis,0.3699,0.3607,0.3549,0.3597,0.3503,0.349,0.3509,MEMORY-FAILED
192,Neutral,LineageInheritanceAnalysis,0.3218,0.3256,0.3229,0.3203,0.3042,0.301,0.3149,MEMORY-FAILED
256,Neutral,LineageInheritanceAnalysis,0.2699,0.2685,0.2611,0.2643,0.2467,0.2466,0.2578,MEMORY-FAILED
320,Neutral,LineageInheritanceAnalysis,0.2233,0.2218,0.2207,0.2193,0.2148,0.2072,0.2148,MEMORY-FAILED
512,Neutral,LineageInheritanceAnalysis,0.1583,0.156,0.153,0.1541,0.1434,0.143,0.1482,MEMORY-FAILED
768,Neutral,LineageInheritanceAnalysis,0.1097,0.108,0.1079,0.1066,0.1024,0.1043,0.1025,MEMORY-FAILED
1024,Neutral,LineageInheritanceAnalysis,0.0853,0.083,0.0828,0.0823,0.0784,0.0803,0.0801,MEMORY-FAILED
1536,Neutral,LineageInheritanceAnalysis,0.0582,0.0581,0.0563,0.0554,0.0541,0.053,0.0548,MEMORY-FAILED
2048,Neutral,LineageInheritanceAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
3072,Neutral,LineageInheritanceAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
4096,Neutral,LineageInheritanceAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
1,Neutral,TransportMemoryPreservation,0.9402,0.9178,0.9147,0.92,0.8942,0.9,0.9181,MEMORY-STABLE
2,Neutral,TransportMemoryPreservation,0.9347,0.8992,0.912,0.9106,0.9029,0.883,0.9107,MEMORY-BOUNDED
4,Neutral,TransportMemoryPreservation,0.9244,0.8813,0.89,0.8632,0.8557,0.8726,0.9061,MEMORY-BOUNDED
6,Neutral,TransportMemoryPreservation,0.8842,0.8632,0.8676,0.8699,0.8358,0.8496,0.8912,MEMORY-BOUNDED
8,Neutral,TransportMemoryPreservation,0.8915,0.8782,0.8523,0.8544,0.8474,0.8326,0.8481,MEMORY-BOUNDED
12,Neutral,TransportMemoryPreservation,0.8633,0.8246,0.8215,0.8092,0.8204,0.8157,0.8202,MEMORY-BOUNDED
16,Neutral,TransportMemoryPreservation,0.818,0.8024,0.7861,0.7786,0.7855,0.7582,0.7879,MEMORY-PARTIAL
20,Neutral,TransportMemoryPreservation,0.8076,0.7802,0.7726,0.7538,0.7519,0.749,0.7648,MEMORY-PARTIAL
24,Neutral,TransportMemoryPreservation,0.7567,0.7632,0.7435,0.7415,0.7393,0.7295,0.74,MEMORY-PARTIAL
32,Neutral,TransportMemoryPreservation,0.7332,0.6916,0.7025,0.6962,0.6702,0.6772,0.6973,MEMORY-DEGRADING
40,Neutral,TransportMemoryPreservation,0.6795,0.6753,0.6522,0.6554,0.6405,0.6265,0.6538,MEMORY-DEGRADING
48,Neutral,TransportMemoryPreservation,0.6514,0.6182,0.6102,0.6268,0.6044,0.5904,0.6233,MEMORY-DEGRADING
64,Neutral,TransportMemoryPreservation,0.5829,0.5764,0.5563,0.5571,0.5529,0.5485,0.5712,MEMORY-DEGRADING
80,Neutral,TransportMemoryPreservation,0.5214,0.5259,0.5206,0.5027,0.494,0.485,0.5175,MEMORY-FAILED
96,Neutral,TransportMemoryPreservation,0.493,0.4783,0.4653,0.4693,0.4671,0.4609,0.4832,MEMORY-FAILED
128,Neutral,TransportMemoryPreservation,0.4217,0.4117,0.4022,0.4032,0.3895,0.3924,0.4105,MEMORY-FAILED
160,Neutral,TransportMemoryPreservation,0.3631,0.3593,0.3471,0.3505,0.3474,0.3405,0.3648,MEMORY-FAILED
192,Neutral,TransportMemoryPreservation,0.3271,0.316,0.3148,0.3079,0.3069,0.302,0.3199,MEMORY-FAILED
256,Neutral,TransportMemoryPreservation,0.2665,0.2622,0.2623,0.2499,0.2568,0.2545,0.2639,MEMORY-FAILED
320,Neutral,TransportMemoryPreservation,0.228,0.2175,0.2156,0.2145,0.21,0.2103,0.2223,MEMORY-FAILED
512,Neutral,TransportMemoryPreservation,0.1519,0.149,0.1528,0.1484,0.1449,0.1421,0.1519,MEMORY-FAILED
768,Neutral,TransportMemoryPreservation,0.1081,0.1061,0.1065,0.1048,0.1055,0.1017,0.1047,MEMORY-FAILED
1024,Neutral,TransportMemoryPreservation,0.0835,0.0832,0.0816,0.0799,0.081,0.0803,0.0833,MEMORY-FAILED
1536,Neutral,TransportMemoryPreservation,0.0569,0.0563,0.0562,0.0549,0.0537,0.0531,0.0565,MEMORY-FAILED
2048,Neutral,TransportMemoryPreservation,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
3072,Neutral,TransportMemoryPreservation,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
4096,Neutral,TransportMemoryPreservation,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
1,Neutral,AdaptiveHistoricalModulation,0.9554,0.9309,0.9182,0.9117,0.91,0.8833,0.8961,MEMORY-STABLE
2,Neutral,AdaptiveHistoricalModulation,0.9399,0.9143,0.8961,0.8974,0.8892,0.8766,0.8962,MEMORY-BOUNDED
4,Neutral,AdaptiveHistoricalModulation,0.9284,0.8846,0.8826,0.8951,0.8816,0.8792,0.8828,MEMORY-BOUNDED
6,Neutral,AdaptiveHistoricalModulation,0.9009,0.898,0.8756,0.8655,0.8763,0.8403,0.8615,MEMORY-BOUNDED
8,Neutral,AdaptiveHistoricalModulation,0.8901,0.8667,0.8699,0.8345,0.8384,0.8372,0.8475,MEMORY-BOUNDED
12,Neutral,AdaptiveHistoricalModulation,0.837,0.8407,0.8069,0.8103,0.8395,0.7818,0.8054,MEMORY-BOUNDED
16,Neutral,AdaptiveHistoricalModulation,0.8331,0.806,0.8032,0.8038,0.8073,0.7829,0.7965,MEMORY-BOUNDED
20,Neutral,AdaptiveHistoricalModulation,0.8052,0.7925,0.7609,0.775,0.7578,0.7502,0.766,MEMORY-PARTIAL
24,Neutral,AdaptiveHistoricalModulation,0.7658,0.7529,0.7574,0.7274,0.754,0.7267,0.7524,MEMORY-PARTIAL
32,Neutral,AdaptiveHistoricalModulation,0.71,0.7094,0.7105,0.6912,0.7067,0.677,0.6793,MEMORY-PARTIAL
40,Neutral,AdaptiveHistoricalModulation,0.673,0.6552,0.666,0.6466,0.6556,0.6241,0.6649,MEMORY-DEGRADING
48,Neutral,AdaptiveHistoricalModulation,0.6308,0.6258,0.6274,0.6226,0.6235,0.6062,0.6197,MEMORY-DEGRADING
64,Neutral,AdaptiveHistoricalModulation,0.5742,0.5664,0.5618,0.5522,0.5676,0.539,0.5581,MEMORY-DEGRADING
80,Neutral,AdaptiveHistoricalModulation,0.5315,0.5115,0.5131,0.4984,0.5223,0.5035,0.5158,MEMORY-FAILED
96,Neutral,AdaptiveHistoricalModulation,0.4756,0.4813,0.4732,0.464,0.4709,0.4531,0.474,MEMORY-FAILED
128,Neutral,AdaptiveHistoricalModulation,0.4214,0.4074,0.4111,0.4039,0.4117,0.3921,0.4021,MEMORY-FAILED
160,Neutral,AdaptiveHistoricalModulation,0.3665,0.3558,0.3512,0.342,0.3478,0.3385,0.3569,MEMORY-FAILED
192,Neutral,AdaptiveHistoricalModulation,0.3198,0.3243,0.3195,0.3132,0.3199,0.3078,0.3099,MEMORY-FAILED
256,Neutral,AdaptiveHistoricalModulation,0.2669,0.2559,0.2599,0.2579,0.2621,0.2549,0.2551,MEMORY-FAILED
320,Neutral,AdaptiveHistoricalModulation,0.2199,0.2179,0.2216,0.2135,0.2231,0.2093,0.2134,MEMORY-FAILED
512,Neutral,AdaptiveHistoricalModulation,0.1508,0.1507,0.1513,0.146,0.149,0.1422,0.1511,MEMORY-FAILED
768,Neutral,AdaptiveHistoricalModulation,0.1097,0.1085,0.1073,0.1022,0.1041,0.1024,0.1064,MEMORY-FAILED
1024,Neutral,AdaptiveHistoricalModulation,0.0827,0.0813,0.0823,0.0824,0.0816,0.0774,0.0805,MEMORY-FAILED
1536,Neutral,AdaptiveHistoricalModulation,0.0585,0.057,0.0564,0.0566,0.0553,0.054,0.0555,MEMORY-FAILED
2048,Neutral,AdaptiveHistoricalModulation,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
3072,Neutral,AdaptiveHistoricalModulation,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
4096,Neutral,AdaptiveHistoricalModulation,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
1,Neutral,InteractionHistoryReconstruction,0.9494,0.9123,0.9001,0.901,0.9092,0.8904,0.8912,MEMORY-STABLE
2,Neutral,InteractionHistoryReconstruction,0.9138,0.8993,0.9,0.8895,0.9028,0.8906,0.9015,MEMORY-BOUNDED
4,Neutral,InteractionHistoryReconstruction,0.9131,0.9048,0.8726,0.8762,0.8606,0.8644,0.8795,MEMORY-BOUNDED
6,Neutral,InteractionHistoryReconstruction,0.8921,0.8918,0.8788,0.865,0.8688,0.8504,0.854,MEMORY-BOUNDED
8,Neutral,InteractionHistoryReconstruction,0.887,0.8611,0.874,0.8623,0.8356,0.8538,0.8622,MEMORY-BOUNDED
12,Neutral,InteractionHistoryReconstruction,0.8348,0.8285,0.83,0.8047,0.7934,0.8051,0.8064,MEMORY-BOUNDED
16,Neutral,InteractionHistoryReconstruction,0.8243,0.8072,0.8017,0.8016,0.786,0.7869,0.8019,MEMORY-BOUNDED
20,Neutral,InteractionHistoryReconstruction,0.8,0.7664,0.7732,0.7602,0.737,0.7545,0.7675,MEMORY-PARTIAL
24,Neutral,InteractionHistoryReconstruction,0.7645,0.7522,0.7303,0.7205,0.7384,0.7329,0.7419,MEMORY-PARTIAL
32,Neutral,InteractionHistoryReconstruction,0.6986,0.7171,0.7039,0.6801,0.6788,0.6926,0.6839,MEMORY-PARTIAL
40,Neutral,InteractionHistoryReconstruction,0.6712,0.6596,0.6561,0.644,0.6584,0.658,0.6615,MEMORY-DEGRADING
48,Neutral,InteractionHistoryReconstruction,0.6374,0.6352,0.6163,0.6168,0.6037,0.6069,0.6157,MEMORY-DEGRADING
64,Neutral,InteractionHistoryReconstruction,0.5686,0.564,0.5552,0.5559,0.5599,0.5585,0.5442,MEMORY-DEGRADING
80,Neutral,InteractionHistoryReconstruction,0.5136,0.5135,0.5115,0.5026,0.5031,0.4995,0.5066,MEMORY-FAILED
96,Neutral,InteractionHistoryReconstruction,0.4823,0.4837,0.4772,0.4707,0.4674,0.4576,0.4581,MEMORY-FAILED
128,Neutral,InteractionHistoryReconstruction,0.4093,0.4089,0.3962,0.391,0.3929,0.4006,0.3917,MEMORY-FAILED
160,Neutral,InteractionHistoryReconstruction,0.3614,0.3589,0.3524,0.354,0.3446,0.3481,0.3446,MEMORY-FAILED
192,Neutral,InteractionHistoryReconstruction,0.3263,0.3121,0.3171,0.3135,0.3045,0.3087,0.3107,MEMORY-FAILED
256,Neutral,InteractionHistoryReconstruction,0.2624,0.2562,0.2608,0.2582,0.2488,0.2503,0.2581,MEMORY-FAILED
320,Neutral,InteractionHistoryReconstruction,0.219,0.217,0.2215,0.2114,0.2143,0.2171,0.2204,MEMORY-FAILED
512,Neutral,InteractionHistoryReconstruction,0.1546,0.1503,0.153,0.149,0.1434,0.1498,0.1468,MEMORY-FAILED
768,Neutral,InteractionHistoryReconstruction,0.1063,0.1068,0.1053,0.1031,0.1023,0.1039,0.1033,MEMORY-FAILED
1024,Neutral,InteractionHistoryReconstruction,0.084,0.0813,0.0829,0.0823,0.0782,0.0796,0.0791,MEMORY-FAILED
1536,Neutral,InteractionHistoryReconstruction,0.0575,0.0578,0.0554,0.056,0.0549,0.0547,0.0559,MEMORY-FAILED
2048,Neutral,InteractionHistoryReconstruction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
3072,Neutral,InteractionHistoryReconstruction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
4096,Neutral,InteractionHistoryReconstruction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
1,Neutral,NullMemoryControl,0.7439,0.7598,0.7615,0.7454,0.7168,0.703,0.7477,MEMORY-PARTIAL
2,Neutral,NullMemoryControl,0.745,0.7604,0.7506,0.7614,0.6996,0.703,0.7306,MEMORY-PARTIAL
4,Neutral,NullMemoryControl,0.7445,0.7192,0.7136,0.7225,0.7166,0.6832,0.7267,MEMORY-PARTIAL
6,Neutral,NullMemoryControl,0.6959,0.7214,0.7015,0.7074,0.7002,0.6875,0.7018,MEMORY-PARTIAL
8,Neutral,NullMemoryControl,0.6922,0.6978,0.69,0.7053,0.6897,0.6733,0.6751,MEMORY-DEGRADING
12,Neutral,NullMemoryControl,0.6832,0.6752,0.6824,0.6635,0.6702,0.6276,0.6617,MEMORY-DEGRADING
16,Neutral,NullMemoryControl,0.6549,0.6467,0.6585,0.6561,0.6136,0.6101,0.6526,MEMORY-DEGRADING
20,Neutral,NullMemoryControl,0.6385,0.6247,0.6355,0.6436,0.6034,0.6128,0.6158,MEMORY-DEGRADING
24,Neutral,NullMemoryControl,0.6113,0.6071,0.5942,0.6162,0.5811,0.5865,0.5909,MEMORY-DEGRADING
32,Neutral,NullMemoryControl,0.566,0.5778,0.5588,0.5719,0.5441,0.5507,0.5465,MEMORY-DEGRADING
40,Neutral,NullMemoryControl,0.541,0.5374,0.5428,0.5467,0.5312,0.5234,0.5177,MEMORY-FAILED
48,Neutral,NullMemoryControl,0.5197,0.5255,0.5136,0.5124,0.4915,0.4749,0.493,MEMORY-FAILED
64,Neutral,NullMemoryControl,0.4561,0.4547,0.4665,0.4641,0.4455,0.4408,0.4627,MEMORY-FAILED
80,Neutral,NullMemoryControl,0.4162,0.4296,0.4275,0.4111,0.3972,0.3976,0.4062,MEMORY-FAILED
96,Neutral,NullMemoryControl,0.38,0.3885,0.3828,0.3905,0.3706,0.3641,0.3743,MEMORY-FAILED
128,Neutral,NullMemoryControl,0.3341,0.3364,0.3309,0.3382,0.316,0.3158,0.3307,MEMORY-FAILED
160,Neutral,NullMemoryControl,0.2883,0.2901,0.2928,0.2918,0.2815,0.2814,0.2881,MEMORY-FAILED
192,Neutral,NullMemoryControl,0.2531,0.26,0.2613,0.257,0.249,0.2491,0.248,MEMORY-FAILED
256,Neutral,NullMemoryControl,0.2103,0.2103,0.2101,0.2143,0.1991,0.204,0.2044,MEMORY-FAILED
320,Neutral,NullMemoryControl,0.1755,0.1847,0.1822,0.1792,0.1744,0.1706,0.1767,MEMORY-FAILED
512,Neutral,NullMemoryControl,0.1244,0.1227,0.1215,0.1222,0.1166,0.1153,0.1235,MEMORY-FAILED
768,Neutral,NullMemoryControl,0.0871,0.0894,0.0851,0.0856,0.0858,0.0844,0.0831,MEMORY-FAILED
1024,Neutral,NullMemoryControl,0.0655,0.0663,0.065,0.0669,0.0646,0.0652,0.0649,MEMORY-FAILED
1536,Neutral,NullMemoryControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
2048,Neutral,NullMemoryControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
3072,Neutral,NullMemoryControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
4096,Neutral,NullMemoryControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
1,Projection-Antisymmetry,HistoricalStateEncoding,0.96,0.94,0.93,0.8987,0.9048,0.9,0.9199,MEMORY-STABLE
2,Projection-Antisymmetry,HistoricalStateEncoding,0.9446,0.9371,0.93,0.9104,0.8899,0.882,0.8793,MEMORY-STABLE
4,Projection-Antisymmetry,HistoricalStateEncoding,0.9297,0.914,0.8902,0.8642,0.8564,0.8664,0.8885,MEMORY-BOUNDED
6,Projection-Antisymmetry,HistoricalStateEncoding,0.9153,0.9067,0.8649,0.8537,0.8655,0.8492,0.8726,MEMORY-BOUNDED
8,Projection-Antisymmetry,HistoricalStateEncoding,0.8969,0.8781,0.8745,0.8372,0.8426,0.8291,0.8593,MEMORY-BOUNDED
12,Projection-Antisymmetry,HistoricalStateEncoding,0.8492,0.8323,0.8309,0.8176,0.8054,0.8114,0.8023,MEMORY-BOUNDED
16,Projection-Antisymmetry,HistoricalStateEncoding,0.8426,0.7973,0.8136,0.8026,0.7893,0.78,0.7978,MEMORY-PARTIAL
20,Projection-Antisymmetry,HistoricalStateEncoding,0.7922,0.7954,0.7879,0.7611,0.7611,0.7439,0.7539,MEMORY-PARTIAL
24,Projection-Antisymmetry,HistoricalStateEncoding,0.7865,0.7763,0.7402,0.7505,0.7363,0.7338,0.7514,MEMORY-PARTIAL
32,Projection-Antisymmetry,HistoricalStateEncoding,0.7141,0.7032,0.7091,0.6929,0.6779,0.6911,0.7007,MEMORY-PARTIAL
40,Projection-Antisymmetry,HistoricalStateEncoding,0.6948,0.6819,0.6735,0.6475,0.6324,0.6372,0.6411,MEMORY-DEGRADING
48,Projection-Antisymmetry,HistoricalStateEncoding,0.6436,0.6253,0.6387,0.6204,0.6062,0.5972,0.6262,MEMORY-DEGRADING
64,Projection-Antisymmetry,HistoricalStateEncoding,0.5762,0.5726,0.5776,0.5519,0.5451,0.546,0.5577,MEMORY-DEGRADING
80,Projection-Antisymmetry,HistoricalStateEncoding,0.5333,0.5178,0.5177,0.5006,0.499,0.5101,0.4999,MEMORY-FAILED
96,Projection-Antisymmetry,HistoricalStateEncoding,0.4901,0.4865,0.4807,0.4704,0.4616,0.469,0.4554,MEMORY-FAILED
128,Projection-Antisymmetry,HistoricalStateEncoding,0.4268,0.4157,0.4099,0.4008,0.4001,0.3978,0.3953,MEMORY-FAILED
160,Projection-Antisymmetry,HistoricalStateEncoding,0.3685,0.3637,0.3616,0.3433,0.3452,0.3494,0.3469,MEMORY-FAILED
192,Projection-Antisymmetry,HistoricalStateEncoding,0.3251,0.318,0.3228,0.3089,0.3022,0.3081,0.305,MEMORY-FAILED
256,Projection-Antisymmetry,HistoricalStateEncoding,0.2703,0.2634,0.2633,0.2572,0.2541,0.2548,0.251,MEMORY-FAILED
320,Projection-Antisymmetry,HistoricalStateEncoding,0.2243,0.2276,0.2223,0.2136,0.214,0.2136,0.213,MEMORY-FAILED
512,Projection-Antisymmetry,HistoricalStateEncoding,0.1555,0.1503,0.1499,0.1471,0.1498,0.1454,0.1477,MEMORY-FAILED
768,Projection-Antisymmetry,HistoricalStateEncoding,0.1084,0.1064,0.1062,0.1061,0.1036,0.1044,0.1022,MEMORY-FAILED
1024,Projection-Antisymmetry,HistoricalStateEncoding,0.0857,0.0847,0.0837,0.0807,0.079,0.0804,0.0807,MEMORY-FAILED
1536,Projection-Antisymmetry,HistoricalStateEncoding,0.0578,0.058,0.0572,0.0547,0.0545,0.0556,0.0543,MEMORY-FAILED
2048,Projection-Antisymmetry,HistoricalStateEncoding,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
3072,Projection-Antisymmetry,HistoricalStateEncoding,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
4096,Projection-Antisymmetry,HistoricalStateEncoding,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
1,Projection-Antisymmetry,RecursiveMemoryPersistence,0.96,0.94,0.9106,0.9073,0.91,0.8781,0.9196,MEMORY-STABLE
2,Projection-Antisymmetry,RecursiveMemoryPersistence,0.96,0.94,0.929,0.9149,0.9083,0.8669,0.92,MEMORY-STABLE
4,Projection-Antisymmetry,RecursiveMemoryPersistence,0.9449,0.9009,0.8917,0.8895,0.884,0.8617,0.8989,MEMORY-BOUNDED
6,Projection-Antisymmetry,RecursiveMemoryPersistence,0.8994,0.8953,0.8698,0.855,0.8704,0.8636,0.8712,MEMORY-BOUNDED
8,Projection-Antisymmetry,RecursiveMemoryPersistence,0.9049,0.9014,0.8485,0.8696,0.8543,0.8293,0.8616,MEMORY-BOUNDED
12,Projection-Antisymmetry,RecursiveMemoryPersistence,0.8497,0.8454,0.8292,0.8375,0.8207,0.8051,0.815,MEMORY-BOUNDED
16,Projection-Antisymmetry,RecursiveMemoryPersistence,0.8242,0.8278,0.8028,0.7822,0.8023,0.7813,0.8066,MEMORY-BOUNDED
20,Projection-Antisymmetry,RecursiveMemoryPersistence,0.8042,0.805,0.7764,0.7535,0.7448,0.74,0.7804,MEMORY-PARTIAL
24,Projection-Antisymmetry,RecursiveMemoryPersistence,0.7856,0.7635,0.7524,0.7421,0.7477,0.7223,0.7321,MEMORY-PARTIAL
32,Projection-Antisymmetry,RecursiveMemoryPersistence,0.7367,0.7282,0.719,0.6892,0.6977,0.6864,0.6999,MEMORY-PARTIAL
40,Projection-Antisymmetry,RecursiveMemoryPersistence,0.6839,0.6817,0.6665,0.6573,0.6421,0.6575,0.6655,MEMORY-DEGRADING
48,Projection-Antisymmetry,RecursiveMemoryPersistence,0.6425,0.6355,0.624,0.6277,0.605,0.6219,0.6307,MEMORY-DEGRADING
64,Projection-Antisymmetry,RecursiveMemoryPersistence,0.5841,0.5779,0.5648,0.5713,0.5435,0.555,0.5572,MEMORY-DEGRADING
80,Projection-Antisymmetry,RecursiveMemoryPersistence,0.5294,0.525,0.5146,0.5151,0.5123,0.4948,0.5093,MEMORY-FAILED
96,Projection-Antisymmetry,RecursiveMemoryPersistence,0.4827,0.488,0.4672,0.4635,0.4561,0.4561,0.4787,MEMORY-FAILED
128,Projection-Antisymmetry,RecursiveMemoryPersistence,0.4175,0.4085,0.3998,0.4075,0.4058,0.3988,0.4022,MEMORY-FAILED
160,Projection-Antisymmetry,RecursiveMemoryPersistence,0.3714,0.3672,0.3507,0.3523,0.3496,0.3526,0.3481,MEMORY-FAILED
192,Projection-Antisymmetry,RecursiveMemoryPersistence,0.328,0.3261,0.323,0.3098,0.3145,0.3091,0.3177,MEMORY-FAILED
256,Projection-Antisymmetry,RecursiveMemoryPersistence,0.2683,0.2688,0.2645,0.2537,0.2598,0.2565,0.2603,MEMORY-FAILED
320,Projection-Antisymmetry,RecursiveMemoryPersistence,0.2323,0.2291,0.2228,0.2157,0.2156,0.2095,0.2227,MEMORY-FAILED
512,Projection-Antisymmetry,RecursiveMemoryPersistence,0.1566,0.1516,0.1497,0.1531,0.1453,0.1486,0.1477,MEMORY-FAILED
768,Projection-Antisymmetry,RecursiveMemoryPersistence,0.1101,0.1095,0.1079,0.1062,0.104,0.1036,0.1051,MEMORY-FAILED
1024,Projection-Antisymmetry,RecursiveMemoryPersistence,0.0839,0.0843,0.0819,0.081,0.0799,0.0808,0.0818,MEMORY-FAILED
1536,Projection-Antisymmetry,RecursiveMemoryPersistence,0.058,0.0568,0.0568,0.0563,0.0543,0.0545,0.057,MEMORY-FAILED
2048,Projection-Antisymmetry,RecursiveMemoryPersistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
3072,Projection-Antisymmetry,RecursiveMemoryPersistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
4096,Projection-Antisymmetry,RecursiveMemoryPersistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
1,Projection-Antisymmetry,LineageInheritanceAnalysis,0.934,0.94,0.93,0.92,0.8895,0.9,0.9143,MEMORY-STABLE
2,Projection-Antisymmetry,LineageInheritanceAnalysis,0.9309,0.9346,0.9121,0.9113,0.8732,0.8697,0.882,MEMORY-STABLE
4,Projection-Antisymmetry,LineageInheritanceAnalysis,0.909,0.9267,0.9056,0.8966,0.8584,0.8421,0.8665,MEMORY-STABLE
6,Projection-Antisymmetry,LineageInheritanceAnalysis,0.9003,0.8874,0.8655,0.8679,0.8537,0.8383,0.8787,MEMORY-BOUNDED
8,Projection-Antisymmetry,LineageInheritanceAnalysis,0.8685,0.8566,0.8678,0.8588,0.8543,0.8137,0.8493,MEMORY-BOUNDED
12,Projection-Antisymmetry,LineageInheritanceAnalysis,0.8474,0.8586,0.8334,0.8288,0.7927,0.8136,0.8036,MEMORY-BOUNDED
16,Projection-Antisymmetry,LineageInheritanceAnalysis,0.8174,0.8274,0.794,0.8087,0.7716,0.7663,0.7968,MEMORY-PARTIAL
20,Projection-Antisymmetry,LineageInheritanceAnalysis,0.7913,0.7711,0.7705,0.7697,0.7459,0.7516,0.771,MEMORY-PARTIAL
24,Projection-Antisymmetry,LineageInheritanceAnalysis,0.786,0.7459,0.7488,0.7371,0.736,0.71,0.7335,MEMORY-PARTIAL
