depth,sector,condition,rg_similarity,self_maintenance_index,correction_regeneration_rate,stabilization_overhead,recursive_repair_efficiency,coherence_retention,maintenance_convergence,classification
64,Projection-Neutral,CoherenceMaintenanceFeedback,0.2354,0.2266,0.2172,0.029,0.2222,0.2406,0.2236,COHERENCE-FAILED
1,Projection-Neutral,RecursiveRepairPropagation,0.8111,0.776,0.7535,0.0356,0.8065,0.8067,0.7881,SELF-MAINTAINING
2,Projection-Neutral,RecursiveRepairPropagation,0.7796,0.777,0.7294,0.0409,0.7672,0.7673,0.7432,SELF-MAINTAINING
4,Projection-Neutral,RecursiveRepairPropagation,0.7462,0.7275,0.6812,0.0268,0.7155,0.723,0.6849,COHERENCE-REGENERATIVE
6,Projection-Neutral,RecursiveRepairPropagation,0.6988,0.658,0.6439,0.0266,0.6675,0.6784,0.6605,COHERENCE-REGENERATIVE
8,Projection-Neutral,RecursiveRepairPropagation,0.6567,0.6317,0.5982,0.0419,0.6241,0.6205,0.6021,COHERENCE-PARTIAL
12,Projection-Neutral,RecursiveRepairPropagation,0.5747,0.5388,0.5423,0.0257,0.5561,0.5519,0.539,COHERENCE-DEGRADING
16,Projection-Neutral,RecursiveRepairPropagation,0.504,0.4886,0.4908,0.0277,0.4935,0.5014,0.4971,COHERENCE-DEGRADING
20,Projection-Neutral,RecursiveRepairPropagation,0.4661,0.4528,0.4393,0.0358,0.4624,0.4578,0.443,COHERENCE-DEGRADING
24,Projection-Neutral,RecursiveRepairPropagation,0.4358,0.4057,0.3896,0.0266,0.4169,0.4056,0.3938,COHERENCE-DEGRADING
28,Projection-Neutral,RecursiveRepairPropagation,0.4009,0.3853,0.3683,0.0281,0.3813,0.3755,0.3653,COHERENCE-FAILED
32,Projection-Neutral,RecursiveRepairPropagation,0.3761,0.3604,0.3486,0.0407,0.3592,0.3591,0.3422,COHERENCE-FAILED
40,Projection-Neutral,RecursiveRepairPropagation,0.3282,0.3183,0.2942,0.047,0.3174,0.3176,0.3035,COHERENCE-FAILED
48,Projection-Neutral,RecursiveRepairPropagation,0.2807,0.2764,0.2722,0.0509,0.2789,0.275,0.264,COHERENCE-FAILED
64,Projection-Neutral,RecursiveRepairPropagation,0.2369,0.227,0.2212,0.0433,0.2336,0.2281,0.2165,COHERENCE-FAILED
1,Projection-Neutral,NullSelfMaintenanceControl,0.6306,0.6324,0.5915,0.1272,0.5755,0.6223,0.6086,COHERENCE-DEGRADING
2,Projection-Neutral,NullSelfMaintenanceControl,0.6095,0.6102,0.5771,0.1199,0.536,0.6173,0.6014,COHERENCE-DEGRADING
4,Projection-Neutral,NullSelfMaintenanceControl,0.5743,0.5796,0.5284,0.1256,0.5091,0.5836,0.5424,COHERENCE-DEGRADING
6,Projection-Neutral,NullSelfMaintenanceControl,0.5313,0.546,0.5023,0.1274,0.4829,0.5223,0.531,COHERENCE-DEGRADING
8,Projection-Neutral,NullSelfMaintenanceControl,0.4875,0.4983,0.4797,0.1316,0.4478,0.4925,0.4901,COHERENCE-DEGRADING
12,Projection-Neutral,NullSelfMaintenanceControl,0.4487,0.4617,0.4039,0.1232,0.4131,0.4357,0.4323,COHERENCE-DEGRADING
16,Projection-Neutral,NullSelfMaintenanceControl,0.3862,0.401,0.3611,0.1283,0.3648,0.3998,0.3988,COHERENCE-DEGRADING
20,Projection-Neutral,NullSelfMaintenanceControl,0.3638,0.3659,0.3328,0.1477,0.3292,0.369,0.3553,COHERENCE-FAILED
24,Projection-Neutral,NullSelfMaintenanceControl,0.3275,0.3273,0.306,0.1443,0.2976,0.3409,0.3312,COHERENCE-FAILED
28,Projection-Neutral,NullSelfMaintenanceControl,0.306,0.3107,0.2801,0.15,0.2731,0.3104,0.3039,COHERENCE-FAILED
32,Projection-Neutral,NullSelfMaintenanceControl,0.2862,0.296,0.2657,0.141,0.2642,0.2779,0.2767,COHERENCE-FAILED
40,Projection-Neutral,NullSelfMaintenanceControl,0.2426,0.2524,0.232,0.15,0.2178,0.2474,0.2428,COHERENCE-FAILED
48,Projection-Neutral,NullSelfMaintenanceControl,0.2224,0.2242,0.2082,0.15,0.2053,0.2156,0.2178,COHERENCE-FAILED
64,Projection-Neutral,NullSelfMaintenanceControl,0.1743,0.1823,0.1667,0.15,0.1636,0.1782,0.1779,COHERENCE-FAILED
1,Antisymmetry-Neutral,RecursiveOpSelfReinforcement,0.8288,0.8147,0.7867,0.0051,0.7843,0.794,0.7577,SELF-MAINTAINING
2,Antisymmetry-Neutral,RecursiveOpSelfReinforcement,0.8261,0.7821,0.764,0.0206,0.7515,0.7861,0.722,SELF-MAINTAINING
4,Antisymmetry-Neutral,RecursiveOpSelfReinforcement,0.7613,0.752,0.7091,0.0102,0.6837,0.7141,0.666,COHERENCE-REGENERATIVE
6,Antisymmetry-Neutral,RecursiveOpSelfReinforcement,0.7105,0.7041,0.6403,0.0113,0.6573,0.6704,0.6461,COHERENCE-REGENERATIVE
8,Antisymmetry-Neutral,RecursiveOpSelfReinforcement,0.6597,0.6375,0.6026,0.0121,0.6045,0.6297,0.5928,COHERENCE-PARTIAL
12,Antisymmetry-Neutral,RecursiveOpSelfReinforcement,0.5894,0.5643,0.5469,0.0143,0.5423,0.5473,0.5191,COHERENCE-DEGRADING
16,Antisymmetry-Neutral,RecursiveOpSelfReinforcement,0.5184,0.5149,0.4977,0.0155,0.4808,0.497,0.4824,COHERENCE-DEGRADING
20,Antisymmetry-Neutral,RecursiveOpSelfReinforcement,0.4797,0.4645,0.4546,0.0251,0.4418,0.4654,0.4301,COHERENCE-DEGRADING
24,Antisymmetry-Neutral,RecursiveOpSelfReinforcement,0.4369,0.4318,0.3998,0.0147,0.4089,0.4224,0.4025,COHERENCE-DEGRADING
28,Antisymmetry-Neutral,RecursiveOpSelfReinforcement,0.4138,0.3948,0.3802,0.0085,0.3803,0.3798,0.3692,COHERENCE-FAILED
32,Antisymmetry-Neutral,RecursiveOpSelfReinforcement,0.3832,0.3758,0.3567,0.0235,0.343,0.3606,0.337,COHERENCE-FAILED
40,Antisymmetry-Neutral,RecursiveOpSelfReinforcement,0.334,0.3194,0.3126,0.0166,0.3023,0.3155,0.296,COHERENCE-FAILED
48,Antisymmetry-Neutral,RecursiveOpSelfReinforcement,0.2942,0.2832,0.2688,0.0283,0.278,0.2777,0.2635,COHERENCE-FAILED
64,Antisymmetry-Neutral,RecursiveOpSelfReinforcement,0.2422,0.2388,0.2258,0.0305,0.2233,0.2268,0.2153,COHERENCE-FAILED
1,Antisymmetry-Neutral,AutonomousCorrectionCycling,0.8325,0.81,0.769,0.0208,0.7893,0.8281,0.7887,SELF-MAINTAINING
2,Antisymmetry-Neutral,AutonomousCorrectionCycling,0.8056,0.78,0.7627,0.0171,0.7296,0.7953,0.7366,COHERENCE-REGENERATIVE
4,Antisymmetry-Neutral,AutonomousCorrectionCycling,0.7511,0.7024,0.6785,0.0143,0.706,0.7188,0.6994,COHERENCE-REGENERATIVE
6,Antisymmetry-Neutral,AutonomousCorrectionCycling,0.692,0.6829,0.6349,0.0217,0.6578,0.682,0.6539,COHERENCE-REGENERATIVE
8,Antisymmetry-Neutral,AutonomousCorrectionCycling,0.6574,0.6344,0.5992,0.0257,0.6041,0.6219,0.6006,COHERENCE-PARTIAL
12,Antisymmetry-Neutral,AutonomousCorrectionCycling,0.5836,0.5583,0.5283,0.024,0.5336,0.5737,0.528,COHERENCE-DEGRADING
16,Antisymmetry-Neutral,AutonomousCorrectionCycling,0.5285,0.4931,0.4834,0.0355,0.4756,0.4991,0.4762,COHERENCE-DEGRADING
20,Antisymmetry-Neutral,AutonomousCorrectionCycling,0.476,0.4525,0.4363,0.0234,0.4375,0.4547,0.4295,COHERENCE-DEGRADING
24,Antisymmetry-Neutral,AutonomousCorrectionCycling,0.4362,0.4128,0.4133,0.0308,0.4108,0.4203,0.4054,COHERENCE-DEGRADING
28,Antisymmetry-Neutral,AutonomousCorrectionCycling,0.3969,0.3869,0.3697,0.0209,0.3813,0.3913,0.3655,COHERENCE-FAILED
32,Antisymmetry-Neutral,AutonomousCorrectionCycling,0.3686,0.3609,0.3463,0.0315,0.3468,0.3662,0.342,COHERENCE-FAILED
40,Antisymmetry-Neutral,AutonomousCorrectionCycling,0.32,0.3131,0.3003,0.0198,0.2983,0.3249,0.3013,COHERENCE-FAILED
48,Antisymmetry-Neutral,AutonomousCorrectionCycling,0.2827,0.2728,0.2634,0.0282,0.2723,0.2765,0.2671,COHERENCE-FAILED
64,Antisymmetry-Neutral,AutonomousCorrectionCycling,0.232,0.2333,0.2216,0.0375,0.215,0.2323,0.2228,COHERENCE-FAILED
1,Antisymmetry-Neutral,StabilizationRegeneration,0.8618,0.8179,0.786,0.005,0.7982,0.836,0.7749,SELF-MAINTAINING
2,Antisymmetry-Neutral,StabilizationRegeneration,0.8266,0.8174,0.7647,0.005,0.7512,0.7919,0.7492,SELF-MAINTAINING
4,Antisymmetry-Neutral,StabilizationRegeneration,0.7622,0.754,0.7022,0.005,0.7204,0.7359,0.7054,COHERENCE-REGENERATIVE
6,Antisymmetry-Neutral,StabilizationRegeneration,0.709,0.6826,0.6575,0.005,0.664,0.6867,0.6477,COHERENCE-REGENERATIVE
8,Antisymmetry-Neutral,StabilizationRegeneration,0.6553,0.6463,0.6142,0.005,0.6169,0.6325,0.6227,COHERENCE-PARTIAL
12,Antisymmetry-Neutral,StabilizationRegeneration,0.6012,0.5813,0.5615,0.005,0.5628,0.5805,0.5512,COHERENCE-PARTIAL
16,Antisymmetry-Neutral,StabilizationRegeneration,0.536,0.5173,0.5011,0.005,0.5038,0.5142,0.5012,COHERENCE-DEGRADING
20,Antisymmetry-Neutral,StabilizationRegeneration,0.4767,0.4819,0.449,0.005,0.4486,0.4655,0.4535,COHERENCE-DEGRADING
24,Antisymmetry-Neutral,StabilizationRegeneration,0.4447,0.4432,0.4106,0.0069,0.4146,0.4234,0.415,COHERENCE-DEGRADING
28,Antisymmetry-Neutral,StabilizationRegeneration,0.4068,0.3954,0.3891,0.005,0.3751,0.4012,0.3772,COHERENCE-FAILED
32,Antisymmetry-Neutral,StabilizationRegeneration,0.3768,0.3665,0.3622,0.005,0.3558,0.3639,0.3577,COHERENCE-FAILED
40,Antisymmetry-Neutral,StabilizationRegeneration,0.3351,0.3296,0.3077,0.0097,0.3036,0.3188,0.3073,COHERENCE-FAILED
48,Antisymmetry-Neutral,StabilizationRegeneration,0.2985,0.2906,0.2811,0.005,0.2696,0.282,0.2795,COHERENCE-FAILED
64,Antisymmetry-Neutral,StabilizationRegeneration,0.2397,0.2328,0.2303,0.0118,0.2275,0.2388,0.2184,COHERENCE-FAILED
1,Antisymmetry-Neutral,CoherenceMaintenanceFeedback,0.8306,0.8054,0.7789,0.0146,0.776,0.8318,0.8017,SELF-MAINTAINING
2,Antisymmetry-Neutral,CoherenceMaintenanceFeedback,0.8053,0.7879,0.74,0.0209,0.7513,0.7873,0.7544,SELF-MAINTAINING
4,Antisymmetry-Neutral,CoherenceMaintenanceFeedback,0.7601,0.7382,0.6982,0.0192,0.6949,0.7559,0.7072,COHERENCE-REGENERATIVE
6,Antisymmetry-Neutral,CoherenceMaintenanceFeedback,0.697,0.6695,0.6341,0.0288,0.6574,0.6908,0.6495,COHERENCE-REGENERATIVE
8,Antisymmetry-Neutral,CoherenceMaintenanceFeedback,0.6627,0.6478,0.6203,0.0298,0.6078,0.6665,0.6131,COHERENCE-PARTIAL
12,Antisymmetry-Neutral,CoherenceMaintenanceFeedback,0.5909,0.5668,0.5401,0.0282,0.5517,0.5819,0.5605,COHERENCE-PARTIAL
16,Antisymmetry-Neutral,CoherenceMaintenanceFeedback,0.5121,0.5065,0.4836,0.0263,0.4841,0.5138,0.4954,COHERENCE-DEGRADING
20,Antisymmetry-Neutral,CoherenceMaintenanceFeedback,0.4752,0.4735,0.4442,0.0314,0.4485,0.4854,0.4412,COHERENCE-DEGRADING
24,Antisymmetry-Neutral,CoherenceMaintenanceFeedback,0.437,0.4343,0.3994,0.0305,0.3967,0.4302,0.4142,COHERENCE-DEGRADING
28,Antisymmetry-Neutral,CoherenceMaintenanceFeedback,0.3939,0.3972,0.3749,0.0192,0.3753,0.4086,0.3737,COHERENCE-FAILED
32,Antisymmetry-Neutral,CoherenceMaintenanceFeedback,0.3657,0.3701,0.3378,0.0227,0.3504,0.379,0.3539,COHERENCE-FAILED
40,Antisymmetry-Neutral,CoherenceMaintenanceFeedback,0.3244,0.3202,0.2953,0.0319,0.2958,0.3213,0.3056,COHERENCE-FAILED
48,Antisymmetry-Neutral,CoherenceMaintenanceFeedback,0.2952,0.2816,0.2755,0.0222,0.2716,0.286,0.2747,COHERENCE-FAILED
64,Antisymmetry-Neutral,CoherenceMaintenanceFeedback,0.2418,0.2328,0.2218,0.0414,0.2208,0.2368,0.2229,COHERENCE-FAILED
1,Antisymmetry-Neutral,RecursiveRepairPropagation,0.8419,0.79,0.7528,0.0284,0.8161,0.815,0.7672,SELF-MAINTAINING
2,Antisymmetry-Neutral,RecursiveRepairPropagation,0.7804,0.7735,0.7202,0.0312,0.7648,0.7608,0.7515,SELF-MAINTAINING
4,Antisymmetry-Neutral,RecursiveRepairPropagation,0.7342,0.7028,0.699,0.0263,0.7057,0.7035,0.6846,COHERENCE-REGENERATIVE
6,Antisymmetry-Neutral,RecursiveRepairPropagation,0.6837,0.6754,0.6389,0.0235,0.6858,0.6616,0.6629,COHERENCE-REGENERATIVE
8,Antisymmetry-Neutral,RecursiveRepairPropagation,0.6352,0.6143,0.6103,0.0391,0.6383,0.6357,0.6128,COHERENCE-PARTIAL
12,Antisymmetry-Neutral,RecursiveRepairPropagation,0.5866,0.549,0.5427,0.0438,0.5694,0.566,0.5449,COHERENCE-DEGRADING
16,Antisymmetry-Neutral,RecursiveRepairPropagation,0.5272,0.4865,0.4814,0.0332,0.5077,0.5042,0.4792,COHERENCE-DEGRADING
20,Antisymmetry-Neutral,RecursiveRepairPropagation,0.4763,0.4506,0.4441,0.0268,0.4649,0.4582,0.4361,COHERENCE-DEGRADING
24,Antisymmetry-Neutral,RecursiveRepairPropagation,0.4361,0.4225,0.4015,0.0428,0.4239,0.4073,0.409,COHERENCE-DEGRADING
28,Antisymmetry-Neutral,RecursiveRepairPropagation,0.3945,0.382,0.3776,0.0347,0.3852,0.3907,0.3706,COHERENCE-FAILED
32,Antisymmetry-Neutral,RecursiveRepairPropagation,0.37,0.3519,0.3357,0.0329,0.3604,0.3636,0.3441,COHERENCE-FAILED
40,Antisymmetry-Neutral,RecursiveRepairPropagation,0.3161,0.3134,0.296,0.0413,0.3173,0.3034,0.3016,COHERENCE-FAILED
48,Antisymmetry-Neutral,RecursiveRepairPropagation,0.281,0.2787,0.2621,0.032,0.2806,0.2747,0.268,COHERENCE-FAILED
64,Antisymmetry-Neutral,RecursiveRepairPropagation,0.2305,0.2212,0.2139,0.0438,0.2242,0.2308,0.2255,COHERENCE-FAILED
1,Antisymmetry-Neutral,NullSelfMaintenanceControl,0.618,0.6317,0.6127,0.1309,0.5847,0.6208,0.6324,COHERENCE-DEGRADING
2,Antisymmetry-Neutral,NullSelfMaintenanceControl,0.6039,0.6243,0.5866,0.1312,0.5448,0.619,0.6168,COHERENCE-DEGRADING
4,Antisymmetry-Neutral,NullSelfMaintenanceControl,0.566,0.5871,0.5145,0.1257,0.511,0.5763,0.5452,COHERENCE-DEGRADING
6,Antisymmetry-Neutral,NullSelfMaintenanceControl,0.5197,0.5377,0.5081,0.1268,0.4879,0.5401,0.5112,COHERENCE-DEGRADING
8,Antisymmetry-Neutral,NullSelfMaintenanceControl,0.4929,0.5017,0.4563,0.1368,0.4502,0.4984,0.4933,COHERENCE-DEGRADING
12,Antisymmetry-Neutral,NullSelfMaintenanceControl,0.4272,0.4513,0.4262,0.1305,0.4042,0.4411,0.4352,COHERENCE-DEGRADING
16,Antisymmetry-Neutral,NullSelfMaintenanceControl,0.3878,0.411,0.365,0.1266,0.3609,0.3911,0.3808,COHERENCE-DEGRADING
20,Antisymmetry-Neutral,NullSelfMaintenanceControl,0.3535,0.3592,0.3291,0.1361,0.3379,0.3662,0.3574,COHERENCE-FAILED
24,Antisymmetry-Neutral,NullSelfMaintenanceControl,0.33,0.3434,0.3096,0.1491,0.2949,0.3333,0.3288,COHERENCE-FAILED
28,Antisymmetry-Neutral,NullSelfMaintenanceControl,0.305,0.3014,0.2888,0.15,0.2831,0.3062,0.31,COHERENCE-FAILED
32,Antisymmetry-Neutral,NullSelfMaintenanceControl,0.2809,0.2947,0.2742,0.15,0.2568,0.2902,0.284,COHERENCE-FAILED
40,Antisymmetry-Neutral,NullSelfMaintenanceControl,0.251,0.2463,0.2312,0.15,0.2198,0.2553,0.245,COHERENCE-FAILED
48,Antisymmetry-Neutral,NullSelfMaintenanceControl,0.2235,0.2198,0.2026,0.15,0.2045,0.2152,0.2189,COHERENCE-FAILED
64,Antisymmetry-Neutral,NullSelfMaintenanceControl,0.1837,0.1814,0.1671,0.15,0.1652,0.1787,0.1752,COHERENCE-FAILED
1,Projection-Antisymmetry-Neutral,RecursiveOpSelfReinforcement,0.8256,0.8343,0.8016,0.0151,0.7856,0.7861,0.7736,SELF-MAINTAINING
2,Projection-Antisymmetry-Neutral,RecursiveOpSelfReinforcement,0.7926,0.8063,0.7664,0.005,0.7652,0.7833,0.7417,SELF-MAINTAINING
4,Projection-Antisymmetry-Neutral,RecursiveOpSelfReinforcement,0.734,0.7245,0.7178,0.0198,0.7039,0.7192,0.6875,COHERENCE-REGENERATIVE
6,Projection-Antisymmetry-Neutral,RecursiveOpSelfReinforcement,0.7127,0.6986,0.6593,0.0095,0.6387,0.684,0.6509,COHERENCE-PARTIAL
8,Projection-Antisymmetry-Neutral,RecursiveOpSelfReinforcement,0.6581,0.6314,0.6164,0.0207,0.6129,0.625,0.5846,COHERENCE-PARTIAL
12,Projection-Antisymmetry-Neutral,RecursiveOpSelfReinforcement,0.5959,0.567,0.5426,0.0228,0.5399,0.567,0.5432,COHERENCE-DEGRADING
16,Projection-Antisymmetry-Neutral,RecursiveOpSelfReinforcement,0.5364,0.5041,0.4964,0.0236,0.4796,0.4972,0.4746,COHERENCE-DEGRADING
20,Projection-Antisymmetry-Neutral,RecursiveOpSelfReinforcement,0.4733,0.4663,0.4418,0.0094,0.4479,0.4641,0.4357,COHERENCE-DEGRADING
24,Projection-Antisymmetry-Neutral,RecursiveOpSelfReinforcement,0.431,0.4289,0.4073,0.0126,0.4168,0.4145,0.389,COHERENCE-DEGRADING
28,Projection-Antisymmetry-Neutral,RecursiveOpSelfReinforcement,0.412,0.3973,0.3842,0.0164,0.3843,0.3806,0.3668,COHERENCE-FAILED
32,Projection-Antisymmetry-Neutral,RecursiveOpSelfReinforcement,0.3693,0.377,0.3526,0.0089,0.3449,0.3533,0.3355,COHERENCE-FAILED
40,Projection-Antisymmetry-Neutral,RecursiveOpSelfReinforcement,0.3215,0.3222,0.305,0.005,0.3058,0.3125,0.2996,COHERENCE-FAILED
48,Projection-Antisymmetry-Neutral,RecursiveOpSelfReinforcement,0.2867,0.2904,0.2707,0.016,0.2772,0.2781,0.2698,COHERENCE-FAILED
64,Projection-Antisymmetry-Neutral,RecursiveOpSelfReinforcement,0.2396,0.2347,0.2178,0.028,0.2213,0.2301,0.2224,COHERENCE-FAILED
1,Projection-Antisymmetry-Neutral,AutonomousCorrectionCycling,0.8463,0.8221,0.7892,0.0253,0.7626,0.8192,0.7843,SELF-MAINTAINING
2,Projection-Antisymmetry-Neutral,AutonomousCorrectionCycling,0.7897,0.7838,0.7583,0.0206,0.761,0.7781,0.7602,SELF-MAINTAINING
4,Projection-Antisymmetry-Neutral,AutonomousCorrectionCycling,0.7599,0.729,0.6916,0.0165,0.6848,0.7351,0.6941,COHERENCE-REGENERATIVE
6,Projection-Antisymmetry-Neutral,AutonomousCorrectionCycling,0.6985,0.6877,0.631,0.0291,0.6605,0.6635,0.649,COHERENCE-REGENERATIVE
8,Projection-Antisymmetry-Neutral,AutonomousCorrectionCycling,0.6578,0.637,0.5932,0.0242,0.5961,0.6413,0.6113,COHERENCE-PARTIAL
12,Projection-Antisymmetry-Neutral,AutonomousCorrectionCycling,0.5712,0.5483,0.5472,0.0303,0.5318,0.5752,0.5308,COHERENCE-DEGRADING
16,Projection-Antisymmetry-Neutral,AutonomousCorrectionCycling,0.5169,0.5042,0.4777,0.0269,0.4764,0.502,0.4848,COHERENCE-DEGRADING
20,Projection-Antisymmetry-Neutral,AutonomousCorrectionCycling,0.4741,0.4519,0.4343,0.0353,0.4333,0.4646,0.4433,COHERENCE-DEGRADING
24,Projection-Antisymmetry-Neutral,AutonomousCorrectionCycling,0.4399,0.4105,0.4084,0.0254,0.4031,0.4241,0.4086,COHERENCE-DEGRADING
28,Projection-Antisymmetry-Neutral,AutonomousCorrectionCycling,0.4006,0.3838,0.3741,0.0236,0.3643,0.3995,0.3763,COHERENCE-FAILED
32,Projection-Antisymmetry-Neutral,AutonomousCorrectionCycling,0.3713,0.3529,0.3525,0.0182,0.3405,0.3646,0.3513,COHERENCE-FAILED
40,Projection-Antisymmetry-Neutral,AutonomousCorrectionCycling,0.3201,0.308,0.3063,0.0267,0.2955,0.3116,0.2965,COHERENCE-FAILED
48,Projection-Antisymmetry-Neutral,AutonomousCorrectionCycling,0.2917,0.2794,0.2644,0.031,0.2633,0.2882,0.2735,COHERENCE-FAILED
64,Projection-Antisymmetry-Neutral,AutonomousCorrectionCycling,0.2334,0.23,0.2221,0.0337,0.2211,0.2261,0.2191,COHERENCE-FAILED
1,Projection-Antisymmetry-Neutral,StabilizationRegeneration,0.8483,0.823,0.7838,0.005,0.8059,0.8406,0.8002,SELF-MAINTAINING
2,Projection-Antisymmetry-Neutral,StabilizationRegeneration,0.8284,0.8045,0.7602,0.005,0.7524,0.7808,0.7381,SELF-MAINTAINING
4,Projection-Antisymmetry-Neutral,StabilizationRegeneration,0.7553,0.7565,0.7233,0.0063,0.721,0.7352,0.7154,COHERENCE-REGENERATIVE
6,Projection-Antisymmetry-Neutral,StabilizationRegeneration,0.7215,0.6802,0.6529,0.005,0.6722,0.6897,0.6511,COHERENCE-REGENERATIVE
8,Projection-Antisymmetry-Neutral,StabilizationRegeneration,0.6612,0.6427,0.61,0.0105,0.6341,0.6521,0.6087,COHERENCE-PARTIAL
12,Projection-Antisymmetry-Neutral,StabilizationRegeneration,0.5823,0.5799,0.5419,0.005,0.5399,0.5602,0.5445,COHERENCE-DEGRADING
16,Projection-Antisymmetry-Neutral,StabilizationRegeneration,0.5329,0.5129,0.4865,0.0114,0.5024,0.5106,0.488,COHERENCE-DEGRADING
20,Projection-Antisymmetry-Neutral,StabilizationRegeneration,0.4777,0.4839,0.4601,0.005,0.4436,0.478,0.4513,COHERENCE-DEGRADING
24,Projection-Antisymmetry-Neutral,StabilizationRegeneration,0.4484,0.4445,0.4235,0.005,0.4075,0.4361,0.4086,COHERENCE-DEGRADING
28,Projection-Antisymmetry-Neutral,StabilizationRegeneration,0.4116,0.4033,0.3736,0.0127,0.3919,0.3999,0.3797,COHERENCE-DEGRADING
32,Projection-Antisymmetry-Neutral,StabilizationRegeneration,0.3866,0.3645,0.3638,0.005,0.3599,0.3615,0.3545,COHERENCE-FAILED
40,Projection-Antisymmetry-Neutral,StabilizationRegeneration,0.328,0.333,0.3108,0.0055,0.3125,0.3153,0.2999,COHERENCE-FAILED
48,Projection-Antisymmetry-Neutral,StabilizationRegeneration,0.2894,0.2925,0.2732,0.01,0.2781,0.2878,0.2716,COHERENCE-FAILED
64,Projection-Antisymmetry-Neutral,StabilizationRegeneration,0.2458,0.2395,0.2307,0.0166,0.2298,0.2384,0.2206,COHERENCE-FAILED
1,Projection-Antisymmetry-Neutral,CoherenceMaintenanceFeedback,0.8295,0.8097,0.7696,0.0296,0.7935,0.8451,0.8125,SELF-MAINTAINING
2,Projection-Antisymmetry-Neutral,CoherenceMaintenanceFeedback,0.8052,0.7878,0.7279,0.0297,0.7534,0.8015,0.775,SELF-MAINTAINING
4,Projection-Antisymmetry-Neutral,CoherenceMaintenanceFeedback,0.7526,0.7428,0.7091,0.0302,0.6813,0.7417,0.7106,COHERENCE-REGENERATIVE
6,Projection-Antisymmetry-Neutral,CoherenceMaintenanceFeedback,0.6889,0.6939,0.6443,0.032,0.6328,0.6954,0.6627,COHERENCE-PARTIAL
8,Projection-Antisymmetry-Neutral,CoherenceMaintenanceFeedback,0.6413,0.6497,0.591,0.0242,0.5909,0.6592,0.6259,COHERENCE-PARTIAL
12,Projection-Antisymmetry-Neutral,CoherenceMaintenanceFeedback,0.5689,0.5749,0.5281,0.034,0.5261,0.5905,0.5656,COHERENCE-DEGRADING
16,Projection-Antisymmetry-Neutral,CoherenceMaintenanceFeedback,0.5316,0.5107,0.4821,0.0171,0.4837,0.5335,0.4882,COHERENCE-DEGRADING
20,Projection-Antisymmetry-Neutral,CoherenceMaintenanceFeedback,0.4781,0.4574,0.4359,0.0323,0.4478,0.4673,0.4548,COHERENCE-DEGRADING
24,Projection-Antisymmetry-Neutral,CoherenceMaintenanceFeedback,0.4407,0.4267,0.3979,0.0144,0.4029,0.4293,0.4185,COHERENCE-DEGRADING
28,Projection-Antisymmetry-Neutral,CoherenceMaintenanceFeedback,0.3935,0.398,0.3645,0.0296,0.3671,0.402,0.3739,COHERENCE-FAILED
32,Projection-Antisymmetry-Neutral,CoherenceMaintenanceFeedback,0.3755,0.3592,0.3376,0.0187,0.3426,0.3742,0.3616,COHERENCE-FAILED
40,Projection-Antisymmetry-Neutral,CoherenceMaintenanceFeedback,0.3301,0.3173,0.2962,0.0392,0.3101,0.3338,0.3063,COHERENCE-FAILED
48,Projection-Antisymmetry-Neutral,CoherenceMaintenanceFeedback,0.2837,0.2876,0.2728,0.0365,0.2632,0.289,0.2811,COHERENCE-FAILED
64,Projection-Antisymmetry-Neutral,CoherenceMaintenanceFeedback,0.2357,0.2311,0.2242,0.0468,0.2185,0.2402,0.2277,COHERENCE-FAILED
1,Projection-Antisymmetry-Neutral,RecursiveRepairPropagation,0.8173,0.791,0.7545,0.0271,0.7932,0.7817,0.7869,SELF-MAINTAINING
2,Projection-Antisymmetry-Neutral,RecursiveRepairPropagation,0.8049,0.7712,0.748,0.0279,0.7726,0.7674,0.7572,SELF-MAINTAINING
4,Projection-Antisymmetry-Neutral,RecursiveRepairPropagation,0.7393,0.7174,0.6956,0.0314,0.7174,0.7215,0.6922,COHERENCE-REGENERATIVE
6,Projection-Antisymmetry-Neutral,RecursiveRepairPropagation,0.7014,0.6616,0.6232,0.0366,0.6672,0.6478,0.6406,COHERENCE-REGENERATIVE
8,Projection-Antisymmetry-Neutral,RecursiveRepairPropagation,0.6482,0.6346,0.6063,0.0396,0.6366,0.6327,0.6078,COHERENCE-PARTIAL
12,Projection-Antisymmetry-Neutral,RecursiveRepairPropagation,0.5834,0.5412,0.5416,0.0355,0.572,0.5448,0.5387,COHERENCE-DEGRADING
16,Projection-Antisymmetry-Neutral,RecursiveRepairPropagation,0.5077,0.4977,0.4815,0.0375,0.4917,0.5034,0.4945,COHERENCE-DEGRADING
20,Projection-Antisymmetry-Neutral,RecursiveRepairPropagation,0.4807,0.4484,0.4282,0.0369,0.4622,0.4606,0.4352,COHERENCE-DEGRADING
24,Projection-Antisymmetry-Neutral,RecursiveRepairPropagation,0.4301,0.4153,0.4034,0.0482,0.415,0.4151,0.4108,COHERENCE-DEGRADING
28,Projection-Antisymmetry-Neutral,RecursiveRepairPropagation,0.3978,0.3785,0.3665,0.0497,0.3908,0.3819,0.3689,COHERENCE-FAILED
32,Projection-Antisymmetry-Neutral,RecursiveRepairPropagation,0.3652,0.3535,0.3471,0.0403,0.3602,0.3563,0.3458,COHERENCE-FAILED
