depth,sector,condition,rg_similarity,closure_persistence,perturbation_resilience,extension_stability,operator_sensitivity,null_control_distance,classification
4,Projection-Antisymmetry-Neutral,CrossNetworkGeneralization,0.6941,0.7066,0.6591,0.6573,0.6859,0.3128,CLOSURE-PARTIAL
6,Projection-Antisymmetry-Neutral,CrossNetworkGeneralization,0.664,0.6745,0.6354,0.6369,0.6438,0.27,CLOSURE-PARTIAL
8,Projection-Antisymmetry-Neutral,CrossNetworkGeneralization,0.6361,0.6333,0.6164,0.5971,0.629,0.281,CLOSURE-WEAK
12,Projection-Antisymmetry-Neutral,CrossNetworkGeneralization,0.5926,0.581,0.5407,0.5539,0.5499,0.2599,CLOSURE-WEAK
16,Projection-Antisymmetry-Neutral,CrossNetworkGeneralization,0.5526,0.5243,0.5051,0.4906,0.5185,0.2327,CLOSURE-WEAK
20,Projection-Antisymmetry-Neutral,CrossNetworkGeneralization,0.492,0.4836,0.475,0.4768,0.476,0.2047,CLOSURE-FAILED
24,Projection-Antisymmetry-Neutral,CrossNetworkGeneralization,0.4606,0.4549,0.4412,0.4319,0.4486,0.2035,CLOSURE-FAILED
28,Projection-Antisymmetry-Neutral,CrossNetworkGeneralization,0.4313,0.4319,0.4179,0.4053,0.4142,0.1835,CLOSURE-FAILED
32,Projection-Antisymmetry-Neutral,CrossNetworkGeneralization,0.4043,0.3923,0.3791,0.376,0.3917,0.1807,CLOSURE-FAILED
1,Projection-Antisymmetry-Neutral,NullClosureControl,0.5345,0.4548,0.4068,0.411,0.4139,0.0423,CLOSURE-FAILED
2,Projection-Antisymmetry-Neutral,NullClosureControl,0.5351,0.4685,0.4,0.4031,0.3945,0.0209,CLOSURE-FAILED
4,Projection-Antisymmetry-Neutral,NullClosureControl,0.4787,0.4222,0.3665,0.4063,0.3579,0.0289,CLOSURE-FAILED
6,Projection-Antisymmetry-Neutral,NullClosureControl,0.4787,0.4228,0.3367,0.3759,0.3522,0.0271,CLOSURE-FAILED
8,Projection-Antisymmetry-Neutral,NullClosureControl,0.4547,0.3851,0.3457,0.3454,0.337,0.025,CLOSURE-FAILED
12,Projection-Antisymmetry-Neutral,NullClosureControl,0.4045,0.3527,0.2892,0.3207,0.2988,0.0127,CLOSURE-FAILED
16,Projection-Antisymmetry-Neutral,NullClosureControl,0.376,0.3275,0.2861,0.2881,0.2976,0.0064,CLOSURE-FAILED
20,Projection-Antisymmetry-Neutral,NullClosureControl,0.3577,0.308,0.2584,0.2685,0.2698,0.0124,CLOSURE-FAILED
24,Projection-Antisymmetry-Neutral,NullClosureControl,0.3148,0.2906,0.2487,0.25,0.2525,0.0234,CLOSURE-FAILED
28,Projection-Antisymmetry-Neutral,NullClosureControl,0.3105,0.273,0.2207,0.2356,0.2309,0.0102,CLOSURE-FAILED
32,Projection-Antisymmetry-Neutral,NullClosureControl,0.2773,0.2464,0.2113,0.2302,0.2273,0.0241,CLOSURE-FAILED
