depth,sector,condition,rg_similarity,class_transition_stability,bifurcation_strength,merge_coherence,collapse_predictability,relational_class_persistence,transition_entropy,classification
2,Projection-Antisymmetry,NullTransitionControl,0.621,0.5925,0.6044,0.5978,0.5883,0.5675,0.3267,TRANSITION-PARTIAL
4,Projection-Antisymmetry,NullTransitionControl,0.5438,0.5417,0.5477,0.5508,0.5231,0.5437,0.2916,TRANSITION-DEGRADING
6,Projection-Antisymmetry,NullTransitionControl,0.5319,0.5146,0.5052,0.5062,0.5034,0.4795,0.257,TRANSITION-DEGRADING
8,Projection-Antisymmetry,NullTransitionControl,0.4689,0.4701,0.4623,0.4575,0.4564,0.4511,0.2423,TRANSITION-DEGRADING
12,Projection-Antisymmetry,NullTransitionControl,0.4207,0.4096,0.4267,0.4127,0.4156,0.4093,0.2207,TRANSITION-DEGRADING
16,Projection-Antisymmetry,NullTransitionControl,0.367,0.3765,0.3687,0.3475,0.3632,0.3519,0.2041,TRANSITION-FAILED
20,Projection-Antisymmetry,NullTransitionControl,0.3389,0.3362,0.3349,0.3186,0.3186,0.3177,0.1671,TRANSITION-FAILED
24,Projection-Antisymmetry,NullTransitionControl,0.3134,0.3028,0.3063,0.2987,0.2851,0.291,0.1503,TRANSITION-FAILED
32,Projection-Antisymmetry,NullTransitionControl,0.2576,0.259,0.2571,0.246,0.2425,0.2371,0.1385,TRANSITION-FAILED
40,Projection-Antisymmetry,NullTransitionControl,0.2204,0.2279,0.2224,0.2172,0.2123,0.2059,0.1151,TRANSITION-FAILED
48,Projection-Antisymmetry,NullTransitionControl,0.1996,0.1933,0.1987,0.1906,0.19,0.1837,0.0984,TRANSITION-FAILED
64,Projection-Antisymmetry,NullTransitionControl,0.1596,0.1565,0.1623,0.1526,0.1562,0.1474,0.0854,TRANSITION-FAILED
80,Projection-Antisymmetry,NullTransitionControl,0.1342,0.1343,0.1303,0.1245,0.131,0.128,0.0704,TRANSITION-FAILED
96,Projection-Antisymmetry,NullTransitionControl,0.1122,0.1142,0.1135,0.1099,0.1093,0.1059,0.0614,TRANSITION-FAILED
1,Projection-Neutral,TransitionPathwayTracking,0.8612,0.8058,0.7778,0.782,0.7843,0.7791,0.2247,TRANSITION-STABLE
2,Projection-Neutral,TransitionPathwayTracking,0.7988,0.7935,0.7621,0.7417,0.716,0.7525,0.2052,TRANSITION-BOUNDED
4,Projection-Neutral,TransitionPathwayTracking,0.7339,0.6998,0.674,0.7029,0.6831,0.6738,0.2012,TRANSITION-BOUNDED
6,Projection-Neutral,TransitionPathwayTracking,0.6894,0.6718,0.6381,0.6337,0.6291,0.6343,0.1883,TRANSITION-PARTIAL
8,Projection-Neutral,TransitionPathwayTracking,0.6238,0.6019,0.5884,0.6023,0.5637,0.6019,0.1777,TRANSITION-PARTIAL
12,Projection-Neutral,TransitionPathwayTracking,0.5506,0.5409,0.5163,0.5079,0.5085,0.5015,0.1382,TRANSITION-DEGRADING
16,Projection-Neutral,TransitionPathwayTracking,0.495,0.4685,0.4627,0.462,0.4441,0.4468,0.1366,TRANSITION-DEGRADING
20,Projection-Neutral,TransitionPathwayTracking,0.4503,0.4232,0.403,0.4139,0.4035,0.4109,0.1216,TRANSITION-DEGRADING
24,Projection-Neutral,TransitionPathwayTracking,0.398,0.3926,0.3808,0.3759,0.3634,0.3743,0.1164,TRANSITION-FAILED
32,Projection-Neutral,TransitionPathwayTracking,0.336,0.3202,0.3208,0.3136,0.3129,0.3122,0.0906,TRANSITION-FAILED
40,Projection-Neutral,TransitionPathwayTracking,0.2985,0.2791,0.274,0.2719,0.27,0.2761,0.0727,TRANSITION-FAILED
48,Projection-Neutral,TransitionPathwayTracking,0.2559,0.2499,0.2422,0.2431,0.2299,0.2403,0.0674,TRANSITION-FAILED
64,Projection-Neutral,TransitionPathwayTracking,0.2075,0.2007,0.1955,0.201,0.1862,0.1987,0.056,TRANSITION-FAILED
80,Projection-Neutral,TransitionPathwayTracking,0.1735,0.1705,0.1664,0.1686,0.1622,0.1669,0.0477,TRANSITION-FAILED
96,Projection-Neutral,TransitionPathwayTracking,0.1556,0.144,0.1389,0.1423,0.1347,0.1382,0.0403,TRANSITION-FAILED
1,Projection-Neutral,ClassBifurcationAnalysis,0.8317,0.8173,0.8101,0.78,0.7871,0.7637,0.2418,TRANSITION-STABLE
2,Projection-Neutral,ClassBifurcationAnalysis,0.7923,0.7794,0.7541,0.7399,0.7438,0.7534,0.2139,TRANSITION-BOUNDED
4,Projection-Neutral,ClassBifurcationAnalysis,0.7269,0.6903,0.6884,0.6883,0.6703,0.6808,0.1965,TRANSITION-BOUNDED
6,Projection-Neutral,ClassBifurcationAnalysis,0.6893,0.6452,0.6449,0.6311,0.6262,0.6186,0.1745,TRANSITION-PARTIAL
8,Projection-Neutral,ClassBifurcationAnalysis,0.6228,0.6008,0.609,0.5782,0.5789,0.592,0.1829,TRANSITION-PARTIAL
12,Projection-Neutral,ClassBifurcationAnalysis,0.5394,0.5161,0.5325,0.5048,0.5149,0.5045,0.1626,TRANSITION-DEGRADING
16,Projection-Neutral,ClassBifurcationAnalysis,0.4845,0.4795,0.4737,0.4472,0.4445,0.4602,0.1261,TRANSITION-DEGRADING
20,Projection-Neutral,ClassBifurcationAnalysis,0.4479,0.4175,0.4222,0.4107,0.3976,0.3965,0.1218,TRANSITION-DEGRADING
24,Projection-Neutral,ClassBifurcationAnalysis,0.3964,0.3913,0.3794,0.3782,0.3772,0.3647,0.1045,TRANSITION-FAILED
32,Projection-Neutral,ClassBifurcationAnalysis,0.3398,0.3271,0.3208,0.315,0.3106,0.3091,0.0925,TRANSITION-FAILED
40,Projection-Neutral,ClassBifurcationAnalysis,0.289,0.2741,0.281,0.2708,0.2702,0.2634,0.081,TRANSITION-FAILED
48,Projection-Neutral,ClassBifurcationAnalysis,0.2544,0.2433,0.242,0.2394,0.2346,0.2376,0.0721,TRANSITION-FAILED
64,Projection-Neutral,ClassBifurcationAnalysis,0.207,0.1991,0.2045,0.1906,0.1958,0.1942,0.0548,TRANSITION-FAILED
80,Projection-Neutral,ClassBifurcationAnalysis,0.1726,0.1649,0.1656,0.1626,0.1586,0.1622,0.0517,TRANSITION-FAILED
96,Projection-Neutral,ClassBifurcationAnalysis,0.153,0.1484,0.1473,0.1388,0.1363,0.1374,0.0425,TRANSITION-FAILED
1,Projection-Neutral,MergeSplitDynamics,0.8378,0.8183,0.7749,0.8193,0.7566,0.8015,0.2375,TRANSITION-STABLE
2,Projection-Neutral,MergeSplitDynamics,0.7964,0.7693,0.7521,0.7834,0.7462,0.7658,0.2262,TRANSITION-STABLE
4,Projection-Neutral,MergeSplitDynamics,0.751,0.7148,0.6905,0.7063,0.664,0.6933,0.1968,TRANSITION-BOUNDED
6,Projection-Neutral,MergeSplitDynamics,0.6788,0.6672,0.6443,0.6537,0.6085,0.6327,0.1876,TRANSITION-PARTIAL
8,Projection-Neutral,MergeSplitDynamics,0.6473,0.6249,0.5885,0.6124,0.58,0.5921,0.1632,TRANSITION-PARTIAL
12,Projection-Neutral,MergeSplitDynamics,0.5681,0.5414,0.515,0.5234,0.508,0.5088,0.1438,TRANSITION-DEGRADING
16,Projection-Neutral,MergeSplitDynamics,0.4926,0.4822,0.4569,0.4627,0.4529,0.4474,0.1404,TRANSITION-DEGRADING
20,Projection-Neutral,MergeSplitDynamics,0.4356,0.4303,0.4113,0.4263,0.406,0.4019,0.1122,TRANSITION-DEGRADING
24,Projection-Neutral,MergeSplitDynamics,0.4046,0.395,0.3772,0.3916,0.3595,0.3767,0.1071,TRANSITION-FAILED
32,Projection-Neutral,MergeSplitDynamics,0.3482,0.3199,0.3088,0.3216,0.303,0.3232,0.0833,TRANSITION-FAILED
40,Projection-Neutral,MergeSplitDynamics,0.2951,0.2783,0.2671,0.2745,0.2651,0.275,0.0737,TRANSITION-FAILED
48,Projection-Neutral,MergeSplitDynamics,0.2579,0.2497,0.2375,0.2467,0.2304,0.2376,0.0655,TRANSITION-FAILED
64,Projection-Neutral,MergeSplitDynamics,0.2101,0.2043,0.1926,0.199,0.1855,0.1967,0.0519,TRANSITION-FAILED
80,Projection-Neutral,MergeSplitDynamics,0.1779,0.1684,0.1606,0.1649,0.1614,0.1662,0.0492,TRANSITION-FAILED
96,Projection-Neutral,MergeSplitDynamics,0.151,0.1466,0.1394,0.1483,0.1384,0.1444,0.0425,TRANSITION-FAILED
1,Projection-Neutral,RecursiveClassEvolution,0.8193,0.8071,0.7616,0.7708,0.7739,0.7797,0.2259,TRANSITION-STABLE
2,Projection-Neutral,RecursiveClassEvolution,0.809,0.7701,0.7263,0.7619,0.7358,0.7686,0.2206,TRANSITION-STABLE
4,Projection-Neutral,RecursiveClassEvolution,0.7367,0.7189,0.667,0.7025,0.6432,0.711,0.2062,TRANSITION-BOUNDED
6,Projection-Neutral,RecursiveClassEvolution,0.6631,0.6634,0.6254,0.618,0.6011,0.6392,0.1802,TRANSITION-PARTIAL
8,Projection-Neutral,RecursiveClassEvolution,0.6309,0.6119,0.5761,0.5851,0.5611,0.5908,0.1868,TRANSITION-PARTIAL
12,Projection-Neutral,RecursiveClassEvolution,0.5563,0.5369,0.5062,0.5241,0.494,0.5182,0.1538,TRANSITION-DEGRADING
16,Projection-Neutral,RecursiveClassEvolution,0.4748,0.4604,0.4431,0.4648,0.4484,0.4723,0.1442,TRANSITION-DEGRADING
20,Projection-Neutral,RecursiveClassEvolution,0.4376,0.4142,0.3959,0.4125,0.3972,0.4208,0.1238,TRANSITION-DEGRADING
24,Projection-Neutral,RecursiveClassEvolution,0.4006,0.3793,0.3595,0.3707,0.3529,0.3827,0.1179,TRANSITION-FAILED
32,Projection-Neutral,RecursiveClassEvolution,0.3334,0.3177,0.3153,0.3111,0.3016,0.3203,0.0983,TRANSITION-FAILED
40,Projection-Neutral,RecursiveClassEvolution,0.2952,0.2755,0.2746,0.2716,0.2609,0.2783,0.0788,TRANSITION-FAILED
48,Projection-Neutral,RecursiveClassEvolution,0.2537,0.2475,0.2331,0.2401,0.2288,0.2496,0.0714,TRANSITION-FAILED
64,Projection-Neutral,RecursiveClassEvolution,0.211,0.1995,0.1913,0.1923,0.1872,0.2023,0.0578,TRANSITION-FAILED
80,Projection-Neutral,RecursiveClassEvolution,0.1745,0.1715,0.1591,0.1603,0.1552,0.1629,0.0501,TRANSITION-FAILED
96,Projection-Neutral,RecursiveClassEvolution,0.1536,0.1447,0.1367,0.1405,0.1385,0.1451,0.0442,TRANSITION-FAILED
1,Projection-Neutral,CollapseTransitionMapping,0.8264,0.776,0.7981,0.7822,0.7663,0.7672,0.2486,TRANSITION-STABLE
2,Projection-Neutral,CollapseTransitionMapping,0.7834,0.7626,0.7714,0.7492,0.7486,0.7374,0.211,TRANSITION-BOUNDED
4,Projection-Neutral,CollapseTransitionMapping,0.7281,0.7025,0.683,0.6703,0.6871,0.6728,0.2144,TRANSITION-BOUNDED
6,Projection-Neutral,CollapseTransitionMapping,0.6547,0.6458,0.6479,0.6122,0.6377,0.6335,0.1859,TRANSITION-PARTIAL
8,Projection-Neutral,CollapseTransitionMapping,0.62,0.5811,0.6073,0.5908,0.5891,0.5756,0.1634,TRANSITION-PARTIAL
12,Projection-Neutral,CollapseTransitionMapping,0.5422,0.5116,0.5178,0.4981,0.5189,0.5011,0.1588,TRANSITION-DEGRADING
16,Projection-Neutral,CollapseTransitionMapping,0.4846,0.4636,0.4601,0.4451,0.4482,0.4562,0.1409,TRANSITION-DEGRADING
20,Projection-Neutral,CollapseTransitionMapping,0.4244,0.4106,0.4215,0.4159,0.4082,0.4013,0.1174,TRANSITION-DEGRADING
24,Projection-Neutral,CollapseTransitionMapping,0.3931,0.386,0.373,0.3702,0.3725,0.355,0.117,TRANSITION-FAILED
32,Projection-Neutral,CollapseTransitionMapping,0.3287,0.3206,0.3177,0.3083,0.3147,0.3141,0.0953,TRANSITION-FAILED
40,Projection-Neutral,CollapseTransitionMapping,0.2883,0.2773,0.2727,0.2677,0.2672,0.2724,0.0758,TRANSITION-FAILED
48,Projection-Neutral,CollapseTransitionMapping,0.251,0.2394,0.2405,0.2357,0.2365,0.2336,0.0774,TRANSITION-FAILED
64,Projection-Neutral,CollapseTransitionMapping,0.2113,0.1971,0.197,0.1934,0.1994,0.1917,0.0571,TRANSITION-FAILED
80,Projection-Neutral,CollapseTransitionMapping,0.172,0.1637,0.1691,0.1585,0.1605,0.1631,0.0473,TRANSITION-FAILED
96,Projection-Neutral,CollapseTransitionMapping,0.1531,0.1448,0.1414,0.14,0.1396,0.137,0.0424,TRANSITION-FAILED
1,Projection-Neutral,PerturbationDrivenMigration,0.8078,0.8074,0.7714,0.7785,0.7633,0.795,0.2319,TRANSITION-STABLE
2,Projection-Neutral,PerturbationDrivenMigration,0.7831,0.7483,0.7434,0.7232,0.7198,0.7443,0.2158,TRANSITION-BOUNDED
4,Projection-Neutral,PerturbationDrivenMigration,0.7136,0.7043,0.6744,0.6942,0.6798,0.674,0.2276,TRANSITION-BOUNDED
6,Projection-Neutral,PerturbationDrivenMigration,0.6576,0.6379,0.6467,0.612,0.6296,0.6212,0.2115,TRANSITION-PARTIAL
8,Projection-Neutral,PerturbationDrivenMigration,0.6299,0.6099,0.5795,0.5925,0.5618,0.5891,0.1814,TRANSITION-PARTIAL
12,Projection-Neutral,PerturbationDrivenMigration,0.5479,0.5095,0.5116,0.5177,0.4916,0.5125,0.1668,TRANSITION-DEGRADING
16,Projection-Neutral,PerturbationDrivenMigration,0.4799,0.4659,0.4647,0.4429,0.4468,0.4451,0.1353,TRANSITION-DEGRADING
20,Projection-Neutral,PerturbationDrivenMigration,0.4245,0.4141,0.4178,0.4062,0.3974,0.3995,0.1322,TRANSITION-DEGRADING
24,Projection-Neutral,PerturbationDrivenMigration,0.3886,0.3831,0.376,0.3746,0.3654,0.3694,0.1166,TRANSITION-FAILED
32,Projection-Neutral,PerturbationDrivenMigration,0.3329,0.3212,0.3204,0.3127,0.3108,0.3159,0.1065,TRANSITION-FAILED
40,Projection-Neutral,PerturbationDrivenMigration,0.2852,0.2772,0.2682,0.2755,0.2697,0.2666,0.0802,TRANSITION-FAILED
48,Projection-Neutral,PerturbationDrivenMigration,0.2564,0.2404,0.2382,0.2331,0.2293,0.2325,0.0793,TRANSITION-FAILED
64,Projection-Neutral,PerturbationDrivenMigration,0.204,0.1979,0.1937,0.1923,0.1947,0.1913,0.0612,TRANSITION-FAILED
80,Projection-Neutral,PerturbationDrivenMigration,0.1739,0.1636,0.1643,0.1647,0.1598,0.1581,0.0503,TRANSITION-FAILED
96,Projection-Neutral,PerturbationDrivenMigration,0.1462,0.1411,0.139,0.139,0.1376,0.1415,0.0473,TRANSITION-FAILED
1,Projection-Neutral,NullTransitionControl,0.6304,0.6511,0.6452,0.6164,0.6132,0.613,0.3466,TRANSITION-PARTIAL
2,Projection-Neutral,NullTransitionControl,0.6063,0.5891,0.6183,0.5693,0.6058,0.5718,0.3294,TRANSITION-PARTIAL
4,Projection-Neutral,NullTransitionControl,0.5671,0.5684,0.5484,0.5435,0.5454,0.5434,0.2887,TRANSITION-DEGRADING
6,Projection-Neutral,NullTransitionControl,0.5109,0.5066,0.5251,0.5097,0.5048,0.4871,0.2738,TRANSITION-DEGRADING
8,Projection-Neutral,NullTransitionControl,0.4916,0.4618,0.4749,0.4607,0.4585,0.4588,0.2444,TRANSITION-DEGRADING
12,Projection-Neutral,NullTransitionControl,0.4225,0.4047,0.4077,0.4125,0.4095,0.3949,0.2299,TRANSITION-DEGRADING
16,Projection-Neutral,NullTransitionControl,0.381,0.3646,0.3632,0.3574,0.3639,0.3449,0.204,TRANSITION-FAILED
20,Projection-Neutral,NullTransitionControl,0.328,0.3324,0.3322,0.3289,0.3226,0.3263,0.1717,TRANSITION-FAILED
24,Projection-Neutral,NullTransitionControl,0.3038,0.3069,0.3033,0.2901,0.2948,0.2932,0.1602,TRANSITION-FAILED
32,Projection-Neutral,NullTransitionControl,0.2598,0.2494,0.2501,0.2425,0.2412,0.2402,0.1344,TRANSITION-FAILED
40,Projection-Neutral,NullTransitionControl,0.2268,0.2168,0.2149,0.2122,0.2108,0.2125,0.1232,TRANSITION-FAILED
48,Projection-Neutral,NullTransitionControl,0.2024,0.196,0.2011,0.1887,0.194,0.191,0.0985,TRANSITION-FAILED
64,Projection-Neutral,NullTransitionControl,0.1629,0.1545,0.1613,0.1537,0.1535,0.1531,0.0839,TRANSITION-FAILED
80,Projection-Neutral,NullTransitionControl,0.1374,0.1294,0.1345,0.1274,0.1311,0.1231,0.0737,TRANSITION-FAILED
96,Projection-Neutral,NullTransitionControl,0.1189,0.1175,0.1151,0.1139,0.1078,0.1118,0.0611,TRANSITION-FAILED
1,Antisymmetry-Neutral,TransitionPathwayTracking,0.8595,0.8119,0.8047,0.8028,0.7621,0.8048,0.2378,TRANSITION-STABLE
2,Antisymmetry-Neutral,TransitionPathwayTracking,0.8076,0.7624,0.7394,0.7404,0.717,0.7655,0.2273,TRANSITION-BOUNDED
4,Antisymmetry-Neutral,TransitionPathwayTracking,0.7486,0.7097,0.6739,0.7006,0.6685,0.6883,0.1857,TRANSITION-BOUNDED
6,Antisymmetry-Neutral,TransitionPathwayTracking,0.6896,0.6623,0.6428,0.639,0.6318,0.6175,0.1908,TRANSITION-PARTIAL
8,Antisymmetry-Neutral,TransitionPathwayTracking,0.6235,0.6218,0.5866,0.6005,0.5693,0.5939,0.1681,TRANSITION-PARTIAL
12,Antisymmetry-Neutral,TransitionPathwayTracking,0.5517,0.5438,0.5101,0.5248,0.5128,0.5249,0.135,TRANSITION-DEGRADING
16,Antisymmetry-Neutral,TransitionPathwayTracking,0.4938,0.4842,0.4536,0.4634,0.4397,0.4621,0.129,TRANSITION-DEGRADING
20,Antisymmetry-Neutral,TransitionPathwayTracking,0.4351,0.4198,0.4065,0.4173,0.4035,0.4091,0.123,TRANSITION-DEGRADING
24,Antisymmetry-Neutral,TransitionPathwayTracking,0.3952,0.392,0.3655,0.3854,0.3718,0.3749,0.1154,TRANSITION-FAILED
32,Antisymmetry-Neutral,TransitionPathwayTracking,0.3357,0.3321,0.3142,0.3124,0.308,0.3199,0.0983,TRANSITION-FAILED
40,Antisymmetry-Neutral,TransitionPathwayTracking,0.2975,0.2802,0.2704,0.2779,0.2612,0.27,0.0848,TRANSITION-FAILED
48,Antisymmetry-Neutral,TransitionPathwayTracking,0.258,0.2511,0.2418,0.2476,0.2391,0.2446,0.0745,TRANSITION-FAILED
64,Antisymmetry-Neutral,TransitionPathwayTracking,0.2073,0.2069,0.2001,0.1962,0.1883,0.198,0.0554,TRANSITION-FAILED
80,Antisymmetry-Neutral,TransitionPathwayTracking,0.1737,0.1717,0.1656,0.1697,0.1602,0.1603,0.0504,TRANSITION-FAILED
96,Antisymmetry-Neutral,TransitionPathwayTracking,0.1511,0.1436,0.1388,0.1452,0.1351,0.1423,0.0379,TRANSITION-FAILED
1,Antisymmetry-Neutral,ClassBifurcationAnalysis,0.843,0.8234,0.8221,0.7694,0.7593,0.7856,0.2429,TRANSITION-STABLE
2,Antisymmetry-Neutral,ClassBifurcationAnalysis,0.8202,0.7653,0.7534,0.7321,0.7388,0.7514,0.2354,TRANSITION-BOUNDED
4,Antisymmetry-Neutral,ClassBifurcationAnalysis,0.7278,0.6897,0.6998,0.6785,0.6634,0.6822,0.2179,TRANSITION-BOUNDED
6,Antisymmetry-Neutral,ClassBifurcationAnalysis,0.6918,0.6403,0.6594,0.6295,0.6268,0.6314,0.1841,TRANSITION-PARTIAL
8,Antisymmetry-Neutral,ClassBifurcationAnalysis,0.6178,0.5881,0.5938,0.5903,0.5736,0.567,0.1826,TRANSITION-PARTIAL
12,Antisymmetry-Neutral,ClassBifurcationAnalysis,0.5433,0.5331,0.5252,0.5187,0.5101,0.5,0.156,TRANSITION-DEGRADING
16,Antisymmetry-Neutral,ClassBifurcationAnalysis,0.4942,0.4648,0.466,0.4531,0.4425,0.4505,0.1304,TRANSITION-DEGRADING
20,Antisymmetry-Neutral,ClassBifurcationAnalysis,0.4356,0.4192,0.4276,0.4054,0.4105,0.3973,0.1222,TRANSITION-DEGRADING
24,Antisymmetry-Neutral,ClassBifurcationAnalysis,0.4091,0.3878,0.3834,0.3722,0.3754,0.3695,0.1171,TRANSITION-FAILED
32,Antisymmetry-Neutral,ClassBifurcationAnalysis,0.3392,0.3274,0.3279,0.3218,0.3053,0.3084,0.0987,TRANSITION-FAILED
40,Antisymmetry-Neutral,ClassBifurcationAnalysis,0.2887,0.2784,0.2828,0.2765,0.2712,0.2662,0.087,TRANSITION-FAILED
48,Antisymmetry-Neutral,ClassBifurcationAnalysis,0.2617,0.2517,0.2421,0.237,0.2321,0.2389,0.0703,TRANSITION-FAILED
64,Antisymmetry-Neutral,ClassBifurcationAnalysis,0.2092,0.1987,0.2026,0.1945,0.1895,0.1951,0.0554,TRANSITION-FAILED
80,Antisymmetry-Neutral,ClassBifurcationAnalysis,0.1762,0.1652,0.171,0.1655,0.1652,0.1616,0.0451,TRANSITION-FAILED
96,Antisymmetry-Neutral,ClassBifurcationAnalysis,0.1484,0.1471,0.1466,0.1433,0.1388,0.14,0.044,TRANSITION-FAILED
1,Antisymmetry-Neutral,MergeSplitDynamics,0.8357,0.7964,0.8023,0.8114,0.7563,0.7773,0.2429,TRANSITION-STABLE
2,Antisymmetry-Neutral,MergeSplitDynamics,0.7974,0.7686,0.7594,0.7863,0.7478,0.7679,0.1962,TRANSITION-STABLE
4,Antisymmetry-Neutral,MergeSplitDynamics,0.7504,0.7227,0.6815,0.7076,0.6687,0.701,0.2114,TRANSITION-BOUNDED
6,Antisymmetry-Neutral,MergeSplitDynamics,0.6737,0.6625,0.6449,0.6498,0.6117,0.644,0.1865,TRANSITION-PARTIAL
8,Antisymmetry-Neutral,MergeSplitDynamics,0.6475,0.5961,0.5862,0.5983,0.5862,0.5967,0.1772,TRANSITION-PARTIAL
12,Antisymmetry-Neutral,MergeSplitDynamics,0.5447,0.5269,0.5155,0.5382,0.5136,0.5088,0.1595,TRANSITION-DEGRADING
16,Antisymmetry-Neutral,MergeSplitDynamics,0.4988,0.4726,0.4499,0.4624,0.4374,0.4531,0.1317,TRANSITION-DEGRADING
20,Antisymmetry-Neutral,MergeSplitDynamics,0.4352,0.4226,0.4202,0.4212,0.3936,0.4023,0.1154,TRANSITION-DEGRADING
24,Antisymmetry-Neutral,MergeSplitDynamics,0.3983,0.3872,0.3669,0.377,0.3646,0.3701,0.108,TRANSITION-FAILED
32,Antisymmetry-Neutral,MergeSplitDynamics,0.3495,0.3289,0.3091,0.331,0.3084,0.3111,0.0966,TRANSITION-FAILED
40,Antisymmetry-Neutral,MergeSplitDynamics,0.29,0.2813,0.2804,0.2772,0.2601,0.2695,0.0828,TRANSITION-FAILED
48,Antisymmetry-Neutral,MergeSplitDynamics,0.2607,0.2564,0.2384,0.2454,0.2315,0.238,0.0743,TRANSITION-FAILED
64,Antisymmetry-Neutral,MergeSplitDynamics,0.2143,0.198,0.1921,0.2038,0.1895,0.1972,0.0601,TRANSITION-FAILED
80,Antisymmetry-Neutral,MergeSplitDynamics,0.1765,0.1692,0.1603,0.1709,0.161,0.1677,0.0435,TRANSITION-FAILED
96,Antisymmetry-Neutral,MergeSplitDynamics,0.1534,0.1432,0.1419,0.1416,0.1361,0.1418,0.0371,TRANSITION-FAILED
1,Antisymmetry-Neutral,RecursiveClassEvolution,0.8551,0.7946,0.7602,0.7854,0.7706,0.7816,0.2469,TRANSITION-STABLE
2,Antisymmetry-Neutral,RecursiveClassEvolution,0.7938,0.7825,0.7379,0.755,0.7139,0.7694,0.2327,TRANSITION-STABLE
4,Antisymmetry-Neutral,RecursiveClassEvolution,0.721,0.6877,0.6706,0.6921,0.6577,0.6895,0.2091,TRANSITION-BOUNDED
6,Antisymmetry-Neutral,RecursiveClassEvolution,0.6859,0.6622,0.6288,0.6254,0.6038,0.6282,0.188,TRANSITION-PARTIAL
8,Antisymmetry-Neutral,RecursiveClassEvolution,0.6293,0.5942,0.5872,0.5792,0.5581,0.5889,0.1907,TRANSITION-PARTIAL
12,Antisymmetry-Neutral,RecursiveClassEvolution,0.5428,0.5187,0.5024,0.5066,0.4899,0.5201,0.1516,TRANSITION-DEGRADING
16,Antisymmetry-Neutral,RecursiveClassEvolution,0.476,0.4697,0.454,0.4585,0.4304,0.46,0.1402,TRANSITION-DEGRADING
20,Antisymmetry-Neutral,RecursiveClassEvolution,0.4412,0.4286,0.3965,0.4071,0.3928,0.4235,0.1236,TRANSITION-DEGRADING
24,Antisymmetry-Neutral,RecursiveClassEvolution,0.3937,0.3917,0.3752,0.3722,0.3555,0.373,0.1168,TRANSITION-FAILED
32,Antisymmetry-Neutral,RecursiveClassEvolution,0.3311,0.3208,0.3163,0.313,0.3038,0.3218,0.0994,TRANSITION-FAILED
40,Antisymmetry-Neutral,RecursiveClassEvolution,0.2946,0.2808,0.2641,0.2755,0.2592,0.2717,0.0847,TRANSITION-FAILED
48,Antisymmetry-Neutral,RecursiveClassEvolution,0.2599,0.243,0.234,0.247,0.2333,0.2476,0.0769,TRANSITION-FAILED
64,Antisymmetry-Neutral,RecursiveClassEvolution,0.2065,0.1984,0.1882,0.1935,0.1829,0.2019,0.0616,TRANSITION-FAILED
80,Antisymmetry-Neutral,RecursiveClassEvolution,0.1706,0.1652,0.1603,0.1652,0.1586,0.1633,0.0463,TRANSITION-FAILED
96,Antisymmetry-Neutral,RecursiveClassEvolution,0.1506,0.1419,0.1394,0.1429,0.1381,0.1455,0.043,TRANSITION-FAILED
1,Antisymmetry-Neutral,CollapseTransitionMapping,0.8441,0.8151,0.8042,0.7852,0.7872,0.7736,0.2232,TRANSITION-STABLE
2,Antisymmetry-Neutral,CollapseTransitionMapping,0.7973,0.7511,0.756,0.7505,0.7383,0.7158,0.2155,TRANSITION-BOUNDED
4,Antisymmetry-Neutral,CollapseTransitionMapping,0.7278,0.68,0.7031,0.6887,0.6793,0.6526,0.2011,TRANSITION-BOUNDED
6,Antisymmetry-Neutral,CollapseTransitionMapping,0.6606,0.6283,0.6422,0.6406,0.6405,0.6169,0.1986,TRANSITION-PARTIAL
8,Antisymmetry-Neutral,CollapseTransitionMapping,0.621,0.5937,0.6063,0.5937,0.6018,0.584,0.1649,TRANSITION-PARTIAL
12,Antisymmetry-Neutral,CollapseTransitionMapping,0.5427,0.5256,0.5201,0.5147,0.5109,0.4955,0.1547,TRANSITION-DEGRADING
16,Antisymmetry-Neutral,CollapseTransitionMapping,0.4734,0.4632,0.4646,0.4579,0.4661,0.4517,0.1424,TRANSITION-DEGRADING
20,Antisymmetry-Neutral,CollapseTransitionMapping,0.4358,0.4104,0.4093,0.3984,0.4066,0.4006,0.1334,TRANSITION-DEGRADING
24,Antisymmetry-Neutral,CollapseTransitionMapping,0.3945,0.3748,0.3865,0.3716,0.3729,0.3621,0.1027,TRANSITION-FAILED
32,Antisymmetry-Neutral,CollapseTransitionMapping,0.3269,0.3144,0.3266,0.3064,0.3077,0.3126,0.0945,TRANSITION-FAILED
40,Antisymmetry-Neutral,CollapseTransitionMapping,0.2956,0.2708,0.2793,0.2737,0.2713,0.2698,0.0859,TRANSITION-FAILED
48,Antisymmetry-Neutral,CollapseTransitionMapping,0.2592,0.2495,0.2474,0.2373,0.2456,0.2354,0.0725,TRANSITION-FAILED
64,Antisymmetry-Neutral,CollapseTransitionMapping,0.2076,0.1952,0.2001,0.1937,0.1918,0.1889,0.0573,TRANSITION-FAILED
80,Antisymmetry-Neutral,CollapseTransitionMapping,0.1722,0.1673,0.1684,0.1597,0.1679,0.161,0.0454,TRANSITION-FAILED
96,Antisymmetry-Neutral,CollapseTransitionMapping,0.1495,0.1419,0.1401,0.1418,0.1403,0.1359,0.0428,TRANSITION-FAILED
