depth,sector,condition,rg_similarity,equilibrium_stability,transport_balance_index,bottleneck_equalization,recursive_flow_coherence,asymptotic_decay_suppression,equilibrium_persistence,classification
1,Neutral,NullEquilibriumControl,0.6707,0.6834,0.6536,0.6854,0.6593,0.6272,0.6661,EQUILIBRIUM-BOUNDED
2,Neutral,NullEquilibriumControl,0.6749,0.656,0.6609,0.67,0.6281,0.6193,0.6488,EQUILIBRIUM-BOUNDED
4,Neutral,NullEquilibriumControl,0.6036,0.617,0.6094,0.6091,0.5801,0.571,0.5803,EQUILIBRIUM-PARTIAL
6,Neutral,NullEquilibriumControl,0.5877,0.5876,0.5612,0.5712,0.5623,0.531,0.5623,EQUILIBRIUM-PARTIAL
8,Neutral,NullEquilibriumControl,0.5676,0.5498,0.5421,0.5636,0.5349,0.5223,0.5203,EQUILIBRIUM-DEGRADING
12,Neutral,NullEquilibriumControl,0.5113,0.5026,0.4939,0.5028,0.464,0.4696,0.4878,EQUILIBRIUM-DEGRADING
16,Neutral,NullEquilibriumControl,0.467,0.4489,0.4538,0.4512,0.4488,0.4282,0.4345,EQUILIBRIUM-DEGRADING
20,Neutral,NullEquilibriumControl,0.4305,0.4247,0.4042,0.4101,0.4005,0.3851,0.419,EQUILIBRIUM-DEGRADING
24,Neutral,NullEquilibriumControl,0.4008,0.3869,0.3837,0.3777,0.3689,0.3586,0.367,EQUILIBRIUM-FAILED
32,Neutral,NullEquilibriumControl,0.3351,0.3481,0.3245,0.3436,0.3258,0.3246,0.3273,EQUILIBRIUM-FAILED
40,Neutral,NullEquilibriumControl,0.3015,0.3012,0.3035,0.3079,0.2878,0.2815,0.2941,EQUILIBRIUM-FAILED
48,Neutral,NullEquilibriumControl,0.271,0.2655,0.2678,0.2765,0.2561,0.2483,0.2548,EQUILIBRIUM-FAILED
64,Neutral,NullEquilibriumControl,0.2305,0.2186,0.2167,0.2229,0.2197,0.2151,0.2132,EQUILIBRIUM-FAILED
80,Neutral,NullEquilibriumControl,0.1885,0.1867,0.1891,0.1914,0.1797,0.1831,0.186,EQUILIBRIUM-FAILED
96,Neutral,NullEquilibriumControl,0.1678,0.1688,0.1625,0.1702,0.161,0.1621,0.1613,EQUILIBRIUM-FAILED
128,Neutral,NullEquilibriumControl,0.1353,0.1344,0.129,0.1365,0.1296,0.1253,0.1301,EQUILIBRIUM-FAILED
160,Neutral,NullEquilibriumControl,0.1089,0.1126,0.1122,0.1094,0.107,0.102,0.1061,EQUILIBRIUM-FAILED
192,Neutral,NullEquilibriumControl,0.0953,0.0923,0.0929,0.0971,0.0913,0.0871,0.0947,EQUILIBRIUM-FAILED
256,Neutral,NullEquilibriumControl,0.0754,0.0718,0.0748,0.075,0.0696,0.0683,0.0702,EQUILIBRIUM-FAILED
1,Projection-Antisymmetry,EquilibriumConvergenceAnalysis,0.8967,0.8706,0.836,0.8266,0.8306,0.803,0.8128,EQUILIBRIUM-STABLE
2,Projection-Antisymmetry,EquilibriumConvergenceAnalysis,0.8767,0.8176,0.804,0.8086,0.7842,0.789,0.8099,EQUILIBRIUM-STABLE
4,Projection-Antisymmetry,EquilibriumConvergenceAnalysis,0.8141,0.7969,0.7761,0.7635,0.7313,0.7317,0.7468,EQUILIBRIUM-STABLE
6,Projection-Antisymmetry,EquilibriumConvergenceAnalysis,0.748,0.7441,0.7207,0.7278,0.6859,0.7194,0.7228,EQUILIBRIUM-BOUNDED
8,Projection-Antisymmetry,EquilibriumConvergenceAnalysis,0.732,0.715,0.6911,0.6591,0.6584,0.656,0.677,EQUILIBRIUM-BOUNDED
12,Projection-Antisymmetry,EquilibriumConvergenceAnalysis,0.6632,0.6287,0.6263,0.624,0.6055,0.5983,0.6237,EQUILIBRIUM-PARTIAL
16,Projection-Antisymmetry,EquilibriumConvergenceAnalysis,0.6041,0.585,0.5799,0.562,0.545,0.552,0.5627,EQUILIBRIUM-PARTIAL
20,Projection-Antisymmetry,EquilibriumConvergenceAnalysis,0.5513,0.5441,0.5195,0.5053,0.5145,0.5017,0.5188,EQUILIBRIUM-DEGRADING
24,Projection-Antisymmetry,EquilibriumConvergenceAnalysis,0.509,0.4869,0.4927,0.4735,0.4712,0.4609,0.4668,EQUILIBRIUM-DEGRADING
32,Projection-Antisymmetry,EquilibriumConvergenceAnalysis,0.4363,0.4265,0.4287,0.412,0.4062,0.4165,0.4197,EQUILIBRIUM-DEGRADING
40,Projection-Antisymmetry,EquilibriumConvergenceAnalysis,0.4015,0.3832,0.3787,0.3588,0.3622,0.3665,0.3609,EQUILIBRIUM-FAILED
48,Projection-Antisymmetry,EquilibriumConvergenceAnalysis,0.3586,0.3484,0.3443,0.3268,0.3266,0.3308,0.3278,EQUILIBRIUM-FAILED
64,Projection-Antisymmetry,EquilibriumConvergenceAnalysis,0.3,0.2827,0.2867,0.2765,0.2766,0.2657,0.2774,EQUILIBRIUM-FAILED
80,Projection-Antisymmetry,EquilibriumConvergenceAnalysis,0.2492,0.24,0.242,0.2391,0.2283,0.2262,0.2366,EQUILIBRIUM-FAILED
96,Projection-Antisymmetry,EquilibriumConvergenceAnalysis,0.2194,0.209,0.2083,0.1997,0.2013,0.2001,0.2034,EQUILIBRIUM-FAILED
128,Projection-Antisymmetry,EquilibriumConvergenceAnalysis,0.1735,0.1663,0.1672,0.1595,0.1615,0.1628,0.1601,EQUILIBRIUM-FAILED
160,Projection-Antisymmetry,EquilibriumConvergenceAnalysis,0.1483,0.1386,0.1368,0.1375,0.1314,0.1322,0.1381,EQUILIBRIUM-FAILED
192,Projection-Antisymmetry,EquilibriumConvergenceAnalysis,0.1273,0.1206,0.118,0.1177,0.1162,0.1142,0.1188,EQUILIBRIUM-FAILED
256,Projection-Antisymmetry,EquilibriumConvergenceAnalysis,0.0961,0.0948,0.0902,0.0918,0.087,0.0888,0.0907,EQUILIBRIUM-FAILED
1,Projection-Antisymmetry,AdaptiveBottleneckBalancing,0.8831,0.8594,0.8645,0.8555,0.8291,0.8333,0.8185,EQUILIBRIUM-STABLE
2,Projection-Antisymmetry,AdaptiveBottleneckBalancing,0.8544,0.8321,0.8011,0.8265,0.8159,0.8057,0.8057,EQUILIBRIUM-STABLE
4,Projection-Antisymmetry,AdaptiveBottleneckBalancing,0.8214,0.8045,0.7664,0.7691,0.7371,0.7407,0.7516,EQUILIBRIUM-STABLE
6,Projection-Antisymmetry,AdaptiveBottleneckBalancing,0.7724,0.7545,0.7283,0.7219,0.7206,0.7168,0.716,EQUILIBRIUM-BOUNDED
8,Projection-Antisymmetry,AdaptiveBottleneckBalancing,0.7177,0.7119,0.6888,0.6831,0.684,0.6723,0.6886,EQUILIBRIUM-BOUNDED
12,Projection-Antisymmetry,AdaptiveBottleneckBalancing,0.6709,0.6391,0.6137,0.618,0.6207,0.5892,0.6254,EQUILIBRIUM-PARTIAL
16,Projection-Antisymmetry,AdaptiveBottleneckBalancing,0.5945,0.5952,0.5814,0.5661,0.5669,0.5465,0.5667,EQUILIBRIUM-PARTIAL
20,Projection-Antisymmetry,AdaptiveBottleneckBalancing,0.5623,0.5391,0.5272,0.5159,0.5091,0.4972,0.5161,EQUILIBRIUM-DEGRADING
24,Projection-Antisymmetry,AdaptiveBottleneckBalancing,0.5058,0.5005,0.4916,0.4812,0.4718,0.4603,0.4709,EQUILIBRIUM-DEGRADING
32,Projection-Antisymmetry,AdaptiveBottleneckBalancing,0.4433,0.4297,0.4296,0.4316,0.424,0.401,0.4119,EQUILIBRIUM-DEGRADING
40,Projection-Antisymmetry,AdaptiveBottleneckBalancing,0.4053,0.3921,0.3761,0.3771,0.371,0.3541,0.3741,EQUILIBRIUM-FAILED
48,Projection-Antisymmetry,AdaptiveBottleneckBalancing,0.3573,0.3436,0.3451,0.3443,0.3307,0.3315,0.3262,EQUILIBRIUM-FAILED
64,Projection-Antisymmetry,AdaptiveBottleneckBalancing,0.3009,0.2889,0.2829,0.2845,0.2746,0.2658,0.2831,EQUILIBRIUM-FAILED
80,Projection-Antisymmetry,AdaptiveBottleneckBalancing,0.2506,0.2413,0.2404,0.2392,0.2371,0.2297,0.2329,EQUILIBRIUM-FAILED
96,Projection-Antisymmetry,AdaptiveBottleneckBalancing,0.2204,0.2134,0.2105,0.2123,0.2045,0.1984,0.204,EQUILIBRIUM-FAILED
128,Projection-Antisymmetry,AdaptiveBottleneckBalancing,0.1757,0.1711,0.1645,0.1662,0.1667,0.1603,0.1652,EQUILIBRIUM-FAILED
160,Projection-Antisymmetry,AdaptiveBottleneckBalancing,0.1484,0.1408,0.1367,0.1416,0.1328,0.1318,0.1342,EQUILIBRIUM-FAILED
192,Projection-Antisymmetry,AdaptiveBottleneckBalancing,0.1237,0.119,0.1215,0.1203,0.117,0.1147,0.1202,EQUILIBRIUM-FAILED
256,Projection-Antisymmetry,AdaptiveBottleneckBalancing,0.0961,0.0962,0.092,0.0902,0.0891,0.0908,0.0926,EQUILIBRIUM-FAILED
1,Projection-Antisymmetry,RecursiveFlowRedistribution,0.8929,0.8492,0.8402,0.8321,0.8479,0.8052,0.8221,EQUILIBRIUM-STABLE
2,Projection-Antisymmetry,RecursiveFlowRedistribution,0.8569,0.8445,0.8378,0.8113,0.8166,0.7834,0.8073,EQUILIBRIUM-STABLE
4,Projection-Antisymmetry,RecursiveFlowRedistribution,0.8092,0.7889,0.7694,0.7448,0.7529,0.7449,0.7743,EQUILIBRIUM-STABLE
6,Projection-Antisymmetry,RecursiveFlowRedistribution,0.7755,0.7236,0.7151,0.7257,0.7054,0.7073,0.7196,EQUILIBRIUM-BOUNDED
8,Projection-Antisymmetry,RecursiveFlowRedistribution,0.7217,0.6881,0.677,0.6971,0.674,0.66,0.6716,EQUILIBRIUM-BOUNDED
12,Projection-Antisymmetry,RecursiveFlowRedistribution,0.6566,0.6437,0.6384,0.6323,0.6216,0.6066,0.6327,EQUILIBRIUM-PARTIAL
16,Projection-Antisymmetry,RecursiveFlowRedistribution,0.5972,0.5831,0.5734,0.5623,0.5639,0.5532,0.5726,EQUILIBRIUM-PARTIAL
20,Projection-Antisymmetry,RecursiveFlowRedistribution,0.538,0.5219,0.5302,0.5189,0.5205,0.4888,0.5258,EQUILIBRIUM-DEGRADING
24,Projection-Antisymmetry,RecursiveFlowRedistribution,0.5188,0.4907,0.4956,0.4773,0.4817,0.475,0.4823,EQUILIBRIUM-DEGRADING
32,Projection-Antisymmetry,RecursiveFlowRedistribution,0.4507,0.4204,0.4153,0.4288,0.4287,0.4114,0.4226,EQUILIBRIUM-DEGRADING
40,Projection-Antisymmetry,RecursiveFlowRedistribution,0.3886,0.3757,0.3703,0.3795,0.3665,0.3666,0.3723,EQUILIBRIUM-FAILED
48,Projection-Antisymmetry,RecursiveFlowRedistribution,0.3441,0.3469,0.3422,0.3335,0.33,0.3285,0.3324,EQUILIBRIUM-FAILED
64,Projection-Antisymmetry,RecursiveFlowRedistribution,0.2972,0.2823,0.2806,0.2819,0.2764,0.2671,0.2735,EQUILIBRIUM-FAILED
80,Projection-Antisymmetry,RecursiveFlowRedistribution,0.2513,0.2441,0.2439,0.241,0.2425,0.2293,0.2344,EQUILIBRIUM-FAILED
96,Projection-Antisymmetry,RecursiveFlowRedistribution,0.2223,0.2077,0.2073,0.2085,0.208,0.2036,0.2113,EQUILIBRIUM-FAILED
128,Projection-Antisymmetry,RecursiveFlowRedistribution,0.1731,0.1672,0.1668,0.1681,0.1646,0.1608,0.1659,EQUILIBRIUM-FAILED
160,Projection-Antisymmetry,RecursiveFlowRedistribution,0.1444,0.1437,0.1389,0.1381,0.1388,0.1328,0.1393,EQUILIBRIUM-FAILED
192,Projection-Antisymmetry,RecursiveFlowRedistribution,0.1213,0.118,0.1207,0.1169,0.119,0.1149,0.1191,EQUILIBRIUM-FAILED
256,Projection-Antisymmetry,RecursiveFlowRedistribution,0.0966,0.0935,0.0926,0.0894,0.0911,0.0874,0.0907,EQUILIBRIUM-FAILED
1,Projection-Antisymmetry,SourceSinkSelfCorrection,0.8767,0.8536,0.8646,0.8339,0.8258,0.7966,0.8194,EQUILIBRIUM-STABLE
2,Projection-Antisymmetry,SourceSinkSelfCorrection,0.8351,0.8369,0.8391,0.7939,0.7878,0.8022,0.8044,EQUILIBRIUM-STABLE
4,Projection-Antisymmetry,SourceSinkSelfCorrection,0.7828,0.7601,0.7931,0.7695,0.7453,0.727,0.7468,EQUILIBRIUM-STABLE
6,Projection-Antisymmetry,SourceSinkSelfCorrection,0.7717,0.7134,0.7317,0.7212,0.6902,0.6877,0.722,EQUILIBRIUM-BOUNDED
8,Projection-Antisymmetry,SourceSinkSelfCorrection,0.7172,0.702,0.7072,0.6603,0.6659,0.6799,0.6874,EQUILIBRIUM-BOUNDED
12,Projection-Antisymmetry,SourceSinkSelfCorrection,0.6336,0.6122,0.626,0.6211,0.6071,0.6055,0.6249,EQUILIBRIUM-PARTIAL
16,Projection-Antisymmetry,SourceSinkSelfCorrection,0.5879,0.5745,0.5646,0.5533,0.5412,0.5609,0.5515,EQUILIBRIUM-PARTIAL
20,Projection-Antisymmetry,SourceSinkSelfCorrection,0.5348,0.5151,0.5216,0.5235,0.5044,0.5187,0.5211,EQUILIBRIUM-DEGRADING
24,Projection-Antisymmetry,SourceSinkSelfCorrection,0.5108,0.4777,0.4934,0.4853,0.4807,0.474,0.4805,EQUILIBRIUM-DEGRADING
32,Projection-Antisymmetry,SourceSinkSelfCorrection,0.43,0.428,0.4233,0.4081,0.4124,0.4177,0.4163,EQUILIBRIUM-DEGRADING
40,Projection-Antisymmetry,SourceSinkSelfCorrection,0.3819,0.3794,0.389,0.3723,0.3543,0.36,0.3654,EQUILIBRIUM-FAILED
48,Projection-Antisymmetry,SourceSinkSelfCorrection,0.3509,0.3304,0.3344,0.3248,0.3244,0.3277,0.3238,EQUILIBRIUM-FAILED
64,Projection-Antisymmetry,SourceSinkSelfCorrection,0.2955,0.2802,0.2894,0.2735,0.2672,0.2688,0.2778,EQUILIBRIUM-FAILED
80,Projection-Antisymmetry,SourceSinkSelfCorrection,0.2453,0.2393,0.2475,0.2359,0.2274,0.2324,0.2357,EQUILIBRIUM-FAILED
96,Projection-Antisymmetry,SourceSinkSelfCorrection,0.2185,0.2081,0.2141,0.2066,0.2011,0.1994,0.2085,EQUILIBRIUM-FAILED
128,Projection-Antisymmetry,SourceSinkSelfCorrection,0.1716,0.1657,0.166,0.1612,0.1625,0.164,0.1617,EQUILIBRIUM-FAILED
160,Projection-Antisymmetry,SourceSinkSelfCorrection,0.1423,0.1392,0.1436,0.1329,0.134,0.1347,0.1348,EQUILIBRIUM-FAILED
192,Projection-Antisymmetry,SourceSinkSelfCorrection,0.1247,0.1173,0.1177,0.1181,0.1167,0.1174,0.1171,EQUILIBRIUM-FAILED
256,Projection-Antisymmetry,SourceSinkSelfCorrection,0.0939,0.0911,0.0925,0.0919,0.0881,0.0894,0.09,EQUILIBRIUM-FAILED
1,Projection-Antisymmetry,TransportLoadEqualization,0.8592,0.8517,0.862,0.8281,0.8369,0.8144,0.8217,EQUILIBRIUM-STABLE
2,Projection-Antisymmetry,TransportLoadEqualization,0.8525,0.8308,0.8164,0.8202,0.7989,0.8061,0.8008,EQUILIBRIUM-STABLE
4,Projection-Antisymmetry,TransportLoadEqualization,0.7825,0.7854,0.7777,0.7713,0.7364,0.7688,0.7513,EQUILIBRIUM-STABLE
6,Projection-Antisymmetry,TransportLoadEqualization,0.7569,0.7269,0.7459,0.7073,0.7005,0.7208,0.6945,EQUILIBRIUM-BOUNDED
8,Projection-Antisymmetry,TransportLoadEqualization,0.7028,0.686,0.6756,0.6837,0.6624,0.6587,0.6689,EQUILIBRIUM-BOUNDED
12,Projection-Antisymmetry,TransportLoadEqualization,0.6459,0.6302,0.6215,0.6033,0.6096,0.6006,0.6053,EQUILIBRIUM-PARTIAL
16,Projection-Antisymmetry,TransportLoadEqualization,0.582,0.5846,0.5732,0.5554,0.5557,0.5451,0.5495,EQUILIBRIUM-PARTIAL
20,Projection-Antisymmetry,TransportLoadEqualization,0.5451,0.5173,0.5376,0.5131,0.5161,0.5108,0.5028,EQUILIBRIUM-DEGRADING
24,Projection-Antisymmetry,TransportLoadEqualization,0.5051,0.4982,0.4772,0.4727,0.4821,0.483,0.4726,EQUILIBRIUM-DEGRADING
32,Projection-Antisymmetry,TransportLoadEqualization,0.4283,0.4258,0.4244,0.4147,0.4082,0.4107,0.4054,EQUILIBRIUM-DEGRADING
40,Projection-Antisymmetry,TransportLoadEqualization,0.3821,0.3809,0.3681,0.365,0.3603,0.3757,0.3709,EQUILIBRIUM-FAILED
48,Projection-Antisymmetry,TransportLoadEqualization,0.3532,0.3381,0.3427,0.3323,0.3258,0.3302,0.3319,EQUILIBRIUM-FAILED
64,Projection-Antisymmetry,TransportLoadEqualization,0.2858,0.2832,0.2828,0.2794,0.2694,0.2685,0.27,EQUILIBRIUM-FAILED
80,Projection-Antisymmetry,TransportLoadEqualization,0.2425,0.2375,0.2346,0.2375,0.2353,0.231,0.2368,EQUILIBRIUM-FAILED
96,Projection-Antisymmetry,TransportLoadEqualization,0.22,0.2126,0.2073,0.2029,0.2064,0.2056,0.2065,EQUILIBRIUM-FAILED
128,Projection-Antisymmetry,TransportLoadEqualization,0.1752,0.1656,0.1694,0.1652,0.1666,0.1626,0.1629,EQUILIBRIUM-FAILED
160,Projection-Antisymmetry,TransportLoadEqualization,0.1429,0.1404,0.1407,0.1372,0.1327,0.1372,0.134,EQUILIBRIUM-FAILED
192,Projection-Antisymmetry,TransportLoadEqualization,0.122,0.1172,0.1202,0.1201,0.117,0.1188,0.1159,EQUILIBRIUM-FAILED
256,Projection-Antisymmetry,TransportLoadEqualization,0.0932,0.0933,0.0929,0.0908,0.0895,0.0916,0.0909,EQUILIBRIUM-FAILED
1,Projection-Antisymmetry,PerturbationEquilibriumRecovery,0.8717,0.8413,0.8254,0.8223,0.7977,0.8162,0.8185,EQUILIBRIUM-STABLE
2,Projection-Antisymmetry,PerturbationEquilibriumRecovery,0.8463,0.8192,0.8075,0.7908,0.7973,0.7845,0.812,EQUILIBRIUM-STABLE
4,Projection-Antisymmetry,PerturbationEquilibriumRecovery,0.7749,0.7632,0.7768,0.7592,0.7592,0.7359,0.7712,EQUILIBRIUM-STABLE
6,Projection-Antisymmetry,PerturbationEquilibriumRecovery,0.7592,0.7328,0.719,0.7028,0.7125,0.701,0.708,EQUILIBRIUM-BOUNDED
8,Projection-Antisymmetry,PerturbationEquilibriumRecovery,0.7132,0.6977,0.6901,0.6739,0.658,0.6453,0.6831,EQUILIBRIUM-BOUNDED
12,Projection-Antisymmetry,PerturbationEquilibriumRecovery,0.6552,0.6167,0.611,0.6002,0.6002,0.5995,0.6206,EQUILIBRIUM-PARTIAL
16,Projection-Antisymmetry,PerturbationEquilibriumRecovery,0.5962,0.5629,0.5574,0.5451,0.5527,0.5536,0.5761,EQUILIBRIUM-PARTIAL
20,Projection-Antisymmetry,PerturbationEquilibriumRecovery,0.5273,0.5142,0.5212,0.5208,0.5158,0.5017,0.525,EQUILIBRIUM-DEGRADING
24,Projection-Antisymmetry,PerturbationEquilibriumRecovery,0.5045,0.4838,0.4866,0.4706,0.4597,0.4697,0.4719,EQUILIBRIUM-DEGRADING
32,Projection-Antisymmetry,PerturbationEquilibriumRecovery,0.4357,0.4231,0.4275,0.4228,0.4024,0.4109,0.4286,EQUILIBRIUM-DEGRADING
40,Projection-Antisymmetry,PerturbationEquilibriumRecovery,0.3929,0.3689,0.3708,0.3586,0.3539,0.3527,0.3671,EQUILIBRIUM-FAILED
48,Projection-Antisymmetry,PerturbationEquilibriumRecovery,0.3407,0.3332,0.3353,0.3281,0.3309,0.3254,0.3333,EQUILIBRIUM-FAILED
64,Projection-Antisymmetry,PerturbationEquilibriumRecovery,0.2829,0.2775,0.2757,0.2772,0.267,0.2661,0.2767,EQUILIBRIUM-FAILED
80,Projection-Antisymmetry,PerturbationEquilibriumRecovery,0.2432,0.2398,0.2419,0.2324,0.2355,0.2277,0.2405,EQUILIBRIUM-FAILED
96,Projection-Antisymmetry,PerturbationEquilibriumRecovery,0.2104,0.2083,0.2117,0.1999,0.203,0.1971,0.208,EQUILIBRIUM-FAILED
128,Projection-Antisymmetry,PerturbationEquilibriumRecovery,0.1693,0.1643,0.1683,0.1619,0.1595,0.1566,0.1627,EQUILIBRIUM-FAILED
160,Projection-Antisymmetry,PerturbationEquilibriumRecovery,0.1422,0.1369,0.1347,0.1372,0.1325,0.1326,0.1403,EQUILIBRIUM-FAILED
192,Projection-Antisymmetry,PerturbationEquilibriumRecovery,0.1243,0.119,0.1194,0.1147,0.117,0.111,0.1199,EQUILIBRIUM-FAILED
256,Projection-Antisymmetry,PerturbationEquilibriumRecovery,0.0926,0.0901,0.0919,0.0891,0.0905,0.0899,0.0933,EQUILIBRIUM-FAILED
1,Projection-Antisymmetry,NullEquilibriumControl,0.6798,0.6558,0.6576,0.6936,0.6321,0.6315,0.6645,EQUILIBRIUM-BOUNDED
2,Projection-Antisymmetry,NullEquilibriumControl,0.6549,0.6708,0.6363,0.6666,0.6177,0.6094,0.6309,EQUILIBRIUM-PARTIAL
4,Projection-Antisymmetry,NullEquilibriumControl,0.6061,0.6143,0.621,0.604,0.5893,0.585,0.6012,EQUILIBRIUM-PARTIAL
6,Projection-Antisymmetry,NullEquilibriumControl,0.577,0.5788,0.5794,0.592,0.5611,0.5556,0.5722,EQUILIBRIUM-PARTIAL
8,Projection-Antisymmetry,NullEquilibriumControl,0.5501,0.5615,0.5396,0.5624,0.5321,0.5179,0.5363,EQUILIBRIUM-DEGRADING
12,Projection-Antisymmetry,NullEquilibriumControl,0.4944,0.5141,0.4855,0.5055,0.4756,0.474,0.4839,EQUILIBRIUM-DEGRADING
16,Projection-Antisymmetry,NullEquilibriumControl,0.4582,0.4569,0.4388,0.4553,0.4412,0.4421,0.4342,EQUILIBRIUM-DEGRADING
20,Projection-Antisymmetry,NullEquilibriumControl,0.4135,0.4156,0.4032,0.4266,0.393,0.3927,0.4105,EQUILIBRIUM-DEGRADING
24,Projection-Antisymmetry,NullEquilibriumControl,0.4037,0.3879,0.3749,0.4004,0.3713,0.3634,0.3869,EQUILIBRIUM-FAILED
32,Projection-Antisymmetry,NullEquilibriumControl,0.3492,0.3472,0.3303,0.3349,0.3185,0.3098,0.3343,EQUILIBRIUM-FAILED
40,Projection-Antisymmetry,NullEquilibriumControl,0.3056,0.3059,0.3014,0.2942,0.2789,0.2791,0.2837,EQUILIBRIUM-FAILED
48,Projection-Antisymmetry,NullEquilibriumControl,0.2712,0.2635,0.2716,0.2763,0.2639,0.2463,0.2649,EQUILIBRIUM-FAILED
64,Projection-Antisymmetry,NullEquilibriumControl,0.2294,0.22,0.2187,0.2212,0.2141,0.2105,0.2146,EQUILIBRIUM-FAILED
80,Projection-Antisymmetry,NullEquilibriumControl,0.1963,0.1885,0.1892,0.1887,0.1872,0.185,0.1866,EQUILIBRIUM-FAILED
96,Projection-Antisymmetry,NullEquilibriumControl,0.1668,0.1701,0.1671,0.163,0.1564,0.1537,0.1616,EQUILIBRIUM-FAILED
128,Projection-Antisymmetry,NullEquilibriumControl,0.1328,0.1358,0.1344,0.1339,0.1301,0.1289,0.1311,EQUILIBRIUM-FAILED
160,Projection-Antisymmetry,NullEquilibriumControl,0.1115,0.1141,0.1122,0.1087,0.1073,0.1031,0.1062,EQUILIBRIUM-FAILED
192,Projection-Antisymmetry,NullEquilibriumControl,0.0964,0.0957,0.0955,0.0943,0.0907,0.0875,0.0919,EQUILIBRIUM-FAILED
256,Projection-Antisymmetry,NullEquilibriumControl,0.0743,0.0718,0.0737,0.0747,0.0726,0.0682,0.0722,EQUILIBRIUM-FAILED
1,Projection-Neutral,EquilibriumConvergenceAnalysis,0.8832,0.8666,0.8378,0.8254,0.818,0.797,0.828,EQUILIBRIUM-STABLE
2,Projection-Neutral,EquilibriumConvergenceAnalysis,0.8482,0.8422,0.8272,0.8098,0.7972,0.8054,0.8151,EQUILIBRIUM-STABLE
4,Projection-Neutral,EquilibriumConvergenceAnalysis,0.8229,0.7954,0.7563,0.7667,0.7498,0.7373,0.7438,EQUILIBRIUM-STABLE
6,Projection-Neutral,EquilibriumConvergenceAnalysis,0.7588,0.7354,0.7124,0.7242,0.6977,0.7203,0.7266,EQUILIBRIUM-BOUNDED
8,Projection-Neutral,EquilibriumConvergenceAnalysis,0.7358,0.7,0.6835,0.6648,0.6567,0.6586,0.6872,EQUILIBRIUM-BOUNDED
12,Projection-Neutral,EquilibriumConvergenceAnalysis,0.6581,0.6224,0.6257,0.6163,0.6075,0.5892,0.6076,EQUILIBRIUM-PARTIAL
16,Projection-Neutral,EquilibriumConvergenceAnalysis,0.5886,0.5712,0.5643,0.5554,0.5529,0.5468,0.5547,EQUILIBRIUM-PARTIAL
20,Projection-Neutral,EquilibriumConvergenceAnalysis,0.5486,0.5285,0.5157,0.5164,0.511,0.5166,0.5211,EQUILIBRIUM-DEGRADING
24,Projection-Neutral,EquilibriumConvergenceAnalysis,0.5151,0.492,0.4761,0.4724,0.4809,0.4747,0.4823,EQUILIBRIUM-DEGRADING
32,Projection-Neutral,EquilibriumConvergenceAnalysis,0.4502,0.4219,0.4315,0.4153,0.4024,0.4031,0.4207,EQUILIBRIUM-DEGRADING
40,Projection-Neutral,EquilibriumConvergenceAnalysis,0.3909,0.38,0.3681,0.373,0.3544,0.3648,0.3599,EQUILIBRIUM-FAILED
48,Projection-Neutral,EquilibriumConvergenceAnalysis,0.3531,0.3431,0.33,0.3352,0.3192,0.3225,0.3264,EQUILIBRIUM-FAILED
64,Projection-Neutral,EquilibriumConvergenceAnalysis,0.2936,0.2793,0.2792,0.2702,0.2735,0.2733,0.2752,EQUILIBRIUM-FAILED
80,Projection-Neutral,EquilibriumConvergenceAnalysis,0.2504,0.2425,0.2387,0.2309,0.2327,0.2266,0.2293,EQUILIBRIUM-FAILED
96,Projection-Neutral,EquilibriumConvergenceAnalysis,0.2173,0.2146,0.2047,0.2013,0.2029,0.203,0.2086,EQUILIBRIUM-FAILED
128,Projection-Neutral,EquilibriumConvergenceAnalysis,0.1764,0.1688,0.1705,0.1667,0.1608,0.159,0.1626,EQUILIBRIUM-FAILED
160,Projection-Neutral,EquilibriumConvergenceAnalysis,0.1429,0.1422,0.1408,0.133,0.1368,0.1356,0.1335,EQUILIBRIUM-FAILED
192,Projection-Neutral,EquilibriumConvergenceAnalysis,0.1263,0.1186,0.1199,0.1183,0.1154,0.1129,0.1134,EQUILIBRIUM-FAILED
256,Projection-Neutral,EquilibriumConvergenceAnalysis,0.0984,0.0945,0.0902,0.091,0.0875,0.0905,0.0884,EQUILIBRIUM-FAILED
1,Projection-Neutral,AdaptiveBottleneckBalancing,0.8946,0.8817,0.8453,0.8505,0.8176,0.7972,0.8376,EQUILIBRIUM-STABLE
2,Projection-Neutral,AdaptiveBottleneckBalancing,0.845,0.8356,0.8091,0.8072,0.8145,0.7993,0.7961,EQUILIBRIUM-STABLE
4,Projection-Neutral,AdaptiveBottleneckBalancing,0.7969,0.7912,0.7686,0.7719,0.7632,0.7441,0.7548,EQUILIBRIUM-STABLE
6,Projection-Neutral,AdaptiveBottleneckBalancing,0.7628,0.7517,0.7127,0.7165,0.7282,0.7128,0.7143,EQUILIBRIUM-BOUNDED
8,Projection-Neutral,AdaptiveBottleneckBalancing,0.7404,0.7209,0.686,0.6847,0.6651,0.6575,0.6813,EQUILIBRIUM-BOUNDED
12,Projection-Neutral,AdaptiveBottleneckBalancing,0.6506,0.6385,0.6134,0.6325,0.603,0.6138,0.6284,EQUILIBRIUM-PARTIAL
16,Projection-Neutral,AdaptiveBottleneckBalancing,0.6025,0.5952,0.5729,0.5595,0.5482,0.5452,0.5523,EQUILIBRIUM-PARTIAL
