depth,sector,condition,rg_similarity,abstraction_coherence,meta_model_fidelity,cross_model_integration,recursive_abstraction_persistence,predictive_abstraction_gain,higher_order_stabilization_strength,classification
4,Antisymmetry,NullAbstractionControl,0.8053,0.8315,0.8261,0.8213,0.7884,0.7837,0.8106,ABSTRACTION-BOUNDED
6,Antisymmetry,NullAbstractionControl,0.8069,0.7946,0.7847,0.8132,0.7872,0.7648,0.7852,ABSTRACTION-PARTIAL
8,Antisymmetry,NullAbstractionControl,0.819,0.8153,0.7853,0.7938,0.7761,0.7562,0.7784,ABSTRACTION-PARTIAL
12,Antisymmetry,NullAbstractionControl,0.8158,0.7886,0.8011,0.8141,0.7877,0.7542,0.7717,ABSTRACTION-PARTIAL
16,Antisymmetry,NullAbstractionControl,0.8103,0.7997,0.7945,0.7743,0.7522,0.7401,0.7727,ABSTRACTION-PARTIAL
20,Antisymmetry,NullAbstractionControl,0.7848,0.7993,0.7778,0.7961,0.7542,0.7289,0.7705,ABSTRACTION-PARTIAL
24,Antisymmetry,NullAbstractionControl,0.7644,0.7714,0.7691,0.7747,0.7548,0.7441,0.7472,ABSTRACTION-PARTIAL
32,Antisymmetry,NullAbstractionControl,0.747,0.7684,0.7476,0.7696,0.7156,0.7043,0.7259,ABSTRACTION-PARTIAL
40,Antisymmetry,NullAbstractionControl,0.7449,0.7474,0.743,0.7291,0.7227,0.7168,0.7135,ABSTRACTION-PARTIAL
48,Antisymmetry,NullAbstractionControl,0.7197,0.7157,0.7213,0.731,0.7132,0.6974,0.7009,ABSTRACTION-PARTIAL
64,Antisymmetry,NullAbstractionControl,0.6821,0.6814,0.6841,0.7109,0.6826,0.6741,0.6644,ABSTRACTION-DEGRADING
80,Antisymmetry,NullAbstractionControl,0.6719,0.6747,0.6539,0.6769,0.631,0.6379,0.6503,ABSTRACTION-DEGRADING
96,Antisymmetry,NullAbstractionControl,0.6519,0.6501,0.6253,0.6332,0.607,0.6027,0.6377,ABSTRACTION-DEGRADING
128,Antisymmetry,NullAbstractionControl,0.599,0.6083,0.5862,0.6059,0.5871,0.5709,0.5782,ABSTRACTION-DEGRADING
160,Antisymmetry,NullAbstractionControl,0.5714,0.5699,0.5414,0.5537,0.5468,0.5261,0.5514,ABSTRACTION-DEGRADING
192,Antisymmetry,NullAbstractionControl,0.5167,0.5208,0.5109,0.5188,0.498,0.5021,0.5218,ABSTRACTION-FAILED
256,Antisymmetry,NullAbstractionControl,0.4633,0.4633,0.4722,0.4628,0.4611,0.4383,0.4516,ABSTRACTION-FAILED
320,Antisymmetry,NullAbstractionControl,0.4175,0.4132,0.4157,0.4154,0.4114,0.4113,0.4017,ABSTRACTION-FAILED
512,Antisymmetry,NullAbstractionControl,0.3261,0.3282,0.3203,0.3229,0.3156,0.3072,0.3195,ABSTRACTION-FAILED
768,Antisymmetry,NullAbstractionControl,0.2565,0.2497,0.2464,0.248,0.2369,0.2347,0.2434,ABSTRACTION-FAILED
1024,Antisymmetry,NullAbstractionControl,0.2009,0.2015,0.1997,0.2023,0.1969,0.1896,0.1961,ABSTRACTION-FAILED
1536,Antisymmetry,NullAbstractionControl,0.1504,0.148,0.1481,0.1485,0.1394,0.1391,0.1436,ABSTRACTION-FAILED
2048,Antisymmetry,NullAbstractionControl,0.1187,0.1129,0.1169,0.1177,0.1091,0.109,0.1134,ABSTRACTION-FAILED
3072,Antisymmetry,NullAbstractionControl,0.0797,0.079,0.0804,0.0798,0.0764,0.078,0.0795,ABSTRACTION-FAILED
4096,Antisymmetry,NullAbstractionControl,0.0628,0.0621,0.0618,0.0611,0.0614,0.0587,0.0592,ABSTRACTION-FAILED
6144,Antisymmetry,NullAbstractionControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,ABSTRACTION-FAILED
8192,Antisymmetry,NullAbstractionControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,ABSTRACTION-FAILED
12288,Antisymmetry,NullAbstractionControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,ABSTRACTION-FAILED
16384,Antisymmetry,NullAbstractionControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,ABSTRACTION-FAILED
1,Neutral,MetaModelExtraction,0.96,0.9381,0.93,0.9102,0.91,0.8977,0.9016,ABSTRACTION-STABLE
2,Neutral,MetaModelExtraction,0.96,0.94,0.93,0.92,0.9072,0.9,0.8996,ABSTRACTION-STABLE
4,Neutral,MetaModelExtraction,0.9522,0.9272,0.93,0.9016,0.8998,0.8818,0.8943,ABSTRACTION-STABLE
6,Neutral,MetaModelExtraction,0.96,0.9287,0.9106,0.9087,0.8741,0.9,0.8864,ABSTRACTION-STABLE
8,Neutral,MetaModelExtraction,0.96,0.914,0.9128,0.8953,0.8741,0.8763,0.8787,ABSTRACTION-STABLE
12,Neutral,MetaModelExtraction,0.9403,0.929,0.8987,0.876,0.8659,0.8818,0.8673,ABSTRACTION-BOUNDED
16,Neutral,MetaModelExtraction,0.9345,0.9184,0.8907,0.8688,0.8513,0.8493,0.8667,ABSTRACTION-BOUNDED
20,Neutral,MetaModelExtraction,0.9199,0.8812,0.8685,0.8624,0.8715,0.8746,0.8524,ABSTRACTION-BOUNDED
24,Neutral,MetaModelExtraction,0.9026,0.8874,0.8899,0.8553,0.8551,0.8637,0.8652,ABSTRACTION-BOUNDED
32,Neutral,MetaModelExtraction,0.8783,0.8693,0.8408,0.8224,0.8236,0.8246,0.8369,ABSTRACTION-BOUNDED
40,Neutral,MetaModelExtraction,0.8731,0.8622,0.8391,0.8267,0.8229,0.8221,0.8089,ABSTRACTION-BOUNDED
48,Neutral,MetaModelExtraction,0.8442,0.817,0.8231,0.7866,0.7889,0.7842,0.7962,ABSTRACTION-BOUNDED
64,Neutral,MetaModelExtraction,0.8172,0.7889,0.7853,0.7706,0.7779,0.7517,0.756,ABSTRACTION-PARTIAL
80,Neutral,MetaModelExtraction,0.7776,0.7606,0.7532,0.7327,0.7479,0.741,0.7325,ABSTRACTION-PARTIAL
96,Neutral,MetaModelExtraction,0.746,0.7279,0.7218,0.7241,0.7047,0.6961,0.7073,ABSTRACTION-PARTIAL
128,Neutral,MetaModelExtraction,0.6924,0.682,0.6793,0.6588,0.6651,0.648,0.6667,ABSTRACTION-DEGRADING
160,Neutral,MetaModelExtraction,0.6482,0.6372,0.6294,0.6192,0.6183,0.6028,0.6315,ABSTRACTION-DEGRADING
192,Neutral,MetaModelExtraction,0.6128,0.601,0.6026,0.5834,0.5668,0.5795,0.5927,ABSTRACTION-DEGRADING
256,Neutral,MetaModelExtraction,0.5499,0.5267,0.5407,0.5169,0.5154,0.5048,0.5233,ABSTRACTION-FAILED
320,Neutral,MetaModelExtraction,0.4943,0.4755,0.4859,0.473,0.4719,0.4657,0.4717,ABSTRACTION-FAILED
512,Neutral,MetaModelExtraction,0.3811,0.3793,0.374,0.3663,0.3574,0.3512,0.3668,ABSTRACTION-FAILED
768,Neutral,MetaModelExtraction,0.2871,0.2855,0.282,0.2831,0.2786,0.275,0.2833,ABSTRACTION-FAILED
1024,Neutral,MetaModelExtraction,0.2412,0.2276,0.2291,0.2209,0.2191,0.2251,0.2277,ABSTRACTION-FAILED
1536,Neutral,MetaModelExtraction,0.1691,0.1685,0.1676,0.1601,0.1639,0.1626,0.1622,ABSTRACTION-FAILED
2048,Neutral,MetaModelExtraction,0.1348,0.1342,0.1299,0.126,0.1262,0.1277,0.1294,ABSTRACTION-FAILED
3072,Neutral,MetaModelExtraction,0.0948,0.0942,0.093,0.0896,0.0869,0.0888,0.0892,ABSTRACTION-FAILED
4096,Neutral,MetaModelExtraction,0.0714,0.0719,0.0709,0.0682,0.0671,0.0672,0.0678,ABSTRACTION-FAILED
6144,Neutral,MetaModelExtraction,0.0507,0.05,0.05,0.05,0.05,0.05,0.05,ABSTRACTION-FAILED
8192,Neutral,MetaModelExtraction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,ABSTRACTION-FAILED
12288,Neutral,MetaModelExtraction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,ABSTRACTION-FAILED
16384,Neutral,MetaModelExtraction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,ABSTRACTION-FAILED
1,Neutral,AbstractionCoherenceAnalysis,0.96,0.94,0.9284,0.92,0.91,0.8896,0.9183,ABSTRACTION-STABLE
2,Neutral,AbstractionCoherenceAnalysis,0.96,0.94,0.93,0.92,0.91,0.8894,0.92,ABSTRACTION-STABLE
4,Neutral,AbstractionCoherenceAnalysis,0.9453,0.94,0.93,0.9126,0.8913,0.9,0.9054,ABSTRACTION-STABLE
6,Neutral,AbstractionCoherenceAnalysis,0.9471,0.94,0.9221,0.9073,0.8833,0.9,0.9086,ABSTRACTION-STABLE
8,Neutral,AbstractionCoherenceAnalysis,0.96,0.94,0.8999,0.8933,0.8929,0.9,0.92,ABSTRACTION-BOUNDED
12,Neutral,AbstractionCoherenceAnalysis,0.9509,0.9377,0.9067,0.8969,0.9041,0.8752,0.879,ABSTRACTION-STABLE
16,Neutral,AbstractionCoherenceAnalysis,0.9333,0.9276,0.8805,0.8797,0.8738,0.882,0.8793,ABSTRACTION-BOUNDED
20,Neutral,AbstractionCoherenceAnalysis,0.9167,0.9161,0.8733,0.8821,0.8599,0.8482,0.8628,ABSTRACTION-BOUNDED
24,Neutral,AbstractionCoherenceAnalysis,0.9253,0.8879,0.864,0.8477,0.8475,0.8385,0.8822,ABSTRACTION-BOUNDED
32,Neutral,AbstractionCoherenceAnalysis,0.8958,0.866,0.8567,0.8549,0.8438,0.8436,0.8374,ABSTRACTION-BOUNDED
40,Neutral,AbstractionCoherenceAnalysis,0.8774,0.8692,0.8535,0.8423,0.8037,0.828,0.8366,ABSTRACTION-BOUNDED
48,Neutral,AbstractionCoherenceAnalysis,0.8455,0.823,0.8173,0.8014,0.7881,0.8004,0.8078,ABSTRACTION-BOUNDED
64,Neutral,AbstractionCoherenceAnalysis,0.8327,0.8062,0.7938,0.7645,0.7555,0.7546,0.7739,ABSTRACTION-PARTIAL
80,Neutral,AbstractionCoherenceAnalysis,0.7764,0.7769,0.7634,0.7613,0.7366,0.7421,0.7529,ABSTRACTION-PARTIAL
96,Neutral,AbstractionCoherenceAnalysis,0.7612,0.7334,0.7248,0.7257,0.7206,0.7087,0.7093,ABSTRACTION-PARTIAL
128,Neutral,AbstractionCoherenceAnalysis,0.6949,0.6859,0.6879,0.6593,0.6536,0.6415,0.6575,ABSTRACTION-DEGRADING
160,Neutral,AbstractionCoherenceAnalysis,0.6443,0.6527,0.6291,0.6384,0.6222,0.6256,0.6374,ABSTRACTION-DEGRADING
192,Neutral,AbstractionCoherenceAnalysis,0.6127,0.6021,0.5859,0.5984,0.5704,0.5875,0.5855,ABSTRACTION-DEGRADING
256,Neutral,AbstractionCoherenceAnalysis,0.5453,0.5459,0.5255,0.5215,0.5298,0.5183,0.5155,ABSTRACTION-FAILED
320,Neutral,AbstractionCoherenceAnalysis,0.4931,0.4849,0.4793,0.4706,0.4654,0.4668,0.4643,ABSTRACTION-FAILED
512,Neutral,AbstractionCoherenceAnalysis,0.3905,0.3805,0.3695,0.3627,0.365,0.3643,0.3579,ABSTRACTION-FAILED
768,Neutral,AbstractionCoherenceAnalysis,0.2947,0.2843,0.2822,0.2757,0.2788,0.2699,0.2845,ABSTRACTION-FAILED
1024,Neutral,AbstractionCoherenceAnalysis,0.2396,0.2317,0.226,0.2287,0.2251,0.2266,0.2259,ABSTRACTION-FAILED
1536,Neutral,AbstractionCoherenceAnalysis,0.1701,0.1694,0.1649,0.1623,0.163,0.1592,0.1687,ABSTRACTION-FAILED
2048,Neutral,AbstractionCoherenceAnalysis,0.1348,0.133,0.1292,0.1293,0.1307,0.1257,0.13,ABSTRACTION-FAILED
3072,Neutral,AbstractionCoherenceAnalysis,0.0965,0.0935,0.0932,0.0906,0.0878,0.0875,0.0892,ABSTRACTION-FAILED
4096,Neutral,AbstractionCoherenceAnalysis,0.0746,0.0717,0.069,0.0683,0.0687,0.0676,0.0712,ABSTRACTION-FAILED
6144,Neutral,AbstractionCoherenceAnalysis,0.0501,0.0501,0.05,0.05,0.05,0.05,0.05,ABSTRACTION-FAILED
8192,Neutral,AbstractionCoherenceAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,ABSTRACTION-FAILED
12288,Neutral,AbstractionCoherenceAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,ABSTRACTION-FAILED
16384,Neutral,AbstractionCoherenceAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,ABSTRACTION-FAILED
1,Neutral,CrossModelIntegrationMapping,0.9543,0.94,0.93,0.92,0.8909,0.8786,0.92,ABSTRACTION-STABLE
2,Neutral,CrossModelIntegrationMapping,0.96,0.94,0.9108,0.92,0.9045,0.8822,0.9017,ABSTRACTION-STABLE
4,Neutral,CrossModelIntegrationMapping,0.96,0.9322,0.9268,0.92,0.8811,0.8857,0.9071,ABSTRACTION-STABLE
6,Neutral,CrossModelIntegrationMapping,0.9398,0.94,0.8996,0.92,0.9078,0.873,0.9085,ABSTRACTION-BOUNDED
8,Neutral,CrossModelIntegrationMapping,0.9578,0.9387,0.8962,0.92,0.8961,0.8929,0.8807,ABSTRACTION-BOUNDED
12,Neutral,CrossModelIntegrationMapping,0.9327,0.9152,0.9125,0.9081,0.8881,0.8723,0.8988,ABSTRACTION-STABLE
16,Neutral,CrossModelIntegrationMapping,0.9344,0.8998,0.887,0.8822,0.8659,0.8523,0.865,ABSTRACTION-BOUNDED
20,Neutral,CrossModelIntegrationMapping,0.9213,0.8889,0.8903,0.902,0.8645,0.8372,0.8741,ABSTRACTION-BOUNDED
24,Neutral,CrossModelIntegrationMapping,0.9132,0.8869,0.8771,0.8743,0.8445,0.8426,0.853,ABSTRACTION-BOUNDED
32,Neutral,CrossModelIntegrationMapping,0.8733,0.8774,0.841,0.8413,0.8123,0.8029,0.8557,ABSTRACTION-BOUNDED
40,Neutral,CrossModelIntegrationMapping,0.8435,0.8589,0.8402,0.8306,0.8098,0.8021,0.8072,ABSTRACTION-BOUNDED
48,Neutral,CrossModelIntegrationMapping,0.8283,0.8336,0.8281,0.8293,0.7803,0.8018,0.809,ABSTRACTION-BOUNDED
64,Neutral,CrossModelIntegrationMapping,0.8121,0.8061,0.7678,0.797,0.7696,0.7507,0.7842,ABSTRACTION-PARTIAL
80,Neutral,CrossModelIntegrationMapping,0.7606,0.7561,0.7482,0.7493,0.7185,0.7337,0.7315,ABSTRACTION-PARTIAL
96,Neutral,CrossModelIntegrationMapping,0.7488,0.7493,0.7233,0.7292,0.704,0.709,0.7243,ABSTRACTION-PARTIAL
128,Neutral,CrossModelIntegrationMapping,0.6927,0.6787,0.668,0.6705,0.6621,0.6445,0.6606,ABSTRACTION-DEGRADING
160,Neutral,CrossModelIntegrationMapping,0.6502,0.6336,0.6229,0.6346,0.6178,0.6166,0.6306,ABSTRACTION-DEGRADING
192,Neutral,CrossModelIntegrationMapping,0.6027,0.6113,0.5784,0.5835,0.572,0.5708,0.5897,ABSTRACTION-DEGRADING
256,Neutral,CrossModelIntegrationMapping,0.5412,0.5449,0.5207,0.5413,0.513,0.504,0.5263,ABSTRACTION-FAILED
320,Neutral,CrossModelIntegrationMapping,0.4827,0.4881,0.4679,0.485,0.4709,0.4659,0.4771,ABSTRACTION-FAILED
512,Neutral,CrossModelIntegrationMapping,0.3732,0.3808,0.3676,0.3661,0.3585,0.3585,0.3612,ABSTRACTION-FAILED
768,Neutral,CrossModelIntegrationMapping,0.2966,0.286,0.2855,0.2879,0.2745,0.268,0.2777,ABSTRACTION-FAILED
1024,Neutral,CrossModelIntegrationMapping,0.2347,0.2306,0.2272,0.228,0.2207,0.218,0.2238,ABSTRACTION-FAILED
1536,Neutral,CrossModelIntegrationMapping,0.1715,0.1652,0.164,0.1695,0.165,0.1579,0.1649,ABSTRACTION-FAILED
2048,Neutral,CrossModelIntegrationMapping,0.1366,0.1301,0.1287,0.1308,0.1246,0.1245,0.1269,ABSTRACTION-FAILED
3072,Neutral,CrossModelIntegrationMapping,0.095,0.0912,0.0909,0.0908,0.0875,0.0866,0.0892,ABSTRACTION-FAILED
4096,Neutral,CrossModelIntegrationMapping,0.0711,0.071,0.0692,0.0704,0.0677,0.0678,0.0682,ABSTRACTION-FAILED
6144,Neutral,CrossModelIntegrationMapping,0.05,0.05,0.05,0.05,0.05,0.05,0.05,ABSTRACTION-FAILED
8192,Neutral,CrossModelIntegrationMapping,0.05,0.05,0.05,0.05,0.05,0.05,0.05,ABSTRACTION-FAILED
12288,Neutral,CrossModelIntegrationMapping,0.05,0.05,0.05,0.05,0.05,0.05,0.05,ABSTRACTION-FAILED
16384,Neutral,CrossModelIntegrationMapping,0.05,0.05,0.05,0.05,0.05,0.05,0.05,ABSTRACTION-FAILED
1,Neutral,RecursiveAbstractionPersistence,0.9376,0.94,0.9164,0.9173,0.91,0.8788,0.92,ABSTRACTION-STABLE
2,Neutral,RecursiveAbstractionPersistence,0.96,0.94,0.93,0.9091,0.91,0.9,0.8976,ABSTRACTION-STABLE
4,Neutral,RecursiveAbstractionPersistence,0.9448,0.9341,0.9165,0.92,0.8993,0.8937,0.9059,ABSTRACTION-STABLE
6,Neutral,RecursiveAbstractionPersistence,0.9536,0.914,0.9096,0.9063,0.903,0.8771,0.9097,ABSTRACTION-STABLE
8,Neutral,RecursiveAbstractionPersistence,0.941,0.9312,0.8996,0.8946,0.91,0.8754,0.8821,ABSTRACTION-BOUNDED
12,Neutral,RecursiveAbstractionPersistence,0.936,0.922,0.8941,0.8807,0.8846,0.8809,0.8943,ABSTRACTION-BOUNDED
16,Neutral,RecursiveAbstractionPersistence,0.9151,0.9019,0.8964,0.891,0.8846,0.8697,0.8665,ABSTRACTION-BOUNDED
20,Neutral,RecursiveAbstractionPersistence,0.921,0.8702,0.8663,0.8644,0.8608,0.8503,0.8801,ABSTRACTION-BOUNDED
24,Neutral,RecursiveAbstractionPersistence,0.901,0.8828,0.8593,0.8668,0.8674,0.845,0.8403,ABSTRACTION-BOUNDED
32,Neutral,RecursiveAbstractionPersistence,0.8784,0.8436,0.851,0.8202,0.855,0.8318,0.8274,ABSTRACTION-BOUNDED
40,Neutral,RecursiveAbstractionPersistence,0.8496,0.8549,0.8386,0.8064,0.8413,0.7914,0.8162,ABSTRACTION-BOUNDED
48,Neutral,RecursiveAbstractionPersistence,0.843,0.8275,0.815,0.8144,0.8256,0.7935,0.8124,ABSTRACTION-BOUNDED
64,Neutral,RecursiveAbstractionPersistence,0.7872,0.7736,0.7635,0.7709,0.7634,0.7443,0.7861,ABSTRACTION-PARTIAL
80,Neutral,RecursiveAbstractionPersistence,0.7863,0.7622,0.74,0.7517,0.7515,0.7252,0.7409,ABSTRACTION-PARTIAL
96,Neutral,RecursiveAbstractionPersistence,0.7302,0.7327,0.7148,0.7251,0.71,0.7034,0.7231,ABSTRACTION-PARTIAL
128,Neutral,RecursiveAbstractionPersistence,0.7048,0.6867,0.6759,0.6521,0.6596,0.6579,0.6764,ABSTRACTION-DEGRADING
160,Neutral,RecursiveAbstractionPersistence,0.6407,0.637,0.6244,0.6168,0.6185,0.6149,0.6076,ABSTRACTION-DEGRADING
192,Neutral,RecursiveAbstractionPersistence,0.6058,0.5984,0.6002,0.5919,0.5927,0.5717,0.5876,ABSTRACTION-DEGRADING
256,Neutral,RecursiveAbstractionPersistence,0.5439,0.5377,0.5259,0.516,0.5282,0.5061,0.5162,ABSTRACTION-FAILED
320,Neutral,RecursiveAbstractionPersistence,0.483,0.4737,0.4791,0.4618,0.465,0.4608,0.4605,ABSTRACTION-FAILED
512,Neutral,RecursiveAbstractionPersistence,0.3825,0.3734,0.3702,0.3682,0.3681,0.3572,0.3668,ABSTRACTION-FAILED
768,Neutral,RecursiveAbstractionPersistence,0.2849,0.2796,0.2813,0.2788,0.2756,0.2731,0.2755,ABSTRACTION-FAILED
1024,Neutral,RecursiveAbstractionPersistence,0.2304,0.2297,0.2312,0.2283,0.2267,0.2223,0.2262,ABSTRACTION-FAILED
1536,Neutral,RecursiveAbstractionPersistence,0.1728,0.1691,0.1617,0.1617,0.1643,0.1612,0.1655,ABSTRACTION-FAILED
2048,Neutral,RecursiveAbstractionPersistence,0.1341,0.1311,0.1299,0.1307,0.1283,0.1279,0.1297,ABSTRACTION-FAILED
3072,Neutral,RecursiveAbstractionPersistence,0.0919,0.0933,0.0918,0.0879,0.0888,0.087,0.0885,ABSTRACTION-FAILED
4096,Neutral,RecursiveAbstractionPersistence,0.0729,0.069,0.0686,0.0675,0.0709,0.066,0.0685,ABSTRACTION-FAILED
6144,Neutral,RecursiveAbstractionPersistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,ABSTRACTION-FAILED
8192,Neutral,RecursiveAbstractionPersistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,ABSTRACTION-FAILED
12288,Neutral,RecursiveAbstractionPersistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,ABSTRACTION-FAILED
16384,Neutral,RecursiveAbstractionPersistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,ABSTRACTION-FAILED
1,Neutral,PredictiveAbstractionGain,0.957,0.9365,0.9217,0.8961,0.91,0.9,0.8995,ABSTRACTION-STABLE
2,Neutral,PredictiveAbstractionGain,0.9393,0.94,0.93,0.92,0.9085,0.9,0.92,ABSTRACTION-STABLE
4,Neutral,PredictiveAbstractionGain,0.9434,0.9099,0.8996,0.8922,0.91,0.9,0.8884,ABSTRACTION-BOUNDED
6,Neutral,PredictiveAbstractionGain,0.9394,0.9231,0.8981,0.9051,0.8748,0.8944,0.9193,ABSTRACTION-BOUNDED
8,Neutral,PredictiveAbstractionGain,0.9345,0.9105,0.8962,0.896,0.8771,0.8976,0.8854,ABSTRACTION-BOUNDED
12,Neutral,PredictiveAbstractionGain,0.9305,0.9133,0.8998,0.8974,0.8626,0.8828,0.9,ABSTRACTION-BOUNDED
16,Neutral,PredictiveAbstractionGain,0.9144,0.9077,0.8877,0.8646,0.861,0.8727,0.8675,ABSTRACTION-BOUNDED
20,Neutral,PredictiveAbstractionGain,0.9168,0.8724,0.8626,0.8756,0.8696,0.8505,0.8849,ABSTRACTION-BOUNDED
24,Neutral,PredictiveAbstractionGain,0.8992,0.8686,0.848,0.8659,0.8486,0.8408,0.8707,ABSTRACTION-BOUNDED
32,Neutral,PredictiveAbstractionGain,0.8714,0.8635,0.8388,0.82,0.8169,0.8406,0.8241,ABSTRACTION-BOUNDED
40,Neutral,PredictiveAbstractionGain,0.8432,0.8205,0.8152,0.827,0.7951,0.815,0.8232,ABSTRACTION-BOUNDED
48,Neutral,PredictiveAbstractionGain,0.8461,0.8103,0.8178,0.7853,0.7997,0.7953,0.7956,ABSTRACTION-BOUNDED
64,Neutral,PredictiveAbstractionGain,0.7889,0.7936,0.7722,0.7614,0.7551,0.7726,0.7605,ABSTRACTION-PARTIAL
80,Neutral,PredictiveAbstractionGain,0.7701,0.7447,0.7533,0.7341,0.7328,0.7545,0.7549,ABSTRACTION-PARTIAL
96,Neutral,PredictiveAbstractionGain,0.7302,0.7332,0.7287,0.7264,0.6958,0.7077,0.7166,ABSTRACTION-PARTIAL
128,Neutral,PredictiveAbstractionGain,0.6915,0.6859,0.6657,0.6582,0.6559,0.6614,0.6563,ABSTRACTION-DEGRADING
160,Neutral,PredictiveAbstractionGain,0.6417,0.6272,0.6166,0.628,0.612,0.6264,0.6204,ABSTRACTION-DEGRADING
192,Neutral,PredictiveAbstractionGain,0.6085,0.5996,0.5892,0.5768,0.5768,0.5825,0.5849,ABSTRACTION-DEGRADING
256,Neutral,PredictiveAbstractionGain,0.5499,0.5399,0.522,0.5112,0.5056,0.5262,0.5145,ABSTRACTION-FAILED
320,Neutral,PredictiveAbstractionGain,0.4764,0.4768,0.4665,0.4578,0.4647,0.4645,0.4741,ABSTRACTION-FAILED
512,Neutral,PredictiveAbstractionGain,0.3719,0.3634,0.3656,0.3574,0.3589,0.369,0.3567,ABSTRACTION-FAILED
768,Neutral,PredictiveAbstractionGain,0.2857,0.2816,0.2836,0.272,0.2697,0.2738,0.2818,ABSTRACTION-FAILED
1024,Neutral,PredictiveAbstractionGain,0.2328,0.2322,0.2285,0.2257,0.2196,0.2218,0.2234,ABSTRACTION-FAILED
1536,Neutral,PredictiveAbstractionGain,0.1665,0.1652,0.1669,0.1602,0.1623,0.1624,0.1608,ABSTRACTION-FAILED
2048,Neutral,PredictiveAbstractionGain,0.1333,0.13,0.1297,0.1303,0.1246,0.1279,0.1289,ABSTRACTION-FAILED
3072,Neutral,PredictiveAbstractionGain,0.0947,0.0897,0.0893,0.0912,0.0887,0.09,0.0895,ABSTRACTION-FAILED
4096,Neutral,PredictiveAbstractionGain,0.0718,0.0711,0.0693,0.0682,0.0675,0.0688,0.0686,ABSTRACTION-FAILED
6144,Neutral,PredictiveAbstractionGain,0.05,0.05,0.05,0.05,0.05,0.05,0.05,ABSTRACTION-FAILED
8192,Neutral,PredictiveAbstractionGain,0.05,0.05,0.05,0.05,0.05,0.05,0.05,ABSTRACTION-FAILED
12288,Neutral,PredictiveAbstractionGain,0.05,0.05,0.05,0.05,0.05,0.05,0.05,ABSTRACTION-FAILED
16384,Neutral,PredictiveAbstractionGain,0.05,0.05,0.05,0.05,0.05,0.05,0.05,ABSTRACTION-FAILED
1,Neutral,HigherOrderStabilizationTracking,0.9394,0.9221,0.93,0.9077,0.91,0.9,0.92,ABSTRACTION-STABLE
2,Neutral,HigherOrderStabilizationTracking,0.9549,0.9243,0.9277,0.9152,0.91,0.9,0.9137,ABSTRACTION-STABLE
4,Neutral,HigherOrderStabilizationTracking,0.9484,0.9155,0.9214,0.906,0.9054,0.9,0.92,ABSTRACTION-STABLE
6,Neutral,HigherOrderStabilizationTracking,0.9362,0.9212,0.9094,0.905,0.8832,0.8837,0.92,ABSTRACTION-STABLE
8,Neutral,HigherOrderStabilizationTracking,0.9371,0.9082,0.9163,0.9153,0.9092,0.8724,0.92,ABSTRACTION-STABLE
12,Neutral,HigherOrderStabilizationTracking,0.9288,0.8988,0.8988,0.8944,0.9009,0.8705,0.9179,ABSTRACTION-BOUNDED
16,Neutral,HigherOrderStabilizationTracking,0.9092,0.9112,0.8813,0.8627,0.876,0.851,0.9031,ABSTRACTION-BOUNDED
20,Neutral,HigherOrderStabilizationTracking,0.898,0.8714,0.8719,0.8545,0.8651,0.8579,0.8992,ABSTRACTION-BOUNDED
24,Neutral,HigherOrderStabilizationTracking,0.8823,0.8879,0.8748,0.8497,0.8503,0.8508,0.8675,ABSTRACTION-BOUNDED
32,Neutral,HigherOrderStabilizationTracking,0.8722,0.8634,0.8712,0.8479,0.8502,0.8332,0.8445,ABSTRACTION-BOUNDED
40,Neutral,HigherOrderStabilizationTracking,0.847,0.848,0.8425,0.8315,0.8164,0.824,0.8484,ABSTRACTION-BOUNDED
48,Neutral,HigherOrderStabilizationTracking,0.8377,0.8062,0.8095,0.7984,0.8085,0.8052,0.8284,ABSTRACTION-BOUNDED
64,Neutral,HigherOrderStabilizationTracking,0.7935,0.7821,0.7976,0.7826,0.7772,0.7609,0.8011,ABSTRACTION-PARTIAL
80,Neutral,HigherOrderStabilizationTracking,0.7795,0.7527,0.7691,0.7277,0.7504,0.736,0.7598,ABSTRACTION-PARTIAL
96,Neutral,HigherOrderStabilizationTracking,0.7304,0.7141,0.7298,0.7013,0.7166,0.6956,0.713,ABSTRACTION-PARTIAL
128,Neutral,HigherOrderStabilizationTracking,0.696,0.6757,0.6793,0.6611,0.6582,0.6608,0.6919,ABSTRACTION-DEGRADING
160,Neutral,HigherOrderStabilizationTracking,0.633,0.6418,0.6306,0.6137,0.619,0.6238,0.6402,ABSTRACTION-DEGRADING
