depth,sector,condition,rg_similarity,shock_absorption_index,cascade_suppression,recovery_coherence,redistribution_efficiency,equilibrium_resilience,self_healing_persistence,classification
160,Neutral,RecursiveSelfHealingDynamics,0.1532,0.1558,0.1527,0.1539,0.1501,0.1429,0.1521,RESILIENCE-FAILED
192,Neutral,RecursiveSelfHealingDynamics,0.1359,0.1314,0.1293,0.1269,0.1287,0.1241,0.1319,RESILIENCE-FAILED
256,Neutral,RecursiveSelfHealingDynamics,0.103,0.102,0.0984,0.1004,0.1007,0.0982,0.1005,RESILIENCE-FAILED
320,Neutral,RecursiveSelfHealingDynamics,0.084,0.085,0.0834,0.0825,0.0809,0.0778,0.0815,RESILIENCE-FAILED
1,Neutral,NullResilienceControl,0.6905,0.6952,0.6628,0.6827,0.6721,0.6328,0.6772,RESILIENCE-BOUNDED
2,Neutral,NullResilienceControl,0.6705,0.6686,0.6713,0.6776,0.6446,0.6209,0.6599,RESILIENCE-BOUNDED
4,Neutral,NullResilienceControl,0.6397,0.6279,0.6048,0.6135,0.6064,0.5895,0.6291,RESILIENCE-PARTIAL
6,Neutral,NullResilienceControl,0.6211,0.5849,0.5974,0.6104,0.5582,0.5676,0.5866,RESILIENCE-PARTIAL
8,Neutral,NullResilienceControl,0.5888,0.5609,0.5738,0.5747,0.5444,0.5471,0.5583,RESILIENCE-PARTIAL
12,Neutral,NullResilienceControl,0.5213,0.5157,0.5071,0.5102,0.4994,0.486,0.4904,RESILIENCE-DEGRADING
16,Neutral,NullResilienceControl,0.4927,0.465,0.4634,0.4733,0.4638,0.4427,0.4653,RESILIENCE-DEGRADING
20,Neutral,NullResilienceControl,0.4551,0.4459,0.4315,0.4441,0.4238,0.4076,0.4234,RESILIENCE-DEGRADING
24,Neutral,NullResilienceControl,0.4191,0.417,0.4135,0.4049,0.3817,0.389,0.3887,RESILIENCE-DEGRADING
32,Neutral,NullResilienceControl,0.3711,0.368,0.3569,0.3584,0.3458,0.3405,0.3426,RESILIENCE-FAILED
40,Neutral,NullResilienceControl,0.3277,0.3259,0.3245,0.3124,0.3097,0.294,0.3143,RESILIENCE-FAILED
48,Neutral,NullResilienceControl,0.2933,0.2925,0.2836,0.2968,0.2821,0.281,0.2844,RESILIENCE-FAILED
64,Neutral,NullResilienceControl,0.2375,0.2359,0.2368,0.2428,0.2305,0.227,0.2417,RESILIENCE-FAILED
80,Neutral,NullResilienceControl,0.2076,0.2048,0.2029,0.205,0.202,0.1954,0.2002,RESILIENCE-FAILED
96,Neutral,NullResilienceControl,0.1854,0.1837,0.1778,0.1833,0.1711,0.169,0.1722,RESILIENCE-FAILED
128,Neutral,NullResilienceControl,0.1501,0.1504,0.1475,0.1448,0.1413,0.1384,0.1397,RESILIENCE-FAILED
160,Neutral,NullResilienceControl,0.1253,0.1216,0.1181,0.1239,0.12,0.1172,0.1202,RESILIENCE-FAILED
192,Neutral,NullResilienceControl,0.1079,0.1041,0.1038,0.1049,0.0989,0.1014,0.1011,RESILIENCE-FAILED
256,Neutral,NullResilienceControl,0.0811,0.0824,0.0797,0.0811,0.0802,0.075,0.0797,RESILIENCE-FAILED
320,Neutral,NullResilienceControl,0.069,0.0653,0.0673,0.0657,0.0629,0.0641,0.066,RESILIENCE-FAILED
1,Projection-Antisymmetry,LargeScalePerturbationInjection,0.9107,0.8641,0.8448,0.8425,0.8116,0.8447,0.8267,RESILIENCE-STABLE
2,Projection-Antisymmetry,LargeScalePerturbationInjection,0.8743,0.8587,0.8294,0.8238,0.8122,0.7994,0.8172,RESILIENCE-STABLE
4,Projection-Antisymmetry,LargeScalePerturbationInjection,0.8278,0.7964,0.7757,0.7653,0.7663,0.7731,0.7689,RESILIENCE-STABLE
6,Projection-Antisymmetry,LargeScalePerturbationInjection,0.7804,0.7615,0.7504,0.725,0.7293,0.724,0.7225,RESILIENCE-STABLE
8,Projection-Antisymmetry,LargeScalePerturbationInjection,0.7336,0.7154,0.7161,0.7033,0.6949,0.6702,0.6842,RESILIENCE-BOUNDED
12,Projection-Antisymmetry,LargeScalePerturbationInjection,0.6651,0.6557,0.6463,0.6234,0.6146,0.6217,0.6234,RESILIENCE-PARTIAL
16,Projection-Antisymmetry,LargeScalePerturbationInjection,0.6352,0.6064,0.5879,0.5689,0.5842,0.5692,0.5735,RESILIENCE-PARTIAL
20,Projection-Antisymmetry,LargeScalePerturbationInjection,0.59,0.5511,0.554,0.541,0.5405,0.5441,0.5445,RESILIENCE-PARTIAL
24,Projection-Antisymmetry,LargeScalePerturbationInjection,0.5292,0.5259,0.5118,0.4989,0.4939,0.4833,0.5061,RESILIENCE-DEGRADING
32,Projection-Antisymmetry,LargeScalePerturbationInjection,0.462,0.4502,0.4512,0.4359,0.4277,0.4398,0.4399,RESILIENCE-DEGRADING
40,Projection-Antisymmetry,LargeScalePerturbationInjection,0.4122,0.405,0.4046,0.3855,0.3965,0.3872,0.384,RESILIENCE-DEGRADING
48,Projection-Antisymmetry,LargeScalePerturbationInjection,0.38,0.3617,0.3568,0.3577,0.3525,0.3461,0.3541,RESILIENCE-FAILED
64,Projection-Antisymmetry,LargeScalePerturbationInjection,0.3139,0.3114,0.2959,0.2996,0.2927,0.2965,0.2955,RESILIENCE-FAILED
80,Projection-Antisymmetry,LargeScalePerturbationInjection,0.2752,0.258,0.2603,0.2522,0.2472,0.2531,0.2499,RESILIENCE-FAILED
96,Projection-Antisymmetry,LargeScalePerturbationInjection,0.2421,0.235,0.227,0.2248,0.2168,0.2153,0.2227,RESILIENCE-FAILED
128,Projection-Antisymmetry,LargeScalePerturbationInjection,0.1904,0.1842,0.1835,0.179,0.1721,0.1794,0.1827,RESILIENCE-FAILED
160,Projection-Antisymmetry,LargeScalePerturbationInjection,0.1616,0.1555,0.154,0.1474,0.144,0.1451,0.1506,RESILIENCE-FAILED
192,Projection-Antisymmetry,LargeScalePerturbationInjection,0.1385,0.1325,0.1333,0.1276,0.126,0.1248,0.1269,RESILIENCE-FAILED
256,Projection-Antisymmetry,LargeScalePerturbationInjection,0.1087,0.1046,0.102,0.0991,0.0986,0.0997,0.0986,RESILIENCE-FAILED
320,Projection-Antisymmetry,LargeScalePerturbationInjection,0.0882,0.085,0.083,0.0821,0.0811,0.0797,0.0801,RESILIENCE-FAILED
1,Projection-Antisymmetry,CascadePropagationAnalysis,0.8975,0.8386,0.8665,0.8447,0.8355,0.8188,0.831,RESILIENCE-STABLE
2,Projection-Antisymmetry,CascadePropagationAnalysis,0.8758,0.8423,0.8393,0.8382,0.8167,0.821,0.7956,RESILIENCE-STABLE
4,Projection-Antisymmetry,CascadePropagationAnalysis,0.8369,0.7817,0.8004,0.772,0.7655,0.7523,0.7837,RESILIENCE-STABLE
6,Projection-Antisymmetry,CascadePropagationAnalysis,0.7703,0.7473,0.7698,0.7283,0.7383,0.7366,0.715,RESILIENCE-BOUNDED
8,Projection-Antisymmetry,CascadePropagationAnalysis,0.7416,0.7214,0.7051,0.709,0.7011,0.6763,0.6786,RESILIENCE-BOUNDED
12,Projection-Antisymmetry,CascadePropagationAnalysis,0.6846,0.6518,0.6533,0.6286,0.6337,0.6209,0.627,RESILIENCE-BOUNDED
16,Projection-Antisymmetry,CascadePropagationAnalysis,0.6239,0.6088,0.5937,0.5782,0.5819,0.5832,0.5788,RESILIENCE-PARTIAL
20,Projection-Antisymmetry,CascadePropagationAnalysis,0.5667,0.5445,0.5622,0.5435,0.5443,0.5222,0.5272,RESILIENCE-DEGRADING
24,Projection-Antisymmetry,CascadePropagationAnalysis,0.5365,0.5133,0.5149,0.4984,0.5003,0.4892,0.5089,RESILIENCE-DEGRADING
32,Projection-Antisymmetry,CascadePropagationAnalysis,0.4775,0.4454,0.4588,0.4462,0.4306,0.4435,0.4321,RESILIENCE-DEGRADING
40,Projection-Antisymmetry,CascadePropagationAnalysis,0.4197,0.407,0.4063,0.3914,0.3897,0.3956,0.3971,RESILIENCE-DEGRADING
48,Projection-Antisymmetry,CascadePropagationAnalysis,0.3697,0.3602,0.3647,0.3656,0.3551,0.342,0.3578,RESILIENCE-FAILED
64,Projection-Antisymmetry,CascadePropagationAnalysis,0.3087,0.3042,0.3016,0.3033,0.2944,0.2964,0.2907,RESILIENCE-FAILED
80,Projection-Antisymmetry,CascadePropagationAnalysis,0.2764,0.2595,0.2648,0.2613,0.245,0.2462,0.2537,RESILIENCE-FAILED
96,Projection-Antisymmetry,CascadePropagationAnalysis,0.2356,0.2332,0.2333,0.2248,0.2177,0.2226,0.2178,RESILIENCE-FAILED
128,Projection-Antisymmetry,CascadePropagationAnalysis,0.1887,0.181,0.1824,0.1828,0.1795,0.1795,0.1754,RESILIENCE-FAILED
160,Projection-Antisymmetry,CascadePropagationAnalysis,0.1613,0.1538,0.1545,0.1532,0.1455,0.1476,0.1507,RESILIENCE-FAILED
192,Projection-Antisymmetry,CascadePropagationAnalysis,0.1385,0.1324,0.1328,0.1309,0.1244,0.1235,0.1264,RESILIENCE-FAILED
256,Projection-Antisymmetry,CascadePropagationAnalysis,0.105,0.1041,0.1012,0.0991,0.0978,0.0991,0.0979,RESILIENCE-FAILED
320,Projection-Antisymmetry,CascadePropagationAnalysis,0.0878,0.0824,0.0845,0.0828,0.0788,0.0825,0.0802,RESILIENCE-FAILED
1,Projection-Antisymmetry,EquilibriumRecoveryTracking,0.9016,0.871,0.8295,0.8631,0.8193,0.8269,0.8291,RESILIENCE-STABLE
2,Projection-Antisymmetry,EquilibriumRecoveryTracking,0.8842,0.8529,0.8272,0.8507,0.8203,0.8156,0.8124,RESILIENCE-STABLE
4,Projection-Antisymmetry,EquilibriumRecoveryTracking,0.8113,0.7822,0.7797,0.7847,0.7505,0.752,0.7817,RESILIENCE-STABLE
6,Projection-Antisymmetry,EquilibriumRecoveryTracking,0.7786,0.7476,0.7347,0.7312,0.728,0.7371,0.7415,RESILIENCE-BOUNDED
8,Projection-Antisymmetry,EquilibriumRecoveryTracking,0.7385,0.7054,0.6908,0.7183,0.68,0.6872,0.7002,RESILIENCE-BOUNDED
12,Projection-Antisymmetry,EquilibriumRecoveryTracking,0.6761,0.6624,0.6422,0.6584,0.6299,0.6244,0.6474,RESILIENCE-PARTIAL
16,Projection-Antisymmetry,EquilibriumRecoveryTracking,0.6205,0.5946,0.5785,0.5971,0.5745,0.5828,0.5777,RESILIENCE-PARTIAL
20,Projection-Antisymmetry,EquilibriumRecoveryTracking,0.5797,0.5581,0.5493,0.5389,0.5319,0.5317,0.5381,RESILIENCE-DEGRADING
24,Projection-Antisymmetry,EquilibriumRecoveryTracking,0.5393,0.5102,0.5044,0.5112,0.4895,0.5,0.5018,RESILIENCE-DEGRADING
32,Projection-Antisymmetry,EquilibriumRecoveryTracking,0.4708,0.4654,0.4466,0.4437,0.443,0.4442,0.4465,RESILIENCE-DEGRADING
40,Projection-Antisymmetry,EquilibriumRecoveryTracking,0.4143,0.4122,0.3926,0.3942,0.399,0.3866,0.3881,RESILIENCE-DEGRADING
48,Projection-Antisymmetry,EquilibriumRecoveryTracking,0.3759,0.3647,0.364,0.3552,0.3502,0.351,0.364,RESILIENCE-FAILED
64,Projection-Antisymmetry,EquilibriumRecoveryTracking,0.3136,0.3124,0.3004,0.2963,0.2958,0.2931,0.3019,RESILIENCE-FAILED
80,Projection-Antisymmetry,EquilibriumRecoveryTracking,0.2719,0.2633,0.2544,0.2582,0.2514,0.2536,0.2548,RESILIENCE-FAILED
96,Projection-Antisymmetry,EquilibriumRecoveryTracking,0.2355,0.2322,0.2267,0.2293,0.224,0.2218,0.2273,RESILIENCE-FAILED
128,Projection-Antisymmetry,EquilibriumRecoveryTracking,0.1901,0.1813,0.1798,0.1835,0.1758,0.1762,0.1847,RESILIENCE-FAILED
160,Projection-Antisymmetry,EquilibriumRecoveryTracking,0.1577,0.1554,0.1536,0.1554,0.15,0.1461,0.1494,RESILIENCE-FAILED
192,Projection-Antisymmetry,EquilibriumRecoveryTracking,0.1375,0.1307,0.1267,0.1283,0.1258,0.1247,0.1283,RESILIENCE-FAILED
256,Projection-Antisymmetry,EquilibriumRecoveryTracking,0.1076,0.1008,0.1007,0.1034,0.0986,0.0997,0.0991,RESILIENCE-FAILED
320,Projection-Antisymmetry,EquilibriumRecoveryTracking,0.0897,0.0829,0.0839,0.0854,0.0813,0.0823,0.0811,RESILIENCE-FAILED
1,Projection-Antisymmetry,AdaptiveRedistributionResponse,0.9039,0.8788,0.8696,0.8372,0.8635,0.8048,0.8288,RESILIENCE-STABLE
2,Projection-Antisymmetry,AdaptiveRedistributionResponse,0.8465,0.8413,0.817,0.8288,0.8348,0.8005,0.808,RESILIENCE-STABLE
4,Projection-Antisymmetry,AdaptiveRedistributionResponse,0.8254,0.7897,0.7942,0.7613,0.7863,0.7339,0.7644,RESILIENCE-STABLE
6,Projection-Antisymmetry,AdaptiveRedistributionResponse,0.7873,0.7714,0.7605,0.7387,0.7332,0.7139,0.7344,RESILIENCE-STABLE
8,Projection-Antisymmetry,AdaptiveRedistributionResponse,0.7396,0.7081,0.7268,0.7023,0.6965,0.6714,0.7031,RESILIENCE-BOUNDED
12,Projection-Antisymmetry,AdaptiveRedistributionResponse,0.6612,0.6681,0.6582,0.623,0.6421,0.6325,0.6346,RESILIENCE-BOUNDED
16,Projection-Antisymmetry,AdaptiveRedistributionResponse,0.63,0.6108,0.5899,0.5801,0.5954,0.5645,0.5785,RESILIENCE-PARTIAL
20,Projection-Antisymmetry,AdaptiveRedistributionResponse,0.559,0.5701,0.5593,0.5272,0.5577,0.5302,0.5366,RESILIENCE-PARTIAL
24,Projection-Antisymmetry,AdaptiveRedistributionResponse,0.5398,0.5129,0.5207,0.513,0.5144,0.494,0.4998,RESILIENCE-DEGRADING
32,Projection-Antisymmetry,AdaptiveRedistributionResponse,0.4729,0.4594,0.4527,0.437,0.4551,0.4316,0.4376,RESILIENCE-DEGRADING
40,Projection-Antisymmetry,AdaptiveRedistributionResponse,0.4129,0.4104,0.4021,0.3832,0.4015,0.374,0.3918,RESILIENCE-DEGRADING
48,Projection-Antisymmetry,AdaptiveRedistributionResponse,0.3788,0.3681,0.3538,0.3486,0.3623,0.3405,0.3547,RESILIENCE-FAILED
64,Projection-Antisymmetry,AdaptiveRedistributionResponse,0.3111,0.2992,0.3013,0.2891,0.2946,0.2886,0.3004,RESILIENCE-FAILED
80,Projection-Antisymmetry,AdaptiveRedistributionResponse,0.2709,0.2636,0.2546,0.2593,0.2625,0.2507,0.2577,RESILIENCE-FAILED
96,Projection-Antisymmetry,AdaptiveRedistributionResponse,0.2321,0.2314,0.2305,0.2237,0.2265,0.222,0.2231,RESILIENCE-FAILED
128,Projection-Antisymmetry,AdaptiveRedistributionResponse,0.1866,0.183,0.1814,0.1792,0.1843,0.1761,0.1756,RESILIENCE-FAILED
160,Projection-Antisymmetry,AdaptiveRedistributionResponse,0.1598,0.1563,0.151,0.1501,0.1525,0.1444,0.1499,RESILIENCE-FAILED
192,Projection-Antisymmetry,AdaptiveRedistributionResponse,0.1329,0.1328,0.1338,0.128,0.1305,0.1221,0.1273,RESILIENCE-FAILED
256,Projection-Antisymmetry,AdaptiveRedistributionResponse,0.1068,0.1013,0.104,0.0985,0.1008,0.0962,0.099,RESILIENCE-FAILED
320,Projection-Antisymmetry,AdaptiveRedistributionResponse,0.0883,0.0835,0.082,0.0801,0.0831,0.0815,0.0805,RESILIENCE-FAILED
1,Projection-Antisymmetry,ShockAbsorptionBasinMapping,0.8853,0.8615,0.8393,0.8486,0.8168,0.814,0.8276,RESILIENCE-STABLE
2,Projection-Antisymmetry,ShockAbsorptionBasinMapping,0.8436,0.8532,0.8251,0.8252,0.7858,0.7933,0.8146,RESILIENCE-STABLE
4,Projection-Antisymmetry,ShockAbsorptionBasinMapping,0.8163,0.8105,0.7784,0.7792,0.7507,0.7544,0.7615,RESILIENCE-STABLE
6,Projection-Antisymmetry,ShockAbsorptionBasinMapping,0.777,0.7581,0.7225,0.7319,0.714,0.718,0.7161,RESILIENCE-BOUNDED
8,Projection-Antisymmetry,ShockAbsorptionBasinMapping,0.7241,0.7253,0.6905,0.6986,0.6819,0.6855,0.6914,RESILIENCE-BOUNDED
12,Projection-Antisymmetry,ShockAbsorptionBasinMapping,0.6705,0.6609,0.6294,0.6281,0.6305,0.615,0.6375,RESILIENCE-PARTIAL
16,Projection-Antisymmetry,ShockAbsorptionBasinMapping,0.6151,0.6159,0.5885,0.5884,0.5793,0.5616,0.5805,RESILIENCE-PARTIAL
20,Projection-Antisymmetry,ShockAbsorptionBasinMapping,0.567,0.5696,0.5386,0.5329,0.526,0.533,0.5368,RESILIENCE-DEGRADING
24,Projection-Antisymmetry,ShockAbsorptionBasinMapping,0.5286,0.531,0.5086,0.4989,0.5024,0.5038,0.4979,RESILIENCE-DEGRADING
32,Projection-Antisymmetry,ShockAbsorptionBasinMapping,0.4612,0.4568,0.445,0.4493,0.4401,0.4415,0.4474,RESILIENCE-DEGRADING
40,Projection-Antisymmetry,ShockAbsorptionBasinMapping,0.4073,0.4198,0.3874,0.4002,0.3795,0.3836,0.3885,RESILIENCE-DEGRADING
48,Projection-Antisymmetry,ShockAbsorptionBasinMapping,0.3779,0.3754,0.3507,0.3487,0.351,0.3516,0.3543,RESILIENCE-FAILED
64,Projection-Antisymmetry,ShockAbsorptionBasinMapping,0.3149,0.3155,0.3027,0.2918,0.2966,0.2896,0.3003,RESILIENCE-FAILED
80,Projection-Antisymmetry,ShockAbsorptionBasinMapping,0.2653,0.2616,0.2619,0.2532,0.2486,0.2493,0.2565,RESILIENCE-FAILED
96,Projection-Antisymmetry,ShockAbsorptionBasinMapping,0.2391,0.2312,0.2208,0.2232,0.2165,0.2159,0.2178,RESILIENCE-FAILED
128,Projection-Antisymmetry,ShockAbsorptionBasinMapping,0.1875,0.186,0.1768,0.1822,0.1752,0.1791,0.1783,RESILIENCE-FAILED
160,Projection-Antisymmetry,ShockAbsorptionBasinMapping,0.1599,0.1548,0.1491,0.1454,0.1501,0.1503,0.1457,RESILIENCE-FAILED
192,Projection-Antisymmetry,ShockAbsorptionBasinMapping,0.1335,0.1349,0.1268,0.1249,0.1243,0.127,0.1294,RESILIENCE-FAILED
256,Projection-Antisymmetry,ShockAbsorptionBasinMapping,0.1032,0.1059,0.1023,0.1017,0.0969,0.1001,0.1016,RESILIENCE-FAILED
320,Projection-Antisymmetry,ShockAbsorptionBasinMapping,0.0867,0.0836,0.0814,0.083,0.0811,0.0812,0.082,RESILIENCE-FAILED
1,Projection-Antisymmetry,RecursiveSelfHealingDynamics,0.8717,0.852,0.8587,0.8472,0.8092,0.8346,0.8754,RESILIENCE-STABLE
2,Projection-Antisymmetry,RecursiveSelfHealingDynamics,0.8399,0.8452,0.8282,0.8332,0.7971,0.7816,0.8317,RESILIENCE-STABLE
4,Projection-Antisymmetry,RecursiveSelfHealingDynamics,0.8124,0.7845,0.7822,0.7893,0.7765,0.7572,0.7953,RESILIENCE-STABLE
6,Projection-Antisymmetry,RecursiveSelfHealingDynamics,0.7568,0.7429,0.7496,0.733,0.7249,0.708,0.741,RESILIENCE-BOUNDED
8,Projection-Antisymmetry,RecursiveSelfHealingDynamics,0.7236,0.7278,0.7137,0.7059,0.6767,0.6681,0.7097,RESILIENCE-BOUNDED
12,Projection-Antisymmetry,RecursiveSelfHealingDynamics,0.6689,0.6535,0.6356,0.6359,0.6348,0.6298,0.6586,RESILIENCE-PARTIAL
16,Projection-Antisymmetry,RecursiveSelfHealingDynamics,0.623,0.6016,0.586,0.6004,0.5873,0.5734,0.5957,RESILIENCE-PARTIAL
20,Projection-Antisymmetry,RecursiveSelfHealingDynamics,0.5663,0.5597,0.5521,0.5354,0.5214,0.5132,0.558,RESILIENCE-PARTIAL
24,Projection-Antisymmetry,RecursiveSelfHealingDynamics,0.5287,0.5112,0.5038,0.5121,0.4941,0.48,0.5195,RESILIENCE-DEGRADING
32,Projection-Antisymmetry,RecursiveSelfHealingDynamics,0.4578,0.4607,0.4479,0.4467,0.442,0.4378,0.448,RESILIENCE-DEGRADING
40,Projection-Antisymmetry,RecursiveSelfHealingDynamics,0.4196,0.3953,0.3957,0.3884,0.3947,0.3761,0.4065,RESILIENCE-FAILED
48,Projection-Antisymmetry,RecursiveSelfHealingDynamics,0.3717,0.3585,0.3497,0.3544,0.3562,0.348,0.3659,RESILIENCE-FAILED
64,Projection-Antisymmetry,RecursiveSelfHealingDynamics,0.3086,0.3075,0.2969,0.2955,0.2852,0.2817,0.2976,RESILIENCE-FAILED
80,Projection-Antisymmetry,RecursiveSelfHealingDynamics,0.2698,0.2659,0.2581,0.2624,0.2475,0.2466,0.2583,RESILIENCE-FAILED
96,Projection-Antisymmetry,RecursiveSelfHealingDynamics,0.2328,0.228,0.2256,0.2303,0.216,0.2176,0.2288,RESILIENCE-FAILED
128,Projection-Antisymmetry,RecursiveSelfHealingDynamics,0.189,0.1868,0.1779,0.1823,0.1803,0.1737,0.1856,RESILIENCE-FAILED
160,Projection-Antisymmetry,RecursiveSelfHealingDynamics,0.1561,0.1516,0.1492,0.154,0.1479,0.1425,0.1529,RESILIENCE-FAILED
192,Projection-Antisymmetry,RecursiveSelfHealingDynamics,0.1313,0.1316,0.1275,0.1303,0.1293,0.1232,0.1291,RESILIENCE-FAILED
256,Projection-Antisymmetry,RecursiveSelfHealingDynamics,0.1034,0.104,0.1018,0.0994,0.0994,0.0986,0.1039,RESILIENCE-FAILED
320,Projection-Antisymmetry,RecursiveSelfHealingDynamics,0.0844,0.0834,0.0816,0.0822,0.0808,0.0781,0.0816,RESILIENCE-FAILED
1,Projection-Antisymmetry,NullResilienceControl,0.6936,0.6736,0.6941,0.6823,0.6534,0.6452,0.6821,RESILIENCE-BOUNDED
2,Projection-Antisymmetry,NullResilienceControl,0.6599,0.6749,0.6442,0.6517,0.6215,0.6279,0.6492,RESILIENCE-PARTIAL
4,Projection-Antisymmetry,NullResilienceControl,0.6502,0.6185,0.6277,0.6412,0.608,0.5774,0.6062,RESILIENCE-PARTIAL
6,Projection-Antisymmetry,NullResilienceControl,0.5926,0.5926,0.5892,0.601,0.587,0.5729,0.5786,RESILIENCE-PARTIAL
8,Projection-Antisymmetry,NullResilienceControl,0.5686,0.5686,0.5618,0.5798,0.5466,0.534,0.5379,RESILIENCE-PARTIAL
12,Projection-Antisymmetry,NullResilienceControl,0.517,0.5252,0.5265,0.5171,0.4882,0.4941,0.5123,RESILIENCE-DEGRADING
16,Projection-Antisymmetry,NullResilienceControl,0.4878,0.4862,0.4821,0.4674,0.462,0.4441,0.473,RESILIENCE-DEGRADING
20,Projection-Antisymmetry,NullResilienceControl,0.4482,0.4322,0.4272,0.4434,0.4207,0.4135,0.4219,RESILIENCE-DEGRADING
24,Projection-Antisymmetry,NullResilienceControl,0.4042,0.4179,0.3936,0.4081,0.3822,0.3767,0.4056,RESILIENCE-DEGRADING
32,Projection-Antisymmetry,NullResilienceControl,0.3664,0.3646,0.3557,0.3601,0.3532,0.3357,0.341,RESILIENCE-FAILED
40,Projection-Antisymmetry,NullResilienceControl,0.3264,0.3203,0.3234,0.3298,0.3008,0.2939,0.3117,RESILIENCE-FAILED
48,Projection-Antisymmetry,NullResilienceControl,0.2841,0.2833,0.2829,0.2934,0.275,0.2741,0.2737,RESILIENCE-FAILED
64,Projection-Antisymmetry,NullResilienceControl,0.2403,0.2469,0.2443,0.2466,0.2285,0.2332,0.2331,RESILIENCE-FAILED
80,Projection-Antisymmetry,NullResilienceControl,0.2117,0.2118,0.2083,0.2119,0.1982,0.1937,0.2011,RESILIENCE-FAILED
96,Projection-Antisymmetry,NullResilienceControl,0.1884,0.1818,0.1765,0.1838,0.1696,0.169,0.1811,RESILIENCE-FAILED
128,Projection-Antisymmetry,NullResilienceControl,0.1511,0.1477,0.1452,0.1452,0.1425,0.1418,0.1447,RESILIENCE-FAILED
160,Projection-Antisymmetry,NullResilienceControl,0.1259,0.123,0.119,0.1218,0.1174,0.116,0.1203,RESILIENCE-FAILED
192,Projection-Antisymmetry,NullResilienceControl,0.1041,0.1019,0.1058,0.1021,0.1033,0.0971,0.1029,RESILIENCE-FAILED
256,Projection-Antisymmetry,NullResilienceControl,0.0841,0.0819,0.0789,0.0812,0.0764,0.0753,0.0803,RESILIENCE-FAILED
320,Projection-Antisymmetry,NullResilienceControl,0.069,0.0657,0.0649,0.0652,0.0634,0.0646,0.066,RESILIENCE-FAILED
1,Projection-Neutral,LargeScalePerturbationInjection,0.8928,0.8683,0.8648,0.8211,0.8088,0.8373,0.8467,RESILIENCE-STABLE
2,Projection-Neutral,LargeScalePerturbationInjection,0.8839,0.857,0.8423,0.8177,0.8068,0.7885,0.7934,RESILIENCE-STABLE
4,Projection-Neutral,LargeScalePerturbationInjection,0.8213,0.803,0.7805,0.7555,0.764,0.7657,0.7838,RESILIENCE-STABLE
6,Projection-Neutral,LargeScalePerturbationInjection,0.7964,0.7608,0.7519,0.7459,0.7384,0.7178,0.7196,RESILIENCE-STABLE
8,Projection-Neutral,LargeScalePerturbationInjection,0.734,0.7235,0.7245,0.6948,0.7022,0.6806,0.6949,RESILIENCE-BOUNDED
12,Projection-Neutral,LargeScalePerturbationInjection,0.6668,0.6436,0.6341,0.6203,0.6282,0.6161,0.6211,RESILIENCE-PARTIAL
16,Projection-Neutral,LargeScalePerturbationInjection,0.6374,0.5899,0.5862,0.5824,0.5851,0.587,0.57,RESILIENCE-PARTIAL
20,Projection-Neutral,LargeScalePerturbationInjection,0.5807,0.552,0.5557,0.5324,0.528,0.5336,0.5388,RESILIENCE-PARTIAL
24,Projection-Neutral,LargeScalePerturbationInjection,0.5353,0.5175,0.5221,0.5074,0.5045,0.4866,0.5082,RESILIENCE-DEGRADING
32,Projection-Neutral,LargeScalePerturbationInjection,0.4669,0.4585,0.4406,0.4348,0.4325,0.443,0.4503,RESILIENCE-DEGRADING
40,Projection-Neutral,LargeScalePerturbationInjection,0.4284,0.4119,0.3965,0.3894,0.3842,0.3831,0.3879,RESILIENCE-DEGRADING
48,Projection-Neutral,LargeScalePerturbationInjection,0.3781,0.3626,0.3541,0.3532,0.3453,0.3521,0.3535,RESILIENCE-FAILED
64,Projection-Neutral,LargeScalePerturbationInjection,0.3207,0.3044,0.2969,0.2936,0.297,0.2924,0.2887,RESILIENCE-FAILED
80,Projection-Neutral,LargeScalePerturbationInjection,0.2672,0.2615,0.2614,0.2549,0.248,0.2538,0.2502,RESILIENCE-FAILED
96,Projection-Neutral,LargeScalePerturbationInjection,0.238,0.2336,0.2281,0.2235,0.2213,0.2231,0.2275,RESILIENCE-FAILED
128,Projection-Neutral,LargeScalePerturbationInjection,0.1891,0.1821,0.1867,0.1808,0.1724,0.1792,0.1781,RESILIENCE-FAILED
160,Projection-Neutral,LargeScalePerturbationInjection,0.1577,0.1513,0.155,0.1511,0.1469,0.1501,0.1487,RESILIENCE-FAILED
192,Projection-Neutral,LargeScalePerturbationInjection,0.1373,0.1302,0.1312,0.126,0.1288,0.1264,0.1248,RESILIENCE-FAILED
256,Projection-Neutral,LargeScalePerturbationInjection,0.1071,0.1026,0.1039,0.1,0.099,0.0964,0.1005,RESILIENCE-FAILED
320,Projection-Neutral,LargeScalePerturbationInjection,0.089,0.0831,0.0831,0.0808,0.0809,0.0818,0.0822,RESILIENCE-FAILED
1,Projection-Neutral,CascadePropagationAnalysis,0.8747,0.8603,0.8754,0.8421,0.8232,0.8059,0.854,RESILIENCE-STABLE
2,Projection-Neutral,CascadePropagationAnalysis,0.8844,0.8211,0.8584,0.8373,0.8172,0.7839,0.7973,RESILIENCE-STABLE
4,Projection-Neutral,CascadePropagationAnalysis,0.8147,0.7728,0.7795,0.7929,0.7712,0.7776,0.773,RESILIENCE-STABLE
