depth,sector,condition,rg_similarity,invariant_class_stability,motif_persistence,cross_operator_similarity,recursive_relational_coherence,collapse_path_dependence,invariant_survival_rate,classification
40,Projection-Neutral,RelationalMotifExtraction,0.2664,0.2606,0.2509,0.2567,0.2405,0.2288,0.2388,RELATIONAL-FAILED
48,Projection-Neutral,RelationalMotifExtraction,0.23,0.2293,0.2209,0.2219,0.2061,0.2079,0.2127,RELATIONAL-FAILED
64,Projection-Neutral,RelationalMotifExtraction,0.1859,0.1824,0.1716,0.1799,0.1715,0.1619,0.1701,RELATIONAL-FAILED
80,Projection-Neutral,RelationalMotifExtraction,0.159,0.1485,0.148,0.1504,0.1429,0.1351,0.1459,RELATIONAL-FAILED
1,Projection-Neutral,InvariantClassClustering,0.8371,0.7967,0.7925,0.7809,0.7815,0.7371,0.7842,INVARIANT-CLASS
2,Projection-Neutral,InvariantClassClustering,0.7788,0.7734,0.7363,0.7475,0.7324,0.7051,0.7406,RELATIONAL-STABLE
4,Projection-Neutral,InvariantClassClustering,0.7223,0.7011,0.6631,0.6738,0.6412,0.632,0.6496,RELATIONAL-PARTIAL
6,Projection-Neutral,InvariantClassClustering,0.6438,0.6553,0.6031,0.613,0.6046,0.5704,0.6187,RELATIONAL-PARTIAL
8,Projection-Neutral,InvariantClassClustering,0.6096,0.5949,0.5528,0.572,0.5627,0.5341,0.5608,RELATIONAL-PARTIAL
12,Projection-Neutral,InvariantClassClustering,0.509,0.5054,0.4991,0.4824,0.47,0.4696,0.4938,RELATIONAL-DEGRADING
16,Projection-Neutral,InvariantClassClustering,0.4603,0.4423,0.4207,0.4244,0.4113,0.4033,0.4242,RELATIONAL-DEGRADING
20,Projection-Neutral,InvariantClassClustering,0.41,0.4006,0.3879,0.388,0.3726,0.3565,0.3872,RELATIONAL-DEGRADING
24,Projection-Neutral,InvariantClassClustering,0.3677,0.3601,0.3415,0.3381,0.339,0.3319,0.3399,RELATIONAL-FAILED
32,Projection-Neutral,InvariantClassClustering,0.3154,0.3042,0.2839,0.2899,0.2785,0.2811,0.2817,RELATIONAL-FAILED
40,Projection-Neutral,InvariantClassClustering,0.2646,0.2637,0.2511,0.251,0.2463,0.2372,0.2452,RELATIONAL-FAILED
48,Projection-Neutral,InvariantClassClustering,0.2352,0.2244,0.2204,0.2224,0.2091,0.2029,0.2172,RELATIONAL-FAILED
64,Projection-Neutral,InvariantClassClustering,0.1909,0.181,0.179,0.174,0.1671,0.1673,0.1767,RELATIONAL-FAILED
80,Projection-Neutral,InvariantClassClustering,0.1571,0.1532,0.1437,0.1483,0.1433,0.1404,0.1479,RELATIONAL-FAILED
1,Projection-Neutral,OperatorIndependentPattern,0.8321,0.8213,0.7849,0.8202,0.7723,0.7471,0.7579,INVARIANT-CLASS
2,Projection-Neutral,OperatorIndependentPattern,0.7863,0.7714,0.7549,0.7813,0.7208,0.706,0.7165,RELATIONAL-STABLE
4,Projection-Neutral,OperatorIndependentPattern,0.7326,0.702,0.6844,0.6772,0.6444,0.6563,0.6822,RELATIONAL-STABLE
6,Projection-Neutral,OperatorIndependentPattern,0.6724,0.6521,0.6318,0.6416,0.5864,0.5712,0.6032,RELATIONAL-PARTIAL
8,Projection-Neutral,OperatorIndependentPattern,0.6131,0.5786,0.5564,0.5768,0.5386,0.5245,0.5558,RELATIONAL-PARTIAL
12,Projection-Neutral,OperatorIndependentPattern,0.5307,0.5178,0.4984,0.508,0.4869,0.4709,0.4934,RELATIONAL-DEGRADING
16,Projection-Neutral,OperatorIndependentPattern,0.454,0.4548,0.4307,0.434,0.409,0.4132,0.4334,RELATIONAL-DEGRADING
20,Projection-Neutral,OperatorIndependentPattern,0.419,0.3992,0.379,0.4016,0.3657,0.3698,0.3802,RELATIONAL-FAILED
24,Projection-Neutral,OperatorIndependentPattern,0.3753,0.3674,0.3416,0.3507,0.3467,0.334,0.3353,RELATIONAL-FAILED
32,Projection-Neutral,OperatorIndependentPattern,0.3163,0.2968,0.288,0.3021,0.281,0.271,0.286,RELATIONAL-FAILED
40,Projection-Neutral,OperatorIndependentPattern,0.2713,0.2563,0.2507,0.2537,0.2446,0.2385,0.249,RELATIONAL-FAILED
48,Projection-Neutral,OperatorIndependentPattern,0.2351,0.2247,0.2168,0.2211,0.2142,0.204,0.2111,RELATIONAL-FAILED
64,Projection-Neutral,OperatorIndependentPattern,0.1902,0.1852,0.1757,0.1794,0.1707,0.1698,0.1771,RELATIONAL-FAILED
80,Projection-Neutral,OperatorIndependentPattern,0.1587,0.1521,0.1506,0.1542,0.1439,0.1424,0.1425,RELATIONAL-FAILED
1,Projection-Neutral,RecursiveMotifPersistence,0.8118,0.7977,0.8135,0.7898,0.7574,0.7549,0.7503,INVARIANT-CLASS
2,Projection-Neutral,RecursiveMotifPersistence,0.7865,0.7584,0.7447,0.7332,0.7402,0.7062,0.7436,RELATIONAL-STABLE
4,Projection-Neutral,RecursiveMotifPersistence,0.6984,0.6668,0.6747,0.6574,0.654,0.6206,0.6531,RELATIONAL-STABLE
6,Projection-Neutral,RecursiveMotifPersistence,0.6593,0.6154,0.6341,0.6081,0.6096,0.5814,0.5977,RELATIONAL-PARTIAL
8,Projection-Neutral,RecursiveMotifPersistence,0.6058,0.5626,0.5742,0.5492,0.5655,0.5237,0.5616,RELATIONAL-DEGRADING
12,Projection-Neutral,RecursiveMotifPersistence,0.5076,0.4992,0.494,0.4904,0.4764,0.4622,0.4867,RELATIONAL-DEGRADING
16,Projection-Neutral,RecursiveMotifPersistence,0.4514,0.4418,0.4458,0.421,0.4301,0.3992,0.4096,RELATIONAL-DEGRADING
20,Projection-Neutral,RecursiveMotifPersistence,0.3977,0.3862,0.3851,0.3768,0.3762,0.3593,0.379,RELATIONAL-FAILED
24,Projection-Neutral,RecursiveMotifPersistence,0.3708,0.3516,0.3555,0.3509,0.3402,0.3183,0.3344,RELATIONAL-FAILED
32,Projection-Neutral,RecursiveMotifPersistence,0.3046,0.2877,0.2984,0.2917,0.2936,0.2672,0.2847,RELATIONAL-FAILED
40,Projection-Neutral,RecursiveMotifPersistence,0.2686,0.2549,0.2546,0.246,0.2414,0.2391,0.2426,RELATIONAL-FAILED
48,Projection-Neutral,RecursiveMotifPersistence,0.2315,0.218,0.2237,0.2115,0.2179,0.2061,0.2181,RELATIONAL-FAILED
64,Projection-Neutral,RecursiveMotifPersistence,0.1838,0.1797,0.1807,0.1718,0.1719,0.1642,0.1694,RELATIONAL-FAILED
80,Projection-Neutral,RecursiveMotifPersistence,0.1555,0.1482,0.1474,0.1473,0.1472,0.1347,0.146,RELATIONAL-FAILED
1,Projection-Neutral,PerturbationSurvivalTesting,0.8283,0.7965,0.7867,0.7881,0.7495,0.7645,0.7369,RELATIONAL-STABLE
2,Projection-Neutral,PerturbationSurvivalTesting,0.7946,0.7468,0.7374,0.7327,0.7261,0.7121,0.7237,RELATIONAL-STABLE
4,Projection-Neutral,PerturbationSurvivalTesting,0.6949,0.6793,0.6779,0.6584,0.6561,0.6603,0.6534,RELATIONAL-STABLE
6,Projection-Neutral,PerturbationSurvivalTesting,0.6339,0.6204,0.6228,0.6216,0.5772,0.6027,0.6045,RELATIONAL-PARTIAL
8,Projection-Neutral,PerturbationSurvivalTesting,0.6041,0.5696,0.5591,0.5565,0.5357,0.5513,0.5349,RELATIONAL-DEGRADING
12,Projection-Neutral,PerturbationSurvivalTesting,0.5012,0.4927,0.4827,0.4836,0.4653,0.4673,0.4665,RELATIONAL-DEGRADING
16,Projection-Neutral,PerturbationSurvivalTesting,0.442,0.4272,0.4286,0.4358,0.4078,0.4184,0.4059,RELATIONAL-DEGRADING
20,Projection-Neutral,PerturbationSurvivalTesting,0.4007,0.3931,0.3843,0.3813,0.3648,0.3615,0.3705,RELATIONAL-FAILED
24,Projection-Neutral,PerturbationSurvivalTesting,0.3542,0.349,0.335,0.3338,0.333,0.3374,0.3306,RELATIONAL-FAILED
32,Projection-Neutral,PerturbationSurvivalTesting,0.304,0.2938,0.29,0.2834,0.2862,0.2773,0.2759,RELATIONAL-FAILED
40,Projection-Neutral,PerturbationSurvivalTesting,0.2636,0.2552,0.2522,0.247,0.2407,0.2451,0.2404,RELATIONAL-FAILED
48,Projection-Neutral,PerturbationSurvivalTesting,0.2319,0.2213,0.2154,0.2121,0.2158,0.2064,0.2078,RELATIONAL-FAILED
64,Projection-Neutral,PerturbationSurvivalTesting,0.1825,0.182,0.1753,0.1706,0.1666,0.1713,0.1654,RELATIONAL-FAILED
80,Projection-Neutral,PerturbationSurvivalTesting,0.1521,0.1471,0.1482,0.1477,0.1396,0.1417,0.1442,RELATIONAL-FAILED
1,Projection-Neutral,CollapsePathwayClassification,0.8267,0.7855,0.7523,0.7486,0.7473,0.7687,0.7357,RELATIONAL-STABLE
2,Projection-Neutral,CollapsePathwayClassification,0.768,0.7274,0.7317,0.7255,0.6987,0.7294,0.7262,RELATIONAL-STABLE
4,Projection-Neutral,CollapsePathwayClassification,0.7017,0.6697,0.6726,0.6416,0.6366,0.656,0.6375,RELATIONAL-PARTIAL
6,Projection-Neutral,CollapsePathwayClassification,0.6409,0.6192,0.5935,0.6096,0.5878,0.6131,0.5866,RELATIONAL-PARTIAL
8,Projection-Neutral,CollapsePathwayClassification,0.5931,0.5654,0.549,0.554,0.5458,0.5553,0.5405,RELATIONAL-DEGRADING
12,Projection-Neutral,CollapsePathwayClassification,0.4976,0.5015,0.4719,0.4751,0.4613,0.482,0.4788,RELATIONAL-DEGRADING
16,Projection-Neutral,CollapsePathwayClassification,0.4391,0.4349,0.4217,0.4263,0.4027,0.4298,0.4117,RELATIONAL-DEGRADING
20,Projection-Neutral,CollapsePathwayClassification,0.4052,0.386,0.3812,0.3742,0.3701,0.3647,0.3604,RELATIONAL-FAILED
24,Projection-Neutral,CollapsePathwayClassification,0.3603,0.345,0.3464,0.3426,0.3242,0.331,0.3374,RELATIONAL-FAILED
32,Projection-Neutral,CollapsePathwayClassification,0.2951,0.2965,0.2782,0.2809,0.2801,0.2809,0.278,RELATIONAL-FAILED
40,Projection-Neutral,CollapsePathwayClassification,0.2591,0.244,0.2427,0.2421,0.2407,0.2417,0.2439,RELATIONAL-FAILED
48,Projection-Neutral,CollapsePathwayClassification,0.2277,0.2235,0.2095,0.214,0.2134,0.2089,0.2086,RELATIONAL-FAILED
64,Projection-Neutral,CollapsePathwayClassification,0.1787,0.176,0.1696,0.1716,0.1693,0.1742,0.1717,RELATIONAL-FAILED
80,Projection-Neutral,CollapsePathwayClassification,0.1508,0.147,0.1467,0.1425,0.137,0.1454,0.1387,RELATIONAL-FAILED
1,Projection-Neutral,NullInvariantControl,0.6347,0.6365,0.6079,0.6236,0.6202,0.6065,0.5846,RELATIONAL-PARTIAL
2,Projection-Neutral,NullInvariantControl,0.5951,0.6068,0.5949,0.5699,0.5916,0.5728,0.5595,RELATIONAL-PARTIAL
4,Projection-Neutral,NullInvariantControl,0.53,0.546,0.5248,0.5116,0.5358,0.5388,0.512,RELATIONAL-DEGRADING
6,Projection-Neutral,NullInvariantControl,0.4992,0.5009,0.5007,0.4702,0.4899,0.4865,0.473,RELATIONAL-DEGRADING
8,Projection-Neutral,NullInvariantControl,0.4541,0.4649,0.4581,0.4374,0.429,0.447,0.4211,RELATIONAL-DEGRADING
12,Projection-Neutral,NullInvariantControl,0.4005,0.3814,0.3925,0.3889,0.3724,0.3926,0.3766,RELATIONAL-FAILED
16,Projection-Neutral,NullInvariantControl,0.3533,0.3498,0.3398,0.3358,0.3236,0.3279,0.336,RELATIONAL-FAILED
20,Projection-Neutral,NullInvariantControl,0.3102,0.3097,0.3031,0.2884,0.2883,0.2952,0.2958,RELATIONAL-FAILED
24,Projection-Neutral,NullInvariantControl,0.2781,0.2831,0.2717,0.2724,0.27,0.2804,0.2632,RELATIONAL-FAILED
32,Projection-Neutral,NullInvariantControl,0.2312,0.2366,0.2369,0.2302,0.2192,0.2206,0.2156,RELATIONAL-FAILED
40,Projection-Neutral,NullInvariantControl,0.1945,0.1981,0.194,0.1934,0.1891,0.2004,0.1941,RELATIONAL-FAILED
48,Projection-Neutral,NullInvariantControl,0.1755,0.1747,0.1709,0.1693,0.1645,0.1735,0.1663,RELATIONAL-FAILED
64,Projection-Neutral,NullInvariantControl,0.1454,0.1401,0.14,0.1337,0.1393,0.1338,0.1367,RELATIONAL-FAILED
80,Projection-Neutral,NullInvariantControl,0.1209,0.1159,0.1146,0.1101,0.1168,0.1164,0.1089,RELATIONAL-FAILED
1,Antisymmetry-Neutral,RelationalMotifExtraction,0.8174,0.8043,0.764,0.7877,0.7381,0.7504,0.7819,INVARIANT-CLASS
2,Antisymmetry-Neutral,RelationalMotifExtraction,0.8038,0.7598,0.7465,0.7402,0.7155,0.6805,0.7204,RELATIONAL-STABLE
4,Antisymmetry-Neutral,RelationalMotifExtraction,0.71,0.6744,0.6608,0.666,0.6346,0.6332,0.6689,RELATIONAL-STABLE
6,Antisymmetry-Neutral,RelationalMotifExtraction,0.6501,0.6343,0.6075,0.6316,0.6073,0.5812,0.6005,RELATIONAL-PARTIAL
8,Antisymmetry-Neutral,RelationalMotifExtraction,0.5994,0.5731,0.5603,0.5695,0.5521,0.5445,0.5634,RELATIONAL-PARTIAL
12,Antisymmetry-Neutral,RelationalMotifExtraction,0.5193,0.499,0.4724,0.4844,0.4699,0.466,0.4723,RELATIONAL-DEGRADING
16,Antisymmetry-Neutral,RelationalMotifExtraction,0.4575,0.4325,0.4193,0.4394,0.404,0.399,0.4191,RELATIONAL-DEGRADING
20,Antisymmetry-Neutral,RelationalMotifExtraction,0.416,0.39,0.3858,0.3848,0.3756,0.3514,0.3731,RELATIONAL-FAILED
24,Antisymmetry-Neutral,RelationalMotifExtraction,0.3674,0.3554,0.3448,0.3545,0.3359,0.3303,0.3377,RELATIONAL-FAILED
32,Antisymmetry-Neutral,RelationalMotifExtraction,0.3124,0.2914,0.2875,0.2902,0.2818,0.2693,0.2768,RELATIONAL-FAILED
40,Antisymmetry-Neutral,RelationalMotifExtraction,0.2647,0.2524,0.2473,0.2505,0.2342,0.2282,0.2388,RELATIONAL-FAILED
48,Antisymmetry-Neutral,RelationalMotifExtraction,0.2366,0.2289,0.2148,0.2201,0.2125,0.2074,0.2127,RELATIONAL-FAILED
64,Antisymmetry-Neutral,RelationalMotifExtraction,0.1899,0.1805,0.1721,0.1764,0.1715,0.1692,0.1675,RELATIONAL-FAILED
80,Antisymmetry-Neutral,RelationalMotifExtraction,0.1553,0.1514,0.1436,0.1502,0.1433,0.1406,0.1443,RELATIONAL-FAILED
1,Antisymmetry-Neutral,InvariantClassClustering,0.8339,0.8293,0.7981,0.7987,0.7527,0.7353,0.7826,INVARIANT-CLASS
2,Antisymmetry-Neutral,InvariantClassClustering,0.783,0.7571,0.7556,0.7356,0.736,0.7078,0.7224,RELATIONAL-STABLE
4,Antisymmetry-Neutral,InvariantClassClustering,0.704,0.7131,0.6652,0.681,0.6672,0.6492,0.6803,RELATIONAL-STABLE
6,Antisymmetry-Neutral,InvariantClassClustering,0.654,0.6505,0.6184,0.6233,0.6125,0.5893,0.6118,RELATIONAL-PARTIAL
8,Antisymmetry-Neutral,InvariantClassClustering,0.6071,0.5872,0.5531,0.5622,0.5478,0.5338,0.5492,RELATIONAL-DEGRADING
12,Antisymmetry-Neutral,InvariantClassClustering,0.521,0.5036,0.496,0.4799,0.4784,0.4731,0.4801,RELATIONAL-DEGRADING
16,Antisymmetry-Neutral,InvariantClassClustering,0.4688,0.4389,0.4212,0.423,0.4141,0.4078,0.4247,RELATIONAL-DEGRADING
20,Antisymmetry-Neutral,InvariantClassClustering,0.4073,0.3961,0.3767,0.3745,0.3825,0.3719,0.3751,RELATIONAL-FAILED
24,Antisymmetry-Neutral,InvariantClassClustering,0.3727,0.3659,0.3431,0.348,0.3404,0.3291,0.3459,RELATIONAL-FAILED
32,Antisymmetry-Neutral,InvariantClassClustering,0.3115,0.302,0.2922,0.2869,0.2824,0.2684,0.2877,RELATIONAL-FAILED
40,Antisymmetry-Neutral,InvariantClassClustering,0.2615,0.2556,0.255,0.2484,0.2441,0.2322,0.2443,RELATIONAL-FAILED
48,Antisymmetry-Neutral,InvariantClassClustering,0.2324,0.2299,0.2137,0.2174,0.2142,0.2057,0.2199,RELATIONAL-FAILED
64,Antisymmetry-Neutral,InvariantClassClustering,0.1886,0.1785,0.1764,0.1779,0.1755,0.1691,0.1766,RELATIONAL-FAILED
80,Antisymmetry-Neutral,InvariantClassClustering,0.1571,0.1532,0.1463,0.1449,0.141,0.1372,0.1483,RELATIONAL-FAILED
1,Antisymmetry-Neutral,OperatorIndependentPattern,0.8268,0.8182,0.796,0.7949,0.7569,0.7598,0.7624,INVARIANT-CLASS
2,Antisymmetry-Neutral,OperatorIndependentPattern,0.7838,0.7594,0.7427,0.7575,0.7111,0.7193,0.7352,RELATIONAL-STABLE
4,Antisymmetry-Neutral,OperatorIndependentPattern,0.7245,0.7097,0.6731,0.6954,0.6679,0.6321,0.657,RELATIONAL-STABLE
6,Antisymmetry-Neutral,OperatorIndependentPattern,0.6584,0.6406,0.6149,0.6253,0.614,0.5872,0.5983,RELATIONAL-PARTIAL
8,Antisymmetry-Neutral,OperatorIndependentPattern,0.6029,0.5846,0.5557,0.59,0.5546,0.5302,0.5538,RELATIONAL-PARTIAL
12,Antisymmetry-Neutral,OperatorIndependentPattern,0.5136,0.5174,0.4959,0.507,0.4862,0.4526,0.4768,RELATIONAL-DEGRADING
16,Antisymmetry-Neutral,OperatorIndependentPattern,0.454,0.4527,0.4289,0.4504,0.424,0.4091,0.4329,RELATIONAL-DEGRADING
20,Antisymmetry-Neutral,OperatorIndependentPattern,0.4039,0.3958,0.3811,0.4001,0.3809,0.363,0.371,RELATIONAL-FAILED
24,Antisymmetry-Neutral,OperatorIndependentPattern,0.3748,0.3603,0.3413,0.3606,0.3444,0.3355,0.3384,RELATIONAL-FAILED
32,Antisymmetry-Neutral,OperatorIndependentPattern,0.3105,0.302,0.2866,0.3036,0.2759,0.2756,0.2861,RELATIONAL-FAILED
40,Antisymmetry-Neutral,OperatorIndependentPattern,0.2709,0.2535,0.2467,0.2565,0.2498,0.2406,0.2427,RELATIONAL-FAILED
48,Antisymmetry-Neutral,OperatorIndependentPattern,0.2344,0.2222,0.2154,0.2301,0.2088,0.204,0.2119,RELATIONAL-FAILED
64,Antisymmetry-Neutral,OperatorIndependentPattern,0.191,0.1838,0.1793,0.1767,0.1754,0.1666,0.1717,RELATIONAL-FAILED
80,Antisymmetry-Neutral,OperatorIndependentPattern,0.1561,0.1535,0.1442,0.1504,0.1413,0.1414,0.1416,RELATIONAL-FAILED
1,Antisymmetry-Neutral,RecursiveMotifPersistence,0.8113,0.796,0.7918,0.7817,0.7609,0.7266,0.7513,INVARIANT-CLASS
2,Antisymmetry-Neutral,RecursiveMotifPersistence,0.7807,0.7596,0.7382,0.7247,0.7209,0.7032,0.7198,RELATIONAL-STABLE
4,Antisymmetry-Neutral,RecursiveMotifPersistence,0.7037,0.6852,0.6924,0.6627,0.6764,0.6146,0.6705,RELATIONAL-STABLE
6,Antisymmetry-Neutral,RecursiveMotifPersistence,0.6569,0.6344,0.6188,0.5956,0.6197,0.5867,0.5979,RELATIONAL-PARTIAL
8,Antisymmetry-Neutral,RecursiveMotifPersistence,0.6056,0.5761,0.5871,0.5522,0.5737,0.5227,0.5641,RELATIONAL-PARTIAL
12,Antisymmetry-Neutral,RecursiveMotifPersistence,0.5197,0.5074,0.4971,0.4905,0.4812,0.4539,0.4675,RELATIONAL-DEGRADING
16,Antisymmetry-Neutral,RecursiveMotifPersistence,0.4543,0.4354,0.4285,0.4234,0.4281,0.399,0.4222,RELATIONAL-DEGRADING
20,Antisymmetry-Neutral,RecursiveMotifPersistence,0.4091,0.3958,0.3982,0.3699,0.3759,0.355,0.3663,RELATIONAL-FAILED
24,Antisymmetry-Neutral,RecursiveMotifPersistence,0.3681,0.3451,0.347,0.3423,0.3434,0.3161,0.3351,RELATIONAL-FAILED
32,Antisymmetry-Neutral,RecursiveMotifPersistence,0.3026,0.2976,0.2991,0.2857,0.2907,0.2672,0.2875,RELATIONAL-FAILED
40,Antisymmetry-Neutral,RecursiveMotifPersistence,0.2642,0.2472,0.2489,0.2424,0.2506,0.2296,0.2402,RELATIONAL-FAILED
48,Antisymmetry-Neutral,RecursiveMotifPersistence,0.2272,0.2238,0.2186,0.2151,0.2122,0.208,0.2112,RELATIONAL-FAILED
64,Antisymmetry-Neutral,RecursiveMotifPersistence,0.1875,0.1786,0.1777,0.1712,0.1776,0.1617,0.1737,RELATIONAL-FAILED
80,Antisymmetry-Neutral,RecursiveMotifPersistence,0.1552,0.1487,0.1453,0.1442,0.1445,0.1369,0.1437,RELATIONAL-FAILED
1,Antisymmetry-Neutral,PerturbationSurvivalTesting,0.8141,0.8061,0.795,0.7672,0.7619,0.7587,0.7389,RELATIONAL-STABLE
2,Antisymmetry-Neutral,PerturbationSurvivalTesting,0.7764,0.7444,0.731,0.7409,0.7177,0.6995,0.7136,RELATIONAL-STABLE
4,Antisymmetry-Neutral,PerturbationSurvivalTesting,0.6941,0.6699,0.6591,0.6582,0.6642,0.6462,0.6428,RELATIONAL-PARTIAL
6,Antisymmetry-Neutral,PerturbationSurvivalTesting,0.6294,0.6377,0.607,0.6239,0.5801,0.5908,0.6026,RELATIONAL-PARTIAL
8,Antisymmetry-Neutral,PerturbationSurvivalTesting,0.6001,0.5827,0.5731,0.5663,0.5499,0.5359,0.5572,RELATIONAL-PARTIAL
12,Antisymmetry-Neutral,PerturbationSurvivalTesting,0.5219,0.5046,0.4953,0.4888,0.4661,0.4803,0.4771,RELATIONAL-DEGRADING
16,Antisymmetry-Neutral,PerturbationSurvivalTesting,0.4474,0.4397,0.4311,0.4201,0.4067,0.4165,0.4241,RELATIONAL-DEGRADING
20,Antisymmetry-Neutral,PerturbationSurvivalTesting,0.393,0.3952,0.3846,0.3753,0.3687,0.374,0.3633,RELATIONAL-FAILED
24,Antisymmetry-Neutral,PerturbationSurvivalTesting,0.3662,0.355,0.3365,0.3467,0.3313,0.3368,0.3347,RELATIONAL-FAILED
32,Antisymmetry-Neutral,PerturbationSurvivalTesting,0.2994,0.2947,0.2937,0.2849,0.2846,0.281,0.2853,RELATIONAL-FAILED
40,Antisymmetry-Neutral,PerturbationSurvivalTesting,0.2608,0.2551,0.2406,0.2455,0.2405,0.2364,0.2439,RELATIONAL-FAILED
48,Antisymmetry-Neutral,PerturbationSurvivalTesting,0.2242,0.2226,0.2151,0.2153,0.212,0.2128,0.2109,RELATIONAL-FAILED
64,Antisymmetry-Neutral,PerturbationSurvivalTesting,0.1826,0.1745,0.1775,0.1778,0.1661,0.1728,0.1653,RELATIONAL-FAILED
80,Antisymmetry-Neutral,PerturbationSurvivalTesting,0.1512,0.1498,0.1476,0.1487,0.139,0.1439,0.1399,RELATIONAL-FAILED
1,Antisymmetry-Neutral,CollapsePathwayClassification,0.8341,0.7947,0.7508,0.7724,0.7379,0.7607,0.7485,RELATIONAL-STABLE
2,Antisymmetry-Neutral,CollapsePathwayClassification,0.7892,0.7361,0.7334,0.7408,0.6988,0.7317,0.7125,RELATIONAL-STABLE
4,Antisymmetry-Neutral,CollapsePathwayClassification,0.7019,0.6716,0.6656,0.6443,0.6357,0.6633,0.6524,RELATIONAL-PARTIAL
6,Antisymmetry-Neutral,CollapsePathwayClassification,0.64,0.6239,0.6103,0.5909,0.5857,0.5929,0.5946,RELATIONAL-PARTIAL
8,Antisymmetry-Neutral,CollapsePathwayClassification,0.6002,0.5677,0.5545,0.557,0.5279,0.5489,0.5448,RELATIONAL-DEGRADING
12,Antisymmetry-Neutral,CollapsePathwayClassification,0.506,0.4934,0.4768,0.4777,0.4522,0.4812,0.4657,RELATIONAL-DEGRADING
16,Antisymmetry-Neutral,CollapsePathwayClassification,0.4374,0.4315,0.4141,0.4106,0.4155,0.4171,0.4167,RELATIONAL-DEGRADING
20,Antisymmetry-Neutral,CollapsePathwayClassification,0.3953,0.3935,0.3787,0.376,0.3729,0.3816,0.3718,RELATIONAL-FAILED
24,Antisymmetry-Neutral,CollapsePathwayClassification,0.3638,0.3427,0.3399,0.3405,0.3354,0.3452,0.3372,RELATIONAL-FAILED
32,Antisymmetry-Neutral,CollapsePathwayClassification,0.3014,0.2903,0.2883,0.287,0.2706,0.2762,0.2852,RELATIONAL-FAILED
40,Antisymmetry-Neutral,CollapsePathwayClassification,0.2635,0.2457,0.2492,0.2439,0.2368,0.2452,0.2343,RELATIONAL-FAILED
48,Antisymmetry-Neutral,CollapsePathwayClassification,0.2228,0.2229,0.2092,0.2149,0.2105,0.2093,0.2137,RELATIONAL-FAILED
64,Antisymmetry-Neutral,CollapsePathwayClassification,0.1787,0.1773,0.17,0.1695,0.1667,0.1683,0.1676,RELATIONAL-FAILED
80,Antisymmetry-Neutral,CollapsePathwayClassification,0.1508,0.1433,0.1452,0.1427,0.1378,0.1469,0.1379,RELATIONAL-FAILED
1,Antisymmetry-Neutral,NullInvariantControl,0.642,0.6122,0.6352,0.5987,0.589,0.6009,0.6152,RELATIONAL-PARTIAL
2,Antisymmetry-Neutral,NullInvariantControl,0.5799,0.5884,0.5818,0.5755,0.5837,0.5926,0.5493,RELATIONAL-DEGRADING
4,Antisymmetry-Neutral,NullInvariantControl,0.54,0.5226,0.5508,0.5093,0.5268,0.5134,0.5198,RELATIONAL-DEGRADING
6,Antisymmetry-Neutral,NullInvariantControl,0.5054,0.5015,0.475,0.4711,0.4892,0.4844,0.4586,RELATIONAL-DEGRADING
8,Antisymmetry-Neutral,NullInvariantControl,0.4652,0.4508,0.4569,0.4485,0.444,0.4313,0.4269,RELATIONAL-DEGRADING
12,Antisymmetry-Neutral,NullInvariantControl,0.3876,0.3879,0.3798,0.3864,0.3845,0.3919,0.3622,RELATIONAL-FAILED
16,Antisymmetry-Neutral,NullInvariantControl,0.3506,0.339,0.3383,0.3315,0.3218,0.3348,0.3235,RELATIONAL-FAILED
20,Antisymmetry-Neutral,NullInvariantControl,0.3037,0.3136,0.3156,0.2905,0.289,0.2989,0.2901,RELATIONAL-FAILED
24,Antisymmetry-Neutral,NullInvariantControl,0.2747,0.2787,0.2808,0.2671,0.2738,0.2672,0.2632,RELATIONAL-FAILED
32,Antisymmetry-Neutral,NullInvariantControl,0.2311,0.234,0.2378,0.2264,0.2218,0.2251,0.2157,RELATIONAL-FAILED
40,Antisymmetry-Neutral,NullInvariantControl,0.2016,0.1957,0.1993,0.1976,0.1907,0.1984,0.1885,RELATIONAL-FAILED
48,Antisymmetry-Neutral,NullInvariantControl,0.1755,0.1722,0.1745,0.1701,0.1653,0.1678,0.1709,RELATIONAL-FAILED
64,Antisymmetry-Neutral,NullInvariantControl,0.1437,0.1427,0.1401,0.1386,0.1347,0.1374,0.1374,RELATIONAL-FAILED
80,Antisymmetry-Neutral,NullInvariantControl,0.121,0.1164,0.1179,0.1165,0.1157,0.1173,0.1124,RELATIONAL-FAILED
1,Projection-Antisymmetry-Neutral,RelationalMotifExtraction,0.8374,0.8056,0.7561,0.8036,0.7727,0.7302,0.7823,INVARIANT-CLASS
2,Projection-Antisymmetry-Neutral,RelationalMotifExtraction,0.7708,0.7733,0.7437,0.7596,0.7123,0.6858,0.716,RELATIONAL-STABLE
4,Projection-Antisymmetry-Neutral,RelationalMotifExtraction,0.7261,0.6939,0.6657,0.6867,0.6545,0.6343,0.6585,RELATIONAL-STABLE
6,Projection-Antisymmetry-Neutral,RelationalMotifExtraction,0.6474,0.6168,0.6203,0.6362,0.5997,0.566,0.5861,RELATIONAL-PARTIAL
8,Projection-Antisymmetry-Neutral,RelationalMotifExtraction,0.6112,0.5808,0.556,0.5619,0.5363,0.5384,0.5438,RELATIONAL-DEGRADING
