depth,sector,condition,rg_similarity,universality_stability,scale_invariant_coherence,recursive_rescaling_similarity,attractor_universality,resilience_scaling_index,universality_persistence,classification
96,Neutral,PerturbationUniversalityTesting,0.2516,0.2486,0.2447,0.2456,0.2414,0.2437,0.2407,UNIVERSALITY-FAILED
128,Neutral,PerturbationUniversalityTesting,0.2083,0.201,0.1945,0.1949,0.1919,0.1982,0.196,UNIVERSALITY-FAILED
160,Neutral,PerturbationUniversalityTesting,0.1743,0.1705,0.1691,0.1613,0.1607,0.1601,0.1654,UNIVERSALITY-FAILED
192,Neutral,PerturbationUniversalityTesting,0.1485,0.1436,0.1439,0.1424,0.1387,0.1393,0.144,UNIVERSALITY-FAILED
256,Neutral,PerturbationUniversalityTesting,0.1162,0.1116,0.1135,0.1105,0.1112,0.1118,0.1087,UNIVERSALITY-FAILED
320,Neutral,PerturbationUniversalityTesting,0.0974,0.0943,0.0928,0.0904,0.0896,0.0899,0.0916,UNIVERSALITY-FAILED
512,Neutral,PerturbationUniversalityTesting,0.0619,0.0619,0.0607,0.0595,0.059,0.0582,0.0595,UNIVERSALITY-FAILED
1,Neutral,ResilienceScalingPersistence,0.8897,0.8639,0.8755,0.8287,0.8411,0.844,0.8524,UNIVERSALITY-STABLE
2,Neutral,ResilienceScalingPersistence,0.8622,0.842,0.8253,0.81,0.8196,0.8071,0.8383,UNIVERSALITY-STABLE
4,Neutral,ResilienceScalingPersistence,0.8163,0.7907,0.7838,0.7738,0.7679,0.8001,0.8037,UNIVERSALITY-BOUNDED
6,Neutral,ResilienceScalingPersistence,0.8004,0.7653,0.7495,0.7585,0.7323,0.7657,0.7675,UNIVERSALITY-BOUNDED
8,Neutral,ResilienceScalingPersistence,0.7402,0.7254,0.7094,0.7309,0.7168,0.7111,0.7107,UNIVERSALITY-BOUNDED
12,Neutral,ResilienceScalingPersistence,0.6972,0.6641,0.655,0.6424,0.6639,0.6542,0.6649,UNIVERSALITY-PARTIAL
16,Neutral,ResilienceScalingPersistence,0.635,0.6103,0.6014,0.6148,0.6086,0.5976,0.6113,UNIVERSALITY-PARTIAL
20,Neutral,ResilienceScalingPersistence,0.6042,0.5907,0.5833,0.5645,0.5535,0.5638,0.5644,UNIVERSALITY-DEGRADING
24,Neutral,ResilienceScalingPersistence,0.5485,0.5367,0.5249,0.5255,0.5207,0.5382,0.5326,UNIVERSALITY-DEGRADING
32,Neutral,ResilienceScalingPersistence,0.5,0.4683,0.4679,0.4631,0.4593,0.46,0.483,UNIVERSALITY-DEGRADING
40,Neutral,ResilienceScalingPersistence,0.4469,0.4286,0.4153,0.4278,0.4209,0.4145,0.4153,UNIVERSALITY-FAILED
48,Neutral,ResilienceScalingPersistence,0.4013,0.3956,0.3785,0.3859,0.3698,0.3885,0.39,UNIVERSALITY-FAILED
64,Neutral,ResilienceScalingPersistence,0.3353,0.3296,0.3224,0.3247,0.3111,0.3268,0.3231,UNIVERSALITY-FAILED
80,Neutral,ResilienceScalingPersistence,0.2899,0.2894,0.2784,0.2744,0.2709,0.2819,0.2781,UNIVERSALITY-FAILED
96,Neutral,ResilienceScalingPersistence,0.2508,0.2448,0.242,0.2405,0.2439,0.2394,0.2444,UNIVERSALITY-FAILED
128,Neutral,ResilienceScalingPersistence,0.2097,0.198,0.1944,0.1955,0.1931,0.2001,0.1993,UNIVERSALITY-FAILED
160,Neutral,ResilienceScalingPersistence,0.1714,0.169,0.1634,0.1679,0.1647,0.1652,0.1673,UNIVERSALITY-FAILED
192,Neutral,ResilienceScalingPersistence,0.1462,0.1443,0.141,0.1384,0.137,0.1391,0.1464,UNIVERSALITY-FAILED
256,Neutral,ResilienceScalingPersistence,0.117,0.115,0.1096,0.1117,0.1104,0.1088,0.1142,UNIVERSALITY-FAILED
320,Neutral,ResilienceScalingPersistence,0.0946,0.0911,0.0903,0.0898,0.09,0.0921,0.0905,UNIVERSALITY-FAILED
512,Neutral,ResilienceScalingPersistence,0.0633,0.0609,0.0602,0.0596,0.0574,0.0588,0.0589,UNIVERSALITY-FAILED
1,Neutral,NullUniversalityControl,0.6936,0.6789,0.6944,0.68,0.6773,0.6567,0.6798,UNIVERSALITY-PARTIAL
2,Neutral,NullUniversalityControl,0.6649,0.6894,0.6548,0.6956,0.6384,0.6222,0.6646,UNIVERSALITY-PARTIAL
4,Neutral,NullUniversalityControl,0.6371,0.6355,0.6418,0.6514,0.6016,0.6148,0.6368,UNIVERSALITY-PARTIAL
6,Neutral,NullUniversalityControl,0.6193,0.6127,0.5953,0.6185,0.5944,0.5939,0.6153,UNIVERSALITY-DEGRADING
8,Neutral,NullUniversalityControl,0.5959,0.595,0.5721,0.5815,0.557,0.5525,0.5691,UNIVERSALITY-DEGRADING
12,Neutral,NullUniversalityControl,0.5346,0.5301,0.5251,0.5516,0.5083,0.5157,0.532,UNIVERSALITY-DEGRADING
16,Neutral,NullUniversalityControl,0.5075,0.5036,0.5055,0.5025,0.4912,0.4612,0.4844,UNIVERSALITY-DEGRADING
20,Neutral,NullUniversalityControl,0.4693,0.4723,0.4647,0.4604,0.4377,0.4421,0.4553,UNIVERSALITY-DEGRADING
24,Neutral,NullUniversalityControl,0.4286,0.4424,0.4339,0.4313,0.4052,0.4208,0.4313,UNIVERSALITY-FAILED
32,Neutral,NullUniversalityControl,0.38,0.3899,0.3759,0.3917,0.3698,0.352,0.3743,UNIVERSALITY-FAILED
40,Neutral,NullUniversalityControl,0.3424,0.351,0.3396,0.3384,0.3298,0.3337,0.3346,UNIVERSALITY-FAILED
48,Neutral,NullUniversalityControl,0.3238,0.3212,0.317,0.3197,0.3016,0.3034,0.2962,UNIVERSALITY-FAILED
64,Neutral,NullUniversalityControl,0.2586,0.2613,0.2619,0.2665,0.2563,0.2545,0.256,UNIVERSALITY-FAILED
80,Neutral,NullUniversalityControl,0.2237,0.2321,0.2202,0.2229,0.224,0.2117,0.2189,UNIVERSALITY-FAILED
96,Neutral,NullUniversalityControl,0.2002,0.2035,0.2022,0.1963,0.1892,0.1936,0.1995,UNIVERSALITY-FAILED
128,Neutral,NullUniversalityControl,0.1608,0.1584,0.1551,0.1652,0.1544,0.1517,0.1561,UNIVERSALITY-FAILED
160,Neutral,NullUniversalityControl,0.136,0.1368,0.1315,0.139,0.1267,0.1306,0.1304,UNIVERSALITY-FAILED
192,Neutral,NullUniversalityControl,0.1198,0.1161,0.1153,0.1166,0.1099,0.1088,0.1135,UNIVERSALITY-FAILED
256,Neutral,NullUniversalityControl,0.0907,0.0925,0.0889,0.089,0.0884,0.087,0.0903,UNIVERSALITY-FAILED
320,Neutral,NullUniversalityControl,0.0739,0.0739,0.075,0.074,0.0703,0.0711,0.0733,UNIVERSALITY-FAILED
512,Neutral,NullUniversalityControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,UNIVERSALITY-FAILED
1,Projection-Antisymmetry,ScaleRescalingInvariance,0.8941,0.8667,0.8829,0.8366,0.8422,0.8272,0.8376,UNIVERSALITY-STABLE
2,Projection-Antisymmetry,ScaleRescalingInvariance,0.8953,0.8444,0.8346,0.8294,0.8114,0.8018,0.8407,UNIVERSALITY-STABLE
4,Projection-Antisymmetry,ScaleRescalingInvariance,0.8399,0.7997,0.7958,0.8026,0.766,0.7575,0.7892,UNIVERSALITY-BOUNDED
6,Projection-Antisymmetry,ScaleRescalingInvariance,0.8109,0.769,0.7796,0.7488,0.7515,0.7274,0.7325,UNIVERSALITY-BOUNDED
8,Projection-Antisymmetry,ScaleRescalingInvariance,0.7671,0.7559,0.7403,0.7113,0.7089,0.7102,0.7067,UNIVERSALITY-BOUNDED
12,Projection-Antisymmetry,ScaleRescalingInvariance,0.6914,0.6842,0.6657,0.6571,0.644,0.6537,0.6608,UNIVERSALITY-PARTIAL
16,Projection-Antisymmetry,ScaleRescalingInvariance,0.6428,0.6275,0.6293,0.6166,0.598,0.6072,0.6017,UNIVERSALITY-PARTIAL
20,Projection-Antisymmetry,ScaleRescalingInvariance,0.599,0.5821,0.572,0.5736,0.5626,0.5723,0.5752,UNIVERSALITY-DEGRADING
24,Projection-Antisymmetry,ScaleRescalingInvariance,0.5653,0.5502,0.5354,0.5232,0.5165,0.5222,0.5328,UNIVERSALITY-DEGRADING
32,Projection-Antisymmetry,ScaleRescalingInvariance,0.4972,0.4779,0.4874,0.462,0.4593,0.4711,0.466,UNIVERSALITY-DEGRADING
40,Projection-Antisymmetry,ScaleRescalingInvariance,0.4519,0.4272,0.4302,0.4294,0.415,0.4198,0.4107,UNIVERSALITY-FAILED
48,Projection-Antisymmetry,ScaleRescalingInvariance,0.4164,0.3869,0.3821,0.3834,0.3725,0.3677,0.3785,UNIVERSALITY-FAILED
64,Projection-Antisymmetry,ScaleRescalingInvariance,0.3376,0.3269,0.3327,0.3147,0.3213,0.3155,0.3217,UNIVERSALITY-FAILED
80,Projection-Antisymmetry,ScaleRescalingInvariance,0.3029,0.2908,0.2881,0.2797,0.2773,0.2688,0.2725,UNIVERSALITY-FAILED
96,Projection-Antisymmetry,ScaleRescalingInvariance,0.257,0.2474,0.2504,0.2389,0.2371,0.2451,0.2486,UNIVERSALITY-FAILED
128,Projection-Antisymmetry,ScaleRescalingInvariance,0.212,0.2038,0.2015,0.2003,0.1901,0.1934,0.1968,UNIVERSALITY-FAILED
160,Projection-Antisymmetry,ScaleRescalingInvariance,0.1734,0.1726,0.1671,0.1662,0.1633,0.1641,0.1618,UNIVERSALITY-FAILED
192,Projection-Antisymmetry,ScaleRescalingInvariance,0.153,0.1459,0.1467,0.1409,0.1378,0.1422,0.1384,UNIVERSALITY-FAILED
256,Projection-Antisymmetry,ScaleRescalingInvariance,0.121,0.1157,0.1158,0.1124,0.1082,0.1102,0.1092,UNIVERSALITY-FAILED
320,Projection-Antisymmetry,ScaleRescalingInvariance,0.0989,0.0945,0.0931,0.0917,0.09,0.0893,0.089,UNIVERSALITY-FAILED
512,Projection-Antisymmetry,ScaleRescalingInvariance,0.0646,0.0607,0.0597,0.0593,0.0586,0.0572,0.0602,UNIVERSALITY-FAILED
1,Projection-Antisymmetry,UniversalityClassExtraction,0.9067,0.8899,0.8501,0.8528,0.8579,0.8355,0.8561,UNIVERSALITY-STABLE
2,Projection-Antisymmetry,UniversalityClassExtraction,0.8872,0.8438,0.8419,0.8473,0.8372,0.8338,0.836,UNIVERSALITY-STABLE
4,Projection-Antisymmetry,UniversalityClassExtraction,0.8422,0.8115,0.8189,0.7882,0.8014,0.7688,0.8066,UNIVERSALITY-STABLE
6,Projection-Antisymmetry,UniversalityClassExtraction,0.7906,0.7894,0.756,0.7649,0.7514,0.7298,0.7453,UNIVERSALITY-BOUNDED
8,Projection-Antisymmetry,UniversalityClassExtraction,0.7644,0.7344,0.7357,0.7173,0.7209,0.7213,0.7316,UNIVERSALITY-BOUNDED
12,Projection-Antisymmetry,UniversalityClassExtraction,0.6993,0.6825,0.6858,0.6632,0.6423,0.654,0.6712,UNIVERSALITY-PARTIAL
16,Projection-Antisymmetry,UniversalityClassExtraction,0.6515,0.6368,0.6248,0.6159,0.6085,0.6075,0.6283,UNIVERSALITY-PARTIAL
20,Projection-Antisymmetry,UniversalityClassExtraction,0.616,0.6044,0.5668,0.5736,0.5733,0.5628,0.578,UNIVERSALITY-DEGRADING
24,Projection-Antisymmetry,UniversalityClassExtraction,0.5796,0.5568,0.5314,0.536,0.5222,0.5201,0.5369,UNIVERSALITY-DEGRADING
32,Projection-Antisymmetry,UniversalityClassExtraction,0.5048,0.5005,0.4769,0.4746,0.4758,0.4707,0.4718,UNIVERSALITY-DEGRADING
40,Projection-Antisymmetry,UniversalityClassExtraction,0.4431,0.434,0.431,0.4249,0.4279,0.4214,0.4301,UNIVERSALITY-FAILED
48,Projection-Antisymmetry,UniversalityClassExtraction,0.4053,0.405,0.3843,0.3767,0.3812,0.3736,0.3934,UNIVERSALITY-FAILED
64,Projection-Antisymmetry,UniversalityClassExtraction,0.3404,0.3355,0.334,0.3247,0.3184,0.3213,0.3237,UNIVERSALITY-FAILED
80,Projection-Antisymmetry,UniversalityClassExtraction,0.2961,0.2863,0.2802,0.2792,0.2723,0.2729,0.2822,UNIVERSALITY-FAILED
96,Projection-Antisymmetry,UniversalityClassExtraction,0.2619,0.2608,0.2542,0.2471,0.238,0.2365,0.2478,UNIVERSALITY-FAILED
128,Projection-Antisymmetry,UniversalityClassExtraction,0.2102,0.2077,0.2057,0.2021,0.1946,0.1905,0.197,UNIVERSALITY-FAILED
160,Projection-Antisymmetry,UniversalityClassExtraction,0.18,0.1734,0.1708,0.1682,0.1638,0.1636,0.1648,UNIVERSALITY-FAILED
192,Projection-Antisymmetry,UniversalityClassExtraction,0.1517,0.1509,0.1455,0.1451,0.1384,0.1392,0.1415,UNIVERSALITY-FAILED
256,Projection-Antisymmetry,UniversalityClassExtraction,0.1197,0.1155,0.112,0.1126,0.1108,0.11,0.1098,UNIVERSALITY-FAILED
320,Projection-Antisymmetry,UniversalityClassExtraction,0.0971,0.0955,0.0946,0.0937,0.0905,0.0891,0.0911,UNIVERSALITY-FAILED
512,Projection-Antisymmetry,UniversalityClassExtraction,0.0633,0.0621,0.0603,0.0608,0.0602,0.0576,0.0603,UNIVERSALITY-FAILED
1,Projection-Antisymmetry,RecursiveRenormalizationAnalysis,0.8922,0.8567,0.8791,0.8756,0.8356,0.8076,0.8683,UNIVERSALITY-STABLE
2,Projection-Antisymmetry,RecursiveRenormalizationAnalysis,0.869,0.85,0.8606,0.8548,0.8238,0.8023,0.8255,UNIVERSALITY-STABLE
4,Projection-Antisymmetry,RecursiveRenormalizationAnalysis,0.83,0.7957,0.8171,0.7875,0.7824,0.758,0.7895,UNIVERSALITY-BOUNDED
6,Projection-Antisymmetry,RecursiveRenormalizationAnalysis,0.7933,0.7649,0.7627,0.7646,0.7351,0.7181,0.758,UNIVERSALITY-BOUNDED
8,Projection-Antisymmetry,RecursiveRenormalizationAnalysis,0.7774,0.734,0.7455,0.7279,0.715,0.7131,0.7297,UNIVERSALITY-BOUNDED
12,Projection-Antisymmetry,RecursiveRenormalizationAnalysis,0.7131,0.6927,0.6917,0.6577,0.6397,0.6522,0.6736,UNIVERSALITY-PARTIAL
16,Projection-Antisymmetry,RecursiveRenormalizationAnalysis,0.6472,0.6179,0.6157,0.6107,0.5935,0.6059,0.6082,UNIVERSALITY-PARTIAL
20,Projection-Antisymmetry,RecursiveRenormalizationAnalysis,0.6064,0.5834,0.5875,0.5725,0.555,0.559,0.5737,UNIVERSALITY-DEGRADING
24,Projection-Antisymmetry,RecursiveRenormalizationAnalysis,0.5746,0.5444,0.56,0.5516,0.5195,0.5069,0.5255,UNIVERSALITY-DEGRADING
32,Projection-Antisymmetry,RecursiveRenormalizationAnalysis,0.5039,0.4912,0.4843,0.4779,0.4562,0.4511,0.4723,UNIVERSALITY-DEGRADING
40,Projection-Antisymmetry,RecursiveRenormalizationAnalysis,0.4445,0.4322,0.4323,0.4276,0.4174,0.4091,0.4294,UNIVERSALITY-FAILED
48,Projection-Antisymmetry,RecursiveRenormalizationAnalysis,0.4021,0.4023,0.3863,0.3873,0.3709,0.3752,0.3874,UNIVERSALITY-FAILED
64,Projection-Antisymmetry,RecursiveRenormalizationAnalysis,0.3461,0.3373,0.327,0.3326,0.318,0.3153,0.3308,UNIVERSALITY-FAILED
80,Projection-Antisymmetry,RecursiveRenormalizationAnalysis,0.2952,0.2923,0.2809,0.2831,0.2748,0.2706,0.2789,UNIVERSALITY-FAILED
96,Projection-Antisymmetry,RecursiveRenormalizationAnalysis,0.2553,0.2559,0.2503,0.2526,0.2355,0.2364,0.2517,UNIVERSALITY-FAILED
128,Projection-Antisymmetry,RecursiveRenormalizationAnalysis,0.2095,0.2074,0.2071,0.1978,0.1975,0.193,0.2012,UNIVERSALITY-FAILED
160,Projection-Antisymmetry,RecursiveRenormalizationAnalysis,0.1758,0.1689,0.1687,0.1661,0.1631,0.1613,0.1652,UNIVERSALITY-FAILED
192,Projection-Antisymmetry,RecursiveRenormalizationAnalysis,0.1493,0.1464,0.1487,0.1426,0.1377,0.1368,0.1439,UNIVERSALITY-FAILED
256,Projection-Antisymmetry,RecursiveRenormalizationAnalysis,0.1167,0.1123,0.1144,0.1157,0.1105,0.1081,0.1134,UNIVERSALITY-FAILED
320,Projection-Antisymmetry,RecursiveRenormalizationAnalysis,0.0956,0.0934,0.0936,0.0926,0.092,0.0885,0.0936,UNIVERSALITY-FAILED
512,Projection-Antisymmetry,RecursiveRenormalizationAnalysis,0.0618,0.0619,0.0601,0.0606,0.0587,0.0566,0.061,UNIVERSALITY-FAILED
1,Projection-Antisymmetry,AttractorTopologyScaling,0.9079,0.8609,0.8611,0.8384,0.8655,0.8183,0.8638,UNIVERSALITY-STABLE
2,Projection-Antisymmetry,AttractorTopologyScaling,0.8864,0.8469,0.8207,0.8416,0.8222,0.8028,0.8354,UNIVERSALITY-STABLE
4,Projection-Antisymmetry,AttractorTopologyScaling,0.8459,0.8033,0.7941,0.7806,0.7758,0.7745,0.7874,UNIVERSALITY-BOUNDED
6,Projection-Antisymmetry,AttractorTopologyScaling,0.8013,0.7675,0.7518,0.7641,0.7597,0.7212,0.7431,UNIVERSALITY-BOUNDED
8,Projection-Antisymmetry,AttractorTopologyScaling,0.7531,0.7214,0.7321,0.7067,0.7143,0.6984,0.7006,UNIVERSALITY-BOUNDED
12,Projection-Antisymmetry,AttractorTopologyScaling,0.7097,0.6827,0.6555,0.6631,0.6689,0.6546,0.6466,UNIVERSALITY-PARTIAL
16,Projection-Antisymmetry,AttractorTopologyScaling,0.6464,0.6329,0.6204,0.6146,0.6017,0.5844,0.5947,UNIVERSALITY-PARTIAL
20,Projection-Antisymmetry,AttractorTopologyScaling,0.5909,0.5743,0.5638,0.5563,0.5736,0.5418,0.5746,UNIVERSALITY-DEGRADING
24,Projection-Antisymmetry,AttractorTopologyScaling,0.5541,0.5336,0.5451,0.5223,0.5436,0.5199,0.5316,UNIVERSALITY-DEGRADING
32,Projection-Antisymmetry,AttractorTopologyScaling,0.4902,0.4738,0.4775,0.466,0.4709,0.4559,0.4687,UNIVERSALITY-DEGRADING
40,Projection-Antisymmetry,AttractorTopologyScaling,0.448,0.426,0.4154,0.4204,0.4152,0.4028,0.4131,UNIVERSALITY-FAILED
48,Projection-Antisymmetry,AttractorTopologyScaling,0.396,0.3886,0.3845,0.3877,0.3823,0.3689,0.3791,UNIVERSALITY-FAILED
64,Projection-Antisymmetry,AttractorTopologyScaling,0.3421,0.3267,0.3312,0.3138,0.3245,0.314,0.3233,UNIVERSALITY-FAILED
80,Projection-Antisymmetry,AttractorTopologyScaling,0.2957,0.2772,0.2806,0.2733,0.2766,0.2745,0.2736,UNIVERSALITY-FAILED
96,Projection-Antisymmetry,AttractorTopologyScaling,0.2542,0.2534,0.2505,0.2426,0.246,0.2384,0.2443,UNIVERSALITY-FAILED
128,Projection-Antisymmetry,AttractorTopologyScaling,0.2063,0.2041,0.2024,0.1923,0.2003,0.1947,0.1985,UNIVERSALITY-FAILED
160,Projection-Antisymmetry,AttractorTopologyScaling,0.1782,0.1708,0.1629,0.1684,0.1655,0.1638,0.1671,UNIVERSALITY-FAILED
192,Projection-Antisymmetry,AttractorTopologyScaling,0.1482,0.1455,0.1452,0.1427,0.143,0.1373,0.1436,UNIVERSALITY-FAILED
256,Projection-Antisymmetry,AttractorTopologyScaling,0.1174,0.1153,0.1127,0.1131,0.1098,0.1068,0.1126,UNIVERSALITY-FAILED
320,Projection-Antisymmetry,AttractorTopologyScaling,0.0985,0.0934,0.0917,0.0893,0.0929,0.0869,0.092,UNIVERSALITY-FAILED
512,Projection-Antisymmetry,AttractorTopologyScaling,0.0621,0.0606,0.0589,0.0595,0.0597,0.0591,0.0606,UNIVERSALITY-FAILED
1,Projection-Antisymmetry,PerturbationUniversalityTesting,0.8828,0.8552,0.8714,0.8296,0.835,0.8205,0.8451,UNIVERSALITY-STABLE
2,Projection-Antisymmetry,PerturbationUniversalityTesting,0.8496,0.8406,0.8206,0.8348,0.8104,0.8297,0.8209,UNIVERSALITY-STABLE
4,Projection-Antisymmetry,PerturbationUniversalityTesting,0.8217,0.8103,0.7904,0.7825,0.7617,0.7844,0.785,UNIVERSALITY-BOUNDED
6,Projection-Antisymmetry,PerturbationUniversalityTesting,0.7881,0.7569,0.7743,0.7385,0.7394,0.7363,0.7644,UNIVERSALITY-BOUNDED
8,Projection-Antisymmetry,PerturbationUniversalityTesting,0.7422,0.7342,0.7111,0.7,0.6915,0.696,0.6992,UNIVERSALITY-BOUNDED
12,Projection-Antisymmetry,PerturbationUniversalityTesting,0.6882,0.6584,0.6726,0.6553,0.6492,0.6398,0.6514,UNIVERSALITY-PARTIAL
16,Projection-Antisymmetry,PerturbationUniversalityTesting,0.6506,0.6262,0.6229,0.6004,0.591,0.6079,0.595,UNIVERSALITY-PARTIAL
20,Projection-Antisymmetry,PerturbationUniversalityTesting,0.6009,0.5681,0.5765,0.5645,0.5551,0.5629,0.5586,UNIVERSALITY-DEGRADING
24,Projection-Antisymmetry,PerturbationUniversalityTesting,0.5477,0.5327,0.5461,0.535,0.5332,0.5307,0.5343,UNIVERSALITY-DEGRADING
32,Projection-Antisymmetry,PerturbationUniversalityTesting,0.4934,0.4795,0.4627,0.4606,0.4686,0.4568,0.4786,UNIVERSALITY-DEGRADING
40,Projection-Antisymmetry,PerturbationUniversalityTesting,0.4466,0.4313,0.4255,0.4208,0.4065,0.4214,0.4275,UNIVERSALITY-FAILED
48,Projection-Antisymmetry,PerturbationUniversalityTesting,0.4045,0.3929,0.3911,0.3877,0.3829,0.3734,0.3794,UNIVERSALITY-FAILED
64,Projection-Antisymmetry,PerturbationUniversalityTesting,0.3318,0.3356,0.3173,0.3186,0.3159,0.312,0.3225,UNIVERSALITY-FAILED
80,Projection-Antisymmetry,PerturbationUniversalityTesting,0.2934,0.2833,0.2802,0.2776,0.2694,0.2748,0.2727,UNIVERSALITY-FAILED
96,Projection-Antisymmetry,PerturbationUniversalityTesting,0.2592,0.2445,0.241,0.2485,0.2371,0.244,0.243,UNIVERSALITY-FAILED
128,Projection-Antisymmetry,PerturbationUniversalityTesting,0.2026,0.2029,0.2004,0.1948,0.1902,0.194,0.1934,UNIVERSALITY-FAILED
160,Projection-Antisymmetry,PerturbationUniversalityTesting,0.1703,0.1697,0.1693,0.1625,0.1607,0.1652,0.1685,UNIVERSALITY-FAILED
192,Projection-Antisymmetry,PerturbationUniversalityTesting,0.1511,0.1482,0.1455,0.1418,0.1374,0.1392,0.1426,UNIVERSALITY-FAILED
256,Projection-Antisymmetry,PerturbationUniversalityTesting,0.1194,0.114,0.1099,0.1127,0.1082,0.1087,0.1115,UNIVERSALITY-FAILED
320,Projection-Antisymmetry,PerturbationUniversalityTesting,0.097,0.0912,0.0901,0.0905,0.0905,0.0881,0.0895,UNIVERSALITY-FAILED
512,Projection-Antisymmetry,PerturbationUniversalityTesting,0.0626,0.06,0.0607,0.0585,0.0587,0.058,0.059,UNIVERSALITY-FAILED
1,Projection-Antisymmetry,ResilienceScalingPersistence,0.9028,0.8633,0.8673,0.8349,0.8521,0.8603,0.8484,UNIVERSALITY-STABLE
2,Projection-Antisymmetry,ResilienceScalingPersistence,0.8665,0.839,0.8354,0.8277,0.8328,0.8342,0.8279,UNIVERSALITY-STABLE
4,Projection-Antisymmetry,ResilienceScalingPersistence,0.8144,0.8159,0.7912,0.7677,0.7789,0.8027,0.7996,UNIVERSALITY-BOUNDED
6,Projection-Antisymmetry,ResilienceScalingPersistence,0.7878,0.7516,0.7659,0.76,0.7353,0.7367,0.7636,UNIVERSALITY-BOUNDED
8,Projection-Antisymmetry,ResilienceScalingPersistence,0.7504,0.7308,0.7265,0.7041,0.7094,0.7155,0.7252,UNIVERSALITY-BOUNDED
12,Projection-Antisymmetry,ResilienceScalingPersistence,0.6842,0.6721,0.6603,0.6465,0.6487,0.6503,0.6659,UNIVERSALITY-PARTIAL
16,Projection-Antisymmetry,ResilienceScalingPersistence,0.637,0.6105,0.6161,0.6072,0.5898,0.5995,0.6116,UNIVERSALITY-PARTIAL
20,Projection-Antisymmetry,ResilienceScalingPersistence,0.5932,0.5703,0.5806,0.5722,0.5635,0.558,0.5681,UNIVERSALITY-DEGRADING
24,Projection-Antisymmetry,ResilienceScalingPersistence,0.5484,0.537,0.542,0.5332,0.5135,0.5167,0.5474,UNIVERSALITY-DEGRADING
32,Projection-Antisymmetry,ResilienceScalingPersistence,0.4982,0.4829,0.4844,0.4595,0.4701,0.4612,0.4641,UNIVERSALITY-DEGRADING
40,Projection-Antisymmetry,ResilienceScalingPersistence,0.4461,0.422,0.4319,0.4236,0.4176,0.4205,0.4311,UNIVERSALITY-FAILED
48,Projection-Antisymmetry,ResilienceScalingPersistence,0.3991,0.3929,0.3766,0.381,0.3717,0.3768,0.3779,UNIVERSALITY-FAILED
64,Projection-Antisymmetry,ResilienceScalingPersistence,0.339,0.3252,0.3294,0.3158,0.3096,0.3273,0.3242,UNIVERSALITY-FAILED
80,Projection-Antisymmetry,ResilienceScalingPersistence,0.2937,0.2869,0.274,0.283,0.2687,0.2753,0.2817,UNIVERSALITY-FAILED
96,Projection-Antisymmetry,ResilienceScalingPersistence,0.2573,0.2547,0.2488,0.2457,0.2411,0.2435,0.2422,UNIVERSALITY-FAILED
128,Projection-Antisymmetry,ResilienceScalingPersistence,0.2079,0.1977,0.2019,0.1925,0.1932,0.1931,0.1952,UNIVERSALITY-FAILED
160,Projection-Antisymmetry,ResilienceScalingPersistence,0.1709,0.1715,0.1691,0.1618,0.1642,0.161,0.1698,UNIVERSALITY-FAILED
192,Projection-Antisymmetry,ResilienceScalingPersistence,0.1478,0.1442,0.1431,0.1446,0.1423,0.1433,0.143,UNIVERSALITY-FAILED
256,Projection-Antisymmetry,ResilienceScalingPersistence,0.1183,0.1112,0.114,0.1094,0.1093,0.1126,0.1115,UNIVERSALITY-FAILED
320,Projection-Antisymmetry,ResilienceScalingPersistence,0.0951,0.0921,0.0941,0.0906,0.0914,0.0919,0.0942,UNIVERSALITY-FAILED
512,Projection-Antisymmetry,ResilienceScalingPersistence,0.0613,0.0608,0.0607,0.0605,0.0579,0.0595,0.059,UNIVERSALITY-FAILED
1,Projection-Antisymmetry,NullUniversalityControl,0.6836,0.7012,0.683,0.6893,0.6803,0.654,0.6928,UNIVERSALITY-PARTIAL
2,Projection-Antisymmetry,NullUniversalityControl,0.7015,0.692,0.6549,0.6939,0.6674,0.6321,0.6604,UNIVERSALITY-PARTIAL
4,Projection-Antisymmetry,NullUniversalityControl,0.6342,0.6602,0.634,0.6312,0.6351,0.5973,0.6373,UNIVERSALITY-PARTIAL
6,Projection-Antisymmetry,NullUniversalityControl,0.6048,0.6179,0.5928,0.6117,0.5801,0.5693,0.5834,UNIVERSALITY-DEGRADING
8,Projection-Antisymmetry,NullUniversalityControl,0.5815,0.5974,0.5935,0.602,0.5567,0.5471,0.5625,UNIVERSALITY-DEGRADING
12,Projection-Antisymmetry,NullUniversalityControl,0.5565,0.5537,0.5396,0.5325,0.5086,0.5184,0.5263,UNIVERSALITY-DEGRADING
16,Projection-Antisymmetry,NullUniversalityControl,0.4909,0.5059,0.497,0.5008,0.4924,0.4794,0.4904,UNIVERSALITY-DEGRADING
20,Projection-Antisymmetry,NullUniversalityControl,0.4758,0.4689,0.4622,0.4692,0.4398,0.4343,0.4575,UNIVERSALITY-DEGRADING
24,Projection-Antisymmetry,NullUniversalityControl,0.4333,0.4368,0.4233,0.4405,0.4184,0.4025,0.4318,UNIVERSALITY-FAILED
32,Projection-Antisymmetry,NullUniversalityControl,0.3795,0.3855,0.3828,0.3876,0.3751,0.3716,0.3637,UNIVERSALITY-FAILED
