depth,sector,condition,rg_similarity,degradation_slope,stability_half_life,drift_accumulation,fragmentation_index,operator_saturation,horizon_extension_gain,classification
32,Antisymmetry-Neutral,HorizonExtension,0.4283,0.0743,0.424,0.0297,0.0237,0.0225,0.0851,HORIZON-COLLAPSING
40,Antisymmetry-Neutral,HorizonExtension,0.3743,0.0793,0.368,0.045,0.0308,0.0316,0.0774,HORIZON-COLLAPSING
1,Antisymmetry-Neutral,NullHorizonControl,0.5872,0.1429,0.6024,0.185,0.2105,0.1509,-0.0002,HORIZON-COLLAPSING
2,Antisymmetry-Neutral,NullHorizonControl,0.5724,0.1516,0.5946,0.1977,0.213,0.152,-0.0133,HORIZON-COLLAPSING
4,Antisymmetry-Neutral,NullHorizonControl,0.5286,0.1608,0.5673,0.2099,0.2027,0.1479,-0.0086,HORIZON-COLLAPSING
6,Antisymmetry-Neutral,NullHorizonControl,0.5202,0.1632,0.5288,0.211,0.2279,0.1504,0.0004,HORIZON-COLLAPSING
8,Antisymmetry-Neutral,NullHorizonControl,0.4682,0.1738,0.5085,0.2169,0.221,0.1621,-0.0054,HORIZON-COLLAPSING
12,Antisymmetry-Neutral,NullHorizonControl,0.4516,0.1731,0.4508,0.2368,0.25,0.1584,-0.0017,HORIZON-COLLAPSING
16,Antisymmetry-Neutral,NullHorizonControl,0.3962,0.1942,0.4171,0.25,0.2492,0.157,-0.0039,HORIZON-COLLAPSING
20,Antisymmetry-Neutral,NullHorizonControl,0.3711,0.2,0.3863,0.25,0.25,0.1696,0.0047,HORIZON-COLLAPSING
24,Antisymmetry-Neutral,NullHorizonControl,0.3366,0.1979,0.3657,0.25,0.25,0.1862,-0.0083,HORIZON-FAILED
28,Antisymmetry-Neutral,NullHorizonControl,0.3143,0.2,0.3419,0.25,0.25,0.193,0.0016,HORIZON-FAILED
32,Antisymmetry-Neutral,NullHorizonControl,0.2928,0.2,0.3179,0.25,0.25,0.1941,-0.0037,HORIZON-FAILED
40,Antisymmetry-Neutral,NullHorizonControl,0.273,0.2,0.2889,0.25,0.25,0.2,-0.0077,HORIZON-FAILED
1,Projection-Antisymmetry-Neutral,BaselineHorizon,0.7612,0.0558,0.75,0.0464,0.06,0.0451,0.043,HORIZON-DEGRADING
2,Projection-Antisymmetry-Neutral,BaselineHorizon,0.7721,0.0585,0.7269,0.0494,0.0588,0.0334,0.0492,HORIZON-DEGRADING
4,Projection-Antisymmetry-Neutral,BaselineHorizon,0.7119,0.0574,0.6849,0.037,0.0645,0.0511,0.0414,HORIZON-DEGRADING
6,Projection-Antisymmetry-Neutral,BaselineHorizon,0.6814,0.0542,0.678,0.0532,0.0597,0.0415,0.0249,HORIZON-DEGRADING
8,Projection-Antisymmetry-Neutral,BaselineHorizon,0.6511,0.0549,0.6337,0.0379,0.0605,0.0538,0.0348,HORIZON-DEGRADING
12,Projection-Antisymmetry-Neutral,BaselineHorizon,0.5782,0.058,0.5884,0.0457,0.0597,0.0577,0.0278,HORIZON-WEAK
16,Projection-Antisymmetry-Neutral,BaselineHorizon,0.5415,0.0686,0.5398,0.0422,0.0715,0.0602,0.0203,HORIZON-WEAK
20,Projection-Antisymmetry-Neutral,BaselineHorizon,0.5044,0.0745,0.4825,0.0546,0.0644,0.0469,0.0287,HORIZON-WEAK
24,Projection-Antisymmetry-Neutral,BaselineHorizon,0.4706,0.0723,0.4449,0.0598,0.071,0.0518,0.032,HORIZON-COLLAPSING
28,Projection-Antisymmetry-Neutral,BaselineHorizon,0.4406,0.0646,0.4317,0.0654,0.0873,0.0576,0.0295,HORIZON-COLLAPSING
32,Projection-Antisymmetry-Neutral,BaselineHorizon,0.4108,0.0895,0.3894,0.0834,0.0843,0.0509,0.0172,HORIZON-COLLAPSING
40,Projection-Antisymmetry-Neutral,BaselineHorizon,0.3537,0.0692,0.3444,0.0741,0.0843,0.0495,0.0189,HORIZON-COLLAPSING
1,Projection-Antisymmetry-Neutral,DriftAccumulation,0.7643,0.0736,0.7507,0.0903,0.0788,0.0553,0.0333,HORIZON-DEGRADING
2,Projection-Antisymmetry-Neutral,DriftAccumulation,0.7396,0.0752,0.7046,0.0885,0.0799,0.0511,0.0533,HORIZON-DEGRADING
4,Projection-Antisymmetry-Neutral,DriftAccumulation,0.7002,0.0727,0.6932,0.0927,0.0754,0.0477,0.0335,HORIZON-DEGRADING
6,Projection-Antisymmetry-Neutral,DriftAccumulation,0.6733,0.0765,0.6458,0.101,0.0685,0.0615,0.0485,HORIZON-DEGRADING
8,Projection-Antisymmetry-Neutral,DriftAccumulation,0.6131,0.0766,0.6169,0.099,0.0719,0.0574,0.0277,HORIZON-WEAK
12,Projection-Antisymmetry-Neutral,DriftAccumulation,0.5589,0.085,0.5466,0.0903,0.0937,0.0655,0.0268,HORIZON-WEAK
16,Projection-Antisymmetry-Neutral,DriftAccumulation,0.5247,0.0852,0.5044,0.1073,0.0842,0.0637,0.0228,HORIZON-WEAK
20,Projection-Antisymmetry-Neutral,DriftAccumulation,0.4784,0.0854,0.4705,0.1061,0.0891,0.0745,0.0211,HORIZON-COLLAPSING
24,Projection-Antisymmetry-Neutral,DriftAccumulation,0.4414,0.0847,0.4432,0.107,0.1078,0.0656,0.0247,HORIZON-COLLAPSING
28,Projection-Antisymmetry-Neutral,DriftAccumulation,0.4113,0.0971,0.4075,0.1207,0.1089,0.0654,0.0164,HORIZON-COLLAPSING
32,Projection-Antisymmetry-Neutral,DriftAccumulation,0.393,0.1121,0.3814,0.1207,0.1231,0.0611,0.0173,HORIZON-COLLAPSING
40,Projection-Antisymmetry-Neutral,DriftAccumulation,0.3523,0.1015,0.3335,0.1308,0.1298,0.0739,0.0132,HORIZON-COLLAPSING
1,Projection-Antisymmetry-Neutral,OperatorSaturation,0.7587,0.0772,0.7227,0.0557,0.0561,0.0829,0.0507,HORIZON-DEGRADING
2,Projection-Antisymmetry-Neutral,OperatorSaturation,0.7468,0.0704,0.7145,0.0638,0.0606,0.0863,0.0322,HORIZON-DEGRADING
4,Projection-Antisymmetry-Neutral,OperatorSaturation,0.6714,0.0746,0.6609,0.0719,0.073,0.0997,0.0477,HORIZON-DEGRADING
6,Projection-Antisymmetry-Neutral,OperatorSaturation,0.651,0.0791,0.6437,0.0576,0.0609,0.0991,0.0446,HORIZON-DEGRADING
8,Projection-Antisymmetry-Neutral,OperatorSaturation,0.6201,0.0885,0.5956,0.0633,0.0615,0.1083,0.0455,HORIZON-WEAK
12,Projection-Antisymmetry-Neutral,OperatorSaturation,0.5678,0.0813,0.536,0.0753,0.0651,0.1018,0.0221,HORIZON-WEAK
16,Projection-Antisymmetry-Neutral,OperatorSaturation,0.5141,0.1003,0.5014,0.0709,0.0678,0.1182,0.0339,HORIZON-WEAK
20,Projection-Antisymmetry-Neutral,OperatorSaturation,0.4885,0.087,0.4555,0.0966,0.0927,0.1026,0.0203,HORIZON-COLLAPSING
24,Projection-Antisymmetry-Neutral,OperatorSaturation,0.443,0.0898,0.4351,0.1035,0.1001,0.1184,0.0196,HORIZON-COLLAPSING
28,Projection-Antisymmetry-Neutral,OperatorSaturation,0.4169,0.0939,0.4036,0.0979,0.0784,0.133,0.0318,HORIZON-COLLAPSING
32,Projection-Antisymmetry-Neutral,OperatorSaturation,0.3887,0.0929,0.3836,0.0849,0.1117,0.117,0.0264,HORIZON-COLLAPSING
40,Projection-Antisymmetry-Neutral,OperatorSaturation,0.347,0.1263,0.329,0.1253,0.1056,0.1382,0.0213,HORIZON-FAILED
1,Projection-Antisymmetry-Neutral,ScaleFragmentation,0.7284,0.0753,0.7089,0.069,0.109,0.0696,0.0564,HORIZON-WEAK
2,Projection-Antisymmetry-Neutral,ScaleFragmentation,0.7345,0.0709,0.696,0.0753,0.1046,0.0703,0.0475,HORIZON-WEAK
4,Projection-Antisymmetry-Neutral,ScaleFragmentation,0.684,0.0748,0.6627,0.085,0.1278,0.072,0.0308,HORIZON-COLLAPSING
6,Projection-Antisymmetry-Neutral,ScaleFragmentation,0.6329,0.0868,0.614,0.0886,0.1208,0.075,0.0268,HORIZON-COLLAPSING
8,Projection-Antisymmetry-Neutral,ScaleFragmentation,0.6108,0.085,0.5787,0.0912,0.1153,0.0682,0.0236,HORIZON-WEAK
12,Projection-Antisymmetry-Neutral,ScaleFragmentation,0.5713,0.0849,0.5253,0.0953,0.1251,0.0807,0.0222,HORIZON-COLLAPSING
16,Projection-Antisymmetry-Neutral,ScaleFragmentation,0.5232,0.0838,0.5034,0.0946,0.1395,0.0652,0.0288,HORIZON-COLLAPSING
20,Projection-Antisymmetry-Neutral,ScaleFragmentation,0.4795,0.0979,0.4591,0.092,0.1447,0.0835,0.0334,HORIZON-COLLAPSING
24,Projection-Antisymmetry-Neutral,ScaleFragmentation,0.4447,0.1111,0.4293,0.1078,0.1502,0.0665,0.0245,HORIZON-COLLAPSING
28,Projection-Antisymmetry-Neutral,ScaleFragmentation,0.4223,0.1164,0.3856,0.1203,0.1534,0.0852,0.0188,HORIZON-COLLAPSING
32,Projection-Antisymmetry-Neutral,ScaleFragmentation,0.3885,0.0999,0.3733,0.1078,0.1594,0.0754,0.0191,HORIZON-COLLAPSING
40,Projection-Antisymmetry-Neutral,ScaleFragmentation,0.347,0.1289,0.3338,0.1251,0.1758,0.1026,0.0261,HORIZON-FAILED
1,Projection-Antisymmetry-Neutral,HorizonExtension,0.8282,0.0357,0.8067,0.0197,0.0165,0.0171,0.1537,HORIZON-STABLE
2,Projection-Antisymmetry-Neutral,HorizonExtension,0.7897,0.044,0.8024,0.0257,0.0287,0.0179,0.1567,HORIZON-DEGRADING
4,Projection-Antisymmetry-Neutral,HorizonExtension,0.7674,0.0381,0.75,0.0275,0.0303,0.0214,0.1481,HORIZON-DEGRADING
6,Projection-Antisymmetry-Neutral,HorizonExtension,0.73,0.0445,0.7227,0.0233,0.0143,0.0268,0.1385,HORIZON-DEGRADING
8,Projection-Antisymmetry-Neutral,HorizonExtension,0.6844,0.0528,0.6769,0.0346,0.0307,0.0299,0.1404,HORIZON-DEGRADING
12,Projection-Antisymmetry-Neutral,HorizonExtension,0.6245,0.0382,0.6237,0.0169,0.0349,0.0256,0.1327,HORIZON-WEAK
16,Projection-Antisymmetry-Neutral,HorizonExtension,0.5621,0.0464,0.5529,0.0291,0.031,0.0277,0.1026,HORIZON-WEAK
20,Projection-Antisymmetry-Neutral,HorizonExtension,0.5169,0.0553,0.5321,0.0259,0.0214,0.0271,0.1076,HORIZON-WEAK
24,Projection-Antisymmetry-Neutral,HorizonExtension,0.4843,0.0563,0.4823,0.0335,0.0374,0.0391,0.0925,HORIZON-COLLAPSING
28,Projection-Antisymmetry-Neutral,HorizonExtension,0.458,0.0648,0.4512,0.0275,0.0302,0.0409,0.0931,HORIZON-COLLAPSING
32,Projection-Antisymmetry-Neutral,HorizonExtension,0.4162,0.0487,0.4183,0.0325,0.0435,0.0305,0.0849,HORIZON-COLLAPSING
40,Projection-Antisymmetry-Neutral,HorizonExtension,0.3772,0.0742,0.3772,0.0336,0.0348,0.0199,0.0729,HORIZON-COLLAPSING
1,Projection-Antisymmetry-Neutral,NullHorizonControl,0.5704,0.1576,0.601,0.1962,0.2103,0.1483,0.0012,HORIZON-COLLAPSING
2,Projection-Antisymmetry-Neutral,NullHorizonControl,0.5798,0.1622,0.5868,0.1958,0.2035,0.1373,-0.0181,HORIZON-COLLAPSING
4,Projection-Antisymmetry-Neutral,NullHorizonControl,0.526,0.1597,0.5784,0.1942,0.2159,0.1441,-0.0134,HORIZON-COLLAPSING
6,Projection-Antisymmetry-Neutral,NullHorizonControl,0.5197,0.1571,0.5378,0.2089,0.2231,0.1476,-0.015,HORIZON-COLLAPSING
8,Projection-Antisymmetry-Neutral,NullHorizonControl,0.4762,0.1778,0.4984,0.2174,0.2299,0.1622,0.0022,HORIZON-COLLAPSING
12,Projection-Antisymmetry-Neutral,NullHorizonControl,0.4338,0.167,0.4582,0.2253,0.2366,0.1558,-0.0064,HORIZON-COLLAPSING
16,Projection-Antisymmetry-Neutral,NullHorizonControl,0.4004,0.1927,0.4132,0.25,0.2461,0.1707,-0.0081,HORIZON-COLLAPSING
20,Projection-Antisymmetry-Neutral,NullHorizonControl,0.3742,0.1955,0.383,0.25,0.25,0.182,0.0046,HORIZON-COLLAPSING
24,Projection-Antisymmetry-Neutral,NullHorizonControl,0.3511,0.2,0.3556,0.25,0.25,0.1785,-0.0077,HORIZON-COLLAPSING
28,Projection-Antisymmetry-Neutral,NullHorizonControl,0.3287,0.2,0.3336,0.25,0.25,0.1776,-0.008,HORIZON-FAILED
32,Projection-Antisymmetry-Neutral,NullHorizonControl,0.2984,0.2,0.3212,0.25,0.25,0.2,0.0017,HORIZON-FAILED
40,Projection-Antisymmetry-Neutral,NullHorizonControl,0.2692,0.2,0.2899,0.25,0.25,0.1991,-0.0092,HORIZON-FAILED
