depth,sector,condition,rg_similarity,conservation_stability,invariant_preservation_index,redistribution_coherence,recursive_conservation_persistence,attractor_conservation_alignment,universality_conservation_score,classification
40,Neutral,AttractorLinkedConservationMapping,0.4648,0.468,0.4574,0.4522,0.446,0.4606,0.4506,CONSERVATION-FAILED
48,Neutral,AttractorLinkedConservationMapping,0.4293,0.424,0.4094,0.415,0.4138,0.4048,0.4078,CONSERVATION-FAILED
64,Neutral,AttractorLinkedConservationMapping,0.367,0.3511,0.356,0.342,0.3474,0.3473,0.3531,CONSERVATION-FAILED
80,Neutral,AttractorLinkedConservationMapping,0.3227,0.3168,0.3006,0.3061,0.3047,0.3035,0.3016,CONSERVATION-FAILED
96,Neutral,AttractorLinkedConservationMapping,0.2883,0.2788,0.2679,0.2657,0.2689,0.266,0.2635,CONSERVATION-FAILED
128,Neutral,AttractorLinkedConservationMapping,0.2334,0.2211,0.2173,0.2226,0.2151,0.2203,0.2134,CONSERVATION-FAILED
160,Neutral,AttractorLinkedConservationMapping,0.1901,0.1907,0.1851,0.1797,0.179,0.1802,0.1798,CONSERVATION-FAILED
192,Neutral,AttractorLinkedConservationMapping,0.1698,0.1615,0.1626,0.1614,0.1598,0.1574,0.1607,CONSERVATION-FAILED
256,Neutral,AttractorLinkedConservationMapping,0.1306,0.128,0.1239,0.1229,0.1224,0.1264,0.1275,CONSERVATION-FAILED
320,Neutral,AttractorLinkedConservationMapping,0.107,0.1053,0.1053,0.101,0.1032,0.1045,0.1042,CONSERVATION-FAILED
512,Neutral,AttractorLinkedConservationMapping,0.0716,0.0685,0.0671,0.0659,0.0654,0.0657,0.067,CONSERVATION-FAILED
768,Neutral,AttractorLinkedConservationMapping,0.05,0.05,0.05,0.05,0.05,0.05,0.05,CONSERVATION-FAILED
1,Neutral,ScaleIndependentConservationTesting,0.9015,0.869,0.8522,0.8548,0.8402,0.8176,0.8707,CONSERVATION-STABLE
2,Neutral,ScaleIndependentConservationTesting,0.8812,0.8404,0.8619,0.8203,0.8206,0.8113,0.8425,CONSERVATION-BOUNDED
4,Neutral,ScaleIndependentConservationTesting,0.8239,0.8138,0.7993,0.806,0.8141,0.7953,0.8255,CONSERVATION-BOUNDED
6,Neutral,ScaleIndependentConservationTesting,0.7955,0.7727,0.7758,0.7708,0.7738,0.7439,0.7809,CONSERVATION-BOUNDED
8,Neutral,ScaleIndependentConservationTesting,0.7686,0.7669,0.7459,0.7321,0.7348,0.7259,0.7608,CONSERVATION-PARTIAL
12,Neutral,ScaleIndependentConservationTesting,0.7123,0.709,0.698,0.6702,0.6731,0.656,0.7022,CONSERVATION-PARTIAL
16,Neutral,ScaleIndependentConservationTesting,0.6536,0.664,0.6477,0.63,0.6288,0.6167,0.6383,CONSERVATION-DEGRADING
20,Neutral,ScaleIndependentConservationTesting,0.6365,0.6139,0.5897,0.5915,0.6064,0.5757,0.6008,CONSERVATION-DEGRADING
24,Neutral,ScaleIndependentConservationTesting,0.5899,0.577,0.5711,0.5656,0.5515,0.5471,0.5667,CONSERVATION-DEGRADING
32,Neutral,ScaleIndependentConservationTesting,0.5132,0.5026,0.4969,0.4886,0.5094,0.4887,0.5129,CONSERVATION-DEGRADING
40,Neutral,ScaleIndependentConservationTesting,0.4637,0.456,0.4638,0.451,0.4575,0.4428,0.4697,CONSERVATION-FAILED
48,Neutral,ScaleIndependentConservationTesting,0.4361,0.4195,0.409,0.4101,0.419,0.4021,0.4298,CONSERVATION-FAILED
64,Neutral,ScaleIndependentConservationTesting,0.3718,0.352,0.3529,0.3486,0.3544,0.3353,0.3653,CONSERVATION-FAILED
80,Neutral,ScaleIndependentConservationTesting,0.3111,0.3118,0.305,0.2972,0.3081,0.2997,0.3069,CONSERVATION-FAILED
96,Neutral,ScaleIndependentConservationTesting,0.2858,0.2794,0.2767,0.2706,0.2718,0.2627,0.2754,CONSERVATION-FAILED
128,Neutral,ScaleIndependentConservationTesting,0.2313,0.2224,0.2237,0.2232,0.2219,0.2177,0.2199,CONSERVATION-FAILED
160,Neutral,ScaleIndependentConservationTesting,0.1901,0.1839,0.1833,0.1838,0.186,0.1789,0.1859,CONSERVATION-FAILED
192,Neutral,ScaleIndependentConservationTesting,0.1657,0.1623,0.1591,0.1555,0.162,0.1544,0.1654,CONSERVATION-FAILED
256,Neutral,ScaleIndependentConservationTesting,0.1288,0.1259,0.1289,0.1253,0.127,0.1246,0.1267,CONSERVATION-FAILED
320,Neutral,ScaleIndependentConservationTesting,0.1061,0.1041,0.1036,0.1006,0.1037,0.1017,0.1044,CONSERVATION-FAILED
512,Neutral,ScaleIndependentConservationTesting,0.0713,0.0699,0.0669,0.0659,0.0666,0.0642,0.0689,CONSERVATION-FAILED
768,Neutral,ScaleIndependentConservationTesting,0.05,0.05,0.05,0.05,0.05,0.05,0.05,CONSERVATION-FAILED
1,Neutral,NullConservationControl,0.7275,0.7071,0.6759,0.7102,0.6602,0.6618,0.6837,CONSERVATION-PARTIAL
2,Neutral,NullConservationControl,0.6946,0.6877,0.6994,0.701,0.6416,0.6661,0.6726,CONSERVATION-PARTIAL
4,Neutral,NullConservationControl,0.6751,0.6473,0.6519,0.6602,0.6399,0.607,0.643,CONSERVATION-DEGRADING
6,Neutral,NullConservationControl,0.6265,0.627,0.6133,0.6253,0.6151,0.5802,0.6271,CONSERVATION-DEGRADING
8,Neutral,NullConservationControl,0.6224,0.5918,0.6146,0.6173,0.5889,0.5659,0.5813,CONSERVATION-DEGRADING
12,Neutral,NullConservationControl,0.5818,0.5646,0.5436,0.5519,0.5369,0.5324,0.5377,CONSERVATION-DEGRADING
16,Neutral,NullConservationControl,0.5414,0.5171,0.5125,0.5176,0.5133,0.4846,0.513,CONSERVATION-DEGRADING
20,Neutral,NullConservationControl,0.495,0.4913,0.4837,0.4899,0.4614,0.4662,0.4721,CONSERVATION-FAILED
24,Neutral,NullConservationControl,0.4675,0.4489,0.4603,0.4634,0.4538,0.4224,0.4438,CONSERVATION-FAILED
32,Neutral,NullConservationControl,0.4065,0.4107,0.411,0.4139,0.3993,0.3782,0.389,CONSERVATION-FAILED
40,Neutral,NullConservationControl,0.3657,0.3812,0.3658,0.3743,0.3562,0.3419,0.3612,CONSERVATION-FAILED
48,Neutral,NullConservationControl,0.3443,0.3474,0.3437,0.3386,0.3313,0.3227,0.3213,CONSERVATION-FAILED
64,Neutral,NullConservationControl,0.2922,0.2813,0.2804,0.2918,0.2837,0.2789,0.286,CONSERVATION-FAILED
80,Neutral,NullConservationControl,0.25,0.2555,0.2406,0.2441,0.2436,0.2349,0.2439,CONSERVATION-FAILED
96,Neutral,NullConservationControl,0.2263,0.2217,0.2234,0.2182,0.2126,0.2105,0.2198,CONSERVATION-FAILED
128,Neutral,NullConservationControl,0.1854,0.1761,0.1754,0.1749,0.1762,0.166,0.1729,CONSERVATION-FAILED
160,Neutral,NullConservationControl,0.1524,0.1492,0.1515,0.1483,0.1445,0.1447,0.1451,CONSERVATION-FAILED
192,Neutral,NullConservationControl,0.1291,0.1344,0.1302,0.1315,0.1283,0.126,0.1301,CONSERVATION-FAILED
256,Neutral,NullConservationControl,0.1032,0.1024,0.1021,0.1045,0.0975,0.0956,0.1016,CONSERVATION-FAILED
320,Neutral,NullConservationControl,0.0843,0.0831,0.0822,0.0841,0.0791,0.08,0.0834,CONSERVATION-FAILED
512,Neutral,NullConservationControl,0.0567,0.0559,0.0542,0.0543,0.0538,0.0516,0.0537,CONSERVATION-FAILED
768,Neutral,NullConservationControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,CONSERVATION-FAILED
1,Projection-Antisymmetry,RecursiveConservationTracking,0.9119,0.877,0.8625,0.8385,0.8407,0.8505,0.8446,CONSERVATION-STABLE
2,Projection-Antisymmetry,RecursiveConservationTracking,0.9116,0.8784,0.8432,0.8434,0.8417,0.8353,0.8323,CONSERVATION-BOUNDED
4,Projection-Antisymmetry,RecursiveConservationTracking,0.8508,0.8205,0.8153,0.8106,0.7985,0.7875,0.8084,CONSERVATION-BOUNDED
6,Projection-Antisymmetry,RecursiveConservationTracking,0.8207,0.8097,0.7925,0.767,0.7464,0.7677,0.7561,CONSERVATION-BOUNDED
8,Projection-Antisymmetry,RecursiveConservationTracking,0.775,0.7772,0.7603,0.7479,0.7191,0.7402,0.7424,CONSERVATION-BOUNDED
12,Projection-Antisymmetry,RecursiveConservationTracking,0.7403,0.7163,0.6915,0.685,0.67,0.6908,0.6869,CONSERVATION-PARTIAL
16,Projection-Antisymmetry,RecursiveConservationTracking,0.6797,0.6478,0.6446,0.6308,0.6293,0.6252,0.6421,CONSERVATION-DEGRADING
20,Projection-Antisymmetry,RecursiveConservationTracking,0.6489,0.6127,0.6169,0.5848,0.5862,0.5809,0.6075,CONSERVATION-DEGRADING
24,Projection-Antisymmetry,RecursiveConservationTracking,0.6024,0.5728,0.5695,0.5653,0.549,0.5511,0.5649,CONSERVATION-DEGRADING
32,Projection-Antisymmetry,RecursiveConservationTracking,0.5249,0.5119,0.521,0.511,0.4941,0.4977,0.4969,CONSERVATION-DEGRADING
40,Projection-Antisymmetry,RecursiveConservationTracking,0.48,0.4605,0.4678,0.4518,0.4457,0.4407,0.4567,CONSERVATION-FAILED
48,Projection-Antisymmetry,RecursiveConservationTracking,0.4395,0.4189,0.4252,0.4162,0.4016,0.4101,0.4207,CONSERVATION-FAILED
64,Projection-Antisymmetry,RecursiveConservationTracking,0.382,0.3636,0.3546,0.344,0.3507,0.3534,0.3524,CONSERVATION-FAILED
80,Projection-Antisymmetry,RecursiveConservationTracking,0.3296,0.3174,0.3156,0.3071,0.3047,0.3046,0.3031,CONSERVATION-FAILED
96,Projection-Antisymmetry,RecursiveConservationTracking,0.2835,0.272,0.2704,0.2645,0.2691,0.2691,0.2653,CONSERVATION-FAILED
128,Projection-Antisymmetry,RecursiveConservationTracking,0.2387,0.2303,0.2188,0.2184,0.2119,0.2189,0.2177,CONSERVATION-FAILED
160,Projection-Antisymmetry,RecursiveConservationTracking,0.1982,0.1934,0.1897,0.1795,0.1812,0.1781,0.1835,CONSERVATION-FAILED
192,Projection-Antisymmetry,RecursiveConservationTracking,0.1721,0.1629,0.1624,0.1595,0.1595,0.155,0.157,CONSERVATION-FAILED
256,Projection-Antisymmetry,RecursiveConservationTracking,0.1319,0.1262,0.1289,0.1249,0.1224,0.124,0.1228,CONSERVATION-FAILED
320,Projection-Antisymmetry,RecursiveConservationTracking,0.1094,0.1075,0.1059,0.1011,0.1009,0.1005,0.1019,CONSERVATION-FAILED
512,Projection-Antisymmetry,RecursiveConservationTracking,0.0713,0.0704,0.0693,0.0656,0.0654,0.0659,0.0671,CONSERVATION-FAILED
768,Projection-Antisymmetry,RecursiveConservationTracking,0.05,0.05,0.05,0.05,0.05,0.05,0.05,CONSERVATION-FAILED
1,Projection-Antisymmetry,InvariantRedistributionAnalysis,0.9013,0.8986,0.877,0.8482,0.8479,0.8304,0.8847,CONSERVATION-STABLE
2,Projection-Antisymmetry,InvariantRedistributionAnalysis,0.9137,0.8651,0.8581,0.8495,0.8387,0.8317,0.8603,CONSERVATION-STABLE
4,Projection-Antisymmetry,InvariantRedistributionAnalysis,0.8474,0.8108,0.8182,0.8203,0.7968,0.7885,0.8071,CONSERVATION-BOUNDED
6,Projection-Antisymmetry,InvariantRedistributionAnalysis,0.8352,0.7768,0.7819,0.7707,0.7826,0.7482,0.768,CONSERVATION-BOUNDED
8,Projection-Antisymmetry,InvariantRedistributionAnalysis,0.7914,0.7774,0.7785,0.7414,0.7288,0.7307,0.7434,CONSERVATION-BOUNDED
12,Projection-Antisymmetry,InvariantRedistributionAnalysis,0.7416,0.7059,0.713,0.683,0.6891,0.6756,0.6931,CONSERVATION-PARTIAL
16,Projection-Antisymmetry,InvariantRedistributionAnalysis,0.6742,0.6692,0.6477,0.6311,0.6226,0.621,0.6426,CONSERVATION-DEGRADING
20,Projection-Antisymmetry,InvariantRedistributionAnalysis,0.6363,0.626,0.6125,0.6072,0.5992,0.5752,0.5922,CONSERVATION-DEGRADING
24,Projection-Antisymmetry,InvariantRedistributionAnalysis,0.6016,0.5672,0.5733,0.5536,0.5643,0.5443,0.5735,CONSERVATION-DEGRADING
32,Projection-Antisymmetry,InvariantRedistributionAnalysis,0.5364,0.5097,0.5112,0.507,0.4905,0.4971,0.5107,CONSERVATION-DEGRADING
40,Projection-Antisymmetry,InvariantRedistributionAnalysis,0.4828,0.4713,0.4725,0.4631,0.4413,0.4444,0.4625,CONSERVATION-FAILED
48,Projection-Antisymmetry,InvariantRedistributionAnalysis,0.4434,0.4313,0.4258,0.4187,0.4171,0.4073,0.419,CONSERVATION-FAILED
64,Projection-Antisymmetry,InvariantRedistributionAnalysis,0.3723,0.3658,0.3581,0.3502,0.3453,0.3476,0.3576,CONSERVATION-FAILED
80,Projection-Antisymmetry,InvariantRedistributionAnalysis,0.3323,0.3204,0.3209,0.3028,0.308,0.2957,0.3133,CONSERVATION-FAILED
96,Projection-Antisymmetry,InvariantRedistributionAnalysis,0.2941,0.281,0.2724,0.2683,0.2704,0.2699,0.2725,CONSERVATION-FAILED
128,Projection-Antisymmetry,InvariantRedistributionAnalysis,0.2324,0.23,0.2269,0.2235,0.2156,0.212,0.2196,CONSERVATION-FAILED
160,Projection-Antisymmetry,InvariantRedistributionAnalysis,0.195,0.1867,0.1866,0.1842,0.1873,0.1845,0.1859,CONSERVATION-FAILED
192,Projection-Antisymmetry,InvariantRedistributionAnalysis,0.1736,0.1621,0.1637,0.1585,0.1593,0.1577,0.1615,CONSERVATION-FAILED
256,Projection-Antisymmetry,InvariantRedistributionAnalysis,0.1323,0.1266,0.1309,0.1253,0.1256,0.1207,0.1248,CONSERVATION-FAILED
320,Projection-Antisymmetry,InvariantRedistributionAnalysis,0.1125,0.1041,0.1069,0.1053,0.1014,0.102,0.1051,CONSERVATION-FAILED
512,Projection-Antisymmetry,InvariantRedistributionAnalysis,0.0733,0.07,0.0688,0.0674,0.0667,0.0665,0.0672,CONSERVATION-FAILED
768,Projection-Antisymmetry,InvariantRedistributionAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,CONSERVATION-FAILED
1,Projection-Antisymmetry,PerturbationConservationRecovery,0.9074,0.8918,0.8597,0.867,0.8473,0.8346,0.8598,CONSERVATION-STABLE
2,Projection-Antisymmetry,PerturbationConservationRecovery,0.9038,0.8456,0.8488,0.848,0.8247,0.8023,0.8333,CONSERVATION-BOUNDED
4,Projection-Antisymmetry,PerturbationConservationRecovery,0.8518,0.8272,0.7951,0.8048,0.7742,0.7824,0.7946,CONSERVATION-BOUNDED
6,Projection-Antisymmetry,PerturbationConservationRecovery,0.8031,0.7813,0.7742,0.7863,0.7435,0.7476,0.7502,CONSERVATION-BOUNDED
8,Projection-Antisymmetry,PerturbationConservationRecovery,0.7827,0.7549,0.7426,0.7493,0.7197,0.7083,0.7289,CONSERVATION-PARTIAL
12,Projection-Antisymmetry,PerturbationConservationRecovery,0.7198,0.6873,0.6832,0.7128,0.6613,0.6737,0.68,CONSERVATION-PARTIAL
16,Projection-Antisymmetry,PerturbationConservationRecovery,0.6608,0.6468,0.6472,0.6414,0.6282,0.6206,0.6217,CONSERVATION-DEGRADING
20,Projection-Antisymmetry,PerturbationConservationRecovery,0.6384,0.6168,0.6004,0.6187,0.595,0.5772,0.6091,CONSERVATION-DEGRADING
24,Projection-Antisymmetry,PerturbationConservationRecovery,0.5973,0.5695,0.5727,0.5702,0.5542,0.5477,0.5502,CONSERVATION-DEGRADING
32,Projection-Antisymmetry,PerturbationConservationRecovery,0.5325,0.5121,0.5158,0.5177,0.4881,0.4953,0.4956,CONSERVATION-DEGRADING
40,Projection-Antisymmetry,PerturbationConservationRecovery,0.4735,0.4599,0.4651,0.4593,0.451,0.4415,0.4552,CONSERVATION-FAILED
48,Projection-Antisymmetry,PerturbationConservationRecovery,0.4334,0.424,0.4071,0.4158,0.4059,0.4026,0.4109,CONSERVATION-FAILED
64,Projection-Antisymmetry,PerturbationConservationRecovery,0.3735,0.3599,0.3552,0.3602,0.3374,0.3393,0.3491,CONSERVATION-FAILED
80,Projection-Antisymmetry,PerturbationConservationRecovery,0.3259,0.3167,0.3092,0.3164,0.2971,0.2908,0.2975,CONSERVATION-FAILED
96,Projection-Antisymmetry,PerturbationConservationRecovery,0.2818,0.2688,0.2721,0.277,0.2616,0.2682,0.27,CONSERVATION-FAILED
128,Projection-Antisymmetry,PerturbationConservationRecovery,0.2277,0.2206,0.2166,0.2234,0.2115,0.2144,0.2142,CONSERVATION-FAILED
160,Projection-Antisymmetry,PerturbationConservationRecovery,0.1973,0.1913,0.1866,0.192,0.1859,0.1822,0.1854,CONSERVATION-FAILED
192,Projection-Antisymmetry,PerturbationConservationRecovery,0.1692,0.1626,0.16,0.164,0.1576,0.1569,0.1615,CONSERVATION-FAILED
256,Projection-Antisymmetry,PerturbationConservationRecovery,0.1348,0.1256,0.1287,0.1253,0.1243,0.1246,0.1227,CONSERVATION-FAILED
320,Projection-Antisymmetry,PerturbationConservationRecovery,0.1078,0.1031,0.1044,0.1074,0.1003,0.0996,0.1003,CONSERVATION-FAILED
512,Projection-Antisymmetry,PerturbationConservationRecovery,0.0698,0.0675,0.0665,0.0675,0.0663,0.0662,0.0665,CONSERVATION-FAILED
768,Projection-Antisymmetry,PerturbationConservationRecovery,0.05,0.05,0.05,0.05,0.05,0.05,0.05,CONSERVATION-FAILED
1,Projection-Antisymmetry,TransportConservationPersistence,0.9304,0.9016,0.8763,0.8507,0.8521,0.8502,0.8829,CONSERVATION-STABLE
2,Projection-Antisymmetry,TransportConservationPersistence,0.9093,0.8578,0.8585,0.8548,0.8358,0.8115,0.8411,CONSERVATION-STABLE
4,Projection-Antisymmetry,TransportConservationPersistence,0.8692,0.8407,0.806,0.7913,0.8232,0.7772,0.7949,CONSERVATION-BOUNDED
6,Projection-Antisymmetry,TransportConservationPersistence,0.8159,0.8021,0.7779,0.7602,0.7674,0.7434,0.7919,CONSERVATION-BOUNDED
8,Projection-Antisymmetry,TransportConservationPersistence,0.7769,0.7563,0.7643,0.7469,0.7489,0.718,0.7609,CONSERVATION-BOUNDED
12,Projection-Antisymmetry,TransportConservationPersistence,0.7388,0.7071,0.6903,0.6772,0.702,0.6732,0.686,CONSERVATION-PARTIAL
16,Projection-Antisymmetry,TransportConservationPersistence,0.6677,0.6504,0.6385,0.6387,0.6505,0.6203,0.6363,CONSERVATION-DEGRADING
20,Projection-Antisymmetry,TransportConservationPersistence,0.6355,0.612,0.6175,0.6048,0.5941,0.5822,0.5952,CONSERVATION-DEGRADING
24,Projection-Antisymmetry,TransportConservationPersistence,0.5928,0.574,0.5756,0.5597,0.5611,0.546,0.5637,CONSERVATION-DEGRADING
32,Projection-Antisymmetry,TransportConservationPersistence,0.5274,0.5269,0.5031,0.5087,0.5142,0.4768,0.5072,CONSERVATION-DEGRADING
40,Projection-Antisymmetry,TransportConservationPersistence,0.4758,0.4568,0.4543,0.4595,0.4626,0.435,0.4593,CONSERVATION-FAILED
48,Projection-Antisymmetry,TransportConservationPersistence,0.4312,0.4168,0.4132,0.4146,0.411,0.4084,0.4224,CONSERVATION-FAILED
64,Projection-Antisymmetry,TransportConservationPersistence,0.3742,0.3654,0.3536,0.3539,0.3615,0.3418,0.3519,CONSERVATION-FAILED
80,Projection-Antisymmetry,TransportConservationPersistence,0.3272,0.3154,0.3136,0.3069,0.312,0.2929,0.3067,CONSERVATION-FAILED
96,Projection-Antisymmetry,TransportConservationPersistence,0.2836,0.2803,0.274,0.2728,0.2689,0.2561,0.2769,CONSERVATION-FAILED
128,Projection-Antisymmetry,TransportConservationPersistence,0.2279,0.2281,0.2235,0.2163,0.2174,0.2172,0.2199,CONSERVATION-FAILED
160,Projection-Antisymmetry,TransportConservationPersistence,0.1959,0.1915,0.1843,0.1831,0.1856,0.1761,0.1848,CONSERVATION-FAILED
192,Projection-Antisymmetry,TransportConservationPersistence,0.1668,0.166,0.1614,0.1559,0.1596,0.1545,0.1632,CONSERVATION-FAILED
256,Projection-Antisymmetry,TransportConservationPersistence,0.131,0.1301,0.1303,0.1232,0.1284,0.1236,0.1268,CONSERVATION-FAILED
320,Projection-Antisymmetry,TransportConservationPersistence,0.1096,0.1063,0.1067,0.1034,0.1037,0.0991,0.1043,CONSERVATION-FAILED
512,Projection-Antisymmetry,TransportConservationPersistence,0.0729,0.07,0.0683,0.0671,0.0692,0.0662,0.0676,CONSERVATION-FAILED
768,Projection-Antisymmetry,TransportConservationPersistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,CONSERVATION-FAILED
1,Projection-Antisymmetry,AttractorLinkedConservationMapping,0.891,0.8579,0.8706,0.8393,0.8581,0.86,0.8499,CONSERVATION-STABLE
2,Projection-Antisymmetry,AttractorLinkedConservationMapping,0.8724,0.8417,0.8445,0.8278,0.8409,0.8379,0.8428,CONSERVATION-BOUNDED
4,Projection-Antisymmetry,AttractorLinkedConservationMapping,0.8601,0.8372,0.7919,0.8007,0.8091,0.8009,0.8124,CONSERVATION-BOUNDED
6,Projection-Antisymmetry,AttractorLinkedConservationMapping,0.8122,0.7984,0.78,0.7845,0.7478,0.7795,0.7562,CONSERVATION-BOUNDED
8,Projection-Antisymmetry,AttractorLinkedConservationMapping,0.7698,0.766,0.7368,0.7487,0.7152,0.7431,0.7417,CONSERVATION-PARTIAL
12,Projection-Antisymmetry,AttractorLinkedConservationMapping,0.724,0.6931,0.6896,0.6715,0.6736,0.6805,0.6984,CONSERVATION-PARTIAL
16,Projection-Antisymmetry,AttractorLinkedConservationMapping,0.6751,0.642,0.6508,0.6279,0.6288,0.6417,0.6311,CONSERVATION-DEGRADING
20,Projection-Antisymmetry,AttractorLinkedConservationMapping,0.6304,0.5985,0.5895,0.6001,0.6016,0.5828,0.5991,CONSERVATION-DEGRADING
24,Projection-Antisymmetry,AttractorLinkedConservationMapping,0.5947,0.5649,0.5788,0.5713,0.5598,0.5631,0.5688,CONSERVATION-DEGRADING
32,Projection-Antisymmetry,AttractorLinkedConservationMapping,0.529,0.5096,0.5145,0.4899,0.4878,0.4943,0.4997,CONSERVATION-DEGRADING
40,Projection-Antisymmetry,AttractorLinkedConservationMapping,0.4687,0.4511,0.4586,0.461,0.4365,0.4405,0.4561,CONSERVATION-FAILED
48,Projection-Antisymmetry,AttractorLinkedConservationMapping,0.4408,0.4204,0.4106,0.4037,0.413,0.4152,0.4017,CONSERVATION-FAILED
64,Projection-Antisymmetry,AttractorLinkedConservationMapping,0.3628,0.3599,0.3471,0.3427,0.3459,0.3413,0.3549,CONSERVATION-FAILED
80,Projection-Antisymmetry,AttractorLinkedConservationMapping,0.3266,0.3153,0.3085,0.2997,0.3009,0.3053,0.3026,CONSERVATION-FAILED
96,Projection-Antisymmetry,AttractorLinkedConservationMapping,0.2863,0.2794,0.266,0.2682,0.2668,0.2627,0.2716,CONSERVATION-FAILED
128,Projection-Antisymmetry,AttractorLinkedConservationMapping,0.2284,0.2214,0.2197,0.2134,0.2122,0.2137,0.2225,CONSERVATION-FAILED
160,Projection-Antisymmetry,AttractorLinkedConservationMapping,0.1939,0.1863,0.1893,0.1823,0.1781,0.18,0.1804,CONSERVATION-FAILED
192,Projection-Antisymmetry,AttractorLinkedConservationMapping,0.1643,0.1626,0.1623,0.1555,0.1598,0.1561,0.1606,CONSERVATION-FAILED
256,Projection-Antisymmetry,AttractorLinkedConservationMapping,0.1291,0.1293,0.1253,0.1239,0.1257,0.1235,0.1271,CONSERVATION-FAILED
320,Projection-Antisymmetry,AttractorLinkedConservationMapping,0.1099,0.1043,0.1027,0.1021,0.1018,0.1004,0.101,CONSERVATION-FAILED
512,Projection-Antisymmetry,AttractorLinkedConservationMapping,0.0716,0.069,0.0682,0.0659,0.0676,0.0686,0.0667,CONSERVATION-FAILED
768,Projection-Antisymmetry,AttractorLinkedConservationMapping,0.05,0.05,0.05,0.05,0.05,0.05,0.05,CONSERVATION-FAILED
1,Projection-Antisymmetry,ScaleIndependentConservationTesting,0.8971,0.883,0.8744,0.8392,0.8676,0.8218,0.8694,CONSERVATION-STABLE
2,Projection-Antisymmetry,ScaleIndependentConservationTesting,0.8801,0.8689,0.8276,0.8294,0.8424,0.8072,0.8473,CONSERVATION-BOUNDED
4,Projection-Antisymmetry,ScaleIndependentConservationTesting,0.8378,0.8353,0.792,0.8025,0.7987,0.7779,0.8302,CONSERVATION-BOUNDED
6,Projection-Antisymmetry,ScaleIndependentConservationTesting,0.7923,0.7912,0.7787,0.7662,0.7749,0.7598,0.7827,CONSERVATION-BOUNDED
8,Projection-Antisymmetry,ScaleIndependentConservationTesting,0.7888,0.7656,0.7298,0.7301,0.7267,0.7364,0.7384,CONSERVATION-PARTIAL
12,Projection-Antisymmetry,ScaleIndependentConservationTesting,0.7016,0.683,0.6829,0.6815,0.6686,0.6765,0.6855,CONSERVATION-PARTIAL
16,Projection-Antisymmetry,ScaleIndependentConservationTesting,0.6538,0.6514,0.6338,0.646,0.6451,0.6199,0.6623,CONSERVATION-DEGRADING
20,Projection-Antisymmetry,ScaleIndependentConservationTesting,0.6194,0.619,0.6037,0.6036,0.6062,0.581,0.6231,CONSERVATION-DEGRADING
24,Projection-Antisymmetry,ScaleIndependentConservationTesting,0.5735,0.577,0.5632,0.5506,0.5508,0.5496,0.5715,CONSERVATION-DEGRADING
32,Projection-Antisymmetry,ScaleIndependentConservationTesting,0.5244,0.5167,0.5067,0.5063,0.4922,0.4888,0.5145,CONSERVATION-DEGRADING
40,Projection-Antisymmetry,ScaleIndependentConservationTesting,0.4698,0.4657,0.4461,0.4493,0.4492,0.4421,0.4576,CONSERVATION-FAILED
48,Projection-Antisymmetry,ScaleIndependentConservationTesting,0.4289,0.4225,0.4211,0.418,0.4129,0.3947,0.4172,CONSERVATION-FAILED
64,Projection-Antisymmetry,ScaleIndependentConservationTesting,0.3676,0.3546,0.3533,0.3472,0.3499,0.3371,0.3628,CONSERVATION-FAILED
80,Projection-Antisymmetry,ScaleIndependentConservationTesting,0.3176,0.3153,0.3089,0.3032,0.3057,0.2963,0.3117,CONSERVATION-FAILED
96,Projection-Antisymmetry,ScaleIndependentConservationTesting,0.2813,0.2756,0.2685,0.2674,0.2632,0.2612,0.2762,CONSERVATION-FAILED
128,Projection-Antisymmetry,ScaleIndependentConservationTesting,0.2308,0.224,0.2258,0.2175,0.2173,0.2169,0.2208,CONSERVATION-FAILED
160,Projection-Antisymmetry,ScaleIndependentConservationTesting,0.1929,0.1842,0.1878,0.1827,0.1837,0.1821,0.1905,CONSERVATION-FAILED
192,Projection-Antisymmetry,ScaleIndependentConservationTesting,0.1661,0.1636,0.1617,0.157,0.1614,0.1563,0.1591,CONSERVATION-FAILED
256,Projection-Antisymmetry,ScaleIndependentConservationTesting,0.13,0.1294,0.1271,0.1227,0.1271,0.1189,0.128,CONSERVATION-FAILED
320,Projection-Antisymmetry,ScaleIndependentConservationTesting,0.108,0.1043,0.1021,0.103,0.1039,0.1019,0.1057,CONSERVATION-FAILED
512,Projection-Antisymmetry,ScaleIndependentConservationTesting,0.0696,0.0675,0.0666,0.0666,0.0664,0.065,0.0687,CONSERVATION-FAILED
768,Projection-Antisymmetry,ScaleIndependentConservationTesting,0.05,0.05,0.05,0.05,0.05,0.05,0.05,CONSERVATION-FAILED
1,Projection-Antisymmetry,NullConservationControl,0.725,0.6922,0.6841,0.7029,0.6874,0.6539,0.6909,CONSERVATION-PARTIAL
2,Projection-Antisymmetry,NullConservationControl,0.6967,0.7076,0.6924,0.6847,0.6542,0.6576,0.6815,CONSERVATION-PARTIAL
4,Projection-Antisymmetry,NullConservationControl,0.648,0.6715,0.6605,0.6645,0.6277,0.6331,0.6341,CONSERVATION-PARTIAL
