depth,sector,condition,rg_similarity,circulation_stability,flow_persistence,bottleneck_resilience,source_sink_balance,recursive_transport_coherence,circulation_hierarchy_index,classification
24,Projection-Antisymmetry,FlowBottleneckAnalysis,0.4745,0.4684,0.4467,0.4645,0.4391,0.434,0.4569,FLOW-DEGRADING
32,Projection-Antisymmetry,FlowBottleneckAnalysis,0.4234,0.4002,0.3977,0.394,0.3915,0.3869,0.3886,FLOW-DEGRADING
40,Projection-Antisymmetry,FlowBottleneckAnalysis,0.3724,0.3489,0.3574,0.346,0.3445,0.3305,0.3414,FLOW-FAILED
48,Projection-Antisymmetry,FlowBottleneckAnalysis,0.3286,0.3222,0.3124,0.3141,0.3089,0.3051,0.3112,FLOW-FAILED
64,Projection-Antisymmetry,FlowBottleneckAnalysis,0.2674,0.2619,0.2607,0.2546,0.2522,0.2425,0.2546,FLOW-FAILED
80,Projection-Antisymmetry,FlowBottleneckAnalysis,0.2311,0.2262,0.2174,0.2212,0.2167,0.2098,0.2132,FLOW-FAILED
96,Projection-Antisymmetry,FlowBottleneckAnalysis,0.201,0.1934,0.1945,0.1923,0.1872,0.1803,0.1843,FLOW-FAILED
128,Projection-Antisymmetry,FlowBottleneckAnalysis,0.1567,0.1532,0.152,0.1523,0.1514,0.1476,0.1521,FLOW-FAILED
160,Projection-Antisymmetry,FlowBottleneckAnalysis,0.1292,0.1251,0.1257,0.1258,0.1202,0.1215,0.127,FLOW-FAILED
192,Projection-Antisymmetry,FlowBottleneckAnalysis,0.1148,0.1081,0.1064,0.1084,0.1024,0.1027,0.1037,FLOW-FAILED
1,Projection-Antisymmetry,AttractorSourceSinkCharacterization,0.8739,0.8199,0.8334,0.8228,0.8255,0.7935,0.8338,FLOW-STABLE
2,Projection-Antisymmetry,AttractorSourceSinkCharacterization,0.8272,0.8163,0.815,0.7873,0.8059,0.7585,0.8099,FLOW-STABLE
4,Projection-Antisymmetry,AttractorSourceSinkCharacterization,0.7739,0.7696,0.7463,0.7224,0.7383,0.7091,0.7536,FLOW-BOUNDED
6,Projection-Antisymmetry,AttractorSourceSinkCharacterization,0.731,0.7124,0.7082,0.7011,0.6997,0.6606,0.7053,FLOW-BOUNDED
8,Projection-Antisymmetry,AttractorSourceSinkCharacterization,0.714,0.6635,0.6611,0.6473,0.6729,0.6423,0.6496,FLOW-BOUNDED
12,Projection-Antisymmetry,AttractorSourceSinkCharacterization,0.6222,0.5892,0.5933,0.5849,0.5819,0.5714,0.5988,FLOW-PARTIAL
16,Projection-Antisymmetry,AttractorSourceSinkCharacterization,0.5751,0.5373,0.5384,0.5277,0.5372,0.5288,0.5382,FLOW-DEGRADING
20,Projection-Antisymmetry,AttractorSourceSinkCharacterization,0.5213,0.5025,0.4971,0.4888,0.4886,0.487,0.4856,FLOW-DEGRADING
24,Projection-Antisymmetry,AttractorSourceSinkCharacterization,0.4814,0.4687,0.4561,0.4583,0.4464,0.436,0.4518,FLOW-DEGRADING
32,Projection-Antisymmetry,AttractorSourceSinkCharacterization,0.4228,0.3918,0.4038,0.3827,0.4049,0.3814,0.4039,FLOW-FAILED
40,Projection-Antisymmetry,AttractorSourceSinkCharacterization,0.3667,0.3577,0.3551,0.3432,0.3548,0.3381,0.3418,FLOW-FAILED
48,Projection-Antisymmetry,AttractorSourceSinkCharacterization,0.3273,0.3129,0.3135,0.3021,0.3131,0.2958,0.3166,FLOW-FAILED
64,Projection-Antisymmetry,AttractorSourceSinkCharacterization,0.2768,0.2566,0.2548,0.2565,0.2608,0.2455,0.2622,FLOW-FAILED
80,Projection-Antisymmetry,AttractorSourceSinkCharacterization,0.2277,0.2248,0.2216,0.2171,0.2232,0.2108,0.2145,FLOW-FAILED
96,Projection-Antisymmetry,AttractorSourceSinkCharacterization,0.1997,0.1937,0.1883,0.188,0.193,0.1884,0.1915,FLOW-FAILED
128,Projection-Antisymmetry,AttractorSourceSinkCharacterization,0.159,0.1564,0.1488,0.1478,0.1496,0.1444,0.1522,FLOW-FAILED
160,Projection-Antisymmetry,AttractorSourceSinkCharacterization,0.1305,0.1266,0.123,0.1254,0.125,0.122,0.1244,FLOW-FAILED
192,Projection-Antisymmetry,AttractorSourceSinkCharacterization,0.112,0.109,0.107,0.1064,0.1077,0.1055,0.1069,FLOW-FAILED
1,Projection-Antisymmetry,RecursiveTransportStability,0.8568,0.8363,0.8503,0.8253,0.801,0.8165,0.8,FLOW-STABLE
2,Projection-Antisymmetry,RecursiveTransportStability,0.8426,0.819,0.8088,0.799,0.7725,0.775,0.7781,FLOW-STABLE
4,Projection-Antisymmetry,RecursiveTransportStability,0.7836,0.7655,0.7669,0.7536,0.713,0.7452,0.7444,FLOW-STABLE
6,Projection-Antisymmetry,RecursiveTransportStability,0.7199,0.6945,0.7072,0.6808,0.7002,0.6864,0.6857,FLOW-BOUNDED
8,Projection-Antisymmetry,RecursiveTransportStability,0.6815,0.6723,0.6564,0.6711,0.6341,0.6411,0.6672,FLOW-BOUNDED
12,Projection-Antisymmetry,RecursiveTransportStability,0.6101,0.5934,0.6056,0.5775,0.5843,0.5936,0.5876,FLOW-PARTIAL
16,Projection-Antisymmetry,RecursiveTransportStability,0.5723,0.5477,0.5524,0.5396,0.5204,0.5364,0.5269,FLOW-DEGRADING
20,Projection-Antisymmetry,RecursiveTransportStability,0.5092,0.4925,0.4976,0.4816,0.4864,0.4848,0.4789,FLOW-DEGRADING
24,Projection-Antisymmetry,RecursiveTransportStability,0.4857,0.455,0.4575,0.459,0.4507,0.4426,0.4588,FLOW-DEGRADING
32,Projection-Antisymmetry,RecursiveTransportStability,0.4194,0.3935,0.395,0.382,0.3826,0.386,0.3933,FLOW-FAILED
40,Projection-Antisymmetry,RecursiveTransportStability,0.3618,0.3536,0.3608,0.3481,0.3472,0.3506,0.3531,FLOW-FAILED
48,Projection-Antisymmetry,RecursiveTransportStability,0.3257,0.3212,0.3133,0.3025,0.308,0.3072,0.3028,FLOW-FAILED
64,Projection-Antisymmetry,RecursiveTransportStability,0.2653,0.2668,0.2552,0.25,0.2516,0.2542,0.2514,FLOW-FAILED
80,Projection-Antisymmetry,RecursiveTransportStability,0.2251,0.2231,0.2202,0.2133,0.2129,0.213,0.2158,FLOW-FAILED
96,Projection-Antisymmetry,RecursiveTransportStability,0.2027,0.1935,0.1923,0.1905,0.189,0.189,0.1915,FLOW-FAILED
128,Projection-Antisymmetry,RecursiveTransportStability,0.1609,0.1533,0.152,0.147,0.1496,0.1523,0.1488,FLOW-FAILED
160,Projection-Antisymmetry,RecursiveTransportStability,0.1285,0.125,0.1243,0.1247,0.1242,0.1238,0.1256,FLOW-FAILED
192,Projection-Antisymmetry,RecursiveTransportStability,0.1144,0.1068,0.1108,0.1056,0.1074,0.1074,0.1083,FLOW-FAILED
1,Projection-Antisymmetry,PerturbationFlowRecovery,0.8559,0.8427,0.8391,0.8332,0.7922,0.7863,0.7989,FLOW-STABLE
2,Projection-Antisymmetry,PerturbationFlowRecovery,0.8426,0.7847,0.7859,0.8057,0.7708,0.7876,0.7882,FLOW-STABLE
4,Projection-Antisymmetry,PerturbationFlowRecovery,0.7805,0.7386,0.7582,0.7468,0.7309,0.7182,0.742,FLOW-BOUNDED
6,Projection-Antisymmetry,PerturbationFlowRecovery,0.7154,0.718,0.7107,0.7024,0.6646,0.6713,0.6925,FLOW-BOUNDED
8,Projection-Antisymmetry,PerturbationFlowRecovery,0.6804,0.6484,0.6739,0.6401,0.6248,0.638,0.639,FLOW-PARTIAL
12,Projection-Antisymmetry,PerturbationFlowRecovery,0.614,0.5832,0.5966,0.5929,0.5828,0.561,0.5899,FLOW-PARTIAL
16,Projection-Antisymmetry,PerturbationFlowRecovery,0.5706,0.5434,0.5295,0.5403,0.5167,0.526,0.5162,FLOW-DEGRADING
20,Projection-Antisymmetry,PerturbationFlowRecovery,0.5181,0.4995,0.4853,0.4796,0.4678,0.4868,0.4859,FLOW-DEGRADING
24,Projection-Antisymmetry,PerturbationFlowRecovery,0.4762,0.4587,0.4565,0.4507,0.4315,0.4307,0.4445,FLOW-DEGRADING
32,Projection-Antisymmetry,PerturbationFlowRecovery,0.4046,0.403,0.3931,0.3962,0.3821,0.3909,0.3948,FLOW-DEGRADING
40,Projection-Antisymmetry,PerturbationFlowRecovery,0.3632,0.3462,0.3562,0.3494,0.3336,0.3443,0.3445,FLOW-FAILED
48,Projection-Antisymmetry,PerturbationFlowRecovery,0.3276,0.3067,0.3053,0.3027,0.2944,0.3019,0.3109,FLOW-FAILED
64,Projection-Antisymmetry,PerturbationFlowRecovery,0.2684,0.2551,0.2613,0.2531,0.2508,0.2494,0.2463,FLOW-FAILED
80,Projection-Antisymmetry,PerturbationFlowRecovery,0.2292,0.2187,0.2143,0.2202,0.2099,0.2115,0.2161,FLOW-FAILED
96,Projection-Antisymmetry,PerturbationFlowRecovery,0.2005,0.1885,0.1949,0.1851,0.1835,0.1812,0.1833,FLOW-FAILED
128,Projection-Antisymmetry,PerturbationFlowRecovery,0.1552,0.1525,0.155,0.1477,0.1443,0.1483,0.1454,FLOW-FAILED
160,Projection-Antisymmetry,PerturbationFlowRecovery,0.1307,0.1263,0.1252,0.1221,0.1201,0.1199,0.1225,FLOW-FAILED
192,Projection-Antisymmetry,PerturbationFlowRecovery,0.1119,0.109,0.1062,0.1065,0.1036,0.1043,0.1055,FLOW-FAILED
1,Projection-Antisymmetry,NullCirculationControl,0.6639,0.6509,0.6659,0.6477,0.6245,0.6402,0.6273,FLOW-BOUNDED
2,Projection-Antisymmetry,NullCirculationControl,0.6504,0.6261,0.6466,0.6297,0.6315,0.6156,0.6096,FLOW-PARTIAL
4,Projection-Antisymmetry,NullCirculationControl,0.6016,0.616,0.5885,0.5985,0.5873,0.5683,0.6016,FLOW-PARTIAL
6,Projection-Antisymmetry,NullCirculationControl,0.5768,0.5507,0.5486,0.5759,0.5253,0.5432,0.5496,FLOW-DEGRADING
8,Projection-Antisymmetry,NullCirculationControl,0.5336,0.5239,0.5223,0.5248,0.5156,0.5156,0.5072,FLOW-DEGRADING
12,Projection-Antisymmetry,NullCirculationControl,0.4862,0.4922,0.4713,0.4862,0.4677,0.4389,0.4586,FLOW-DEGRADING
16,Projection-Antisymmetry,NullCirculationControl,0.4475,0.4329,0.4329,0.4363,0.4288,0.4188,0.4292,FLOW-DEGRADING
20,Projection-Antisymmetry,NullCirculationControl,0.3994,0.4092,0.3952,0.4093,0.3781,0.3766,0.377,FLOW-DEGRADING
24,Projection-Antisymmetry,NullCirculationControl,0.382,0.3757,0.3733,0.3577,0.3567,0.3493,0.3532,FLOW-FAILED
32,Projection-Antisymmetry,NullCirculationControl,0.3144,0.31,0.3056,0.3219,0.3115,0.3037,0.3115,FLOW-FAILED
40,Projection-Antisymmetry,NullCirculationControl,0.2814,0.2834,0.273,0.2886,0.2651,0.2587,0.2809,FLOW-FAILED
48,Projection-Antisymmetry,NullCirculationControl,0.2508,0.2572,0.2528,0.2533,0.2448,0.2295,0.2442,FLOW-FAILED
64,Projection-Antisymmetry,NullCirculationControl,0.2081,0.207,0.2083,0.2091,0.1978,0.1965,0.2028,FLOW-FAILED
80,Projection-Antisymmetry,NullCirculationControl,0.1744,0.1755,0.1765,0.1757,0.1683,0.1633,0.169,FLOW-FAILED
96,Projection-Antisymmetry,NullCirculationControl,0.158,0.1514,0.154,0.1554,0.1469,0.1406,0.145,FLOW-FAILED
128,Projection-Antisymmetry,NullCirculationControl,0.1254,0.1204,0.1169,0.12,0.1185,0.1122,0.118,FLOW-FAILED
160,Projection-Antisymmetry,NullCirculationControl,0.101,0.101,0.1019,0.1027,0.0971,0.0929,0.1011,FLOW-FAILED
192,Projection-Antisymmetry,NullCirculationControl,0.0852,0.087,0.0864,0.0841,0.0836,0.0823,0.0834,FLOW-FAILED
1,Projection-Neutral,TopologicalFlowMapping,0.8926,0.8364,0.8362,0.8192,0.8252,0.7859,0.8284,FLOW-STABLE
2,Projection-Neutral,TopologicalFlowMapping,0.8585,0.8064,0.7884,0.792,0.7808,0.788,0.7833,FLOW-STABLE
4,Projection-Neutral,TopologicalFlowMapping,0.7951,0.7484,0.7727,0.7245,0.7168,0.7346,0.7423,FLOW-BOUNDED
6,Projection-Neutral,TopologicalFlowMapping,0.7428,0.7052,0.7267,0.7055,0.6969,0.6882,0.6783,FLOW-BOUNDED
8,Projection-Neutral,TopologicalFlowMapping,0.7074,0.6742,0.6665,0.649,0.637,0.6482,0.6611,FLOW-BOUNDED
12,Projection-Neutral,TopologicalFlowMapping,0.6261,0.6153,0.5926,0.5958,0.5941,0.5751,0.5792,FLOW-PARTIAL
16,Projection-Neutral,TopologicalFlowMapping,0.5877,0.5509,0.5521,0.5305,0.5303,0.5313,0.5274,FLOW-PARTIAL
20,Projection-Neutral,TopologicalFlowMapping,0.5355,0.5058,0.5062,0.4917,0.4774,0.4754,0.5003,FLOW-DEGRADING
24,Projection-Neutral,TopologicalFlowMapping,0.4842,0.4696,0.4724,0.456,0.4509,0.4304,0.4592,FLOW-DEGRADING
32,Projection-Neutral,TopologicalFlowMapping,0.4158,0.4145,0.3973,0.385,0.3954,0.3806,0.3946,FLOW-DEGRADING
40,Projection-Neutral,TopologicalFlowMapping,0.3789,0.3642,0.3547,0.3399,0.3363,0.3293,0.3367,FLOW-FAILED
48,Projection-Neutral,TopologicalFlowMapping,0.3382,0.3204,0.3086,0.3143,0.3121,0.2988,0.315,FLOW-FAILED
64,Projection-Neutral,TopologicalFlowMapping,0.2701,0.2667,0.2645,0.2553,0.2536,0.2524,0.2535,FLOW-FAILED
80,Projection-Neutral,TopologicalFlowMapping,0.2337,0.2195,0.2173,0.2188,0.2112,0.2162,0.2128,FLOW-FAILED
96,Projection-Neutral,TopologicalFlowMapping,0.1991,0.1962,0.1906,0.1862,0.185,0.1809,0.1897,FLOW-FAILED
128,Projection-Neutral,TopologicalFlowMapping,0.1581,0.1525,0.1511,0.147,0.1504,0.1478,0.1492,FLOW-FAILED
160,Projection-Neutral,TopologicalFlowMapping,0.1332,0.127,0.1249,0.1252,0.1253,0.1216,0.1249,FLOW-FAILED
192,Projection-Neutral,TopologicalFlowMapping,0.1127,0.1106,0.109,0.1056,0.1046,0.1017,0.1037,FLOW-FAILED
1,Projection-Neutral,CirculationLoopDetection,0.8758,0.8445,0.8533,0.8198,0.8006,0.8039,0.8176,FLOW-STABLE
2,Projection-Neutral,CirculationLoopDetection,0.8544,0.8443,0.8094,0.7838,0.7893,0.7771,0.8006,FLOW-STABLE
4,Projection-Neutral,CirculationLoopDetection,0.8039,0.76,0.7474,0.7608,0.7161,0.7265,0.7517,FLOW-BOUNDED
6,Projection-Neutral,CirculationLoopDetection,0.7383,0.7191,0.718,0.7047,0.6716,0.6758,0.708,FLOW-BOUNDED
8,Projection-Neutral,CirculationLoopDetection,0.7056,0.6804,0.687,0.6473,0.6327,0.6357,0.6776,FLOW-BOUNDED
12,Projection-Neutral,CirculationLoopDetection,0.6325,0.6158,0.6083,0.6078,0.5715,0.5735,0.6078,FLOW-PARTIAL
16,Projection-Neutral,CirculationLoopDetection,0.5845,0.5709,0.5408,0.5419,0.5388,0.5285,0.5341,FLOW-DEGRADING
20,Projection-Neutral,CirculationLoopDetection,0.5369,0.5257,0.491,0.5004,0.4887,0.4913,0.5006,FLOW-DEGRADING
24,Projection-Neutral,CirculationLoopDetection,0.4953,0.4688,0.4737,0.4595,0.4517,0.4392,0.4489,FLOW-DEGRADING
32,Projection-Neutral,CirculationLoopDetection,0.4177,0.4122,0.4063,0.4032,0.3821,0.3898,0.404,FLOW-DEGRADING
40,Projection-Neutral,CirculationLoopDetection,0.365,0.3559,0.3575,0.3514,0.3397,0.3455,0.3434,FLOW-FAILED
48,Projection-Neutral,CirculationLoopDetection,0.329,0.3165,0.3126,0.3118,0.3044,0.3113,0.3104,FLOW-FAILED
64,Projection-Neutral,CirculationLoopDetection,0.2808,0.2664,0.2579,0.2575,0.2556,0.2559,0.2562,FLOW-FAILED
80,Projection-Neutral,CirculationLoopDetection,0.2361,0.2318,0.2211,0.2246,0.2103,0.2175,0.2208,FLOW-FAILED
96,Projection-Neutral,CirculationLoopDetection,0.2,0.1983,0.1894,0.1944,0.1817,0.1854,0.1868,FLOW-FAILED
128,Projection-Neutral,CirculationLoopDetection,0.1601,0.1551,0.1552,0.1516,0.1465,0.1485,0.1513,FLOW-FAILED
160,Projection-Neutral,CirculationLoopDetection,0.1356,0.1294,0.1257,0.1238,0.1227,0.1236,0.1271,FLOW-FAILED
192,Projection-Neutral,CirculationLoopDetection,0.1151,0.1095,0.1077,0.1077,0.1038,0.1063,0.1076,FLOW-FAILED
1,Projection-Neutral,FlowBottleneckAnalysis,0.8502,0.8442,0.8324,0.8488,0.7924,0.784,0.8072,FLOW-STABLE
2,Projection-Neutral,FlowBottleneckAnalysis,0.8369,0.8228,0.8106,0.7907,0.7927,0.7725,0.779,FLOW-STABLE
4,Projection-Neutral,FlowBottleneckAnalysis,0.7847,0.7568,0.7445,0.7564,0.7187,0.7166,0.749,FLOW-BOUNDED
6,Projection-Neutral,FlowBottleneckAnalysis,0.7253,0.7243,0.7151,0.726,0.7015,0.6899,0.7081,FLOW-BOUNDED
8,Projection-Neutral,FlowBottleneckAnalysis,0.7084,0.6778,0.6592,0.672,0.6418,0.629,0.6399,FLOW-BOUNDED
12,Projection-Neutral,FlowBottleneckAnalysis,0.6317,0.6063,0.5947,0.6019,0.5943,0.5693,0.5991,FLOW-PARTIAL
16,Projection-Neutral,FlowBottleneckAnalysis,0.5768,0.5432,0.5396,0.5501,0.5252,0.5208,0.5392,FLOW-DEGRADING
20,Projection-Neutral,FlowBottleneckAnalysis,0.5094,0.4917,0.4949,0.4976,0.4769,0.4692,0.4925,FLOW-DEGRADING
24,Projection-Neutral,FlowBottleneckAnalysis,0.4742,0.4664,0.4651,0.4643,0.4368,0.436,0.4574,FLOW-DEGRADING
32,Projection-Neutral,FlowBottleneckAnalysis,0.4213,0.3937,0.396,0.4099,0.3892,0.3907,0.3912,FLOW-FAILED
40,Projection-Neutral,FlowBottleneckAnalysis,0.3709,0.3475,0.3561,0.3563,0.3431,0.3433,0.3424,FLOW-FAILED
48,Projection-Neutral,FlowBottleneckAnalysis,0.3216,0.3133,0.3132,0.3107,0.2985,0.2987,0.3016,FLOW-FAILED
64,Projection-Neutral,FlowBottleneckAnalysis,0.2714,0.2561,0.2515,0.2604,0.2555,0.2454,0.2555,FLOW-FAILED
80,Projection-Neutral,FlowBottleneckAnalysis,0.225,0.2264,0.2193,0.2242,0.2104,0.2152,0.2122,FLOW-FAILED
96,Projection-Neutral,FlowBottleneckAnalysis,0.1992,0.1947,0.1949,0.1889,0.1866,0.1797,0.1876,FLOW-FAILED
128,Projection-Neutral,FlowBottleneckAnalysis,0.1625,0.1525,0.1515,0.1513,0.1477,0.1433,0.149,FLOW-FAILED
160,Projection-Neutral,FlowBottleneckAnalysis,0.1324,0.1244,0.1228,0.1246,0.1243,0.1219,0.1272,FLOW-FAILED
192,Projection-Neutral,FlowBottleneckAnalysis,0.1109,0.1068,0.1057,0.1103,0.1033,0.1017,0.1078,FLOW-FAILED
1,Projection-Neutral,AttractorSourceSinkCharacterization,0.8877,0.8287,0.845,0.7981,0.8161,0.8104,0.8149,FLOW-STABLE
2,Projection-Neutral,AttractorSourceSinkCharacterization,0.8305,0.8021,0.8019,0.7954,0.7933,0.7726,0.7952,FLOW-STABLE
4,Projection-Neutral,AttractorSourceSinkCharacterization,0.7706,0.7602,0.7505,0.7513,0.759,0.7214,0.7513,FLOW-STABLE
6,Projection-Neutral,AttractorSourceSinkCharacterization,0.7248,0.7111,0.714,0.7084,0.7132,0.677,0.6883,FLOW-BOUNDED
8,Projection-Neutral,AttractorSourceSinkCharacterization,0.6915,0.6871,0.6558,0.6657,0.6666,0.6532,0.6746,FLOW-BOUNDED
12,Projection-Neutral,AttractorSourceSinkCharacterization,0.6248,0.6008,0.5952,0.5875,0.6096,0.5732,0.5989,FLOW-PARTIAL
16,Projection-Neutral,AttractorSourceSinkCharacterization,0.5841,0.5387,0.546,0.5331,0.5368,0.5249,0.531,FLOW-DEGRADING
20,Projection-Neutral,AttractorSourceSinkCharacterization,0.5312,0.5105,0.4888,0.4872,0.5022,0.4697,0.5024,FLOW-DEGRADING
24,Projection-Neutral,AttractorSourceSinkCharacterization,0.4774,0.4633,0.4613,0.4597,0.4547,0.4435,0.4653,FLOW-DEGRADING
32,Projection-Neutral,AttractorSourceSinkCharacterization,0.4089,0.3918,0.3882,0.398,0.4047,0.3872,0.3891,FLOW-FAILED
40,Projection-Neutral,AttractorSourceSinkCharacterization,0.3751,0.3541,0.3449,0.3502,0.3542,0.3405,0.3491,FLOW-FAILED
48,Projection-Neutral,AttractorSourceSinkCharacterization,0.3278,0.3132,0.3115,0.3009,0.306,0.302,0.317,FLOW-FAILED
64,Projection-Neutral,AttractorSourceSinkCharacterization,0.266,0.2626,0.2587,0.255,0.2526,0.2436,0.26,FLOW-FAILED
80,Projection-Neutral,AttractorSourceSinkCharacterization,0.2276,0.2259,0.2177,0.2189,0.2242,0.2076,0.2223,FLOW-FAILED
96,Projection-Neutral,AttractorSourceSinkCharacterization,0.202,0.1936,0.1944,0.1876,0.1866,0.1865,0.1906,FLOW-FAILED
128,Projection-Neutral,AttractorSourceSinkCharacterization,0.1581,0.1504,0.1486,0.1466,0.1515,0.1431,0.153,FLOW-FAILED
160,Projection-Neutral,AttractorSourceSinkCharacterization,0.1343,0.1258,0.1247,0.1224,0.1255,0.1186,0.125,FLOW-FAILED
192,Projection-Neutral,AttractorSourceSinkCharacterization,0.1133,0.1077,0.1062,0.1038,0.1094,0.1053,0.1083,FLOW-FAILED
1,Projection-Neutral,RecursiveTransportStability,0.8454,0.8201,0.83,0.8313,0.8088,0.8194,0.8033,FLOW-STABLE
2,Projection-Neutral,RecursiveTransportStability,0.8303,0.792,0.818,0.7716,0.7872,0.7821,0.7996,FLOW-STABLE
4,Projection-Neutral,RecursiveTransportStability,0.7684,0.7617,0.7678,0.7235,0.7377,0.7327,0.7292,FLOW-STABLE
6,Projection-Neutral,RecursiveTransportStability,0.7165,0.707,0.6975,0.7061,0.6853,0.6933,0.7073,FLOW-BOUNDED
8,Projection-Neutral,RecursiveTransportStability,0.6811,0.6693,0.6635,0.6699,0.6338,0.659,0.6535,FLOW-BOUNDED
12,Projection-Neutral,RecursiveTransportStability,0.6334,0.5982,0.615,0.5922,0.5711,0.5965,0.6019,FLOW-PARTIAL
16,Projection-Neutral,RecursiveTransportStability,0.5606,0.5567,0.5519,0.5453,0.5315,0.5378,0.5471,FLOW-PARTIAL
20,Projection-Neutral,RecursiveTransportStability,0.5104,0.4918,0.501,0.4837,0.4719,0.489,0.4949,FLOW-DEGRADING
24,Projection-Neutral,RecursiveTransportStability,0.4813,0.4528,0.4653,0.4419,0.4401,0.4488,0.4449,FLOW-DEGRADING
32,Projection-Neutral,RecursiveTransportStability,0.414,0.3919,0.4039,0.3873,0.3825,0.3899,0.3993,FLOW-FAILED
40,Projection-Neutral,RecursiveTransportStability,0.357,0.3497,0.3523,0.3392,0.3366,0.3524,0.3476,FLOW-FAILED
48,Projection-Neutral,RecursiveTransportStability,0.3234,0.3219,0.3225,0.3157,0.2984,0.3076,0.3059,FLOW-FAILED
64,Projection-Neutral,RecursiveTransportStability,0.2675,0.257,0.2591,0.2607,0.2508,0.254,0.252,FLOW-FAILED
80,Projection-Neutral,RecursiveTransportStability,0.2324,0.2269,0.2228,0.2206,0.2112,0.2121,0.219,FLOW-FAILED
96,Projection-Neutral,RecursiveTransportStability,0.1947,0.1964,0.1928,0.1914,0.1859,0.1911,0.1878,FLOW-FAILED
128,Projection-Neutral,RecursiveTransportStability,0.1573,0.1535,0.1527,0.1513,0.1492,0.1495,0.1494,FLOW-FAILED
160,Projection-Neutral,RecursiveTransportStability,0.1316,0.1297,0.1258,0.1215,0.1244,0.1221,0.1232,FLOW-FAILED
192,Projection-Neutral,RecursiveTransportStability,0.1098,0.111,0.1091,0.1055,0.1024,0.1045,0.1075,FLOW-FAILED
1,Projection-Neutral,PerturbationFlowRecovery,0.852,0.8224,0.8439,0.8174,0.8093,0.7983,0.814,FLOW-STABLE
2,Projection-Neutral,PerturbationFlowRecovery,0.8425,0.7977,0.7826,0.8042,0.7693,0.7624,0.7858,FLOW-STABLE
4,Projection-Neutral,PerturbationFlowRecovery,0.7587,0.7413,0.7606,0.7271,0.7205,0.704,0.7148,FLOW-BOUNDED
6,Projection-Neutral,PerturbationFlowRecovery,0.7128,0.6863,0.697,0.6794,0.6723,0.6654,0.701,FLOW-BOUNDED
8,Projection-Neutral,PerturbationFlowRecovery,0.6732,0.6607,0.6785,0.6448,0.6273,0.6295,0.6525,FLOW-BOUNDED
12,Projection-Neutral,PerturbationFlowRecovery,0.618,0.5918,0.5865,0.5831,0.5855,0.5854,0.5733,FLOW-PARTIAL
16,Projection-Neutral,PerturbationFlowRecovery,0.5685,0.5341,0.5376,0.5249,0.5096,0.5122,0.5193,FLOW-DEGRADING
20,Projection-Neutral,PerturbationFlowRecovery,0.5212,0.5078,0.4972,0.495,0.4896,0.4806,0.4815,FLOW-DEGRADING
24,Projection-Neutral,PerturbationFlowRecovery,0.4768,0.4577,0.4465,0.4453,0.4328,0.436,0.4518,FLOW-DEGRADING
32,Projection-Neutral,PerturbationFlowRecovery,0.4088,0.4007,0.4019,0.3955,0.3859,0.3887,0.3856,FLOW-DEGRADING
40,Projection-Neutral,PerturbationFlowRecovery,0.3583,0.3523,0.3471,0.3523,0.3414,0.329,0.3432,FLOW-FAILED
48,Projection-Neutral,PerturbationFlowRecovery,0.3182,0.3127,0.3111,0.312,0.2976,0.2983,0.3068,FLOW-FAILED
64,Projection-Neutral,PerturbationFlowRecovery,0.2636,0.261,0.2613,0.2483,0.2515,0.2497,0.2517,FLOW-FAILED
80,Projection-Neutral,PerturbationFlowRecovery,0.2289,0.2222,0.2163,0.2192,0.2089,0.2092,0.2187,FLOW-FAILED
96,Projection-Neutral,PerturbationFlowRecovery,0.1937,0.1869,0.1952,0.1841,0.1804,0.1821,0.1883,FLOW-FAILED
128,Projection-Neutral,PerturbationFlowRecovery,0.154,0.1546,0.1534,0.1518,0.1463,0.148,0.148,FLOW-FAILED
160,Projection-Neutral,PerturbationFlowRecovery,0.1283,0.1287,0.1242,0.1235,0.1241,0.1231,0.1252,FLOW-FAILED
192,Projection-Neutral,PerturbationFlowRecovery,0.1105,0.1069,0.1068,0.1038,0.103,0.1054,0.1053,FLOW-FAILED
1,Projection-Neutral,NullCirculationControl,0.6597,0.6677,0.6363,0.6792,0.6345,0.6085,0.6296,FLOW-PARTIAL
2,Projection-Neutral,NullCirculationControl,0.6479,0.6319,0.6278,0.6504,0.5997,0.6018,0.6098,FLOW-PARTIAL
4,Projection-Neutral,NullCirculationControl,0.596,0.5883,0.5938,0.5931,0.5588,0.5658,0.5868,FLOW-PARTIAL
6,Projection-Neutral,NullCirculationControl,0.5855,0.5646,0.5517,0.5795,0.5469,0.5268,0.5545,FLOW-PARTIAL
8,Projection-Neutral,NullCirculationControl,0.5295,0.5305,0.5201,0.5486,0.5226,0.4872,0.5236,FLOW-DEGRADING
12,Projection-Neutral,NullCirculationControl,0.4824,0.4844,0.4725,0.4675,0.4588,0.4607,0.4599,FLOW-DEGRADING
16,Projection-Neutral,NullCirculationControl,0.4386,0.4305,0.4299,0.4244,0.4127,0.3984,0.411,FLOW-DEGRADING
20,Projection-Neutral,NullCirculationControl,0.3921,0.3959,0.3893,0.3952,0.3869,0.3705,0.3814,FLOW-FAILED
24,Projection-Neutral,NullCirculationControl,0.3753,0.3632,0.3549,0.3666,0.3632,0.3487,0.358,FLOW-FAILED
