depth,sector,condition,rg_similarity,field_coherence,distributed_influence_index,stabilization_gradient_strength,recursive_field_persistence,transport_field_alignment,attractor_field_coupling,classification
40,Neutral,AttractorFieldCoupling,0.5109,0.4894,0.5016,0.4855,0.4861,0.4704,0.4976,FIELD-FAILED
48,Neutral,AttractorFieldCoupling,0.4727,0.4577,0.449,0.4546,0.4342,0.4312,0.4651,FIELD-FAILED
64,Neutral,AttractorFieldCoupling,0.4031,0.3933,0.3892,0.3861,0.3764,0.3719,0.3997,FIELD-FAILED
80,Neutral,AttractorFieldCoupling,0.3474,0.3469,0.3369,0.3338,0.3304,0.3202,0.3361,FIELD-FAILED
96,Neutral,AttractorFieldCoupling,0.3161,0.31,0.2987,0.2959,0.3006,0.2854,0.3061,FIELD-FAILED
128,Neutral,AttractorFieldCoupling,0.2531,0.2469,0.2516,0.2477,0.2437,0.2374,0.2512,FIELD-FAILED
160,Neutral,AttractorFieldCoupling,0.2184,0.2143,0.2111,0.2071,0.2032,0.2002,0.2148,FIELD-FAILED
192,Neutral,AttractorFieldCoupling,0.1881,0.1848,0.1807,0.1813,0.1749,0.1781,0.1821,FIELD-FAILED
256,Neutral,AttractorFieldCoupling,0.1519,0.1473,0.1413,0.1386,0.1434,0.1395,0.1464,FIELD-FAILED
320,Neutral,AttractorFieldCoupling,0.1208,0.1186,0.1187,0.1173,0.1184,0.1167,0.1216,FIELD-FAILED
512,Neutral,AttractorFieldCoupling,0.0795,0.0804,0.0784,0.0756,0.0773,0.0743,0.078,FIELD-FAILED
768,Neutral,AttractorFieldCoupling,0.0568,0.0539,0.0535,0.0531,0.0536,0.0527,0.0534,FIELD-FAILED
1024,Neutral,AttractorFieldCoupling,0.05,0.05,0.05,0.05,0.05,0.05,0.05,FIELD-FAILED
1,Neutral,RecursiveFieldCoherencePersistence,0.9069,0.8881,0.8753,0.8495,0.8633,0.8554,0.8748,FIELD-STABLE
2,Neutral,RecursiveFieldCoherencePersistence,0.8735,0.8832,0.8525,0.8518,0.8569,0.8122,0.8472,FIELD-STABLE
4,Neutral,RecursiveFieldCoherencePersistence,0.8737,0.8345,0.8126,0.8079,0.8364,0.8114,0.8012,FIELD-BOUNDED
6,Neutral,RecursiveFieldCoherencePersistence,0.8404,0.8304,0.7979,0.7997,0.798,0.7585,0.7929,FIELD-BOUNDED
8,Neutral,RecursiveFieldCoherencePersistence,0.8019,0.7786,0.7765,0.7573,0.7581,0.7443,0.7495,FIELD-BOUNDED
12,Neutral,RecursiveFieldCoherencePersistence,0.7353,0.7372,0.7315,0.7229,0.7071,0.6885,0.7071,FIELD-PARTIAL
16,Neutral,RecursiveFieldCoherencePersistence,0.6835,0.6824,0.6865,0.6723,0.6857,0.6585,0.6567,FIELD-PARTIAL
20,Neutral,RecursiveFieldCoherencePersistence,0.6655,0.6395,0.6467,0.6264,0.6419,0.6037,0.6198,FIELD-DEGRADING
24,Neutral,RecursiveFieldCoherencePersistence,0.6128,0.61,0.6033,0.5958,0.5901,0.5896,0.5978,FIELD-DEGRADING
32,Neutral,RecursiveFieldCoherencePersistence,0.5555,0.552,0.5307,0.5421,0.538,0.5335,0.5247,FIELD-DEGRADING
40,Neutral,RecursiveFieldCoherencePersistence,0.5045,0.5053,0.4835,0.4913,0.4835,0.4691,0.4818,FIELD-DEGRADING
48,Neutral,RecursiveFieldCoherencePersistence,0.4678,0.4554,0.4606,0.4407,0.4514,0.4306,0.4444,FIELD-FAILED
64,Neutral,RecursiveFieldCoherencePersistence,0.3927,0.395,0.3943,0.3821,0.3914,0.3667,0.3887,FIELD-FAILED
80,Neutral,RecursiveFieldCoherencePersistence,0.3519,0.3413,0.3456,0.3327,0.3447,0.3271,0.3282,FIELD-FAILED
96,Neutral,RecursiveFieldCoherencePersistence,0.3135,0.3055,0.2973,0.3046,0.3014,0.2885,0.3011,FIELD-FAILED
128,Neutral,RecursiveFieldCoherencePersistence,0.2569,0.2538,0.2422,0.2395,0.2507,0.242,0.2495,FIELD-FAILED
160,Neutral,RecursiveFieldCoherencePersistence,0.2152,0.2177,0.2142,0.2045,0.2089,0.2016,0.2025,FIELD-FAILED
192,Neutral,RecursiveFieldCoherencePersistence,0.1851,0.1883,0.1854,0.1766,0.1837,0.1784,0.1787,FIELD-FAILED
256,Neutral,RecursiveFieldCoherencePersistence,0.151,0.1461,0.1406,0.1449,0.1436,0.1357,0.1418,FIELD-FAILED
320,Neutral,RecursiveFieldCoherencePersistence,0.125,0.1234,0.1175,0.116,0.1187,0.116,0.1157,FIELD-FAILED
512,Neutral,RecursiveFieldCoherencePersistence,0.0812,0.0797,0.0793,0.0758,0.0792,0.0754,0.0756,FIELD-FAILED
768,Neutral,RecursiveFieldCoherencePersistence,0.0544,0.0554,0.0534,0.0522,0.0525,0.0522,0.054,FIELD-FAILED
1024,Neutral,RecursiveFieldCoherencePersistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,FIELD-FAILED
1,Neutral,NullFieldControl,0.7048,0.7348,0.6935,0.7334,0.6925,0.6778,0.6948,FIELD-PARTIAL
2,Neutral,NullFieldControl,0.6993,0.6832,0.7046,0.6938,0.6855,0.6482,0.6821,FIELD-PARTIAL
4,Neutral,NullFieldControl,0.6697,0.6641,0.6653,0.6812,0.6335,0.6397,0.6522,FIELD-PARTIAL
6,Neutral,NullFieldControl,0.6504,0.6477,0.6449,0.644,0.6307,0.631,0.6446,FIELD-DEGRADING
8,Neutral,NullFieldControl,0.6383,0.6382,0.6169,0.6283,0.6181,0.5833,0.6217,FIELD-DEGRADING
12,Neutral,NullFieldControl,0.6068,0.6022,0.5787,0.5976,0.5729,0.5503,0.565,FIELD-DEGRADING
16,Neutral,NullFieldControl,0.5606,0.5444,0.5496,0.5502,0.5187,0.5304,0.5215,FIELD-DEGRADING
20,Neutral,NullFieldControl,0.5252,0.5069,0.521,0.5318,0.5103,0.4988,0.513,FIELD-DEGRADING
24,Neutral,NullFieldControl,0.4949,0.4806,0.4923,0.4882,0.4633,0.4585,0.4894,FIELD-FAILED
32,Neutral,NullFieldControl,0.4497,0.4403,0.4242,0.443,0.4261,0.4243,0.423,FIELD-FAILED
40,Neutral,NullFieldControl,0.4102,0.4094,0.3957,0.3955,0.3957,0.3855,0.3827,FIELD-FAILED
48,Neutral,NullFieldControl,0.3798,0.3599,0.368,0.3694,0.3443,0.343,0.3688,FIELD-FAILED
64,Neutral,NullFieldControl,0.3208,0.3201,0.3119,0.3131,0.3055,0.2975,0.3142,FIELD-FAILED
80,Neutral,NullFieldControl,0.2865,0.2848,0.275,0.2729,0.2612,0.2619,0.2654,FIELD-FAILED
96,Neutral,NullFieldControl,0.2477,0.2407,0.2399,0.2409,0.2362,0.2347,0.2463,FIELD-FAILED
128,Neutral,NullFieldControl,0.2075,0.206,0.1961,0.2054,0.1924,0.1954,0.1947,FIELD-FAILED
160,Neutral,NullFieldControl,0.1773,0.1665,0.1669,0.1704,0.1685,0.1638,0.162,FIELD-FAILED
192,Neutral,NullFieldControl,0.1528,0.1513,0.1471,0.1457,0.1435,0.1421,0.1436,FIELD-FAILED
256,Neutral,NullFieldControl,0.1151,0.1156,0.1167,0.1198,0.1136,0.113,0.1157,FIELD-FAILED
320,Neutral,NullFieldControl,0.095,0.0956,0.0968,0.0976,0.0953,0.0922,0.0938,FIELD-FAILED
512,Neutral,NullFieldControl,0.0631,0.0626,0.0621,0.0644,0.0602,0.0614,0.0625,FIELD-FAILED
768,Neutral,NullFieldControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,FIELD-FAILED
1024,Neutral,NullFieldControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,FIELD-FAILED
1,Projection-Antisymmetry,DistributedInfluenceMapping,0.9163,0.8958,0.8805,0.8681,0.8554,0.8512,0.883,FIELD-STABLE
2,Projection-Antisymmetry,DistributedInfluenceMapping,0.9193,0.8917,0.8619,0.8451,0.841,0.8214,0.8365,FIELD-STABLE
4,Projection-Antisymmetry,DistributedInfluenceMapping,0.8649,0.8519,0.8384,0.8065,0.7944,0.811,0.8306,FIELD-BOUNDED
6,Projection-Antisymmetry,DistributedInfluenceMapping,0.836,0.8316,0.7879,0.7852,0.7784,0.7684,0.799,FIELD-BOUNDED
8,Projection-Antisymmetry,DistributedInfluenceMapping,0.8056,0.7829,0.7885,0.745,0.7612,0.7622,0.7455,FIELD-BOUNDED
12,Projection-Antisymmetry,DistributedInfluenceMapping,0.7712,0.718,0.7099,0.7195,0.6958,0.7028,0.7066,FIELD-PARTIAL
16,Projection-Antisymmetry,DistributedInfluenceMapping,0.7116,0.6845,0.6669,0.6765,0.6697,0.6579,0.6744,FIELD-PARTIAL
20,Projection-Antisymmetry,DistributedInfluenceMapping,0.6813,0.6428,0.6551,0.632,0.6083,0.6326,0.6402,FIELD-DEGRADING
24,Projection-Antisymmetry,DistributedInfluenceMapping,0.6461,0.6203,0.614,0.5864,0.5777,0.5899,0.5984,FIELD-DEGRADING
32,Projection-Antisymmetry,DistributedInfluenceMapping,0.5637,0.5542,0.5403,0.5303,0.5266,0.5249,0.524,FIELD-DEGRADING
40,Projection-Antisymmetry,DistributedInfluenceMapping,0.5176,0.5059,0.501,0.4892,0.4704,0.4738,0.4954,FIELD-DEGRADING
48,Projection-Antisymmetry,DistributedInfluenceMapping,0.484,0.4621,0.4484,0.4409,0.4493,0.4397,0.4539,FIELD-FAILED
64,Projection-Antisymmetry,DistributedInfluenceMapping,0.4123,0.4038,0.3857,0.3858,0.3787,0.3774,0.375,FIELD-FAILED
80,Projection-Antisymmetry,DistributedInfluenceMapping,0.3586,0.3509,0.3449,0.3368,0.3262,0.3273,0.3353,FIELD-FAILED
96,Projection-Antisymmetry,DistributedInfluenceMapping,0.3214,0.3059,0.3028,0.3019,0.2985,0.2947,0.2965,FIELD-FAILED
128,Projection-Antisymmetry,DistributedInfluenceMapping,0.2583,0.2475,0.2545,0.2433,0.2395,0.2419,0.2398,FIELD-FAILED
160,Projection-Antisymmetry,DistributedInfluenceMapping,0.2247,0.2141,0.2094,0.2051,0.2064,0.2064,0.2084,FIELD-FAILED
192,Projection-Antisymmetry,DistributedInfluenceMapping,0.1919,0.1853,0.1828,0.1765,0.1808,0.1746,0.179,FIELD-FAILED
256,Projection-Antisymmetry,DistributedInfluenceMapping,0.1549,0.1447,0.1444,0.14,0.1375,0.1385,0.1436,FIELD-FAILED
320,Projection-Antisymmetry,DistributedInfluenceMapping,0.1269,0.1232,0.1192,0.1178,0.1158,0.1149,0.118,FIELD-FAILED
512,Projection-Antisymmetry,DistributedInfluenceMapping,0.0808,0.081,0.0773,0.0758,0.0753,0.0747,0.0764,FIELD-FAILED
768,Projection-Antisymmetry,DistributedInfluenceMapping,0.0567,0.0537,0.0548,0.054,0.0529,0.0516,0.0532,FIELD-FAILED
1024,Projection-Antisymmetry,DistributedInfluenceMapping,0.05,0.05,0.05,0.05,0.05,0.05,0.05,FIELD-FAILED
1,Projection-Antisymmetry,StabilizationGradientAnalysis,0.9264,0.9184,0.8756,0.8918,0.8557,0.8402,0.8628,FIELD-STABLE
2,Projection-Antisymmetry,StabilizationGradientAnalysis,0.9254,0.89,0.8741,0.8653,0.8365,0.8379,0.8771,FIELD-STABLE
4,Projection-Antisymmetry,StabilizationGradientAnalysis,0.8634,0.8424,0.8486,0.844,0.8102,0.8023,0.8254,FIELD-BOUNDED
6,Projection-Antisymmetry,StabilizationGradientAnalysis,0.8336,0.8156,0.8024,0.8013,0.7899,0.7702,0.7883,FIELD-BOUNDED
8,Projection-Antisymmetry,StabilizationGradientAnalysis,0.8091,0.7801,0.768,0.7817,0.7553,0.7522,0.755,FIELD-BOUNDED
12,Projection-Antisymmetry,StabilizationGradientAnalysis,0.767,0.7408,0.7267,0.7107,0.7178,0.6855,0.7165,FIELD-PARTIAL
16,Projection-Antisymmetry,StabilizationGradientAnalysis,0.7012,0.686,0.6684,0.6669,0.6623,0.6504,0.6724,FIELD-PARTIAL
20,Projection-Antisymmetry,StabilizationGradientAnalysis,0.687,0.6439,0.6555,0.6523,0.6252,0.6201,0.6437,FIELD-DEGRADING
24,Projection-Antisymmetry,StabilizationGradientAnalysis,0.6255,0.6239,0.6139,0.6166,0.5949,0.5812,0.6102,FIELD-DEGRADING
32,Projection-Antisymmetry,StabilizationGradientAnalysis,0.5867,0.5599,0.5384,0.5434,0.53,0.533,0.5365,FIELD-DEGRADING
40,Projection-Antisymmetry,StabilizationGradientAnalysis,0.5195,0.5106,0.4954,0.5054,0.4972,0.4827,0.4903,FIELD-DEGRADING
48,Projection-Antisymmetry,StabilizationGradientAnalysis,0.4894,0.4589,0.4497,0.4616,0.4466,0.4507,0.4575,FIELD-FAILED
64,Projection-Antisymmetry,StabilizationGradientAnalysis,0.4208,0.4014,0.3941,0.3857,0.3872,0.3804,0.3864,FIELD-FAILED
80,Projection-Antisymmetry,StabilizationGradientAnalysis,0.3615,0.347,0.3423,0.3413,0.3335,0.3365,0.338,FIELD-FAILED
96,Projection-Antisymmetry,StabilizationGradientAnalysis,0.3177,0.3138,0.3098,0.3083,0.2954,0.3001,0.3022,FIELD-FAILED
128,Projection-Antisymmetry,StabilizationGradientAnalysis,0.2671,0.2609,0.2532,0.2488,0.2491,0.2367,0.2441,FIELD-FAILED
160,Projection-Antisymmetry,StabilizationGradientAnalysis,0.2214,0.2182,0.2098,0.2157,0.2038,0.2054,0.2115,FIELD-FAILED
192,Projection-Antisymmetry,StabilizationGradientAnalysis,0.1906,0.1847,0.1824,0.1857,0.1789,0.1789,0.1846,FIELD-FAILED
256,Projection-Antisymmetry,StabilizationGradientAnalysis,0.1501,0.151,0.1461,0.1474,0.1392,0.1427,0.1405,FIELD-FAILED
320,Projection-Antisymmetry,StabilizationGradientAnalysis,0.1239,0.1212,0.1215,0.1177,0.1172,0.1135,0.1182,FIELD-FAILED
512,Projection-Antisymmetry,StabilizationGradientAnalysis,0.0836,0.0819,0.0787,0.0774,0.0773,0.0777,0.0764,FIELD-FAILED
768,Projection-Antisymmetry,StabilizationGradientAnalysis,0.0574,0.0561,0.0541,0.0546,0.0518,0.0533,0.0533,FIELD-FAILED
1024,Projection-Antisymmetry,StabilizationGradientAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,FIELD-FAILED
1,Projection-Antisymmetry,FieldMediatedTransportTracking,0.919,0.8986,0.8739,0.8745,0.8755,0.8844,0.88,FIELD-STABLE
2,Projection-Antisymmetry,FieldMediatedTransportTracking,0.9168,0.861,0.8733,0.8343,0.8671,0.8294,0.8572,FIELD-STABLE
4,Projection-Antisymmetry,FieldMediatedTransportTracking,0.8639,0.8274,0.8393,0.8124,0.8059,0.8197,0.7986,FIELD-BOUNDED
6,Projection-Antisymmetry,FieldMediatedTransportTracking,0.8498,0.8231,0.8044,0.7962,0.7735,0.7756,0.7713,FIELD-BOUNDED
8,Projection-Antisymmetry,FieldMediatedTransportTracking,0.8052,0.7877,0.7747,0.7706,0.7754,0.7633,0.7565,FIELD-BOUNDED
12,Projection-Antisymmetry,FieldMediatedTransportTracking,0.7546,0.7424,0.74,0.6951,0.6938,0.722,0.7207,FIELD-PARTIAL
16,Projection-Antisymmetry,FieldMediatedTransportTracking,0.7029,0.6989,0.6954,0.6673,0.6545,0.6714,0.6596,FIELD-PARTIAL
20,Projection-Antisymmetry,FieldMediatedTransportTracking,0.6543,0.6463,0.6445,0.6264,0.6318,0.6284,0.6412,FIELD-DEGRADING
24,Projection-Antisymmetry,FieldMediatedTransportTracking,0.6244,0.6063,0.598,0.5937,0.6,0.5921,0.5931,FIELD-DEGRADING
32,Projection-Antisymmetry,FieldMediatedTransportTracking,0.5696,0.545,0.5423,0.5327,0.5373,0.5313,0.5366,FIELD-DEGRADING
40,Projection-Antisymmetry,FieldMediatedTransportTracking,0.5073,0.4928,0.4935,0.4868,0.4794,0.4812,0.4871,FIELD-FAILED
48,Projection-Antisymmetry,FieldMediatedTransportTracking,0.468,0.4544,0.4584,0.4537,0.4449,0.4514,0.4457,FIELD-FAILED
64,Projection-Antisymmetry,FieldMediatedTransportTracking,0.4139,0.3909,0.3861,0.3834,0.388,0.3805,0.3853,FIELD-FAILED
80,Projection-Antisymmetry,FieldMediatedTransportTracking,0.3534,0.3421,0.347,0.342,0.3329,0.3397,0.3424,FIELD-FAILED
96,Projection-Antisymmetry,FieldMediatedTransportTracking,0.3113,0.3051,0.2998,0.2951,0.293,0.303,0.2989,FIELD-FAILED
128,Projection-Antisymmetry,FieldMediatedTransportTracking,0.2595,0.2512,0.2557,0.2459,0.2444,0.2491,0.2433,FIELD-FAILED
160,Projection-Antisymmetry,FieldMediatedTransportTracking,0.2192,0.2116,0.2109,0.204,0.2066,0.2095,0.2075,FIELD-FAILED
192,Projection-Antisymmetry,FieldMediatedTransportTracking,0.1878,0.1824,0.1836,0.1817,0.1771,0.1771,0.1811,FIELD-FAILED
256,Projection-Antisymmetry,FieldMediatedTransportTracking,0.1483,0.1492,0.1459,0.1407,0.1425,0.1425,0.1451,FIELD-FAILED
320,Projection-Antisymmetry,FieldMediatedTransportTracking,0.1268,0.121,0.1192,0.1183,0.1167,0.1193,0.1178,FIELD-FAILED
512,Projection-Antisymmetry,FieldMediatedTransportTracking,0.0823,0.0789,0.0779,0.0755,0.0788,0.0761,0.0755,FIELD-FAILED
768,Projection-Antisymmetry,FieldMediatedTransportTracking,0.0556,0.0545,0.0553,0.0528,0.0523,0.0534,0.0519,FIELD-FAILED
1024,Projection-Antisymmetry,FieldMediatedTransportTracking,0.05,0.05,0.05,0.05,0.05,0.05,0.05,FIELD-FAILED
1,Projection-Antisymmetry,PerturbationPropagationGeometry,0.9033,0.8784,0.8747,0.8932,0.8721,0.8409,0.8763,FIELD-STABLE
2,Projection-Antisymmetry,PerturbationPropagationGeometry,0.9034,0.8692,0.8579,0.8584,0.8367,0.8214,0.8457,FIELD-STABLE
4,Projection-Antisymmetry,PerturbationPropagationGeometry,0.8606,0.846,0.8327,0.8339,0.8024,0.7988,0.8314,FIELD-BOUNDED
6,Projection-Antisymmetry,PerturbationPropagationGeometry,0.8158,0.795,0.79,0.7986,0.7948,0.763,0.7811,FIELD-BOUNDED
8,Projection-Antisymmetry,PerturbationPropagationGeometry,0.8008,0.7657,0.7593,0.7774,0.7479,0.7587,0.7601,FIELD-BOUNDED
12,Projection-Antisymmetry,PerturbationPropagationGeometry,0.7561,0.7195,0.7153,0.7019,0.7068,0.703,0.7255,FIELD-PARTIAL
16,Projection-Antisymmetry,PerturbationPropagationGeometry,0.6973,0.6923,0.6592,0.6796,0.67,0.6629,0.657,FIELD-PARTIAL
20,Projection-Antisymmetry,PerturbationPropagationGeometry,0.6563,0.6488,0.6217,0.6255,0.6158,0.6203,0.6215,FIELD-DEGRADING
24,Projection-Antisymmetry,PerturbationPropagationGeometry,0.6217,0.6058,0.6132,0.6122,0.5784,0.592,0.5843,FIELD-DEGRADING
32,Projection-Antisymmetry,PerturbationPropagationGeometry,0.5696,0.5466,0.5432,0.5347,0.5275,0.5287,0.5348,FIELD-DEGRADING
40,Projection-Antisymmetry,PerturbationPropagationGeometry,0.5207,0.5038,0.4861,0.4953,0.4797,0.4851,0.4854,FIELD-DEGRADING
48,Projection-Antisymmetry,PerturbationPropagationGeometry,0.4819,0.4549,0.4483,0.4562,0.4491,0.4273,0.4367,FIELD-FAILED
64,Projection-Antisymmetry,PerturbationPropagationGeometry,0.3997,0.3897,0.3853,0.3918,0.3815,0.378,0.3846,FIELD-FAILED
80,Projection-Antisymmetry,PerturbationPropagationGeometry,0.3614,0.3429,0.3422,0.3433,0.3357,0.3208,0.3309,FIELD-FAILED
96,Projection-Antisymmetry,PerturbationPropagationGeometry,0.309,0.2986,0.2954,0.3048,0.2918,0.2873,0.3025,FIELD-FAILED
128,Projection-Antisymmetry,PerturbationPropagationGeometry,0.2555,0.2518,0.2479,0.2445,0.2427,0.239,0.2494,FIELD-FAILED
160,Projection-Antisymmetry,PerturbationPropagationGeometry,0.2154,0.2116,0.2131,0.212,0.2083,0.1985,0.2094,FIELD-FAILED
192,Projection-Antisymmetry,PerturbationPropagationGeometry,0.1872,0.1869,0.1813,0.1846,0.1802,0.1725,0.1819,FIELD-FAILED
256,Projection-Antisymmetry,PerturbationPropagationGeometry,0.1485,0.1477,0.1444,0.1464,0.1379,0.1386,0.1414,FIELD-FAILED
320,Projection-Antisymmetry,PerturbationPropagationGeometry,0.1264,0.12,0.1188,0.118,0.1143,0.1144,0.1198,FIELD-FAILED
512,Projection-Antisymmetry,PerturbationPropagationGeometry,0.0809,0.0783,0.0774,0.0783,0.0769,0.0749,0.0764,FIELD-FAILED
768,Projection-Antisymmetry,PerturbationPropagationGeometry,0.0572,0.0538,0.0525,0.0535,0.0521,0.0515,0.0527,FIELD-FAILED
1024,Projection-Antisymmetry,PerturbationPropagationGeometry,0.05,0.05,0.05,0.05,0.05,0.05,0.05,FIELD-FAILED
1,Projection-Antisymmetry,AttractorFieldCoupling,0.9019,0.9034,0.8698,0.8518,0.8394,0.8386,0.9048,FIELD-STABLE
2,Projection-Antisymmetry,AttractorFieldCoupling,0.9113,0.8787,0.8548,0.8327,0.8425,0.8464,0.8772,FIELD-STABLE
4,Projection-Antisymmetry,AttractorFieldCoupling,0.8686,0.8207,0.8212,0.8322,0.8167,0.8058,0.817,FIELD-BOUNDED
6,Projection-Antisymmetry,AttractorFieldCoupling,0.8395,0.8224,0.7948,0.7864,0.7677,0.759,0.7977,FIELD-BOUNDED
8,Projection-Antisymmetry,AttractorFieldCoupling,0.7977,0.765,0.763,0.7699,0.7412,0.728,0.7746,FIELD-BOUNDED
12,Projection-Antisymmetry,AttractorFieldCoupling,0.7435,0.7241,0.7099,0.7074,0.6902,0.6954,0.7328,FIELD-PARTIAL
16,Projection-Antisymmetry,AttractorFieldCoupling,0.7065,0.6856,0.6672,0.6614,0.6458,0.6545,0.6951,FIELD-PARTIAL
20,Projection-Antisymmetry,AttractorFieldCoupling,0.6685,0.6355,0.6247,0.6201,0.6192,0.6199,0.6334,FIELD-DEGRADING
24,Projection-Antisymmetry,AttractorFieldCoupling,0.6217,0.6178,0.5903,0.6028,0.5897,0.5747,0.6183,FIELD-DEGRADING
32,Projection-Antisymmetry,AttractorFieldCoupling,0.5648,0.5582,0.5371,0.5322,0.5225,0.5184,0.5364,FIELD-DEGRADING
40,Projection-Antisymmetry,AttractorFieldCoupling,0.5008,0.4957,0.4908,0.4911,0.4829,0.4659,0.5017,FIELD-FAILED
48,Projection-Antisymmetry,AttractorFieldCoupling,0.4795,0.4563,0.4541,0.4372,0.4441,0.4261,0.4559,FIELD-FAILED
64,Projection-Antisymmetry,AttractorFieldCoupling,0.4008,0.3943,0.3885,0.381,0.382,0.3806,0.3966,FIELD-FAILED
80,Projection-Antisymmetry,AttractorFieldCoupling,0.3564,0.3507,0.3425,0.33,0.3328,0.3286,0.3507,FIELD-FAILED
96,Projection-Antisymmetry,AttractorFieldCoupling,0.3156,0.3065,0.3061,0.3017,0.2901,0.2868,0.3094,FIELD-FAILED
128,Projection-Antisymmetry,AttractorFieldCoupling,0.2587,0.2492,0.2473,0.2416,0.2465,0.2424,0.2508,FIELD-FAILED
160,Projection-Antisymmetry,AttractorFieldCoupling,0.2197,0.2162,0.2051,0.2091,0.2054,0.202,0.2159,FIELD-FAILED
192,Projection-Antisymmetry,AttractorFieldCoupling,0.1882,0.1827,0.1849,0.1835,0.1752,0.1754,0.1844,FIELD-FAILED
256,Projection-Antisymmetry,AttractorFieldCoupling,0.1521,0.1473,0.1457,0.1446,0.1406,0.1408,0.1443,FIELD-FAILED
320,Projection-Antisymmetry,AttractorFieldCoupling,0.1261,0.1196,0.1169,0.1197,0.116,0.114,0.1219,FIELD-FAILED
512,Projection-Antisymmetry,AttractorFieldCoupling,0.0807,0.0785,0.0767,0.0781,0.0755,0.0755,0.0784,FIELD-FAILED
768,Projection-Antisymmetry,AttractorFieldCoupling,0.055,0.053,0.0526,0.0536,0.0535,0.0508,0.0546,FIELD-FAILED
1024,Projection-Antisymmetry,AttractorFieldCoupling,0.05,0.05,0.05,0.05,0.05,0.05,0.05,FIELD-FAILED
1,Projection-Antisymmetry,RecursiveFieldCoherencePersistence,0.9001,0.9056,0.8887,0.8794,0.8672,0.8642,0.8814,FIELD-STABLE
2,Projection-Antisymmetry,RecursiveFieldCoherencePersistence,0.8877,0.8876,0.8599,0.8524,0.8473,0.8278,0.8567,FIELD-STABLE
4,Projection-Antisymmetry,RecursiveFieldCoherencePersistence,0.8671,0.8507,0.814,0.8279,0.8376,0.8022,0.8248,FIELD-BOUNDED
6,Projection-Antisymmetry,RecursiveFieldCoherencePersistence,0.8387,0.8276,0.7947,0.8027,0.7932,0.7793,0.797,FIELD-BOUNDED
8,Projection-Antisymmetry,RecursiveFieldCoherencePersistence,0.7799,0.8028,0.753,0.7471,0.7605,0.7347,0.7754,FIELD-BOUNDED
12,Projection-Antisymmetry,RecursiveFieldCoherencePersistence,0.746,0.7342,0.7189,0.7075,0.7102,0.6937,0.6988,FIELD-PARTIAL
16,Projection-Antisymmetry,RecursiveFieldCoherencePersistence,0.701,0.6986,0.6782,0.6535,0.6835,0.6578,0.6792,FIELD-PARTIAL
20,Projection-Antisymmetry,RecursiveFieldCoherencePersistence,0.6476,0.6345,0.641,0.6242,0.6458,0.5999,0.62,FIELD-DEGRADING
24,Projection-Antisymmetry,RecursiveFieldCoherencePersistence,0.6156,0.6133,0.6112,0.6021,0.5967,0.5924,0.5885,FIELD-DEGRADING
32,Projection-Antisymmetry,RecursiveFieldCoherencePersistence,0.5716,0.5612,0.5474,0.5327,0.5494,0.5202,0.5339,FIELD-DEGRADING
40,Projection-Antisymmetry,RecursiveFieldCoherencePersistence,0.5046,0.5118,0.4879,0.489,0.5017,0.4781,0.494,FIELD-DEGRADING
48,Projection-Antisymmetry,RecursiveFieldCoherencePersistence,0.4589,0.4564,0.4426,0.4448,0.4477,0.4406,0.4454,FIELD-FAILED
64,Projection-Antisymmetry,RecursiveFieldCoherencePersistence,0.4065,0.3909,0.3798,0.3812,0.3948,0.3709,0.3902,FIELD-FAILED
80,Projection-Antisymmetry,RecursiveFieldCoherencePersistence,0.3578,0.3408,0.3327,0.3315,0.3328,0.3259,0.3291,FIELD-FAILED
96,Projection-Antisymmetry,RecursiveFieldCoherencePersistence,0.316,0.303,0.3053,0.3013,0.3084,0.2912,0.3007,FIELD-FAILED
128,Projection-Antisymmetry,RecursiveFieldCoherencePersistence,0.2599,0.2525,0.2454,0.24,0.2465,0.2439,0.2487,FIELD-FAILED
160,Projection-Antisymmetry,RecursiveFieldCoherencePersistence,0.2158,0.2189,0.2093,0.2026,0.2133,0.1988,0.2072,FIELD-FAILED
192,Projection-Antisymmetry,RecursiveFieldCoherencePersistence,0.1866,0.1844,0.183,0.1787,0.1803,0.1771,0.1758,FIELD-FAILED
256,Projection-Antisymmetry,RecursiveFieldCoherencePersistence,0.1462,0.1492,0.1419,0.1416,0.1413,0.1396,0.1396,FIELD-FAILED
320,Projection-Antisymmetry,RecursiveFieldCoherencePersistence,0.1253,0.1238,0.1193,0.1164,0.1164,0.1138,0.1195,FIELD-FAILED
512,Projection-Antisymmetry,RecursiveFieldCoherencePersistence,0.082,0.0808,0.0796,0.0758,0.078,0.0739,0.0758,FIELD-FAILED
768,Projection-Antisymmetry,RecursiveFieldCoherencePersistence,0.0543,0.0554,0.0528,0.0534,0.054,0.0522,0.0529,FIELD-FAILED
1024,Projection-Antisymmetry,RecursiveFieldCoherencePersistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,FIELD-FAILED
1,Projection-Antisymmetry,NullFieldControl,0.7342,0.735,0.689,0.7005,0.6689,0.6803,0.701,FIELD-PARTIAL
